  
       XFOIL         Version 6.99
  
 Calculated polar for: A18 (original)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.3196   0.02393   0.01353  -0.0808   1.0000   1.0000
   0.250   0.3400   0.02481   0.01432  -0.0810   1.0000   1.0000
   0.500   0.3597   0.02576   0.01521  -0.0812   1.0000   1.0000
   0.750   0.3788   0.02679   0.01620  -0.0814   1.0000   1.0000
   1.000   0.3974   0.02790   0.01729  -0.0817   1.0000   1.0000
   1.250   0.4311   0.02908   0.01847  -0.0848   0.9936   1.0000
   1.500   0.4768   0.03021   0.01962  -0.0900   0.9788   1.0000
   1.750   0.5206   0.03129   0.02075  -0.0946   0.9639   1.0000
   2.000   0.5627   0.03231   0.02188  -0.0987   0.9489   1.0000
   2.250   0.6028   0.03331   0.02298  -0.1023   0.9341   1.0000
   2.500   0.6426   0.03424   0.02405  -0.1057   0.9188   1.0000
   2.750   0.6942   0.03476   0.02479  -0.1103   0.9005   1.0000
   3.000   0.7370   0.03487   0.02510  -0.1126   0.8753   1.0000
   3.250   0.7898   0.03420   0.02470  -0.1152   0.8479   1.0000
   3.500   0.8409   0.03342   0.02427  -0.1173   0.8249   1.0000
   3.750   0.8875   0.03269   0.02388  -0.1186   0.8038   1.0000
   3.750   0.8875   0.03269   0.02388  -0.1186   0.8038   1.0000
   3.850   0.9037   0.03242   0.02374  -0.1186   0.7949   1.0000
   3.950   0.9283   0.03158   0.02307  -0.1193   0.7869   1.0000
   4.250   0.9806   0.02988   0.02186  -0.1184   0.7560   1.0000
   4.500   1.0154   0.02848   0.02080  -0.1157   0.7213   1.0000
   4.750   1.0535   0.02593   0.01850  -0.1112   0.6697   1.0000
   5.000   1.0738   0.02466   0.01720  -0.1053   0.5966   1.0000
   5.250   1.0852   0.02467   0.01680  -0.0990   0.4891   1.0000
   5.500   1.0873   0.02615   0.01728  -0.0930   0.3578   1.0000
   5.750   1.0872   0.02915   0.01899  -0.0883   0.2428   1.0000
   6.000   1.1021   0.03322   0.02226  -0.0858   0.1644   1.0000
   6.250   1.1281   0.03621   0.02508  -0.0846   0.1316   1.0000
   6.500   1.1545   0.03886   0.02764  -0.0840   0.1140   1.0000
   6.750   1.1836   0.04220   0.03137  -0.0832   0.1058   1.0000
   7.000   1.2086   0.04561   0.03483  -0.0826   0.0990   1.0000
   7.250   1.2256   0.04896   0.03887  -0.0805   0.0943   1.0000
   7.500   1.2415   0.05287   0.04328  -0.0786   0.0921   1.0000
   7.750   1.2520   0.05732   0.04828  -0.0762   0.0919   1.0000
   8.000   1.2563   0.06212   0.05367  -0.0735   0.0928   1.0000
   8.250   1.2552   0.06715   0.05922  -0.0708   0.0943   1.0000
   8.500   1.2497   0.07221   0.06471  -0.0681   0.0957   1.0000
   8.750   1.2418   0.07724   0.07007  -0.0657   0.0970   1.0000
   9.000   1.2330   0.08231   0.07539  -0.0637   0.0982   1.0000
   9.250   1.2265   0.08757   0.08086  -0.0621   0.0992   1.0000
   9.250   1.2265   0.08757   0.08086  -0.0621   0.0992   1.0000
   9.350   1.2251   0.08979   0.08312  -0.0616   0.0995   1.0000
   9.450   1.2227   0.09190   0.08532  -0.0611   0.1001   1.0000
   9.750   1.1245   0.09954   0.09341  -0.0610   0.1063   1.0000
  10.000   1.0956   0.10759   0.10152  -0.0649   0.1090   1.0000
  10.250   1.1210   0.11258   0.10652  -0.0624   0.1131   1.0000
  10.500   0.8757   0.12183   0.11591  -0.0608   0.1240   1.0000
  10.750   0.8735   0.12715   0.12123  -0.0614   0.1258   1.0000
  10.750   0.8717   0.12756   0.12166  -0.0618   0.1272   1.0000
  10.850   0.8748   0.12912   0.12327  -0.0614   0.1267   1.0000
  11.250   0.9768   0.16875   0.16238  -0.1116   0.2492   1.0000
  11.500   1.0022   0.17473   0.16842  -0.1098   0.2398   1.0000
  11.750   0.9828   0.17702   0.17062  -0.1135   0.2318   1.0000
  12.000   1.0077   0.18347   0.17715  -0.1120   0.2261   1.0000
  12.250   0.9894   0.18558   0.17915  -0.1162   0.2202   1.0000
  12.500   1.0018   0.19039   0.18402  -0.1163   0.2135   1.0000
  12.750   1.0064   0.19522   0.18883  -0.1178   0.2098   1.0000
  13.000   1.0028   0.19769   0.19127  -0.1203   0.2024   1.0000
  13.250   1.0266   0.20524   0.19887  -0.1190   0.1966   1.0000
  13.500   1.0123   0.20562   0.19917  -0.1235   0.1911   1.0000
  13.750   1.0422   0.21439   0.20801  -0.1209   0.1825   1.0000
  14.000   1.0256   0.21373   0.20726  -0.1262   0.1792   1.0000
  14.250   1.0337   0.21743   0.21097  -0.1273   0.1715   1.0000
  14.500   1.0508   0.22470   0.21826  -0.1271   0.1678   1.0000
  14.750   1.0423   0.22467   0.21817  -0.1317   0.1631   1.0000
  15.000   1.0520   0.22875   0.22227  -0.1327   0.1574   1.0000
  15.250   1.0727   0.23756   0.23112  -0.1317   0.1539   1.0000
  15.500   1.0634   0.23625   0.22974  -0.1371   0.1506   1.0000
  15.750   1.0700   0.23946   0.23295  -0.1391   0.1451   1.0000
  16.000   1.0995   0.25190   0.24551  -0.1359   0.1402   1.0000
  16.250   1.0888   0.24886   0.24239  -0.1417   0.1388   1.0000
  16.500   1.0907   0.25027   0.24377  -0.1454   0.1339   1.0000
  16.750   1.1029   0.25507   0.24860  -0.1458   0.1285   1.0000
  17.000   1.1146   0.26152   0.25505  -0.1465   0.1258   1.0000
  17.250   1.1135   0.26108   0.25457  -0.1514   0.1223   1.0000
  17.500   1.1216   0.26436   0.25787  -0.1533   0.1173   1.0000
  17.750   1.1414   0.27425   0.26783  -0.1513   0.1134   1.0000
  18.000   1.1432   0.27535   0.26887  -0.1552   0.1123   1.0000
  18.250   1.1443   0.27509   0.26858  -0.1599   0.1096   1.0000
  18.500   1.1515   0.27798   0.27148  -0.1624   0.1057   1.0000
  18.750   1.1617   0.28224   0.27576  -0.1636   0.1023   1.0000
  19.000   1.1812   0.29492   0.28853  -0.1615   0.0998   1.0000
  19.250   1.1795   0.29168   0.28525  -0.1670   0.0990   1.0000
  19.500   1.1832   0.29199   0.28553  -0.1713   0.0965   1.0000
  19.750   1.1906   0.29479   0.28835  -0.1740   0.0933   1.0000
  20.000   1.1994   0.29841   0.29199  -0.1757   0.0904   1.0000
   0.000   0.3196   0.02393   0.01353  -0.0808   1.0000   1.0000
  -0.250   0.2986   0.02313   0.01285  -0.0807   1.0000   1.0000
  -0.500   0.2770   0.02241   0.01226  -0.0805   1.0000   1.0000
  -0.750   0.2547   0.02175   0.01179  -0.0804   1.0000   1.0000
  -1.000   0.2316   0.02115   0.01146  -0.0803   1.0000   1.0000
  -1.250   0.2068   0.02060   0.01129  -0.0799   1.0000   1.0000
  -1.500   0.1950   0.02069   0.01163  -0.0819   1.0000   0.7338
  -1.750   0.1718   0.02244   0.01205  -0.0838   1.0000   0.4907
  -2.000   0.1425   0.02342   0.01252  -0.0835   1.0000   0.3863
  -2.250   0.1132   0.02402   0.01310  -0.0832   1.0000   0.3211
  -2.500   0.0858   0.02451   0.01352  -0.0831   1.0000   0.2807
  -2.750   0.0575   0.02537   0.01440  -0.0828   1.0000   0.2584
  -3.000   0.0283   0.02640   0.01554  -0.0822   1.0000   0.2421
  -3.250  -0.0007   0.02738   0.01682  -0.0815   1.0000   0.2250
  -3.500  -0.0302   0.02872   0.01843  -0.0807   1.0000   0.2161
