  
       XFOIL         Version 6.99
  
 Calculated polar for: A18 (smoothed)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2413   0.02162   0.01172  -0.0809   1.0000   1.0000
   0.250   0.2637   0.02227   0.01215  -0.0810   1.0000   1.0000
   0.500   0.2854   0.02298   0.01269  -0.0811   1.0000   1.0000
   0.750   0.3065   0.02376   0.01333  -0.0812   1.0000   1.0000
   1.000   0.3270   0.02460   0.01406  -0.0813   1.0000   1.0000
   1.250   0.3469   0.02551   0.01489  -0.0815   1.0000   1.0000
   1.500   0.3663   0.02649   0.01581  -0.0816   1.0000   1.0000
   1.750   0.3853   0.02754   0.01682  -0.0818   1.0000   1.0000
   2.000   0.4038   0.02866   0.01791  -0.0821   1.0000   1.0000
   2.250   0.4377   0.02986   0.01911  -0.0852   0.9933   1.0000
   2.500   0.4831   0.03102   0.02029  -0.0903   0.9785   1.0000
   2.750   0.5268   0.03212   0.02144  -0.0948   0.9637   1.0000
   3.000   0.5689   0.03316   0.02258  -0.0989   0.9488   1.0000
   3.250   0.6101   0.03414   0.02367  -0.1026   0.9336   1.0000
   3.500   0.6515   0.03504   0.02470  -0.1061   0.9180   1.0000
   3.750   0.6949   0.03580   0.02567  -0.1096   0.9019   1.0000
   4.000   0.7289   0.03650   0.02654  -0.1112   0.8825   1.0000
   4.250   0.7772   0.03657   0.02686  -0.1142   0.8607   1.0000
   4.500   0.8209   0.03633   0.02693  -0.1157   0.8359   1.0000
   4.750   0.8748   0.03530   0.02626  -0.1177   0.8115   1.0000
   5.000   0.9374   0.03317   0.02462  -0.1194   0.7874   1.0000
   5.250   0.9849   0.03117   0.02301  -0.1183   0.7590   1.0000
   5.500   1.0244   0.02906   0.02125  -0.1152   0.7225   1.0000
   5.750   1.0640   0.02614   0.01859  -0.1104   0.6704   1.0000
   6.000   1.0830   0.02473   0.01717  -0.1039   0.5954   1.0000
   6.250   1.0887   0.02460   0.01650  -0.0963   0.4652   1.0000
   6.500   1.0835   0.02722   0.01748  -0.0894   0.2978   1.0000
   6.750   1.0939   0.03089   0.02011  -0.0862   0.2076   1.0000
   7.000   1.1187   0.03398   0.02281  -0.0849   0.1637   1.0000
   7.250   1.1466   0.03682   0.02551  -0.0843   0.1386   1.0000
   7.500   1.1766   0.03996   0.02877  -0.0838   0.1247   1.0000
   7.750   1.2020   0.04306   0.03192  -0.0831   0.1134   1.0000
   8.000   1.2235   0.04649   0.03600  -0.0813   0.1086   1.0000
   8.250   1.2435   0.05014   0.04005  -0.0798   0.1047   1.0000
   8.500   1.2614   0.05433   0.04436  -0.0786   0.1003   1.0000
   8.750   1.2680   0.05822   0.04901  -0.0757   0.0986   1.0000
   9.000   1.2738   0.06279   0.05411  -0.0731   0.0986   1.0000
   9.250   1.2769   0.06771   0.05947  -0.0706   0.0994   1.0000
   9.500   1.2815   0.07311   0.06517  -0.0688   0.1005   1.0000
   9.750   1.2550   0.07757   0.07044  -0.0644   0.1040   1.0000
  10.000   1.2250   0.08299   0.07630  -0.0613   0.1070   1.0000
  10.250   1.1988   0.08797   0.08151  -0.0590   0.1091   1.0000
  10.500   1.1760   0.09324   0.08692  -0.0578   0.1111   1.0000
  10.750   1.0200   0.09083   0.08477  -0.0432   0.1114   1.0000
  11.000   0.9985   0.09721   0.09121  -0.0441   0.1131   1.0000
  11.250   0.9891   0.10330   0.09733  -0.0446   0.1143   1.0000
  11.500   0.8725   0.12480   0.11881  -0.0618   0.1396   1.0000
  11.750   0.8228   0.13787   0.13175  -0.0712   0.1744   1.0000
  12.000   0.7559   0.15095   0.14478  -0.0840   0.2915   1.0000
  12.250   0.7815   0.15753   0.15142  -0.0839   0.2827   1.0000
  12.500   0.7517   0.15691   0.15076  -0.0843   0.2779   1.0000
  12.750   0.7632   0.16133   0.15520  -0.0840   0.2674   1.0000
  13.000   0.7577   0.16311   0.15700  -0.0842   0.2573   1.0000
  13.250   0.7575   0.16652   0.16040  -0.0846   0.2524   1.0000
  13.500   0.7547   0.16870   0.16260  -0.0850   0.2438   1.0000
  13.750   0.7622   0.17319   0.16710  -0.0853   0.2391   1.0000
  14.000   0.7534   0.17432   0.16823  -0.0862   0.2309   1.0000
  14.250   0.7623   0.17882   0.17274  -0.0863   0.2247   1.0000
  14.500   0.7575   0.18031   0.17424  -0.0870   0.2156   1.0000
  14.750   0.7612   0.18398   0.17791  -0.0875   0.2098   1.0000
  15.000   0.7605   0.18613   0.18008  -0.0882   0.2014   1.0000
  15.250   0.7716   0.19141   0.18540  -0.0882   0.1970   1.0000
  15.500   0.7602   0.19177   0.18575  -0.0899   0.1912   1.0000
  15.750   0.7752   0.19708   0.19111  -0.0895   0.1847   1.0000
  16.000   0.7696   0.19906   0.19307  -0.0910   0.1819   1.0000
  16.250   0.7661   0.20075   0.19476  -0.0923   0.1756   1.0000
  16.500   0.7859   0.20800   0.20205  -0.0915   0.1694   1.0000
  16.750   0.7714   0.20715   0.20118  -0.0938   0.1660   1.0000
