  
       XFOIL         Version 6.99
  
 Calculated polar for: AG03 (flat aft bottom)                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1214   0.01496   0.00478  -0.0241   1.0000   1.0000
   0.250   0.1435   0.01519   0.00487  -0.0237   1.0000   1.0000
   0.500   0.1653   0.01547   0.00506  -0.0233   1.0000   1.0000
   0.750   0.1866   0.01581   0.00534  -0.0231   1.0000   1.0000
   1.000   0.2075   0.01623   0.00572  -0.0230   1.0000   1.0000
   1.250   0.2278   0.01675   0.00620  -0.0231   1.0000   1.0000
   1.500   0.2474   0.01737   0.00682  -0.0233   1.0000   1.0000
   1.750   0.2662   0.01812   0.00759  -0.0238   1.0000   1.0000
   2.000   0.3024   0.01906   0.00859  -0.0280   0.9905   1.0000
   2.250   0.3887   0.01983   0.00957  -0.0402   0.9521   1.0000
   2.500   0.4693   0.02002   0.01002  -0.0498   0.9115   1.0000
   2.750   0.5258   0.01992   0.01014  -0.0534   0.8694   1.0000
   3.000   0.5637   0.01983   0.01023  -0.0529   0.8265   1.0000
   3.250   0.5914   0.01982   0.01028  -0.0504   0.7833   1.0000
   3.500   0.6147   0.01992   0.01037  -0.0471   0.7396   1.0000
   3.750   0.6367   0.02013   0.01052  -0.0438   0.6954   1.0000
   4.000   0.6582   0.02046   0.01075  -0.0406   0.6503   1.0000
   4.250   0.6797   0.02095   0.01123  -0.0380   0.6032   1.0000
   4.500   0.7016   0.02150   0.01165  -0.0354   0.5576   1.0000
   4.750   0.7238   0.02216   0.01216  -0.0332   0.5127   1.0000
   5.000   0.7460   0.02298   0.01288  -0.0313   0.4670   1.0000
   5.250   0.7684   0.02389   0.01374  -0.0295   0.4234   1.0000
   5.500   0.7907   0.02492   0.01466  -0.0279   0.3812   1.0000
   5.750   0.8131   0.02610   0.01576  -0.0265   0.3411   1.0000
   6.000   0.8356   0.02743   0.01697  -0.0251   0.3045   1.0000
   6.250   0.8582   0.02904   0.01863  -0.0239   0.2714   1.0000
   6.500   0.8806   0.03066   0.02024  -0.0228   0.2418   1.0000
   6.750   0.9030   0.03276   0.02260  -0.0218   0.2178   1.0000
   7.000   0.9260   0.03488   0.02465  -0.0208   0.1979   1.0000
   7.250   0.9453   0.03736   0.02764  -0.0198   0.1788   1.0000
   7.500   0.9653   0.04071   0.03135  -0.0189   0.1675   1.0000
   7.750   0.9832   0.04381   0.03477  -0.0179   0.1549   1.0000
   8.000   1.0001   0.04686   0.03805  -0.0170   0.1429   1.0000
   8.250   1.0063   0.05239   0.04441  -0.0164   0.1394   1.0000
   8.500   1.0079   0.05839   0.05101  -0.0163   0.1378   1.0000
   8.750   1.0027   0.06488   0.05797  -0.0170   0.1377   1.0000
   9.000   0.9906   0.07194   0.06536  -0.0187   0.1393   1.0000
   9.250   0.9772   0.07892   0.07250  -0.0210   0.1414   1.0000
   9.500   0.9660   0.08561   0.07926  -0.0233   0.1429   1.0000
   9.750   0.9561   0.09204   0.08574  -0.0255   0.1445   1.0000
   9.750   0.9561   0.09204   0.08574  -0.0255   0.1445   1.0000
   9.850   0.9539   0.09451   0.08821  -0.0262   0.1442   1.0000
  10.250   0.6658   0.12180   0.11493  -0.0501   0.3250   1.0000
  10.500   0.6704   0.12637   0.11955  -0.0503   0.3192   1.0000
  10.750   0.6686   0.12977   0.12297  -0.0503   0.3096   1.0000
  11.000   0.6629   0.13328   0.12647  -0.0507   0.3036   1.0000
  11.250   0.6723   0.13762   0.13087  -0.0504   0.2923   1.0000
  11.500   0.6752   0.14108   0.13436  -0.0501   0.2788   1.0000
  11.750   0.6749   0.14398   0.13729  -0.0501   0.2676   1.0000
  12.000   0.6649   0.14635   0.13963  -0.0508   0.2626   1.0000
  12.250   0.6898   0.15318   0.14657  -0.0502   0.2525   1.0000
  12.500   0.6627   0.15213   0.14546  -0.0512   0.2488   1.0000
  12.750   0.6880   0.15944   0.15293  -0.0509   0.2387   1.0000
  13.000   0.6609   0.15749   0.15087  -0.0516   0.2358   1.0000
  13.250   0.6750   0.16268   0.15617  -0.0513   0.2246   1.0000
  13.500   0.6575   0.16190   0.15538  -0.0521   0.2189   1.0000
  13.750   0.6665   0.16621   0.15972  -0.0521   0.2101   1.0000
  14.000   0.6596   0.16720   0.16072  -0.0529   0.2033   1.0000
  14.250   0.6750   0.17335   0.16692  -0.0528   0.1974   1.0000
  14.500   0.6611   0.17273   0.16629  -0.0542   0.1929   1.0000
  14.750   0.6848   0.18087   0.17450  -0.0536   0.1844   1.0000
  15.000   0.6674   0.17911   0.17271  -0.0554   0.1821   1.0000
  15.250   0.6861   0.18607   0.17973  -0.0548   0.1708   1.0000
  15.500   0.6709   0.18455   0.17818  -0.0567   0.1687   1.0000
  15.750   0.6713   0.18664   0.18028  -0.0576   0.1615   1.0000
  16.000   0.6850   0.19306   0.18674  -0.0575   0.1571   1.0000
  16.250   0.6748   0.19251   0.18618  -0.0594   0.1540   1.0000
  16.500   0.6774   0.19519   0.18888  -0.0602   0.1482   1.0000
  16.750   0.6913   0.20189   0.19561  -0.0601   0.1438   1.0000
  17.000   0.6819   0.20121   0.19492  -0.0621   0.1409   1.0000
  17.250   0.6860   0.20411   0.19785  -0.0628   0.1339   1.0000
  17.500   0.6942   0.20927   0.20302  -0.0631   0.1301   1.0000
  17.750   0.6890   0.20968   0.20342  -0.0650   0.1267   1.0000
  18.000   0.6923   0.21258   0.20634  -0.0659   0.1219   1.0000
  18.250   0.7111   0.22170   0.21556  -0.0652   0.1176   1.0000
  18.500   0.7024   0.22054   0.21438  -0.0674   0.1166   1.0000
  18.750   0.7000   0.22168   0.21552  -0.0692   0.1135   1.0000
  19.000   0.7030   0.22454   0.21841  -0.0702   0.1094   1.0000
  19.250   0.7218   0.23419   0.22809  -0.0693   0.1045   1.0000
  19.500   0.7139   0.23290   0.22679  -0.0715   0.1037   1.0000
  19.750   0.7116   0.23386   0.22775  -0.0734   0.1007   1.0000
  20.000   0.7146   0.23673   0.23064  -0.0745   0.0963   1.0000
   0.000   0.0958   0.00297  -0.00641  -0.0208   1.0000   1.0000
  -0.250   0.0767   0.00295  -0.00630  -0.0214   1.0000   1.0000
  -0.500   0.0572   0.00296  -0.00613  -0.0221   1.0000   1.0000
