  
       XFOIL         Version 6.99
  
 Calculated polar for: AG11                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1481   0.01495   0.00555  -0.0260   1.0000   1.0000
   0.250   0.1706   0.01517   0.00552  -0.0255   1.0000   1.0000
   0.500   0.1928   0.01545   0.00563  -0.0251   1.0000   1.0000
   0.750   0.2147   0.01579   0.00585  -0.0249   1.0000   1.0000
   1.000   0.2360   0.01623   0.00618  -0.0248   1.0000   1.0000
   1.250   0.2566   0.01676   0.00664  -0.0249   1.0000   1.0000
   1.500   0.2763   0.01742   0.00726  -0.0253   1.0000   1.0000
   1.750   0.2951   0.01824   0.00806  -0.0259   1.0000   1.0000
   2.000   0.3535   0.01916   0.00902  -0.0340   0.9780   1.0000
   2.250   0.4417   0.01956   0.00957  -0.0458   0.9341   1.0000
   2.500   0.5147   0.01943   0.00967  -0.0528   0.8889   1.0000
   2.750   0.5599   0.01923   0.00955  -0.0535   0.8429   1.0000
   3.000   0.5876   0.01923   0.00955  -0.0509   0.7950   1.0000
   3.250   0.6101   0.01935   0.00959  -0.0473   0.7470   1.0000
   3.500   0.6310   0.01956   0.00966  -0.0436   0.6997   1.0000
   3.750   0.6516   0.01997   0.00998  -0.0405   0.6486   1.0000
   4.000   0.6732   0.02043   0.01022  -0.0376   0.6000   1.0000
   4.250   0.6950   0.02107   0.01068  -0.0353   0.5490   1.0000
   4.500   0.7172   0.02177   0.01114  -0.0331   0.5015   1.0000
   4.750   0.7397   0.02262   0.01178  -0.0313   0.4546   1.0000
   5.000   0.7626   0.02359   0.01265  -0.0298   0.4103   1.0000
   5.250   0.7856   0.02468   0.01355  -0.0284   0.3701   1.0000
   5.500   0.8089   0.02592   0.01469  -0.0273   0.3330   1.0000
   5.750   0.8325   0.02725   0.01582  -0.0262   0.3015   1.0000
   6.000   0.8563   0.02880   0.01746  -0.0254   0.2741   1.0000
   6.250   0.8799   0.03060   0.01946  -0.0247   0.2507   1.0000
   6.500   0.9035   0.03222   0.02096  -0.0239   0.2310   1.0000
   6.750   0.9273   0.03451   0.02348  -0.0233   0.2171   1.0000
   7.000   0.9497   0.03687   0.02619  -0.0226   0.2042   1.0000
   7.250   0.9706   0.03918   0.02881  -0.0220   0.1911   1.0000
   7.500   0.9878   0.04292   0.03321  -0.0215   0.1840   1.0000
   7.750   1.0056   0.04646   0.03713  -0.0210   0.1784   1.0000
   8.000   1.0190   0.05065   0.04176  -0.0207   0.1733   1.0000
   8.250   1.0247   0.05558   0.04730  -0.0208   0.1680   1.0000
   8.500   1.0456   0.05834   0.04998  -0.0199   0.1618   1.0000
   8.750   1.0449   0.06467   0.05686  -0.0205   0.1623   1.0000
   9.000   0.9985   0.07714   0.06999  -0.0267   0.1717   1.0000
   9.250   0.9814   0.08561   0.07857  -0.0309   0.1776   1.0000
   9.250   0.9814   0.08561   0.07857  -0.0309   0.1776   1.0000
   9.350   0.9968   0.08618   0.07917  -0.0289   0.1760   1.0000
   9.750   0.8543   0.12488   0.11734  -0.0723   0.3431   1.0000
  10.000   0.8620   0.12896   0.12146  -0.0718   0.3293   1.0000
  10.250   0.8727   0.13327   0.12583  -0.0712   0.3156   1.0000
  10.500   0.8484   0.13527   0.12772  -0.0733   0.3070   1.0000
  10.750   0.8636   0.14056   0.13309  -0.0731   0.3005   1.0000
  11.000   0.8567   0.14344   0.13595  -0.0742   0.2908   1.0000
  11.250   0.8602   0.14789   0.14042  -0.0749   0.2849   1.0000
  11.500   0.8661   0.15176   0.14433  -0.0752   0.2755   1.0000
  11.750   0.8624   0.15539   0.14794  -0.0766   0.2692   1.0000
  12.000   0.8799   0.16078   0.15345  -0.0759   0.2585   1.0000
  12.250   0.8720   0.16289   0.15553  -0.0775   0.2489   1.0000
  12.500   0.8768   0.16726   0.15992  -0.0784   0.2427   1.0000
  12.750   0.8810   0.17077   0.16347  -0.0792   0.2342   1.0000
  13.000   0.8885   0.17571   0.16844  -0.0800   0.2298   1.0000
  13.250   0.8857   0.17812   0.17084  -0.0818   0.2221   1.0000
  13.500   0.9027   0.18452   0.17732  -0.0816   0.2166   1.0000
  13.750   0.8939   0.18561   0.17837  -0.0844   0.2097   1.0000
  14.000   0.9087   0.19144   0.18426  -0.0842   0.2023   1.0000
  14.250   0.9049   0.19302   0.18583  -0.0867   0.1949   1.0000
  14.500   0.9279   0.20129   0.19423  -0.0857   0.1892   1.0000
  14.750   0.9160   0.20082   0.19367  -0.0897   0.1852   1.0000
  15.000   0.9251   0.20492   0.19785  -0.0905   0.1785   1.0000
  15.250   0.9351   0.21044   0.20340  -0.0914   0.1746   1.0000
  15.500   0.9335   0.21170   0.20464  -0.0945   0.1682   1.0000
  15.750   0.9526   0.21966   0.21269  -0.0935   0.1615   1.0000
  16.000   0.9467   0.21933   0.21231  -0.0977   0.1577   1.0000
  16.250   0.9549   0.22313   0.21614  -0.0990   0.1518   1.0000
  16.500   0.9719   0.23145   0.22454  -0.0985   0.1480   1.0000
  16.750   0.9670   0.23057   0.22360  -0.1031   0.1446   1.0000
  17.000   0.9763   0.23449   0.22757  -0.1042   0.1375   1.0000
  17.250   0.9873   0.24067   0.23377  -0.1050   0.1340   1.0000
  17.500   0.9878   0.24128   0.23436  -0.1089   0.1300   1.0000
  17.750   0.9964   0.24509   0.23821  -0.1104   0.1250   1.0000
  18.000   1.0142   0.25504   0.24826  -0.1093   0.1211   1.0000
  18.250   1.0114   0.25310   0.24626  -0.1144   0.1190   1.0000
  18.500   1.0177   0.25568   0.24886  -0.1170   0.1134   1.0000
  18.750   1.0402   0.26919   0.26247  -0.1142   0.1081   1.0000
  19.000   1.0375   0.26626   0.25948  -0.1193   0.1073   1.0000
  19.250   1.0408   0.26679   0.25999  -0.1234   0.1043   1.0000
  19.500   1.0486   0.27007   0.26329  -0.1255   0.1001   1.0000
  19.750   1.0699   0.28468   0.27800  -0.1226   0.0951   1.0000
  20.000   1.0684   0.28100   0.27425  -0.1279   0.0944   1.0000
   0.000   0.1481   0.01495   0.00555  -0.0260   1.0000   1.0000
  -0.250   0.1252   0.01477   0.00569  -0.0266   1.0000   1.0000
  -0.500   0.1015   0.01464   0.00612  -0.0275   1.0000   1.0000
  -0.750   0.0753   0.01853   0.00761  -0.0298   1.0000   0.1765
  -1.000   0.0489   0.01978   0.00875  -0.0306   1.0000   0.1417
  -1.250   0.0215   0.02102   0.01006  -0.0315   1.0000   0.1284
