  
       XFOIL         Version 6.99
  
 Calculated polar for: AG45c -03f                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0469   0.01420   0.00527  -0.0262   0.9970   1.0030
   0.250   0.0675   0.01442   0.00533  -0.0261   0.9970   1.0030
   0.500   0.0862   0.01477   0.00552  -0.0260   0.9970   1.0030
   0.750   0.1052   0.01524   0.00583  -0.0263   0.9970   1.0030
   1.000   0.1249   0.01580   0.00624  -0.0269   0.9970   1.0030
   1.250   0.1448   0.01644   0.00674  -0.0278   0.9970   1.0030
   1.500   0.2023   0.01711   0.00731  -0.0351   0.9741   1.0030
   1.750   0.2691   0.01761   0.00775  -0.0434   0.9451   1.0030
   2.000   0.3318   0.01794   0.00806  -0.0500   0.9170   1.0030
   2.250   0.3812   0.01822   0.00834  -0.0536   0.8884   1.0030
   2.500   0.4196   0.01854   0.00867  -0.0547   0.8600   1.0030
   2.750   0.4502   0.01895   0.00904  -0.0543   0.8325   1.0030
   3.000   0.4766   0.01942   0.00948  -0.0529   0.8059   1.0030
   3.250   0.5009   0.01994   0.00996  -0.0511   0.7803   1.0030
   3.500   0.5242   0.02055   0.01059  -0.0493   0.7544   1.0030
   3.750   0.5467   0.02125   0.01128  -0.0475   0.7281   1.0030
   4.000   0.5690   0.02202   0.01203  -0.0456   0.7021   1.0030
   4.250   0.5912   0.02280   0.01284  -0.0439   0.6755   1.0030
   4.500   0.6136   0.02349   0.01356  -0.0422   0.6488   1.0030
   4.750   0.6362   0.02406   0.01421  -0.0404   0.6225   1.0030
   5.000   0.6591   0.02450   0.01467  -0.0384   0.5967   1.0030
   5.250   0.6821   0.02481   0.01497  -0.0362   0.5713   1.0030
   5.500   0.7054   0.02520   0.01539  -0.0344   0.5438   1.0030
   5.750   0.7288   0.02560   0.01585  -0.0325   0.5158   1.0030
   6.000   0.7524   0.02600   0.01625  -0.0307   0.4871   1.0030
   6.250   0.7760   0.02652   0.01678  -0.0291   0.4573   1.0030
   6.500   0.7995   0.02720   0.01752  -0.0276   0.4263   1.0030
   6.750   0.8231   0.02789   0.01829  -0.0262   0.3955   1.0030
   7.000   0.8467   0.02867   0.01907  -0.0248   0.3653   1.0030
   7.250   0.8703   0.02956   0.01997  -0.0234   0.3358   1.0030
   7.500   0.8936   0.03058   0.02097  -0.0222   0.3066   1.0030
   7.750   0.9165   0.03184   0.02227  -0.0211   0.2786   1.0030
   8.000   0.9389   0.03344   0.02402  -0.0201   0.2519   1.0030
   8.250   0.9605   0.03509   0.02575  -0.0191   0.2257   1.0030
   8.500   0.9822   0.03725   0.02799  -0.0182   0.2039   1.0030
   8.750   1.0024   0.03927   0.03014  -0.0173   0.1814   1.0030
   9.000   1.0230   0.04213   0.03304  -0.0164   0.1650   1.0030
   9.250   1.0379   0.04544   0.03683  -0.0159   0.1495   1.0030
   9.500   1.0548   0.04914   0.04083  -0.0153   0.1390   1.0030
   9.750   1.0556   0.05513   0.04764  -0.0158   0.1332   1.0030
  10.000   1.0697   0.05845   0.05101  -0.0152   0.1235   1.0030
  10.250   1.0619   0.06530   0.05844  -0.0166   0.1229   1.0030
  10.500   1.0491   0.07234   0.06583  -0.0187   0.1233   1.0030
  10.750   1.0350   0.07932   0.07300  -0.0213   0.1241   1.0030
  10.750   1.0350   0.07932   0.07299  -0.0213   0.1241   1.0030
  10.850   1.0300   0.08207   0.07579  -0.0224   0.1245   1.0030
  10.950   1.0248   0.08485   0.07861  -0.0235   0.1247   1.0030
  11.500   0.6714   0.12956   0.12272  -0.0581   0.3289   1.0030
  11.600   0.6684   0.13052   0.12369  -0.0581   0.3232   1.0030
  11.700   0.6788   0.13278   0.12599  -0.0578   0.3162   1.0030
  12.000   0.6911   0.13838   0.13167  -0.0577   0.3034   1.0030
  12.250   0.6699   0.13964   0.13288  -0.0586   0.2973   1.0030
  12.500   0.6851   0.14501   0.13833  -0.0585   0.2889   1.0030
  12.750   0.6728   0.14636   0.13967  -0.0590   0.2800   1.0030
  13.000   0.6715   0.14930   0.14263  -0.0593   0.2707   1.0030
  13.250   0.6802   0.15349   0.14687  -0.0592   0.2602   1.0030
  13.500   0.6716   0.15471   0.14811  -0.0594   0.2522   1.0030
  13.750   0.6801   0.15934   0.15279  -0.0596   0.2467   1.0030
  14.000   0.6699   0.16005   0.15350  -0.0602   0.2390   1.0030
  14.250   0.6759   0.16396   0.15745  -0.0605   0.2320   1.0030
  14.500   0.6914   0.16948   0.16306  -0.0603   0.2198   1.0030
  14.750   0.6730   0.16843   0.16199  -0.0617   0.2157   1.0030
  15.000   0.6853   0.17311   0.16673  -0.0617   0.2076   1.0030
  15.250   0.6809   0.17526   0.16887  -0.0629   0.2045   1.0030
  15.500   0.6785   0.17694   0.17057  -0.0638   0.1972   1.0030
  15.750   0.6876   0.18163   0.17529  -0.0641   0.1914   1.0030
  16.000   0.6828   0.18264   0.17631  -0.0654   0.1835   1.0030
  16.250   0.6959   0.18843   0.18213  -0.0654   0.1782   1.0030
  16.500   0.6867   0.18851   0.18221  -0.0672   0.1739   1.0030
  16.750   0.6935   0.19212   0.18586  -0.0677   0.1677   1.0030
  17.000   0.7010   0.19697   0.19072  -0.0683   0.1644   1.0030
  17.250   0.6943   0.19740   0.19115  -0.0701   0.1598   1.0030
  17.500   0.7161   0.20582   0.19963  -0.0693   0.1515   1.0030
  17.750   0.7043   0.20456   0.19834  -0.0716   0.1499   1.0030
  18.000   0.7031   0.20631   0.20011  -0.0731   0.1444   1.0030
  18.250   0.7138   0.21124   0.20508  -0.0732   0.1394   1.0030
  18.500   0.7181   0.21546   0.20934  -0.0742   0.1375   1.0030
  18.750   0.7127   0.21592   0.20981  -0.0763   0.1344   1.0030
  19.000   0.7159   0.21882   0.21273  -0.0774   0.1295   1.0030
  19.250   0.7349   0.22772   0.22167  -0.0766   0.1247   1.0030
  19.500   0.7255   0.22645   0.22039  -0.0791   0.1233   1.0030
  19.750   0.7247   0.22820   0.22215  -0.0808   0.1190   1.0030
  20.000   0.7307   0.23186   0.22584  -0.0815   0.1141   1.0030
   0.000   0.0469   0.01420   0.00527  -0.0262   0.9970   1.0030
  -0.250   0.0243   0.01408   0.00538  -0.0264   0.9970   1.0030
  -0.500   0.0002   0.01403   0.00558  -0.0266   0.9970   1.0030
  -0.750  -0.0249   0.01402   0.00590  -0.0267   0.9970   1.0030
  -1.000  -0.0507   0.01405   0.00637  -0.0269   0.9970   1.0030
  -1.250  -0.0784   0.01410   0.00724  -0.0268   0.9970   1.0030
  -1.500  -0.1069   0.01914   0.00902  -0.0308   0.9970   0.2538
  -1.750  -0.1345   0.02118   0.01076  -0.0317   0.9970   0.1814
  -2.000  -0.1621   0.02295   0.01249  -0.0324   0.9970   0.1483
  -2.250  -0.1907   0.02500   0.01470  -0.0330   0.9970   0.1332
  -2.500  -0.2197   0.02722   0.01732  -0.0333   0.9970   0.1220
  -2.750  -0.2495   0.02999   0.02053  -0.0334   0.9970   0.1201
  -3.000  -0.2786   0.03302   0.02399  -0.0333   0.9970   0.1187
  -3.250  -0.3047   0.03645   0.02758  -0.0330   0.9970   0.1159
  -3.500  -0.3373   0.04108   0.03315  -0.0311   0.9970   0.1280
  -3.500  -0.3373   0.04108   0.03315  -0.0311   0.9970   0.1280
  -4.000  -0.4617   0.06528   0.05970   0.0228   0.9970   0.4308
  -4.250  -0.4696   0.06813   0.06247   0.0207   0.9970   0.3905
  -4.500  -0.4810   0.07148   0.06576   0.0185   0.9970   0.3607
