  
       XFOIL         Version 6.99
  
 Calculated polar for: AH21 9% version (Andrew Hollom)                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0236   0.01712   0.00620  -0.0207   1.0000   1.0000
   0.250   0.0457   0.01730   0.00624  -0.0201   1.0000   1.0000
   0.500   0.0676   0.01751   0.00636  -0.0195   1.0000   1.0000
   0.750   0.0895   0.01775   0.00652  -0.0189   1.0000   1.0000
   1.000   0.1112   0.01801   0.00673  -0.0183   1.0000   1.0000
   1.250   0.1326   0.01831   0.00699  -0.0178   1.0000   1.0000
   1.500   0.1538   0.01863   0.00730  -0.0172   1.0000   1.0000
   1.750   0.1748   0.01899   0.00766  -0.0167   1.0000   1.0000
   2.000   0.1954   0.01938   0.00809  -0.0162   1.0000   1.0000
   2.250   0.2158   0.01981   0.00857  -0.0156   1.0000   1.0000
   2.500   0.2356   0.02030   0.00914  -0.0152   1.0000   1.0000
   2.750   0.2550   0.02083   0.00975  -0.0147   1.0000   1.0000
   3.000   0.2740   0.02142   0.01044  -0.0143   1.0000   1.0000
   3.250   0.2923   0.02208   0.01123  -0.0140   1.0000   1.0000
   3.500   0.3098   0.02283   0.01211  -0.0136   1.0000   1.0000
   3.750   0.3266   0.02367   0.01315  -0.0134   1.0000   1.0000
   4.000   0.3423   0.02463   0.01428  -0.0133   1.0000   1.0000
   4.250   0.4239   0.02647   0.01666  -0.0254   0.9627   1.0000
   4.500   0.5575   0.02542   0.01671  -0.0410   0.8828   1.0000
   4.750   0.6871   0.02007   0.01062  -0.0410   0.4252   1.0000
   5.000   0.7028   0.02377   0.01263  -0.0384   0.2563   1.0000
   5.250   0.7362   0.02631   0.01477  -0.0388   0.1951   1.0000
   5.500   0.7704   0.02881   0.01713  -0.0392   0.1650   1.0000
   5.750   0.8006   0.03140   0.01982  -0.0390   0.1471   1.0000
   6.000   0.8292   0.03417   0.02291  -0.0385   0.1371   1.0000
   6.250   0.8513   0.03680   0.02605  -0.0370   0.1275   1.0000
   6.500   0.8753   0.04029   0.02961  -0.0364   0.1217   1.0000
   6.750   0.8940   0.04386   0.03379  -0.0344   0.1210   1.0000
   7.000   0.9104   0.04791   0.03835  -0.0326   0.1215   1.0000
   7.250   0.9219   0.05192   0.04291  -0.0304   0.1213   1.0000
   7.500   0.9292   0.05599   0.04753  -0.0281   0.1210   1.0000
   7.750   0.9250   0.06089   0.05328  -0.0254   0.1278   1.0000
   8.000   0.9303   0.06638   0.05903  -0.0242   0.1338   1.0000
   8.250   0.9161   0.07300   0.06623  -0.0236   0.1524   1.0000
   8.500   0.8011   0.07265   0.06657  -0.0189   0.1731   1.0000
