  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 79-K-135/20 B                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1648   0.03211   0.02252  -0.0045   1.0000   1.0000
   0.250  -0.1529   0.03245   0.02266  -0.0032   1.0000   1.0000
   0.500  -0.1399   0.03287   0.02288  -0.0022   1.0000   1.0000
   0.750  -0.1261   0.03336   0.02317  -0.0013   1.0000   1.0000
   1.000  -0.1117   0.03392   0.02356  -0.0006   1.0000   1.0000
   1.250  -0.0968   0.03453   0.02402  -0.0001   1.0000   1.0000
   1.500  -0.0816   0.03521   0.02456   0.0004   1.0000   1.0000
   1.750  -0.0661   0.03594   0.02516   0.0007   1.0000   1.0000
   2.000  -0.0505   0.03673   0.02581   0.0010   1.0000   1.0000
   2.250  -0.0348   0.03757   0.02655   0.0012   1.0000   1.0000
   2.500  -0.0191   0.03846   0.02734   0.0014   1.0000   1.0000
   2.750  -0.0033   0.03941   0.02820   0.0015   1.0000   1.0000
   3.000   0.0124   0.04040   0.02911   0.0015   1.0000   1.0000
   3.250   0.0280   0.04145   0.03009   0.0015   1.0000   1.0000
   3.500   0.0435   0.04254   0.03114   0.0014   1.0000   1.0000
   3.750   0.0589   0.04369   0.03224   0.0013   1.0000   1.0000
   4.000   0.0742   0.04490   0.03342   0.0011   1.0000   1.0000
   4.250   0.1085   0.04737   0.03586  -0.0029   0.9903   1.0000
   4.500   0.1531   0.05068   0.03914  -0.0088   0.9726   1.0000
   4.750   0.1924   0.05320   0.04169  -0.0135   0.9488   1.0000
   5.000   0.2249   0.05538   0.04390  -0.0167   0.9251   1.0000
   5.000   0.2249   0.05538   0.04390  -0.0167   0.9251   1.0000
   5.100   0.2456   0.05695   0.04548  -0.0192   0.9172   1.0000
   5.200   0.2526   0.05723   0.04578  -0.0193   0.9060   1.0000
   5.500   0.2876   0.05974   0.04834  -0.0219   0.8785   1.0000
   5.750   0.3250   0.06248   0.05115  -0.0252   0.8575   1.0000
   6.000   0.3420   0.06396   0.05269  -0.0253   0.8373   1.0000
   6.250   0.3750   0.06636   0.05516  -0.0276   0.8155   1.0000
   6.500   0.4366   0.06664   0.05557  -0.0294   0.7408   1.0000
   6.750   0.4709   0.06738   0.05641  -0.0300   0.7118   1.0000
   7.000   0.5003   0.06841   0.05756  -0.0307   0.6919   1.0000
   7.250   0.5324   0.06945   0.05876  -0.0314   0.6735   1.0000
   7.500   0.5476   0.07066   0.06008  -0.0310   0.6574   1.0000
   7.750   0.5663   0.07191   0.06145  -0.0308   0.6413   1.0000
   8.000   0.5881   0.07309   0.06278  -0.0308   0.6250   1.0000
   8.250   0.6151   0.07405   0.06393  -0.0310   0.6082   1.0000
   8.500   0.6429   0.07501   0.06508  -0.0312   0.5922   1.0000
   8.750   0.6784   0.07545   0.06576  -0.0315   0.5759   1.0000
   9.000   0.6888   0.07696   0.06744  -0.0307   0.5590   1.0000
   9.250   0.7019   0.07845   0.06909  -0.0300   0.5422   1.0000
   9.500   0.7187   0.07973   0.07055  -0.0294   0.5253   1.0000
   9.750   0.7416   0.08050   0.07155  -0.0288   0.5077   1.0000
  10.000   0.7756   0.08022   0.07160  -0.0280   0.4901   1.0000
  10.250   0.8041   0.08008   0.07175  -0.0268   0.4717   1.0000
  10.500   0.8063   0.08252   0.07434  -0.0259   0.4534   1.0000
  10.750   0.8764   0.07532   0.06778  -0.0218   0.4243   1.0000
  11.000   1.0146   0.04538   0.03744  -0.0033   0.2445   1.0000
  11.250   0.9924   0.04929   0.04050  -0.0001   0.1858   1.0000
  11.500   0.9808   0.05301   0.04362   0.0022   0.1455   1.0000
  11.750   0.9857   0.05573   0.04605   0.0041   0.1195   1.0000
  12.000   1.0343   0.05675   0.04687   0.0057   0.0976   1.0000
  12.250   1.0906   0.05880   0.04901   0.0058   0.0856   1.0000
  12.500   1.1191   0.06175   0.05228   0.0062   0.0806   1.0000
  12.750   1.1519   0.06564   0.05646   0.0062   0.0779   1.0000
  13.000   1.1691   0.07022   0.06135   0.0066   0.0770   1.0000
  13.250   1.1632   0.07417   0.06565   0.0080   0.0771   1.0000
  13.500   1.1475   0.07809   0.06994   0.0094   0.0774   1.0000
  13.750   1.1232   0.08229   0.07449   0.0105   0.0782   1.0000
  14.000   1.0863   0.08743   0.08001   0.0106   0.0793   1.0000
  14.250   1.0501   0.09361   0.08649   0.0094   0.0805   1.0000
  14.500   1.0125   0.10089   0.09398   0.0068   0.0818   1.0000
  14.750   0.9755   0.10934   0.10261   0.0027   0.0835   1.0000
  15.000   0.9436   0.11861   0.11198  -0.0023   0.0854   1.0000
  15.250   0.9207   0.12778   0.12118  -0.0072   0.0871   1.0000
  15.500   0.9089   0.13582   0.12923  -0.0110   0.0883   1.0000
  15.500   0.8932   0.13922   0.13264  -0.0140   0.0897   1.0000
  15.600   0.9058   0.13891   0.13235  -0.0124   0.0889   1.0000
  16.000   0.8332   0.17006   0.16315  -0.0326   0.1124   1.0000
  16.250   0.8433   0.17514   0.16831  -0.0337   0.1151   1.0000
  16.500   0.5990   0.17491   0.16876  -0.0373   0.2239   1.0000
  16.750   0.5942   0.17685   0.17071  -0.0392   0.2179   1.0000
  17.000   0.6085   0.18152   0.17546  -0.0397   0.2123   1.0000
  17.250   0.6122   0.18548   0.17943  -0.0412   0.2104   1.0000
  17.500   0.6040   0.18661   0.18057  -0.0435   0.2056   1.0000
  17.750   0.6114   0.19009   0.18408  -0.0446   0.1999   1.0000
  18.000   0.6233   0.19527   0.18929  -0.0454   0.1963   1.0000
  18.250   0.6152   0.19611   0.19013  -0.0478   0.1909   1.0000
  18.500   0.6300   0.20089   0.19497  -0.0481   0.1839   1.0000
