  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 82-150 A                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1679   0.03934   0.03009  -0.0096   1.0000   1.0000
   0.250  -0.1633   0.03927   0.02989  -0.0075   1.0000   1.0000
   0.500  -0.1585   0.03921   0.02971  -0.0054   1.0000   1.0000
   0.750  -0.1535   0.03916   0.02953  -0.0034   1.0000   1.0000
   1.000  -0.1478   0.03915   0.02941  -0.0015   1.0000   1.0000
   1.250  -0.1403   0.03924   0.02939   0.0000   1.0000   1.0000
   1.500  -0.1302   0.03949   0.02954   0.0010   1.0000   1.0000
   1.750  -0.1177   0.03991   0.02984   0.0015   1.0000   1.0000
   2.000  -0.1033   0.04046   0.03027   0.0016   1.0000   1.0000
   2.250  -0.0874   0.04115   0.03086   0.0013   1.0000   1.0000
   2.500  -0.0705   0.04196   0.03157   0.0009   1.0000   1.0000
   2.750  -0.0529   0.04286   0.03240   0.0002   1.0000   1.0000
   3.000  -0.0349   0.04386   0.03331  -0.0006   1.0000   1.0000
   3.250  -0.0163   0.04495   0.03434  -0.0015   0.9998   1.0000
   3.500   0.0204   0.04737   0.03667  -0.0060   0.9908   1.0000
   3.750   0.0558   0.04975   0.03898  -0.0102   0.9792   1.0000
   4.000   0.0888   0.05198   0.04116  -0.0139   0.9668   1.0000
   4.250   0.1211   0.05425   0.04339  -0.0174   0.9542   1.0000
   4.500   0.1534   0.05660   0.04572  -0.0209   0.9412   1.0000
   4.750   0.1872   0.05916   0.04826  -0.0245   0.9281   1.0000
   5.000   0.2175   0.06138   0.05049  -0.0275   0.9139   1.0000
   5.250   0.2407   0.06296   0.05208  -0.0292   0.8998   1.0000
   5.500   0.2640   0.06467   0.05383  -0.0309   0.8857   1.0000
   5.750   0.2849   0.06631   0.05550  -0.0322   0.8723   1.0000
   5.750   0.2849   0.06631   0.05550  -0.0322   0.8722   1.0000
   5.850   0.3013   0.06793   0.05712  -0.0341   0.8691   1.0000
   5.950   0.2985   0.06756   0.05678  -0.0328   0.8620   1.0000
   6.250   0.3260   0.06995   0.05923  -0.0348   0.8465   1.0000
   6.500   0.3480   0.07207   0.06142  -0.0364   0.8347   1.0000
   6.750   0.3755   0.07467   0.06408  -0.0387   0.8232   1.0000
   7.000   0.4063   0.07747   0.06696  -0.0414   0.8101   1.0000
   7.250   0.4191   0.07882   0.06839  -0.0416   0.7968   1.0000
   7.500   0.4319   0.08049   0.07015  -0.0420   0.7844   1.0000
   7.750   0.4477   0.08254   0.07230  -0.0428   0.7726   1.0000
   8.000   0.4687   0.08509   0.07494  -0.0443   0.7623   1.0000
   8.250   0.4952   0.08791   0.07787  -0.0464   0.7499   1.0000
   8.500   0.5206   0.09059   0.08070  -0.0481   0.7360   1.0000
   8.750   0.5294   0.09220   0.08242  -0.0481   0.7229   1.0000
   9.000   0.5368   0.09412   0.08445  -0.0482   0.7114   1.0000
   9.250   0.5506   0.09651   0.08696  -0.0489   0.6994   1.0000
   9.500   0.5670   0.09913   0.08971  -0.0500   0.6875   1.0000
   9.750   0.6475   0.09604   0.08692  -0.0496   0.5999   1.0000
  10.000   0.6877   0.09660   0.08771  -0.0503   0.5751   1.0000
  10.250   0.7003   0.09844   0.08974  -0.0502   0.5585   1.0000
  10.500   0.7173   0.10010   0.09158  -0.0503   0.5408   1.0000
  10.750   0.7662   0.09983   0.09164  -0.0507   0.5182   1.0000
  11.000   0.7705   0.10193   0.09389  -0.0502   0.4998   1.0000
  11.250   0.8288   0.09949   0.09191  -0.0492   0.4752   1.0000
  11.500   0.8253   0.10227   0.09483  -0.0486   0.4553   1.0000
  11.750   1.0089   0.05891   0.05039  -0.0214   0.1633   1.0000
  12.000   0.9994   0.06290   0.05386  -0.0199   0.1344   1.0000
  12.250   1.0039   0.06557   0.05622  -0.0184   0.1156   1.0000
  12.500   1.0347   0.06616   0.05670  -0.0162   0.1000   1.0000
  12.750   1.1011   0.06567   0.05623  -0.0148   0.0848   1.0000
  13.000   1.2023   0.06800   0.05872  -0.0162   0.0779   1.0000
  13.250   1.2156   0.07182   0.06299  -0.0155   0.0771   1.0000
  13.500   1.2160   0.07579   0.06737  -0.0144   0.0766   1.0000
  13.750   1.2100   0.07992   0.07186  -0.0135   0.0764   1.0000
  14.000   1.1984   0.08433   0.07660  -0.0127   0.0763   1.0000
  14.250   1.1837   0.08903   0.08161  -0.0123   0.0765   1.0000
  14.500   1.1659   0.09406   0.08692  -0.0124   0.0768   1.0000
  14.750   1.1470   0.09947   0.09258  -0.0130   0.0773   1.0000
  15.000   1.1281   0.10525   0.09857  -0.0142   0.0778   1.0000
  15.250   1.1088   0.11138   0.10489  -0.0160   0.0784   1.0000
  15.500   1.0924   0.11784   0.11150  -0.0182   0.0789   1.0000
  15.750   0.9749   0.13881   0.13288  -0.0339   0.0875   1.0000
  16.000   0.9564   0.14890   0.14297  -0.0397   0.0900   1.0000
  16.250   0.9581   0.15517   0.14923  -0.0420   0.0915   1.0000
   0.000  -0.1679   0.03934   0.03009  -0.0096   1.0000   1.0000
   0.250  -0.1633   0.03927   0.02989  -0.0075   1.0000   1.0000
   0.500  -0.1585   0.03921   0.02971  -0.0054   1.0000   1.0000
   0.750  -0.1535   0.03916   0.02953  -0.0034   1.0000   1.0000
   1.000  -0.1478   0.03915   0.02941  -0.0015   1.0000   1.0000
   1.250  -0.1403   0.03924   0.02939   0.0000   1.0000   1.0000
   1.500  -0.1302   0.03949   0.02954   0.0010   1.0000   1.0000
   1.750  -0.1177   0.03991   0.02984   0.0015   1.0000   1.0000
   2.000  -0.1033   0.04046   0.03027   0.0016   1.0000   1.0000
   2.250  -0.0874   0.04115   0.03086   0.0013   1.0000   1.0000
   2.500  -0.0705   0.04196   0.03157   0.0009   1.0000   1.0000
   2.750  -0.0529   0.04286   0.03240   0.0002   1.0000   1.0000
   3.000  -0.0349   0.04386   0.03331  -0.0006   1.0000   1.0000
   3.250  -0.0163   0.04495   0.03434  -0.0015   0.9998   1.0000
   3.500   0.0204   0.04737   0.03667  -0.0060   0.9908   1.0000
   3.750   0.0558   0.04975   0.03898  -0.0102   0.9792   1.0000
   4.000   0.0888   0.05198   0.04116  -0.0139   0.9668   1.0000
   4.250   0.1211   0.05425   0.04339  -0.0174   0.9542   1.0000
   4.500   0.1534   0.05660   0.04572  -0.0209   0.9412   1.0000
   4.750   0.1872   0.05916   0.04826  -0.0245   0.9281   1.0000
   5.000   0.2175   0.06138   0.05049  -0.0275   0.9139   1.0000
   5.250   0.2407   0.06296   0.05208  -0.0292   0.8998   1.0000
   5.500   0.2640   0.06467   0.05383  -0.0309   0.8857   1.0000
   5.750   0.2849   0.06631   0.05550  -0.0322   0.8723   1.0000
   5.750   0.2849   0.06631   0.05550  -0.0322   0.8722   1.0000
   5.850   0.3013   0.06793   0.05712  -0.0341   0.8691   1.0000
   5.950   0.2985   0.06756   0.05678  -0.0328   0.8620   1.0000
   6.250   0.3260   0.06995   0.05923  -0.0348   0.8465   1.0000
   6.500   0.3480   0.07207   0.06142  -0.0364   0.8347   1.0000
   6.750   0.3755   0.07467   0.06408  -0.0387   0.8232   1.0000
   7.000   0.4063   0.07747   0.06696  -0.0414   0.8101   1.0000
   7.250   0.4191   0.07882   0.06839  -0.0416   0.7968   1.0000
   7.500   0.4319   0.08049   0.07015  -0.0420   0.7844   1.0000
   7.750   0.4477   0.08254   0.07230  -0.0428   0.7726   1.0000
   8.000   0.4687   0.08509   0.07494  -0.0443   0.7623   1.0000
   8.250   0.4952   0.08791   0.07787  -0.0464   0.7499   1.0000
   8.500   0.5206   0.09059   0.08070  -0.0481   0.7360   1.0000
   8.750   0.5294   0.09220   0.08242  -0.0481   0.7229   1.0000
   9.000   0.5368   0.09412   0.08445  -0.0482   0.7114   1.0000
   9.250   0.5506   0.09651   0.08696  -0.0489   0.6994   1.0000
   9.500   0.5670   0.09913   0.08971  -0.0500   0.6875   1.0000
   9.750   0.6475   0.09604   0.08692  -0.0496   0.5999   1.0000
  10.000   0.6877   0.09660   0.08771  -0.0503   0.5751   1.0000
  10.250   0.7003   0.09844   0.08974  -0.0502   0.5585   1.0000
  10.500   0.7173   0.10010   0.09158  -0.0503   0.5408   1.0000
  10.750   0.7662   0.09983   0.09164  -0.0507   0.5182   1.0000
  11.000   0.7705   0.10193   0.09389  -0.0502   0.4998   1.0000
  11.250   0.8288   0.09949   0.09191  -0.0492   0.4752   1.0000
  11.500   0.8253   0.10227   0.09483  -0.0486   0.4553   1.0000
  11.750   1.0089   0.05891   0.05039  -0.0214   0.1633   1.0000
  12.000   0.9994   0.06290   0.05386  -0.0199   0.1344   1.0000
  12.250   1.0039   0.06557   0.05622  -0.0184   0.1156   1.0000
  12.500   1.0347   0.06616   0.05670  -0.0162   0.1000   1.0000
  12.750   1.1011   0.06567   0.05623  -0.0148   0.0848   1.0000
  13.000   1.2023   0.06800   0.05872  -0.0162   0.0779   1.0000
  13.250   1.2156   0.07182   0.06299  -0.0155   0.0771   1.0000
  13.500   1.2160   0.07579   0.06737  -0.0144   0.0766   1.0000
  13.750   1.2100   0.07992   0.07186  -0.0135   0.0764   1.0000
  14.000   1.1984   0.08433   0.07660  -0.0127   0.0763   1.0000
  14.250   1.1837   0.08903   0.08161  -0.0123   0.0765   1.0000
  14.500   1.1659   0.09406   0.08692  -0.0124   0.0768   1.0000
  14.750   1.1470   0.09947   0.09258  -0.0130   0.0773   1.0000
  15.000   1.1281   0.10525   0.09857  -0.0142   0.0778   1.0000
  15.250   1.1088   0.11138   0.10489  -0.0160   0.0784   1.0000
  15.500   1.0924   0.11784   0.11150  -0.0182   0.0789   1.0000
  15.750   0.9749   0.13881   0.13288  -0.0339   0.0875   1.0000
  16.000   0.9564   0.14890   0.14297  -0.0397   0.0900   1.0000
  16.250   0.9581   0.15517   0.14923  -0.0420   0.0915   1.0000
   0.000  -0.1679   0.03934   0.03009  -0.0096   1.0000   1.0000
   0.250  -0.1633   0.03927   0.02989  -0.0075   1.0000   1.0000
   0.500  -0.1585   0.03921   0.02971  -0.0054   1.0000   1.0000
   0.750  -0.1535   0.03916   0.02953  -0.0034   1.0000   1.0000
   1.000  -0.1478   0.03915   0.02941  -0.0015   1.0000   1.0000
   1.250  -0.1403   0.03924   0.02939   0.0000   1.0000   1.0000
   1.500  -0.1302   0.03949   0.02954   0.0010   1.0000   1.0000
   1.750  -0.1177   0.03991   0.02984   0.0015   1.0000   1.0000
   2.000  -0.1033   0.04046   0.03027   0.0016   1.0000   1.0000
   2.250  -0.0874   0.04115   0.03086   0.0013   1.0000   1.0000
   2.500  -0.0705   0.04196   0.03157   0.0009   1.0000   1.0000
   2.750  -0.0529   0.04286   0.03240   0.0002   1.0000   1.0000
   3.000  -0.0349   0.04386   0.03331  -0.0006   1.0000   1.0000
   3.250  -0.0163   0.04495   0.03434  -0.0015   0.9998   1.0000
   3.500   0.0204   0.04737   0.03667  -0.0060   0.9908   1.0000
   3.750   0.0558   0.04975   0.03898  -0.0102   0.9792   1.0000
   4.000   0.0888   0.05198   0.04116  -0.0139   0.9668   1.0000
   4.250   0.1211   0.05425   0.04339  -0.0174   0.9542   1.0000
   4.500   0.1534   0.05660   0.04572  -0.0209   0.9412   1.0000
   4.750   0.1872   0.05916   0.04826  -0.0245   0.9281   1.0000
   5.000   0.2175   0.06138   0.05049  -0.0275   0.9139   1.0000
   5.250   0.2407   0.06296   0.05208  -0.0292   0.8998   1.0000
   5.500   0.2640   0.06467   0.05383  -0.0309   0.8857   1.0000
   5.750   0.2849   0.06631   0.05550  -0.0322   0.8723   1.0000
   5.750   0.2849   0.06631   0.05550  -0.0322   0.8722   1.0000
   5.850   0.3013   0.06793   0.05712  -0.0341   0.8691   1.0000
   5.950   0.2985   0.06756   0.05678  -0.0328   0.8620   1.0000
   6.250   0.3260   0.06995   0.05923  -0.0348   0.8465   1.0000
   6.500   0.3480   0.07207   0.06142  -0.0364   0.8347   1.0000
   6.750   0.3755   0.07467   0.06408  -0.0387   0.8232   1.0000
   7.000   0.4063   0.07747   0.06696  -0.0414   0.8101   1.0000
   7.250   0.4191   0.07882   0.06839  -0.0416   0.7968   1.0000
   7.500   0.4319   0.08049   0.07015  -0.0420   0.7844   1.0000
   7.750   0.4477   0.08254   0.07230  -0.0428   0.7726   1.0000
   8.000   0.4687   0.08509   0.07494  -0.0443   0.7623   1.0000
   8.250   0.4952   0.08791   0.07787  -0.0464   0.7499   1.0000
   8.500   0.5206   0.09059   0.08070  -0.0481   0.7360   1.0000
   8.750   0.5294   0.09220   0.08242  -0.0481   0.7229   1.0000
