  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 85-L-120/17                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.02862   0.01717   0.0000   1.0000   1.0000
   0.250   0.0062   0.02863   0.01717   0.0025   1.0000   1.0000
   0.500   0.0124   0.02866   0.01722   0.0051   1.0000   1.0000
   0.750   0.0184   0.02871   0.01728   0.0076   1.0000   1.0000
   1.000   0.0244   0.02878   0.01737   0.0101   1.0000   1.0000
   1.250   0.0303   0.02887   0.01749   0.0127   1.0000   1.0000
   1.500   0.0360   0.02897   0.01764   0.0152   1.0000   1.0000
   1.750   0.0414   0.02910   0.01780   0.0178   1.0000   1.0000
   2.000   0.0467   0.02924   0.01802   0.0203   1.0000   1.0000
   2.250   0.0517   0.02941   0.01823   0.0229   1.0000   1.0000
   2.500   0.0563   0.02959   0.01847   0.0254   1.0000   1.0000
   2.750   0.0607   0.02978   0.01872   0.0280   1.0000   1.0000
   3.000   0.0647   0.03000   0.01900   0.0306   1.0000   1.0000
   3.250   0.0684   0.03023   0.01930   0.0331   1.0000   1.0000
   3.500   0.0722   0.03050   0.01964   0.0356   1.0000   1.0000
   3.750   0.0760   0.03080   0.02003   0.0379   1.0000   1.0000
   4.000   0.0805   0.03117   0.02048   0.0401   1.0000   1.0000
   4.250   0.0899   0.03173   0.02117   0.0411   0.9988   1.0000
   4.500   0.1795   0.03452   0.02444   0.0268   0.9658   1.0000
   4.750   0.2544   0.03643   0.02687   0.0164   0.9289   1.0000
   5.000   0.3373   0.03784   0.02889   0.0062   0.8855   1.0000
   5.250   0.6288   0.02931   0.01829  -0.0070   0.1588   1.0000
   5.500   0.6721   0.03138   0.02020  -0.0082   0.1301   1.0000
   5.750   0.7099   0.03337   0.02223  -0.0090   0.1174   1.0000
   6.000   0.7413   0.03593   0.02476  -0.0091   0.1081   1.0000
   6.250   0.7645   0.03825   0.02756  -0.0074   0.1061   1.0000
   6.500   0.7832   0.04080   0.03060  -0.0053   0.1052   1.0000
   6.750   0.7958   0.04337   0.03363  -0.0024   0.1035   1.0000
   7.000   0.8051   0.04587   0.03654   0.0006   0.1027   1.0000
   7.250   0.8104   0.04855   0.03962   0.0041   0.1025   1.0000
   7.500   0.8121   0.05146   0.04292   0.0079   0.1038   1.0000
