  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 93-W-174                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.3307   0.04430   0.03734  -0.0061   1.0000   0.9388
   0.250  -0.2537   0.04696   0.03964  -0.0190   0.9916   1.0000
   0.500  -0.2227   0.04821   0.04055  -0.0233   0.9793   1.0000
   0.750  -0.1892   0.04986   0.04187  -0.0275   0.9678   1.0000
   1.000  -0.1531   0.05190   0.04361  -0.0318   0.9567   1.0000
   1.250  -0.1242   0.05317   0.04463  -0.0345   0.9435   1.0000
   1.500  -0.0970   0.05449   0.04573  -0.0368   0.9304   1.0000
   1.750  -0.0694   0.05612   0.04715  -0.0390   0.9189   1.0000
   1.750  -0.0694   0.05612   0.04715  -0.0390   0.9189   1.0000
   1.850  -0.0567   0.05681   0.04776  -0.0401   0.9135   1.0000
   1.950  -0.0408   0.05799   0.04883  -0.0418   0.9102   1.0000
   2.250  -0.0131   0.05949   0.05014  -0.0433   0.8955   1.0000
   2.500   0.0107   0.06108   0.05157  -0.0446   0.8850   1.0000
   3.000   0.0608   0.06435   0.05455  -0.0475   0.8618   1.0000
   2.750   0.0457   0.06364   0.05395  -0.0477   0.8747   1.0000
   2.850   0.0536   0.06435   0.05460  -0.0480   0.8719   1.0000
   2.950   0.0547   0.06395   0.05418  -0.0470   0.8640   1.0000
   3.250   0.1001   0.06796   0.05798  -0.0512   0.8557   1.0000
   3.500   0.1109   0.06803   0.05799  -0.0503   0.8416   1.0000
   3.750   0.1276   0.06935   0.05922  -0.0504   0.8309   1.0000
   4.000   0.1606   0.07204   0.06179  -0.0529   0.8223   1.0000
   4.250   0.1704   0.07274   0.06243  -0.0520   0.8108   1.0000
   4.500   0.2072   0.07613   0.06571  -0.0551   0.8038   1.0000
   4.750   0.2131   0.07637   0.06592  -0.0537   0.7911   1.0000
   5.000   0.2518   0.08035   0.06981  -0.0569   0.7856   1.0000
   5.250   0.2534   0.08010   0.06954  -0.0550   0.7726   1.0000
   5.500   0.2819   0.08325   0.07263  -0.0569   0.7668   1.0000
   5.750   0.2923   0.08394   0.07331  -0.0562   0.7541   1.0000
   6.000   0.3113   0.08631   0.07565  -0.0569   0.7475   1.0000
   6.250   0.3287   0.08783   0.07716  -0.0572   0.7361   1.0000
   6.500   0.3434   0.08990   0.07921  -0.0574   0.7286   1.0000
   6.750   0.3634   0.09182   0.08113  -0.0580   0.7181   1.0000
   7.000   0.3776   0.09401   0.08331  -0.0583   0.7110   1.0000
   7.250   0.3968   0.09595   0.08526  -0.0588   0.7002   1.0000
   7.500   0.4100   0.09821   0.08753  -0.0591   0.6933   1.0000
   7.750   0.4275   0.10012   0.08946  -0.0595   0.6825   1.0000
   8.000   0.4416   0.10258   0.09194  -0.0599   0.6756   1.0000
   8.250   0.4573   0.10446   0.09385  -0.0602   0.6648   1.0000
   8.500   0.4744   0.10742   0.09685  -0.0610   0.6587   1.0000
   8.750   0.4862   0.10898   0.09845  -0.0610   0.6470   1.0000
   9.000   0.5045   0.11222   0.10173  -0.0619   0.6412   1.0000
   9.250   0.5132   0.11361   0.10316  -0.0618   0.6295   1.0000
   9.500   0.5315   0.11699   0.10659  -0.0627   0.6235   1.0000
   9.750   0.5395   0.11843   0.10809  -0.0626   0.6119   1.0000
  10.000   0.5584   0.12203   0.11175  -0.0637   0.6061   1.0000
  10.250   0.5651   0.12343   0.11321  -0.0636   0.5942   1.0000
  10.500   0.5823   0.12701   0.11687  -0.0646   0.5884   1.0000
