  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 94-145                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0102   0.05320   0.04274  -0.0832   0.9953   0.2576
   0.250   0.0403   0.05371   0.04334  -0.0845   0.9953   0.3006
   0.500   0.0752   0.05253   0.04499  -0.0838   0.9953   0.8152
   0.750   0.0713   0.05188   0.04387  -0.0788   0.9953   1.0047
   1.000   0.0935   0.05319   0.04467  -0.0793   0.9953   1.0047
   1.250   0.1149   0.05454   0.04567  -0.0799   0.9953   1.0047
   1.500   0.1358   0.05593   0.04678  -0.0805   0.9953   1.0047
   1.750   0.1563   0.05735   0.04796  -0.0811   0.9953   1.0047
   2.000   0.1899   0.05960   0.04994  -0.0842   0.9902   1.0047
   2.000   0.1899   0.05960   0.04994  -0.0842   0.9902   1.0047
   2.100   0.2016   0.06038   0.05064  -0.0851   0.9872   1.0047
   2.200   0.2149   0.06123   0.05141  -0.0864   0.9827   1.0047
   2.500   0.2517   0.06380   0.05374  -0.0895   0.9714   1.0047
   2.750   0.2826   0.06615   0.05592  -0.0921   0.9634   1.0047
   3.000   0.3155   0.06855   0.05817  -0.0950   0.9530   1.0047
   3.000   0.3155   0.06855   0.05817  -0.0949   0.9530   1.0047
   3.100   0.3206   0.06899   0.05858  -0.0947   0.9487   1.0047
   3.200   0.3288   0.06946   0.05901  -0.0949   0.9424   1.0047
   3.500   0.3581   0.07186   0.06128  -0.0966   0.9304   1.0047
   3.750   0.3934   0.07475   0.06406  -0.0998   0.9215   1.0047
   3.750   0.3934   0.07475   0.06406  -0.0998   0.9215   1.0047
   3.850   0.3937   0.07487   0.06418  -0.0987   0.9166   1.0047
   3.950   0.4011   0.07533   0.06462  -0.0988   0.9103   1.0047
   4.250   0.4281   0.07782   0.06704  -0.1000   0.8986   1.0047
   4.500   0.4605   0.08058   0.06973  -0.1027   0.8888   1.0047
   4.750   0.4718   0.08172   0.07086  -0.1018   0.8761   1.0047
   5.000   0.4966   0.08436   0.07346  -0.1033   0.8681   1.0047
   5.250   0.5203   0.08643   0.07551  -0.1045   0.8559   1.0047
   5.500   0.5304   0.08778   0.07688  -0.1035   0.8437   1.0047
   5.750   0.5708   0.09195   0.08102  -0.1075   0.8370   1.0047
   6.000   0.5749   0.09251   0.08161  -0.1056   0.8229   1.0047
   6.250   0.5846   0.09415   0.08329  -0.1049   0.8113   1.0047
   6.500   0.6233   0.09819   0.08734  -0.1084   0.8036   1.0047
   6.750   0.6259   0.09897   0.08818  -0.1065   0.7897   1.0047
   7.000   0.6351   0.10087   0.09012  -0.1059   0.7784   1.0047
   7.250   0.6741   0.10505   0.09434  -0.1093   0.7698   1.0047
   7.500   0.6741   0.10588   0.09523  -0.1074   0.7560   1.0047
   7.750   0.6818   0.10790   0.09732  -0.1068   0.7444   1.0047
   7.750   0.6818   0.10790   0.09732  -0.1068   0.7444   1.0047
   7.850   0.6936   0.10912   0.09856  -0.1076   0.7397   1.0047
   7.950   0.7121   0.11112   0.10060  -0.1092   0.7368   1.0047
   8.250   0.7219   0.11336   0.10292  -0.1085   0.7215   1.0047
   8.500   0.7257   0.11529   0.10493  -0.1077   0.7093   1.0047
   8.750   0.7438   0.11839   0.10811  -0.1085   0.6992   1.0047
   9.000   0.7747   0.12194   0.11177  -0.1104   0.6863   1.0047
   9.250   0.7742   0.12335   0.11327  -0.1092   0.6722   1.0047
   9.500   0.7790   0.12562   0.11562  -0.1088   0.6595   1.0047
   9.750   0.7909   0.12835   0.11845  -0.1091   0.6470   1.0047
  10.000   0.8084   0.13138   0.12160  -0.1098   0.6343   1.0047
  10.250   0.8247   0.13413   0.12445  -0.1102   0.6196   1.0047
  10.500   0.8360   0.13651   0.12694  -0.1103   0.6037   1.0047
