  
       XFOIL         Version 6.99
  
 Calculated polar for: Apex 16 (normalized using XFOIL date021206)     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1423   0.03138   0.01937  -0.0123   1.0000   0.1645
   0.250  -0.1172   0.03093   0.01892  -0.0128   1.0000   0.1932
   0.500  -0.1007   0.02970   0.02010  -0.0101   1.0000   0.6745
   0.750  -0.0905   0.02888   0.02025  -0.0038   1.0000   1.0000
   1.000  -0.0693   0.02941   0.02028  -0.0044   1.0000   1.0000
   1.250  -0.0486   0.03002   0.02053  -0.0050   1.0000   1.0000
   1.500  -0.0285   0.03070   0.02092  -0.0055   1.0000   1.0000
   1.750  -0.0089   0.03142   0.02141  -0.0059   1.0000   1.0000
   2.000   0.0103   0.03220   0.02197  -0.0063   1.0000   1.0000
   2.250   0.0289   0.03303   0.02262  -0.0065   1.0000   1.0000
   2.500   0.0472   0.03390   0.02335  -0.0068   1.0000   1.0000
   2.750   0.0651   0.03482   0.02415  -0.0070   1.0000   1.0000
   3.000   0.0826   0.03580   0.02501  -0.0072   1.0000   1.0000
   3.250   0.1782   0.03973   0.02877  -0.0218   0.9560   1.0000
   3.500   0.2137   0.04101   0.03001  -0.0250   0.9377   1.0000
   3.750   0.2519   0.04240   0.03136  -0.0284   0.9194   1.0000
   4.000   0.2913   0.04381   0.03275  -0.0318   0.9020   1.0000
   4.250   0.3302   0.04516   0.03412  -0.0350   0.8852   1.0000
   4.500   0.3567   0.04614   0.03512  -0.0362   0.8684   1.0000
   4.750   0.3853   0.04722   0.03624  -0.0377   0.8517   1.0000
   5.000   0.4156   0.04829   0.03739  -0.0393   0.8348   1.0000
   5.250   0.4489   0.04935   0.03852  -0.0411   0.8176   1.0000
   5.500   0.4853   0.05036   0.03964  -0.0432   0.8006   1.0000
   5.750   0.5235   0.05127   0.04070  -0.0454   0.7837   1.0000
   6.000   0.5420   0.05218   0.04172  -0.0450   0.7646   1.0000
   6.250   0.5716   0.05295   0.04263  -0.0457   0.7458   1.0000
   6.500   0.6137   0.05328   0.04315  -0.0475   0.7269   1.0000
   6.750   0.6408   0.05378   0.04385  -0.0475   0.7062   1.0000
   7.000   0.6791   0.05363   0.04393  -0.0480   0.6847   1.0000
   7.250   0.7180   0.05309   0.04364  -0.0482   0.6624   1.0000
   7.500   0.7691   0.05138   0.04231  -0.0485   0.6398   1.0000
   7.750   0.8083   0.04996   0.04120  -0.0476   0.6156   1.0000
   8.000   0.9204   0.04169   0.03373  -0.0493   0.5941   1.0000
   8.250   1.0359   0.03201   0.02467  -0.0505   0.5323   1.0000
   8.500   1.0403   0.03059   0.02304  -0.0435   0.4709   1.0000
   8.750   1.0398   0.03076   0.02282  -0.0375   0.4047   1.0000
   9.000   1.0321   0.03210   0.02361  -0.0316   0.3357   1.0000
   9.250   1.0203   0.03434   0.02512  -0.0261   0.2684   1.0000
   9.500   1.0121   0.03728   0.02737  -0.0216   0.2042   1.0000
   9.750   1.0439   0.04050   0.02996  -0.0214   0.1510   1.0000
  10.000   1.1106   0.04429   0.03364  -0.0260   0.1235   1.0000
  10.250   1.1554   0.04813   0.03764  -0.0287   0.1108   1.0000
  10.500   1.1725   0.05128   0.04130  -0.0273   0.1056   1.0000
  10.750   1.1975   0.05521   0.04555  -0.0272   0.1017   1.0000
  11.000   1.2132   0.05959   0.05014  -0.0264   0.0984   1.0000
  11.250   1.2039   0.06255   0.05358  -0.0221   0.0973   1.0000
  11.500   1.1926   0.06567   0.05708  -0.0180   0.0967   1.0000
  11.750   1.1772   0.06891   0.06065  -0.0139   0.0962   1.0000
  12.000   1.1607   0.07247   0.06451  -0.0103   0.0963   1.0000
  12.250   1.1425   0.07631   0.06860  -0.0074   0.0966   1.0000
  12.500   1.1222   0.08046   0.07299  -0.0051   0.0971   1.0000
  12.750   1.1022   0.08503   0.07776  -0.0037   0.0977   1.0000
  13.000   1.0830   0.09005   0.08294  -0.0030   0.0983   1.0000
  13.250   1.0710   0.09561   0.08861  -0.0031   0.0990   1.0000
  13.500   0.9549   0.10869   0.10201  -0.0107   0.1098   1.0000
  13.750   0.9383   0.11645   0.10979  -0.0140   0.1115   1.0000
  13.750   0.9383   0.11645   0.10979  -0.0140   0.1115   1.0000
  13.850   0.9359   0.11921   0.11254  -0.0149   0.1120   1.0000
  13.950   0.9315   0.12222   0.11556  -0.0161   0.1123   1.0000
  14.250   0.8452   0.14922   0.14224  -0.0363   0.1372   1.0000
  14.500   0.7831   0.17201   0.16481  -0.0560   0.2608   1.0000
  14.750   0.8109   0.17870   0.17159  -0.0556   0.2535   1.0000
  15.000   0.7922   0.17991   0.17271  -0.0585   0.2484   1.0000
  15.250   0.8065   0.18453   0.17739  -0.0590   0.2412   1.0000
  15.500   0.8129   0.18930   0.18215  -0.0604   0.2382   1.0000
  15.750   0.8074   0.19119   0.18400  -0.0627   0.2304   1.0000
  16.000   0.8322   0.19834   0.19122  -0.0624   0.2245   1.0000
  16.250   0.8180   0.19845   0.19126  -0.0656   0.2179   1.0000
  16.500   0.8420   0.20538   0.19825  -0.0651   0.2101   1.0000
  16.750   0.8304   0.20545   0.19826  -0.0684   0.2036   1.0000
  17.000   0.8493   0.21113   0.20403  -0.0684   0.1974   1.0000
  17.250   0.8471   0.21362   0.20647  -0.0710   0.1939   1.0000
  17.500   0.8501   0.21604   0.20888  -0.0730   0.1870   1.0000
  17.750   0.8735   0.22403   0.21693  -0.0724   0.1816   1.0000
  18.000   0.8625   0.22303   0.21585  -0.0764   0.1771   1.0000
  18.250   0.8793   0.22829   0.22118  -0.0764   0.1691   1.0000
  18.500   0.8824   0.23153   0.22439  -0.0786   0.1664   1.0000
  18.750   0.8823   0.23281   0.22564  -0.0815   0.1604   1.0000
  19.000   0.8983   0.23836   0.23125  -0.0816   0.1551   1.0000
  19.250   0.9060   0.24295   0.23584  -0.0834   0.1530   1.0000
  19.500   0.9028   0.24293   0.23577  -0.0869   0.1485   1.0000
  19.750   0.9120   0.24644   0.23931  -0.0883   0.1433   1.0000
  20.000   0.9329   0.25567   0.24860  -0.0877   0.1396   1.0000
   0.000  -0.1423   0.03138   0.01937  -0.0123   1.0000   0.1645
  -0.250  -0.1644   0.03168   0.01977  -0.0124   1.0000   0.1498
  -0.500  -0.1851   0.03197   0.02018  -0.0129   1.0000   0.1416
  -0.750  -0.2048   0.03239   0.02062  -0.0138   1.0000   0.1384
  -1.000  -0.2241   0.03266   0.02097  -0.0152   1.0000   0.1367
  -1.250  -0.2446   0.03300   0.02136  -0.0165   1.0000   0.1351
  -1.500  -0.2651   0.03349   0.02191  -0.0179   1.0000   0.1318
  -1.750  -0.2861   0.03410   0.02255  -0.0192   1.0000   0.1308
  -2.000  -0.3082   0.03487   0.02340  -0.0204   1.0000   0.1334
  -2.250  -0.3304   0.03598   0.02456  -0.0215   1.0000   0.1370
  -2.500  -0.3534   0.03639   0.02532  -0.0229   1.0000   0.1432
  -2.750  -0.3767   0.03759   0.02675  -0.0240   1.0000   0.1513
  -3.000  -0.4010   0.03799   0.02760  -0.0252   1.0000   0.1620
  -3.250  -0.4253   0.03898   0.02893  -0.0264   1.0000   0.1717
  -3.500  -0.4510   0.03982   0.03024  -0.0274   1.0000   0.1866
  -3.750  -0.4786   0.04099   0.03191  -0.0283   1.0000   0.2101
  -4.000  -0.5121   0.04193   0.03398  -0.0278   1.0000   0.2486
  -4.250  -0.5502   0.04755   0.04096  -0.0218   1.0000   0.3081
  -4.750  -0.4845   0.07606   0.07067   0.0210   1.0000   0.5081
  -4.600  -0.5208   0.07495   0.06968   0.0229   1.0000   0.5020
  -4.700  -0.4985   0.07542   0.07007   0.0211   1.0000   0.4977
  -6.250  -0.3149   0.08710   0.08089   0.0033   1.0000   0.6164
  -6.000  -0.3230   0.08524   0.07912   0.0058   1.0000   0.6192
  -6.100  -0.3240   0.08651   0.08036   0.0056   1.0000   0.6216
  -6.200  -0.3243   0.08770   0.08153   0.0052   1.0000   0.6225
  -6.500  -0.3123   0.08933   0.08305   0.0015   1.0000   0.6133
  -6.250  -0.3149   0.08710   0.08089   0.0033   1.0000   0.6164
  -6.350  -0.3132   0.08789   0.08165   0.0025   1.0000   0.6152
  -6.450  -0.3117   0.08876   0.08249   0.0018   1.0000   0.6144
  -6.750  -0.3098   0.09146   0.08513  -0.0006   1.0000   0.6034
  -6.500  -0.3123   0.08933   0.08305   0.0015   1.0000   0.6133
  -6.600  -0.3142   0.09049   0.08419   0.0012   1.0000   0.6117
  -6.700  -0.3230   0.09254   0.08627   0.0015   1.0000   0.6079
  -7.000  -0.3143   0.09379   0.08742  -0.0026   1.0000   0.5837
  -6.750  -0.3098   0.09146   0.08513  -0.0006   1.0000   0.6034
  -6.850  -0.3168   0.09283   0.08650  -0.0008   1.0000   0.5963
  -6.950  -0.3143   0.09359   0.08723  -0.0020   1.0000   0.5896
  -7.250  -0.3215   0.09639   0.08997  -0.0047   1.0000   0.5584
  -7.500  -0.3303   0.09877   0.09231  -0.0071   1.0000   0.5278
  -7.750  -0.3382   0.10108   0.09458  -0.0097   1.0000   0.4965
  -8.250  -0.3551   0.10580   0.09921  -0.0148   1.0000   0.4378
  -8.500  -0.3641   0.10815   0.10154  -0.0175   1.0000   0.4089
  -8.750  -0.3728   0.11041   0.10376  -0.0202   1.0000   0.3798
  -9.000  -0.3807   0.11248   0.10579  -0.0230   1.0000   0.3508
  -9.250  -0.3839   0.11409   0.10735  -0.0260   1.0000   0.3202
  -9.500  -0.3890   0.11583   0.10903  -0.0289   1.0000   0.2899
  -9.750  -0.3961   0.11774   0.11089  -0.0319   1.0000   0.2595
 -10.000  -0.4030   0.12036   0.11347  -0.0342   1.0000   0.2379
 -10.250  -0.4001   0.12262   0.11568  -0.0356   1.0000   0.2224
 -10.500  -0.4045   0.12555   0.11856  -0.0371   1.0000   0.2093
 -10.750  -0.4160   0.12926   0.12225  -0.0390   1.0000   0.1963
 -11.000  -0.3968   0.13033   0.12320  -0.0383   1.0000   0.1889
 -11.250  -0.4051   0.13405   0.12689  -0.0395   1.0000   0.1806
 -11.500  -0.3981   0.13598   0.12873  -0.0393   1.0000   0.1726
 -11.250  -0.4051   0.13405   0.12689  -0.0395   1.0000   0.1806
 -11.350  -0.3976   0.13447   0.12725  -0.0391   1.0000   0.1780
 -11.450  -0.3963   0.13536   0.12812  -0.0391   1.0000   0.1744
 -11.750  -0.4065   0.14001   0.13273  -0.0403   1.0000   0.1665
 -12.000  -0.3968   0.14166   0.13430  -0.0395   1.0000   0.1599
 -12.250  -0.4188   0.14734   0.14000  -0.0416   1.0000   0.1530
 -12.500  -0.4012   0.14789   0.14043  -0.0396   1.0000   0.1500
 -12.750  -0.4014   0.15037   0.14286  -0.0394   1.0000   0.1438
 -13.000  -0.4197   0.15617   0.14869  -0.0409   1.0000   0.1383
 -13.250  -0.4056   0.15656   0.14898  -0.0389   1.0000   0.1354
 -13.500  -0.4058   0.15885   0.15123  -0.0384   1.0000   0.1300
 -13.750  -0.4301   0.16610   0.15851  -0.0403   1.0000   0.1238
 -14.000  -0.4181   0.16622   0.15853  -0.0382   1.0000   0.1224
 -14.250  -0.4137   0.16747   0.15972  -0.0369   1.0000   0.1186
 -14.500  -0.4189   0.17045   0.16268  -0.0366   1.0000   0.1136
 -14.750  -0.4467   0.17971   0.17198  -0.0386   1.0000   0.1091
 -15.000  -0.4373   0.17945   0.17164  -0.0365   1.0000   0.1084
 -15.250  -0.4306   0.17957   0.17168  -0.0346   1.0000   0.1063
 -15.500  -0.4325   0.18164   0.17372  -0.0334   1.0000   0.1031
 -15.750  -0.4380   0.18456   0.17662  -0.0328   1.0000   0.0994
 -16.000  -0.4492   0.18893   0.18101  -0.0329   1.0000   0.0963
 -16.250  -0.4695   0.19794   0.19005  -0.0336   1.0000   0.0940
 -16.500  -0.4620   0.19671   0.18874  -0.0314   1.0000   0.0934
 -16.750  -0.4598   0.19687   0.18885  -0.0294   1.0000   0.0918
 -17.000  -0.4626   0.19866   0.19060  -0.0279   1.0000   0.0890
 -17.250  -0.4681   0.20126   0.19318  -0.0269   1.0000   0.0863
 -17.500  -0.4757   0.20448   0.19640  -0.0261   1.0000   0.0832
 -17.750  -0.5083   0.21979   0.21178  -0.0283   1.0000   0.0793
 -18.000  -0.5023   0.21768   0.20959  -0.0260   1.0000   0.0790
 -18.250  -0.4987   0.21610   0.20796  -0.0236   1.0000   0.0783
 -18.500  -0.4998   0.21624   0.20805  -0.0214   1.0000   0.0767
 -18.750  -0.5047   0.21818   0.20997  -0.0198   1.0000   0.0748
 -19.000  -0.5108   0.22067   0.21245  -0.0184   1.0000   0.0726
 -19.250  -0.5177   0.22345   0.21521  -0.0171   1.0000   0.0705
 -19.500  -0.5253   0.22651   0.21830  -0.0160   1.0000   0.0686
 -19.750  -0.5345   0.23048   0.22227  -0.0153   1.0000   0.0668
 -20.000  -0.5621   0.24781   0.23966  -0.0168   1.0000   0.0647
