  
       XFOIL         Version 6.99
  
 Calculated polar for: AQUILA 9.3% smoothed                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2110   0.03236   0.02151  -0.0648   0.8866   0.1710
   0.250   0.2475   0.03178   0.02103  -0.0663   0.8742   0.2055
   0.500   0.3089   0.02924   0.02029  -0.0708   0.8640   1.0000
   0.750   0.3475   0.02983   0.02038  -0.0727   0.8507   1.0000
   1.000   0.3891   0.03034   0.02054  -0.0751   0.8377   1.0000
   1.250   0.4228   0.03090   0.02087  -0.0762   0.8238   1.0000
   1.500   0.4536   0.03149   0.02129  -0.0769   0.8097   1.0000
   1.750   0.4831   0.03211   0.02175  -0.0773   0.7957   1.0000
   2.000   0.5112   0.03274   0.02226  -0.0775   0.7816   1.0000
   2.250   0.5385   0.03337   0.02280  -0.0774   0.7677   1.0000
   2.500   0.5653   0.03401   0.02337  -0.0772   0.7537   1.0000
   2.750   0.5915   0.03466   0.02395  -0.0769   0.7398   1.0000
   3.000   0.6172   0.03531   0.02456  -0.0765   0.7260   1.0000
   3.250   0.6426   0.03599   0.02520  -0.0759   0.7124   1.0000
   3.500   0.6683   0.03661   0.02582  -0.0754   0.6988   1.0000
   3.750   0.6947   0.03719   0.02639  -0.0748   0.6856   1.0000
   4.000   0.7245   0.03754   0.02674  -0.0743   0.6731   1.0000
   4.250   0.7587   0.03756   0.02681  -0.0740   0.6613   1.0000
   4.500   0.7785   0.03845   0.02772  -0.0728   0.6473   1.0000
   4.750   0.7972   0.03943   0.02874  -0.0716   0.6334   1.0000
   5.000   0.8147   0.04055   0.02990  -0.0703   0.6196   1.0000
   5.250   0.8319   0.04170   0.03110  -0.0690   0.6059   1.0000
   5.500   0.8477   0.04301   0.03252  -0.0678   0.5924   1.0000
   5.750   0.8640   0.04430   0.03386  -0.0665   0.5792   1.0000
   6.000   0.8807   0.04561   0.03525  -0.0653   0.5665   1.0000
   6.250   0.9059   0.04621   0.03593  -0.0643   0.5548   1.0000
   6.500   0.9457   0.04552   0.03540  -0.0636   0.5444   1.0000
   6.750   0.9496   0.04794   0.03791  -0.0621   0.5310   1.0000
   7.000   0.9497   0.05074   0.04079  -0.0606   0.5176   1.0000
   7.250   0.9400   0.05458   0.04468  -0.0591   0.5050   1.0000
   7.500   0.9239   0.05902   0.04913  -0.0578   0.4930   1.0000
   7.750   0.9525   0.05937   0.04963  -0.0566   0.4826   1.0000
   8.000   1.0021   0.05768   0.04822  -0.0556   0.4718   1.0000
   8.250   0.9191   0.06927   0.05956  -0.0558   0.4609   1.0000
   8.500   0.9130   0.07337   0.06369  -0.0556   0.4515   1.0000
   8.750   0.9453   0.07350   0.06405  -0.0542   0.4406   1.0000
   9.000   0.9079   0.08096   0.07145  -0.0554   0.4326   1.0000
   9.250   0.9119   0.08428   0.07485  -0.0552   0.4237   1.0000
   9.500   0.9399   0.08494   0.07571  -0.0539   0.4121   1.0000
   9.750   0.9011   0.09297   0.08366  -0.0560   0.4076   1.0000
  10.000   0.9205   0.09479   0.08563  -0.0551   0.3967   1.0000
  10.250   0.8957   0.10144   0.09227  -0.0570   0.3927   1.0000
  10.500   0.9109   0.10382   0.09480  -0.0564   0.3817   1.0000
  10.750   0.8927   0.11006   0.10105  -0.0583   0.3792   1.0000
  11.000   0.8549   0.12012   0.11109  -0.0635   0.4045   1.0000
  11.250   0.8694   0.12420   0.11531  -0.0642   0.3997   1.0000
  11.500   0.9018   0.12158   0.11287  -0.0595   0.3526   1.0000
  11.750   0.8919   0.12747   0.11881  -0.0615   0.3522   1.0000
  12.000   0.8939   0.13322   0.12465  -0.0633   0.3542   1.0000
  12.250   0.9071   0.13369   0.12529  -0.0612   0.3243   1.0000
  12.500   0.9066   0.13992   0.13162  -0.0634   0.3273   1.0000
  12.500   0.9066   0.13992   0.13162  -0.0634   0.3273   1.0000
  12.600   0.9087   0.14218   0.13392  -0.0639   0.3269   1.0000
  12.700   0.9102   0.14452   0.13631  -0.0646   0.3266   1.0000
  13.000   0.9142   0.14666   0.13854  -0.0638   0.2991   1.0000
  13.250   0.9563   0.14240   0.13454  -0.0575   0.2552   1.0000
  13.500   0.9403   0.14975   0.14187  -0.0611   0.2544   1.0000
  13.750   0.9388   0.15626   0.14844  -0.0634   0.2550   1.0000
  13.750   0.9388   0.15625   0.14843  -0.0634   0.2550   1.0000
  14.000   0.8949   0.17176   0.16381  -0.0750   0.3270   1.0000
  14.500   0.6968   0.16456   0.15735  -0.0627   0.3170   1.0000
  14.600   0.7134   0.16804   0.16093  -0.0625   0.3127   1.0000
  14.700   0.7099   0.16890   0.16179  -0.0631   0.3114   1.0000
  15.000   0.7240   0.17410   0.16712  -0.0637   0.2979   1.0000
  15.250   0.7048   0.17337   0.16640  -0.0655   0.2907   1.0000
  15.500   0.7158   0.17774   0.17086  -0.0660   0.2822   1.0000
  15.750   0.7137   0.17964   0.17284  -0.0673   0.2734   1.0000
  16.000   0.7193   0.18353   0.17679  -0.0683   0.2674   1.0000
  16.250   0.7363   0.18900   0.18237  -0.0684   0.2551   1.0000
  16.500   0.7214   0.18886   0.18224  -0.0707   0.2499   1.0000
  16.750   0.7412   0.19541   0.18890  -0.0706   0.2410   1.0000
  17.000   0.7277   0.19524   0.18874  -0.0730   0.2348   1.0000
  17.250   0.7419   0.20078   0.19440  -0.0732   0.2265   1.0000
  17.500   0.7343   0.20183   0.19545  -0.0753   0.2199   1.0000
  17.750   0.7451   0.20685   0.20056  -0.0758   0.2122   1.0000
  18.000   0.7423   0.20865   0.20240  -0.0776   0.2039   1.0000
  18.250   0.7521   0.21388   0.20769  -0.0782   0.1986   1.0000
  18.500   0.7487   0.21555   0.20939  -0.0801   0.1903   1.0000
  18.750   0.7609   0.22135   0.21524  -0.0805   0.1852   1.0000
  19.000   0.7541   0.22254   0.21644  -0.0829   0.1798   1.0000
  19.250   0.7723   0.22965   0.22362  -0.0826   0.1721   1.0000
  19.500   0.7624   0.22993   0.22391  -0.0855   0.1691   1.0000
  19.750   0.7663   0.23329   0.22731  -0.0867   0.1624   1.0000
  20.000   0.7801   0.24003   0.23412  -0.0869   0.1586   1.0000
   0.000   0.2110   0.03236   0.02151  -0.0648   0.8866   0.1710
  -0.250   0.1734   0.03284   0.02207  -0.0633   0.8993   0.1525
  -0.500   0.1317   0.03359   0.02297  -0.0613   0.9114   0.1445
  -0.750   0.0846   0.03437   0.02412  -0.0584   0.9228   0.1377
  -1.000   0.0396   0.03548   0.02559  -0.0557   0.9341   0.1398
  -1.250  -0.0032   0.03655   0.02715  -0.0534   0.9458   0.1468
  -1.500  -0.0459   0.03815   0.02927  -0.0509   0.9574   0.1553
  -1.500  -0.0459   0.03815   0.02927  -0.0509   0.9574   0.1553
  -1.600  -0.0661   0.03912   0.03035  -0.0491   0.9612   0.1588
  -1.700  -0.0880   0.03976   0.03142  -0.0476   0.9657   0.1713
  -1.750  -0.0995   0.04000   0.03198  -0.0468   0.9682   0.1822
  -1.850  -0.1206   0.04113   0.03338  -0.0451   0.9723   0.2014
  -1.950  -0.1631   0.04259   0.03580  -0.0396   0.9762   0.2735
  -2.000  -0.2960   0.04956   0.04536   0.0472   0.9972   0.8364
  -2.100  -0.2744   0.04947   0.04519   0.0438   1.0000   0.8413
  -2.200  -0.2603   0.04973   0.04541   0.0417   1.0000   0.8517
  -2.500  -0.2057   0.04950   0.04497   0.0319   1.0000   0.8682
  -2.750  -0.1589   0.04891   0.04421   0.0234   1.0000   0.8850
  -3.000  -0.1120   0.04791   0.04301   0.0145   1.0000   0.9035
  -3.250  -0.0660   0.04670   0.04161   0.0054   1.0000   0.9267
  -3.500  -0.0129   0.04460   0.03928  -0.0060   1.0000   0.9452
  -3.750   0.0403   0.04240   0.03679  -0.0182   1.0000   0.9714
  -4.000  -0.1853   0.05778   0.05272   0.0193   1.0000   0.7890
  -4.250  -0.4036   0.06978   0.06498  -0.0000   1.0000   0.3413
  -4.500  -0.3974   0.07154   0.06667  -0.0024   1.0000   0.3145
  -4.750  -0.3963   0.07375   0.06878  -0.0068   1.0000   0.2954
  -5.000  -0.3953   0.07655   0.07146  -0.0113   1.0000   0.2786
  -5.250  -0.3893   0.07841   0.07327  -0.0134   1.0000   0.2634
  -5.500  -0.3792   0.07955   0.07436  -0.0145   1.0000   0.2499
  -5.750  -0.3603   0.08047   0.07518  -0.0147   1.0000   0.2413
  -6.000  -0.3581   0.08295   0.07755  -0.0182   1.0000   0.2315
  -6.250  -0.3647   0.08644   0.08094  -0.0230   1.0000   0.2184
  -6.500  -0.3366   0.08615   0.08048  -0.0209   1.0000   0.2137
  -6.750  -0.3492   0.09012   0.08439  -0.0247   1.0000   0.2029
  -7.000  -0.3266   0.09038   0.08444  -0.0228   1.0000   0.1975
  -7.250  -0.3414   0.09470   0.08871  -0.0254   1.0000   0.1875
  -7.500  -0.3200   0.09499   0.08878  -0.0245   1.0000   0.1834
  -7.750  -0.3437   0.10046   0.09426  -0.0267   1.0000   0.1729
  -8.000  -0.3226   0.10044   0.09403  -0.0251   1.0000   0.1701
  -8.250  -0.3251   0.10294   0.09645  -0.0250   1.0000   0.1619
  -8.500  -0.3344   0.10713   0.10057  -0.0254   1.0000   0.1570
  -8.750  -0.3263   0.10816   0.10148  -0.0235   1.0000   0.1519
  -9.000  -0.3535   0.11507   0.10844  -0.0261   1.0000   0.1431
  -9.250  -0.3407   0.11517   0.10839  -0.0232   1.0000   0.1415
