  
       XFOIL         Version 6.99
  
 Calculated polar for: AVISTAR                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0552   0.03395   0.02459  -0.0431   0.9026   1.0000
   0.250   0.0855   0.03466   0.02508  -0.0447   0.8927   1.0000
   0.500   0.0990   0.03539   0.02565  -0.0436   0.8823   1.0000
   0.750   0.1343   0.03618   0.02627  -0.0459   0.8732   1.0000
   1.000   0.1416   0.03702   0.02697  -0.0437   0.8634   1.0000
   1.250   0.1745   0.03787   0.02769  -0.0455   0.8549   1.0000
   1.500   0.1827   0.03880   0.02851  -0.0435   0.8455   1.0000
   1.750   0.2125   0.03969   0.02930  -0.0447   0.8368   1.0000
   2.000   0.2240   0.04070   0.03022  -0.0432   0.8278   1.0000
   2.250   0.2528   0.04160   0.03105  -0.0442   0.8182   1.0000
   2.500   0.2655   0.04262   0.03201  -0.0428   0.8080   1.0000
   2.750   0.3075   0.04339   0.03273  -0.0454   0.7973   1.0000
   3.000   0.3111   0.04445   0.03375  -0.0427   0.7852   1.0000
   3.250   0.3419   0.04529   0.03456  -0.0436   0.7736   1.0000
   3.500   0.3706   0.04607   0.03533  -0.0441   0.7614   1.0000
   3.750   0.3807   0.04721   0.03645  -0.0424   0.7489   1.0000
   4.000   0.4122   0.04800   0.03725  -0.0431   0.7369   1.0000
   4.250   0.4415   0.04874   0.03802  -0.0435   0.7245   1.0000
   4.500   0.4499   0.05001   0.03930  -0.0417   0.7109   1.0000
   4.750   0.4718   0.05102   0.04035  -0.0413   0.6979   1.0000
   5.000   0.5164   0.05128   0.04069  -0.0429   0.6859   1.0000
   5.250   0.5287   0.05250   0.04195  -0.0414   0.6714   1.0000
   5.500   0.5378   0.05399   0.04348  -0.0398   0.6569   1.0000
   5.750   0.5538   0.05530   0.04484  -0.0388   0.6429   1.0000
   6.000   0.5823   0.05610   0.04573  -0.0388   0.6302   1.0000
   6.250   0.6131   0.05672   0.04647  -0.0388   0.6178   1.0000
   6.500   0.6121   0.05906   0.04883  -0.0369   0.6032   1.0000
   6.750   0.6182   0.06122   0.05105  -0.0356   0.5906   1.0000
   7.000   0.6657   0.06104   0.05104  -0.0364   0.5815   1.0000
   7.250   0.6452   0.06496   0.05494  -0.0342   0.5682   1.0000
   7.500   0.6523   0.06727   0.05733  -0.0332   0.5572   1.0000
   7.750   0.9543   0.03623   0.02710  -0.0340   0.5041   1.0000
   8.000   0.9904   0.03349   0.02439  -0.0315   0.4761   1.0000
   8.250   1.0001   0.03299   0.02399  -0.0273   0.4503   1.0000
   8.500   1.0044   0.03256   0.02354  -0.0223   0.4192   1.0000
   8.750   0.9954   0.03310   0.02409  -0.0166   0.3830   1.0000
   9.000   0.9865   0.03385   0.02471  -0.0112   0.3389   1.0000
   9.250   0.9773   0.03522   0.02560  -0.0064   0.2785   1.0000
   9.500   0.9643   0.03770   0.02759  -0.0026   0.2217   1.0000
   9.750   0.9527   0.04063   0.03012   0.0002   0.1809   1.0000
  10.000   0.9458   0.04348   0.03269   0.0023   0.1592   1.0000
  10.250   0.9431   0.04612   0.03514   0.0041   0.1471   1.0000
  10.500   0.9427   0.04861   0.03746   0.0057   0.1392   1.0000
  10.750   0.9493   0.05059   0.03941   0.0072   0.1319   1.0000
  11.000   0.9573   0.05244   0.04107   0.0088   0.1263   1.0000
  11.250   0.9731   0.05379   0.04251   0.0103   0.1208   1.0000
  11.500   0.9968   0.05464   0.04325   0.0119   0.1158   1.0000
