  
       XFOIL         Version 6.99
  
 Calculated polar for: Bambino 6                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0562   0.03419   0.02499  -0.0334   0.9557   1.0000
   0.250   0.0762   0.03475   0.02540  -0.0333   0.9475   1.0000
   0.500   0.1092   0.03557   0.02606  -0.0356   0.9404   1.0000
   0.750   0.1244   0.03615   0.02654  -0.0346   0.9324   1.0000
   1.000   0.1550   0.03697   0.02724  -0.0364   0.9253   1.0000
   1.250   0.1679   0.03761   0.02781  -0.0350   0.9177   1.0000
   1.500   0.1972   0.03846   0.02860  -0.0365   0.9104   1.0000
   1.750   0.2119   0.03913   0.02922  -0.0354   0.9016   1.0000
   2.000   0.2697   0.03952   0.02957  -0.0409   0.8803   1.0000
   2.000   0.2697   0.03952   0.02957  -0.0409   0.8803   1.0000
   2.100   0.3067   0.03926   0.02930  -0.0448   0.8659   1.0000
   2.200   0.3063   0.03948   0.02953  -0.0431   0.8602   1.0000
   2.500   0.3812   0.03923   0.02933  -0.0495   0.8361   1.0000
   2.750   0.4134   0.03932   0.02946  -0.0501   0.8193   1.0000
   3.000   0.4488   0.03932   0.02952  -0.0510   0.8035   1.0000
   3.250   0.5631   0.03581   0.02625  -0.0609   0.7693   1.0000
   3.500   0.6126   0.03493   0.02557  -0.0632   0.7545   1.0000
   3.750   0.6600   0.03379   0.02461  -0.0648   0.7385   1.0000
   4.000   0.7788   0.02630   0.01707  -0.0703   0.6727   1.0000
   4.250   0.8003   0.02509   0.01566  -0.0662   0.6265   1.0000
   4.500   0.8086   0.02476   0.01513  -0.0610   0.5801   1.0000
   4.750   0.8115   0.02481   0.01514  -0.0556   0.5364   1.0000
   5.000   0.8106   0.02504   0.01542  -0.0499   0.4855   1.0000
   5.250   0.8084   0.02539   0.01524  -0.0437   0.3638   1.0000
   5.500   0.7906   0.02722   0.01589  -0.0361   0.2328   1.0000
   5.750   0.7791   0.02898   0.01713  -0.0300   0.1851   1.0000
   6.000   0.7743   0.03022   0.01815  -0.0250   0.1671   1.0000
   6.250   0.7685   0.03129   0.01910  -0.0198   0.1557   1.0000
   6.500   0.7645   0.03226   0.02001  -0.0149   0.1466   1.0000
   6.750   0.7618   0.03324   0.02090  -0.0105   0.1405   1.0000
   7.000   0.7641   0.03408   0.02176  -0.0069   0.1355   1.0000
   7.250   0.7662   0.03506   0.02276  -0.0034   0.1302   1.0000
   7.500   0.7681   0.03611   0.02370  -0.0002   0.1249   1.0000
   7.750   0.7752   0.03695   0.02462   0.0023   0.1195   1.0000
   8.000   0.7831   0.03782   0.02552   0.0047   0.1169   1.0000
   8.250   0.7915   0.03872   0.02645   0.0069   0.1147   1.0000
   8.500   0.8002   0.03970   0.02741   0.0089   0.1123   1.0000
   8.750   0.8103   0.04060   0.02834   0.0107   0.1097   1.0000
   9.000   0.8220   0.04142   0.02933   0.0123   0.1072   1.0000
   9.250   0.8322   0.04233   0.03033   0.0138   0.1041   1.0000
   9.500   0.8411   0.04331   0.03137   0.0153   0.1011   1.0000
   9.750   0.8538   0.04423   0.03235   0.0166   0.1001   1.0000
  10.000   0.8668   0.04514   0.03333   0.0179   0.0993   1.0000
  10.250   0.8797   0.04610   0.03435   0.0191   0.0982   1.0000
  10.500   0.8957   0.04695   0.03528   0.0201   0.0980   1.0000
  10.750   0.9117   0.04782   0.03629   0.0210   0.0976   1.0000
  11.000   0.9271   0.04876   0.03731   0.0219   0.0968   1.0000
  11.250   0.9382   0.04990   0.03865   0.0229   0.0951   1.0000
  11.500   0.9471   0.05116   0.04010   0.0239   0.0931   1.0000
  11.750   0.9630   0.05221   0.04130   0.0247   0.0928   1.0000
  12.000   0.9743   0.05347   0.04272   0.0255   0.0918   1.0000
  12.250   0.9865   0.05477   0.04419   0.0263   0.0911   1.0000
  12.500   0.9965   0.05621   0.04586   0.0270   0.0902   1.0000
  12.750   0.9979   0.05805   0.04782   0.0277   0.0879   1.0000
  13.000   1.0090   0.05961   0.04958   0.0284   0.0875   1.0000
  13.250   1.0137   0.06143   0.05153   0.0289   0.0863   1.0000
  13.500   1.0251   0.06322   0.05357   0.0295   0.0866   1.0000
