  
       XFOIL         Version 6.99
  
 Calculated polar for: BE50 (original)                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.3261   0.02215   0.01241  -0.0789   1.0000   1.0000
   0.250   0.3465   0.02304   0.01316  -0.0793   1.0000   1.0000
   0.500   0.3796   0.02403   0.01403  -0.0821   0.9946   1.0000
   0.750   0.4392   0.02495   0.01481  -0.0894   0.9737   1.0000
   1.000   0.4972   0.02567   0.01546  -0.0959   0.9522   1.0000
   1.250   0.5527   0.02614   0.01592  -0.1014   0.9290   1.0000
   1.500   0.6024   0.02639   0.01620  -0.1054   0.9037   1.0000
   1.750   0.6534   0.02633   0.01621  -0.1090   0.8779   1.0000
   2.000   0.7054   0.02591   0.01591  -0.1119   0.8522   1.0000
   2.250   0.7528   0.02525   0.01534  -0.1133   0.8257   1.0000
   2.500   0.7930   0.02464   0.01484  -0.1131   0.7968   1.0000
   2.750   0.8276   0.02422   0.01446  -0.1119   0.7656   1.0000
   3.000   0.8591   0.02399   0.01423  -0.1103   0.7338   1.0000
   3.250   0.8882   0.02399   0.01421  -0.1086   0.7024   1.0000
   3.500   0.9152   0.02424   0.01447  -0.1069   0.6723   1.0000
   3.750   0.9407   0.02469   0.01490  -0.1053   0.6437   1.0000
   4.000   0.9656   0.02527   0.01549  -0.1039   0.6167   1.0000
   4.250   0.9905   0.02591   0.01613  -0.1026   0.5920   1.0000
   4.500   1.0162   0.02650   0.01677  -0.1014   0.5691   1.0000
   4.750   1.0396   0.02739   0.01777  -0.1003   0.5459   1.0000
   5.000   1.0656   0.02809   0.01846  -0.0991   0.5255   1.0000
   5.250   1.0880   0.02922   0.01976  -0.0981   0.5040   1.0000
   5.500   1.1123   0.03018   0.02086  -0.0971   0.4842   1.0000
   5.750   1.1364   0.03123   0.02203  -0.0960   0.4655   1.0000
   6.000   1.1580   0.03250   0.02354  -0.0949   0.4461   1.0000
   6.250   1.1817   0.03357   0.02476  -0.0938   0.4278   1.0000
   6.500   1.2059   0.03466   0.02595  -0.0926   0.4095   1.0000
   6.750   1.2254   0.03598   0.02761  -0.0910   0.3875   1.0000
   7.000   1.2459   0.03539   0.02680  -0.0882   0.3496   1.0000
   7.250   1.2573   0.03440   0.02566  -0.0847   0.3026   1.0000
   7.500   1.2628   0.03371   0.02495  -0.0807   0.2530   1.0000
   7.750   1.2539   0.03482   0.02569  -0.0753   0.1751   1.0000
   8.000   1.2542   0.03793   0.02815  -0.0716   0.1267   1.0000
   8.250   1.2677   0.04088   0.03104  -0.0693   0.1065   1.0000
   8.500   1.2851   0.04381   0.03407  -0.0675   0.0950   1.0000
   8.750   1.3027   0.04685   0.03716  -0.0661   0.0867   1.0000
   9.000   1.3190   0.04998   0.04054  -0.0646   0.0810   1.0000
   9.250   1.3411   0.05424   0.04482  -0.0640   0.0776   1.0000
