  
       XFOIL         Version 6.99
  
 Calculated polar for: BE50 (smoothed)                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2706   0.02025   0.01098  -0.0784   1.0000   1.0000
   0.250   0.2932   0.02089   0.01136  -0.0786   1.0000   1.0000
   0.500   0.3149   0.02160   0.01189  -0.0789   1.0000   1.0000
   0.750   0.3359   0.02241   0.01254  -0.0792   1.0000   1.0000
   1.000   0.3561   0.02332   0.01333  -0.0796   1.0000   1.0000
   1.250   0.3789   0.02434   0.01427  -0.0807   0.9980   1.0000
   1.500   0.4453   0.02535   0.01514  -0.0893   0.9747   1.0000
   1.750   0.5063   0.02608   0.01581  -0.0963   0.9500   1.0000
   2.000   0.5657   0.02650   0.01622  -0.1024   0.9249   1.0000
   2.250   0.6244   0.02657   0.01633  -0.1077   0.8995   1.0000
   2.500   0.6758   0.02641   0.01627  -0.1110   0.8723   1.0000
   2.750   0.7227   0.02603   0.01597  -0.1129   0.8449   1.0000
   2.750   0.7227   0.02603   0.01597  -0.1129   0.8449   1.0000
   2.850   0.7387   0.02590   0.01587  -0.1131   0.8333   1.0000
   2.950   0.7561   0.02568   0.01569  -0.1134   0.8224   1.0000
   3.000   0.7654   0.02553   0.01555  -0.1136   0.8172   1.0000
   3.100   0.7804   0.02536   0.01541  -0.1135   0.8055   1.0000
   3.200   0.7964   0.02511   0.01523  -0.1134   0.7945   1.0000
   3.500   0.8392   0.02453   0.01469  -0.1122   0.7597   1.0000
   3.750   0.8711   0.02424   0.01441  -0.1107   0.7300   1.0000
   4.000   0.9006   0.02416   0.01431  -0.1090   0.7002   1.0000
   4.250   0.9280   0.02432   0.01448  -0.1073   0.6708   1.0000
   4.500   0.9540   0.02471   0.01484  -0.1057   0.6425   1.0000
   4.750   0.9791   0.02527   0.01539  -0.1043   0.6152   1.0000
   5.000   1.0038   0.02596   0.01610  -0.1030   0.5899   1.0000
   5.250   1.0297   0.02661   0.01677  -0.1018   0.5671   1.0000
   5.500   1.0535   0.02750   0.01775  -0.1006   0.5442   1.0000
   5.750   1.0785   0.02835   0.01862  -0.0995   0.5235   1.0000
   6.000   1.1016   0.02942   0.01983  -0.0985   0.5027   1.0000
   6.250   1.1267   0.03035   0.02085  -0.0974   0.4837   1.0000
   6.500   1.1490   0.03158   0.02225  -0.0962   0.4642   1.0000
   6.750   1.1713   0.03282   0.02367  -0.0951   0.4450   1.0000
   7.000   1.1956   0.03386   0.02478  -0.0938   0.4260   1.0000
   7.250   1.2154   0.03528   0.02649  -0.0924   0.4055   1.0000
   7.500   1.2387   0.03615   0.02741  -0.0907   0.3828   1.0000
   7.750   1.2586   0.03671   0.02802  -0.0886   0.3543   1.0000
   8.000   1.2747   0.03677   0.02811  -0.0858   0.3190   1.0000
   8.250   1.2895   0.03650   0.02770  -0.0828   0.2786   1.0000
   8.500   1.2957   0.03678   0.02791  -0.0788   0.2281   1.0000
   8.750   1.2973   0.03826   0.02907  -0.0746   0.1760   1.0000
   9.000   1.3046   0.04036   0.03076  -0.0715   0.1429   1.0000
   9.250   1.3177   0.04343   0.03398  -0.0692   0.1232   1.0000
   9.500   1.3313   0.04635   0.03699  -0.0673   0.1097   1.0000
   9.750   1.3468   0.04968   0.04041  -0.0656   0.1007   1.0000
  10.000   1.3579   0.05360   0.04480  -0.0636   0.0957   1.0000
  10.250   1.3738   0.05758   0.04873  -0.0625   0.0903   1.0000
  10.500   1.3684   0.06171   0.05353  -0.0595   0.0885   1.0000
  10.750   1.3590   0.06604   0.05839  -0.0567   0.0870   1.0000
  11.000   1.3449   0.07049   0.06325  -0.0541   0.0862   1.0000
  11.250   1.3246   0.07486   0.06795  -0.0515   0.0863   1.0000
  11.500   1.3008   0.07969   0.07304  -0.0499   0.0868   1.0000
  11.750   1.2756   0.08520   0.07878  -0.0497   0.0876   1.0000
  12.000   1.2506   0.09145   0.08521  -0.0511   0.0886   1.0000
  12.250   1.2273   0.09839   0.09228  -0.0536   0.0896   1.0000
  12.500   1.2069   0.10581   0.09978  -0.0568   0.0904   1.0000
  12.500   1.2069   0.10582   0.09978  -0.0568   0.0904   1.0000
  13.250   1.0243   0.18064   0.17419  -0.1137   0.2254   1.0000
  13.500   1.0193   0.18528   0.17880  -0.1167   0.2264   1.0000
  13.750   1.0317   0.19180   0.18535  -0.1174   0.2240   1.0000
  14.000   1.0204   0.19434   0.18783  -0.1210   0.2217   1.0000
  14.250   1.0461   0.20151   0.19510  -0.1192   0.2104   1.0000
  14.500   1.0339   0.20337   0.19689  -0.1232   0.2090   1.0000
  14.750   1.0308   0.20605   0.19954  -0.1263   0.2037   1.0000
  15.000   1.0423   0.21092   0.20445  -0.1269   0.1988   1.0000
  15.250   1.0560   0.21757   0.21112  -0.1274   0.1961   1.0000
  15.500   1.0479   0.21845   0.21195  -0.1316   0.1917   1.0000
  15.750   1.0625   0.22362   0.21717  -0.1315   0.1843   1.0000
  16.000   1.0656   0.22747   0.22099  -0.1340   0.1812   1.0000
  16.250   1.0673   0.22978   0.22329  -0.1369   0.1746   1.0000
  16.250   1.0673   0.22979   0.22330  -0.1369   0.1746   1.0000
  16.350   1.0725   0.23170   0.22523  -0.1369   0.1723   1.0000
  16.450   1.0799   0.23445   0.22801  -0.1366   0.1707   1.0000
  16.750   1.0868   0.23960   0.23318  -0.1392   0.1680   1.0000
  17.000   1.0873   0.24129   0.23484  -0.1429   0.1630   1.0000
  17.250   1.0982   0.24573   0.23932  -0.1437   0.1582   1.0000
  17.500   1.1121   0.25275   0.24636  -0.1440   0.1552   1.0000
  17.750   1.1093   0.25260   0.24616  -0.1488   0.1511   1.0000
  18.000   1.1194   0.25659   0.25018  -0.1498   0.1450   1.0000
  18.250   1.1336   0.26389   0.25751  -0.1499   0.1418   1.0000
  18.500   1.1319   0.26345   0.25702  -0.1548   0.1383   1.0000
  18.750   1.1397   0.26679   0.26038  -0.1568   0.1336   1.0000
  19.000   1.1549   0.27372   0.26737  -0.1563   0.1299   1.0000
  19.250   1.1611   0.27761   0.27123  -0.1589   0.1284   1.0000
  19.500   1.1623   0.27763   0.27122  -0.1635   0.1250   1.0000
  19.750   1.1701   0.28086   0.27447  -0.1657   0.1208   1.0000
  20.000   1.1836   0.28712   0.28083  -0.1655   0.1171   1.0000
