  
       XFOIL         Version 6.99
  
 Calculated polar for: Bergey BW-3  (smoothed)                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0421   0.03828   0.03173  -0.0395   1.0000   0.5895
   0.250   0.0614   0.03634   0.02982  -0.0384   1.0000   0.6356
   0.500   0.0877   0.03481   0.02826  -0.0393   1.0000   0.6654
   0.750   0.1356   0.03460   0.02778  -0.0465   1.0000   0.6508
   1.000   0.2106   0.03713   0.02945  -0.0621   1.0000   0.4898
   1.250   0.2560   0.03799   0.02971  -0.0679   1.0000   0.3850
   1.500   0.2904   0.03819   0.02944  -0.0706   1.0000   0.3313
   1.750   0.3187   0.03832   0.02927  -0.0720   1.0000   0.3146
   2.000   0.3739   0.03859   0.02910  -0.0781   0.9925   0.2954
   2.250   0.4367   0.03886   0.02901  -0.0856   0.9801   0.2934
   2.500   0.4959   0.03910   0.02893  -0.0923   0.9657   0.2905
   2.750   0.5543   0.03916   0.02886  -0.0990   0.9508   0.2975
   3.000   0.6101   0.03933   0.02894  -0.1050   0.9349   0.2989
   3.250   0.6672   0.03949   0.02909  -0.1109   0.9186   0.3081
   3.500   0.7244   0.03949   0.02926  -0.1167   0.9016   0.3208
   3.750   0.7807   0.03945   0.02948  -0.1221   0.8840   0.3330
   4.000   0.8387   0.03926   0.02967  -0.1276   0.8660   0.3604
   4.250   0.9161   0.03796   0.02970  -0.1365   0.8480   1.0000
   4.500   1.0157   0.03327   0.02496  -0.1413   0.8112   1.0000
   4.750   1.0723   0.02999   0.02178  -0.1399   0.7690   1.0000
   5.000   1.1168   0.02719   0.01907  -0.1368   0.7232   1.0000
   5.250   1.1377   0.02521   0.01701  -0.1299   0.6555   1.0000
   5.500   1.1459   0.02446   0.01593  -0.1218   0.5392   1.0000
   5.750   1.1376   0.02686   0.01635  -0.1131   0.2857   1.0000
   6.000   1.1412   0.02980   0.01821  -0.1090   0.2000   1.0000
   6.250   1.1552   0.03189   0.01993  -0.1064   0.1737   1.0000
   6.500   1.1759   0.03371   0.02158  -0.1047   0.1589   1.0000
   6.750   1.2030   0.03548   0.02326  -0.1039   0.1461   1.0000
   7.000   1.2388   0.03753   0.02526  -0.1044   0.1378   1.0000
   7.250   1.2751   0.03978   0.02753  -0.1050   0.1319   1.0000
   7.500   1.3088   0.04267   0.03038  -0.1056   0.1261   1.0000
   7.750   1.3350   0.04523   0.03335  -0.1046   0.1230   1.0000
   8.000   1.3600   0.04830   0.03687  -0.1036   0.1221   1.0000
   8.250   1.3804   0.05164   0.04066  -0.1019   0.1215   1.0000
   8.500   1.3960   0.05508   0.04456  -0.0998   0.1205   1.0000
