  
       XFOIL         Version 6.99
  
 Calculated polar for: CAP 21   (TraCFoil)                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0795   0.03269   0.02196  -0.0153   0.4448   0.4356
   0.250   0.1083   0.03286   0.02211  -0.0157   0.4392   0.4426
   0.500   0.1359   0.03313   0.02238  -0.0156   0.4339   0.4508
   0.750   0.1634   0.03356   0.02295  -0.0160   0.4274   0.4611
   1.000   0.1896   0.03393   0.02339  -0.0156   0.4214   0.4718
   1.250   0.2160   0.03458   0.02418  -0.0156   0.4170   0.4831
   1.500   0.2423   0.03540   0.02524  -0.0161   0.4125   0.4958
   1.750   0.2680   0.03609   0.02608  -0.0159   0.4071   0.5120
   2.000   0.2925   0.03691   0.02707  -0.0155   0.4021   0.5337
   2.250   0.3145   0.03814   0.02875  -0.0158   0.3983   0.5596
   2.500   0.3349   0.03944   0.03055  -0.0158   0.3961   0.5986
   2.500   0.3349   0.03944   0.03054  -0.0158   0.3961   0.5986
   2.600   0.3418   0.03990   0.03128  -0.0155   0.3953   0.6209
   2.700   0.3474   0.04028   0.03199  -0.0147   0.3943   0.6543
   3.000   0.4159   0.04195   0.03434  -0.0197   0.3866   0.9994
   3.250   0.4263   0.04471   0.03708  -0.0203   0.3846   0.9994
   3.500   0.4373   0.04773   0.04011  -0.0210   0.3853   0.9994
   3.750   0.4471   0.05099   0.04337  -0.0219   0.3863   0.9994
   4.000   0.4565   0.05441   0.04677  -0.0229   0.3873   0.9994
   4.000   0.4529   0.05490   0.04732  -0.0238   0.3895   0.9994
   4.100   0.4594   0.05596   0.04833  -0.0237   0.3887   0.9994
   4.250   0.4521   0.06065   0.05316  -0.0279   0.4039   0.9994
   5.000   0.3165   0.08152   0.07432  -0.0534   0.5705   0.9994
   5.250   0.3304   0.08369   0.07635  -0.0525   0.5492   0.9994
   5.500   0.3541   0.08650   0.07904  -0.0520   0.5302   0.9994
   5.750   0.3801   0.08974   0.08220  -0.0517   0.5129   0.9994
   5.750   0.3801   0.08974   0.08220  -0.0517   0.5129   0.9994
   5.850   0.3645   0.08948   0.08190  -0.0506   0.5035   0.9994
   5.950   0.3814   0.09108   0.08346  -0.0508   0.4987   0.9994
   6.250   0.4021   0.09463   0.08690  -0.0503   0.4822   0.9994
   6.250   0.4021   0.09463   0.08690  -0.0503   0.4822   0.9994
   6.350   0.3875   0.09463   0.08686  -0.0497   0.4748   0.9994
   6.450   0.3976   0.09582   0.08803  -0.0496   0.4694   0.9994
   6.750   0.4109   0.09898   0.09110  -0.0492   0.4537   0.9994
   7.000   0.4172   0.10142   0.09346  -0.0488   0.4399   0.9994
   7.250   0.4252   0.10400   0.09598  -0.0484   0.4268   0.9994
   7.500   0.4380   0.10697   0.09888  -0.0482   0.4153   0.9994
   7.750   0.4637   0.11058   0.10245  -0.0479   0.4047   0.9994
   8.000   0.4545   0.11223   0.10405  -0.0480   0.3934   0.9994
   8.250   0.4750   0.11624   0.10801  -0.0480   0.3869   0.9994
   8.500   0.4762   0.11821   0.10994  -0.0480   0.3757   0.9994
   8.750   0.4773   0.12093   0.11262  -0.0484   0.3676   0.9994
   9.000   0.5028   0.12481   0.11650  -0.0480   0.3583   0.9994
   9.250   0.4921   0.12641   0.11806  -0.0486   0.3483   0.9994
   9.500   0.5317   0.13213   0.12376  -0.0480   0.3417   0.9994
   9.750   0.5068   0.13224   0.12383  -0.0492   0.3328   0.9994
  10.000   0.5342   0.13690   0.12847  -0.0489   0.3270   0.9994
  10.250   0.5210   0.13840   0.12994  -0.0501   0.3208   0.9994
  10.500   0.5342   0.14162   0.13314  -0.0503   0.3137   0.9994
  10.750   0.5542   0.14659   0.13808  -0.0505   0.3098   0.9994
  11.000   0.5419   0.14716   0.13864  -0.0516   0.3011   0.9994
  11.250   0.5781   0.15350   0.14497  -0.0509   0.2953   0.9994
  11.500   0.5554   0.15317   0.14461  -0.0528   0.2889   0.9994
  11.750   0.5680   0.15646   0.14789  -0.0532   0.2830   0.9994
  12.000   0.6015   0.16353   0.15500  -0.0528   0.2796   0.9994
  12.250   0.5778   0.16251   0.15395  -0.0551   0.2751   0.9994
  12.500   0.5852   0.16524   0.15667  -0.0559   0.2693   0.9994
  12.750   0.6060   0.17008   0.16151  -0.0558   0.2654   0.9994
  13.000   0.6106   0.17349   0.16489  -0.0570   0.2628   0.9994
  13.250   0.6057   0.17416   0.16556  -0.0587   0.2561   0.9994
  13.500   0.6223   0.17814   0.16953  -0.0588   0.2508   0.9994
  13.750   0.6477   0.18539   0.17677  -0.0587   0.2483   0.9994
  14.000   0.6306   0.18361   0.17498  -0.0617   0.2446   0.9994
  14.250   0.6371   0.18610   0.17747  -0.0629   0.2398   0.9994
  14.500   0.6503   0.18975   0.18112  -0.0634   0.2362   0.9994
  14.750   0.6727   0.19621   0.18759  -0.0633   0.2338   0.9994
  15.000   0.6735   0.19836   0.18972  -0.0652   0.2323   0.9994
  15.250   0.6696   0.19837   0.18973  -0.0678   0.2285   0.9994
  15.500   0.6775   0.20101   0.19241  -0.0691   0.2246   0.9994
  15.750   0.6899   0.20456   0.19596  -0.0698   0.2212   0.9994
  16.000   0.7110   0.21118   0.20261  -0.0695   0.2186   0.9994
  16.250   0.7120   0.21283   0.20423  -0.0718   0.2169   0.9994
  16.500   0.7113   0.21287   0.20427  -0.0745   0.2124   0.9994
  16.750   0.7206   0.21567   0.20708  -0.0758   0.2086   0.9994
  17.000   0.7331   0.21938   0.21081  -0.0766   0.2058   0.9994
  17.250   0.7506   0.22550   0.21695  -0.0766   0.2038   0.9994
  17.500   0.7615   0.23050   0.22194  -0.0779   0.2028   0.9994
  17.750   0.7570   0.22852   0.21996  -0.0815   0.2007   0.9994
  18.000   0.7630   0.23033   0.22179  -0.0836   0.1973   0.9994
  18.250   0.7723   0.23317   0.22468  -0.0851   0.1942   0.9994
  18.500   0.7837   0.23667   0.22820  -0.0861   0.1917   0.9994
  18.750   0.7982   0.24193   0.23349  -0.0866   0.1897   0.9994
  18.750   0.7982   0.24193   0.23349  -0.0866   0.1897   0.9994
  18.850   0.8057   0.24528   0.23685  -0.0865   0.1891   0.9994
  18.950   0.8149   0.24995   0.24154  -0.0863   0.1887   0.9994
  19.250   0.8107   0.24690   0.23847  -0.0908   0.1870   0.9994
  19.500   0.8154   0.24772   0.23931  -0.0935   0.1831   0.9994
  19.750   0.8250   0.25054   0.24215  -0.0950   0.1792   0.9994
  20.000   0.8369   0.25446   0.24610  -0.0959   0.1766   0.9994
   0.000   0.0795   0.03269   0.02196  -0.0153   0.4448   0.4356
  -0.250   0.0515   0.03264   0.02172  -0.0151   0.4510   0.4300
  -0.500   0.0224   0.03271   0.02202  -0.0146   0.4585   0.4237
  -0.750  -0.0057   0.03283   0.02210  -0.0144   0.4672   0.4172
  -1.000  -0.0339   0.03310   0.02247  -0.0142   0.4758   0.4112
  -1.250  -0.0632   0.03350   0.02300  -0.0135   0.4845   0.4059
  -1.500  -0.0921   0.03401   0.02358  -0.0131   0.4942   0.4021
  -1.750  -0.1200   0.03460   0.02423  -0.0130   0.5060   0.3989
  -2.000  -0.1488   0.03554   0.02549  -0.0118   0.5196   0.3950
  -2.250  -0.1765   0.03649   0.02669  -0.0109   0.5354   0.3902
  -2.500  -0.2035   0.03734   0.02775  -0.0105   0.5546   0.3861
  -2.750  -0.2295   0.03844   0.02913  -0.0101   0.5789   0.3843
  -3.000  -0.2533   0.03973   0.03087  -0.0097   0.6147   0.3826
  -3.250  -0.2735   0.04138   0.03334  -0.0089   0.6777   0.3810
  -3.500  -0.3787   0.04596   0.03897   0.0093   1.0006   0.3784
  -3.750  -0.3935   0.04884   0.04167   0.0103   1.0006   0.3815
  -3.750  -0.3935   0.04884   0.04167   0.0103   1.0006   0.3815
  -3.850  -0.4001   0.04990   0.04265   0.0103   1.0006   0.3826
  -4.000  -0.3921   0.05483   0.04785   0.0160   1.0006   0.4004
  -4.100  -0.4014   0.05544   0.04833   0.0149   1.0006   0.3984
  -4.750  -0.2447   0.07480   0.06810   0.0419   1.0006   0.6111
  -5.000  -0.2638   0.07711   0.07020   0.0414   1.0006   0.5894
  -5.000  -0.2638   0.07711   0.07020   0.0414   1.0006   0.5894
  -5.100  -0.2880   0.07936   0.07236   0.0425   1.0006   0.5850
  -5.200  -0.2783   0.07907   0.07201   0.0410   1.0006   0.5733
  -5.500  -0.2961   0.08197   0.07474   0.0400   1.0006   0.5495
  -5.750  -0.3119   0.08421   0.07685   0.0391   1.0006   0.5277
  -6.000  -0.3330   0.08700   0.07953   0.0386   1.0006   0.5097
  -6.100  -0.3324   0.08786   0.08035   0.0382   1.0006   0.5036
  -6.500  -0.3577   0.09204   0.08439   0.0374   1.0006   0.4786
  -6.750  -0.3663   0.09444   0.08670   0.0369   1.0006   0.4639
  -7.000  -0.3755   0.09692   0.08914   0.0364   1.0006   0.4491
  -7.250  -0.3855   0.09945   0.09160   0.0359   1.0006   0.4341
  -7.500  -0.3941   0.10200   0.09409   0.0355   1.0006   0.4197
  -7.750  -0.4023   0.10476   0.09678   0.0353   1.0006   0.4079
  -8.000  -0.4390   0.10958   0.10157   0.0350   1.0006   0.3988
  -8.000  -0.4390   0.10958   0.10157   0.0350   1.0006   0.3988
  -8.100  -0.4151   0.10868   0.10063   0.0352   1.0006   0.3928
  -8.200  -0.4209   0.10978   0.10171   0.0351   1.0006   0.3880
  -8.500  -0.4282   0.11315   0.10503   0.0353   1.0006   0.3760
  -8.750  -0.4600   0.11795   0.10979   0.0348   1.0006   0.3671
  -8.750  -0.4600   0.11795   0.10979   0.0348   1.0006   0.3671
  -8.850  -0.4403   0.11716   0.10897   0.0353   1.0006   0.3610
  -8.950  -0.4480   0.11838   0.11018   0.0351   1.0006   0.3562
  -9.250  -0.4535   0.12168   0.11343   0.0354   1.0006   0.3440
  -9.500  -0.4873   0.12685   0.11859   0.0348   1.0006   0.3370
  -9.750  -0.4688   0.12765   0.11934   0.0360   1.0006   0.3276
 -10.000  -0.5016   0.13304   0.12475   0.0354   1.0006   0.3215
 -10.250  -0.4826   0.13372   0.12538   0.0369   1.0006   0.3129
 -10.500  -0.5178   0.13947   0.13113   0.0361   1.0006   0.3058
 -10.750  -0.4972   0.13975   0.13135   0.0377   1.0006   0.2973
