  
       XFOIL         Version 6.99
  
 Calculated polar for: CH10 (smoothed)                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0752   0.11143   0.10645  -0.0790   0.9039   0.2398
   0.250  -0.0439   0.10980   0.10475  -0.0848   0.8962   0.2625
   0.500   0.0010   0.10935   0.10421  -0.0927   0.8918   0.2979
   0.750   0.0168   0.10789   0.10278  -0.0928   0.8887   0.3200
   1.000   0.0369   0.10643   0.10132  -0.0947   0.8810   0.3520
   1.250   0.0620   0.10558   0.10045  -0.0956   0.8767   0.3891
   1.250   0.0620   0.10558   0.10045  -0.0956   0.8767   0.3892
   2.000   0.3667   0.10555   0.09883  -0.1653   0.8605   0.2476
   2.250   0.4575   0.10594   0.09830  -0.1819   0.8585   0.1915
   2.500   0.4771   0.10534   0.09741  -0.1834   0.8496   0.1892
   2.250   0.4575   0.10594   0.09830  -0.1819   0.8585   0.1915
   2.350   0.4485   0.10487   0.09725  -0.1796   0.8535   0.1910
   2.450   0.4673   0.10510   0.09728  -0.1821   0.8508   0.1887
   2.750   0.5315   0.10720   0.09868  -0.1904   0.8456   0.1915
   2.500   0.4771   0.10534   0.09741  -0.1834   0.8496   0.1892
   2.600   0.4978   0.10596   0.09781  -0.1861   0.8477   0.1905
   2.700   0.5201   0.10675   0.09835  -0.1889   0.8462   0.1913
   3.000   0.5614   0.10881   0.09987  -0.1930   0.8416   0.1994
   3.250   0.5817   0.10956   0.10048  -0.1937   0.8332   0.2079
   3.500   0.6247   0.11234   0.10287  -0.1978   0.8293   0.2293
   3.750   0.6285   0.11285   0.10331  -0.1959   0.8218   0.2397
   4.000   0.6592   0.11489   0.10518  -0.1977   0.8157   0.2709
   4.250   0.7011   0.11844   0.10875  -0.2012   0.8129   0.3387
   4.500   0.6960   0.11808   0.10859  -0.1981   0.8031   0.3845
   4.750   0.7304   0.11945   0.11078  -0.1996   0.7987   1.0000
   5.000   0.7304   0.12052   0.11166  -0.1974   0.7910   1.0000
   5.250   0.7565   0.12325   0.11406  -0.1986   0.7843   1.0000
   5.500   0.7634   0.12511   0.11578  -0.1976   0.7782   1.0000
   5.750   0.7817   0.12722   0.11771  -0.1978   0.7701   1.0000
   6.000   0.8078   0.13087   0.12116  -0.1993   0.7661   1.0000
   6.250   0.8069   0.13136   0.12162  -0.1971   0.7559   1.0000
   6.500   0.8407   0.13554   0.12561  -0.1995   0.7516   1.0000
   6.750   0.8317   0.13565   0.12573  -0.1966   0.7421   1.0000
   7.000   0.8623   0.13934   0.12928  -0.1985   0.7368   1.0000
   7.250   0.8569   0.14008   0.13003  -0.1963   0.7285   1.0000
   7.500   0.8827   0.14323   0.13309  -0.1975   0.7222   1.0000
   7.750   0.8831   0.14471   0.13457  -0.1962   0.7152   1.0000
   8.000   0.9038   0.14733   0.13713  -0.1969   0.7077   1.0000
   8.250   0.9133   0.14985   0.13963  -0.1967   0.7027   1.0000
   8.500   0.9245   0.15155   0.14133  -0.1965   0.6935   1.0000
   8.750   0.9506   0.15573   0.14547  -0.1979   0.6893   1.0000
   9.000   0.9453   0.15593   0.14571  -0.1963   0.6796   1.0000
   9.250   0.9764   0.16035   0.15011  -0.1980   0.6747   1.0000
   9.500   0.9671   0.16044   0.15025  -0.1963   0.6658   1.0000
   9.750   0.9931   0.16412   0.15393  -0.1976   0.6601   1.0000
  10.000   0.9897   0.16520   0.15506  -0.1966   0.6529   1.0000
  10.250   1.0106   0.16815   0.15803  -0.1974   0.6456   1.0000
  10.500   1.0156   0.17037   0.16028  -0.1973   0.6404   1.0000
  10.750   1.0274   0.17233   0.16228  -0.1975   0.6318   1.0000
  11.000   1.0503   0.17663   0.16662  -0.1986   0.6276   1.0000
  11.250   1.0463   0.17680   0.16687  -0.1979   0.6182   1.0000
  11.500   1.0735   0.18129   0.17141  -0.1992   0.6133   1.0000
  11.750   1.0659   0.18153   0.17171  -0.1986   0.6056   1.0000
  12.000   1.0878   0.18495   0.17519  -0.1995   0.5990   1.0000
  12.250   1.0893   0.18677   0.17707  -0.1997   0.5937   1.0000
  12.500   1.1018   0.18894   0.17934  -0.2001   0.5856   1.0000
  12.750   1.1218   0.19327   0.18374  -0.2011   0.5813   1.0000
  13.000   1.1189   0.19344   0.18399  -0.2011   0.5724   1.0000
  13.250   1.1438   0.19801   0.18866  -0.2021   0.5673   1.0000
  13.500   1.1377   0.19836   0.18907  -0.2024   0.5604   1.0000
  13.750   1.1565   0.20160   0.19241  -0.2031   0.5533   1.0000
  14.000   1.1625   0.20417   0.19509  -0.2039   0.5490   1.0000
  14.250   1.1700   0.20577   0.19678  -0.2045   0.5404   1.0000
  14.500   1.1945   0.21116   0.20231  -0.2054   0.5357   1.0000
  14.750   1.1867   0.21047   0.20169  -0.2060   0.5274   1.0000
  15.000   1.2090   0.21489   0.20625  -0.2069   0.5216   1.0000
  15.250   1.2057   0.21567   0.20713  -0.2079   0.5151   1.0000
  15.500   1.2227   0.21888   0.21047  -0.2086   0.5074   1.0000
  15.750   1.2280   0.22146   0.21316  -0.2098   0.5027   1.0000
  16.000   1.2376   0.22338   0.21520  -0.2106   0.4934   1.0000
  16.250   1.2501   0.22720   0.21915  -0.2116   0.4885   1.0000
  16.500   1.2545   0.22831   0.22040  -0.2127   0.4788   1.0000
  16.750   1.2689   0.23245   0.22469  -0.2137   0.4733   1.0000
  17.000   1.2734   0.23349   0.22586  -0.2148   0.4629   1.0000
  17.250   1.2824   0.23672   0.22922  -0.2160   0.4566   1.0000
  17.500   1.2975   0.23970   0.23238  -0.2167   0.4455   1.0000
  17.750   1.2967   0.24097   0.23375  -0.2185   0.4368   1.0000
  18.000   1.3147   0.24544   0.23842  -0.2191   0.4274   1.0000
  18.250   1.3298   0.24853   0.24171  -0.2197   0.4139   1.0000
  18.750   1.3348   0.25125   0.24466  -0.2230   0.3885   1.0000
  19.000   1.3963   0.24260   0.23644  -0.2119   0.3067   1.0000
  19.250   1.3758   0.24938   0.24322  -0.2187   0.3122   1.0000
  19.750   1.4762   0.22195   0.21672  -0.1969   0.1995   1.0000
  20.000   1.6436   0.17075   0.16462  -0.1631   0.1090   1.0000
   0.000  -0.0752   0.11143   0.10645  -0.0790   0.9039   0.2398
   0.250  -0.0439   0.10980   0.10475  -0.0848   0.8962   0.2624
   0.150  -0.0562   0.11016   0.10513  -0.0832   0.8988   0.2521
   0.050  -0.0552   0.11132   0.10628  -0.0854   0.9017   0.2500
  -0.250  -0.1035   0.11290   0.10796  -0.0742   0.9074   0.2233
  -0.500  -0.1126   0.11518   0.11020  -0.0772   0.9115   0.2154
  -0.250  -0.1035   0.11290   0.10796  -0.0742   0.9074   0.2233
  -0.350  -0.1117   0.11343   0.10849  -0.0741   0.9089   0.2182
  -0.450  -0.1131   0.11448   0.10952  -0.0760   0.9106   0.2161
  -0.750  -0.1474   0.11707   0.11216  -0.0697   0.9188   0.1993
  -1.000  -0.1827   0.11873   0.11391  -0.0611   0.9228   0.1840
  -1.250  -0.1821   0.12225   0.11734  -0.0669   0.9268   0.1803
  -1.500  -0.2245   0.12372   0.11894  -0.0552   0.9346   0.1651
  -1.750  -0.2150   0.12767   0.12281  -0.0626   0.9374   0.1634
  -2.000  -0.2811   0.12813   0.12345  -0.0421   0.9436   0.1486
  -2.250  -0.2745   0.13230   0.12756  -0.0486   0.9495   0.1467
  -2.500  -0.3267   0.13303   0.12841  -0.0284   0.9545   0.1371
  -2.750  -0.3391   0.13571   0.13111  -0.0277   0.9603   0.1323
  -3.000  -0.3357   0.13967   0.13503  -0.0328   0.9646   0.1301
  -3.250  -0.3659   0.14118   0.13657  -0.0202   0.9703   0.1265
  -3.500  -0.3745   0.14313   0.13852  -0.0159   0.9764   0.1216
  -3.750  -0.3885   0.14521   0.14062  -0.0134   0.9809   0.1167
  -4.000  -0.3958   0.14970   0.14511  -0.0171   0.9853   0.1134
  -4.250  -0.4038   0.15406   0.14945  -0.0170   0.9885   0.1119
  -4.500  -0.4116   0.15282   0.14821  -0.0068   0.9948   0.1097
  -4.750  -0.4164   0.15362   0.14900  -0.0031   0.9989   0.1064
  -5.000  -0.4122   0.15505   0.15040  -0.0035   1.0000   0.1042
  -5.250  -0.4058   0.15658   0.15190  -0.0048   1.0000   0.1023
  -5.500  -0.4018   0.15842   0.15370  -0.0061   1.0000   0.1005
  -5.750  -0.4027   0.16109   0.15634  -0.0074   1.0000   0.0985
  -6.000  -0.4384   0.17299   0.16827  -0.0094   1.0000   0.0958
  -6.250  -0.4251   0.17236   0.16759  -0.0089   1.0000   0.0956
  -6.500  -0.4076   0.17155   0.16671  -0.0102   1.0000   0.0953
  -6.750  -0.3922   0.17079   0.16588  -0.0112   1.0000   0.0950
  -7.000  -0.3795   0.17025   0.16529  -0.0118   1.0000   0.0943
  -7.250  -0.3705   0.17037   0.16536  -0.0122   1.0000   0.0931
  -7.500  -0.3647   0.17121   0.16616  -0.0127   1.0000   0.0916
  -7.750  -0.3606   0.17247   0.16738  -0.0132   1.0000   0.0899
  -8.000  -0.3577   0.17394   0.16883  -0.0138   1.0000   0.0882
  -8.250  -0.3555   0.17555   0.17041  -0.0145   1.0000   0.0866
  -8.500  -0.3541   0.17734   0.17217  -0.0152   1.0000   0.0850
  -8.750  -0.3541   0.17953   0.17433  -0.0161   1.0000   0.0835
  -9.000  -0.3588   0.18330   0.17809  -0.0173   1.0000   0.0819
  -9.250  -0.3798   0.19380   0.18858  -0.0188   1.0000   0.0804
  -9.500  -0.3673   0.19226   0.18698  -0.0190   1.0000   0.0802
  -9.750  -0.3560   0.19077   0.18543  -0.0191   1.0000   0.0798
 -10.000  -0.3468   0.18969   0.18429  -0.0192   1.0000   0.0793
 -10.250  -0.3404   0.18943   0.18398  -0.0193   1.0000   0.0782
 -10.500  -0.3366   0.19008   0.18460  -0.0196   1.0000   0.0768
 -10.750  -0.3341   0.19124   0.18572  -0.0200   1.0000   0.0753
 -11.000  -0.3322   0.19261   0.18705  -0.0205   1.0000   0.0739
 -11.250  -0.3308   0.19409   0.18850  -0.0211   1.0000   0.0725
 -11.500  -0.3297   0.19568   0.19007  -0.0217   1.0000   0.0713
 -11.750  -0.3290   0.19743   0.19178  -0.0224   1.0000   0.0702
 -12.000  -0.3291   0.19953   0.19385  -0.0232   1.0000   0.0691
 -12.250  -0.3314   0.20267   0.19697  -0.0242   1.0000   0.0680
 -12.750  -0.3432   0.21377   0.20800  -0.0263   1.0000   0.0667
 -13.000  -0.3349   0.21229   0.20646  -0.0265   1.0000   0.0665
 -13.250  -0.3278   0.21107   0.20519  -0.0267   1.0000   0.0663
 -13.500  -0.3221   0.21032   0.20439  -0.0269   1.0000   0.0659
 -13.750  -0.3178   0.21019   0.20421  -0.0271   1.0000   0.0653
 -14.000  -0.3148   0.21067   0.20465  -0.0276   1.0000   0.0644
 -14.250  -0.3125   0.21156   0.20549  -0.0281   1.0000   0.0635
 -14.500  -0.3106   0.21264   0.20653  -0.0287   1.0000   0.0625
 -14.750  -0.3089   0.21382   0.20768  -0.0293   1.0000   0.0616
 -14.500  -0.3106   0.21264   0.20653  -0.0287   1.0000   0.0625
 -14.600  -0.3099   0.21310   0.20698  -0.0289   1.0000   0.0621
 -14.700  -0.3092   0.21358   0.20745  -0.0292   1.0000   0.0617
 -15.000  -0.3072   0.21505   0.20887  -0.0300   1.0000   0.0606
 -15.250  -0.3057   0.21633   0.21010  -0.0308   1.0000   0.0597
 -15.500  -0.3043   0.21766   0.21139  -0.0316   1.0000   0.0588
 -15.750  -0.3031   0.21913   0.21282  -0.0325   1.0000   0.0579
 -16.000  -0.3024   0.22095   0.21460  -0.0336   1.0000   0.0570
 -16.250  -0.3031   0.22383   0.21743  -0.0348   1.0000   0.0562
 -16.750  -0.3069   0.23212   0.22562  -0.0371   1.0000   0.0552
 -17.000  -0.2998   0.23018   0.22361  -0.0377   1.0000   0.0550
 -17.250  -0.2940   0.22890   0.22226  -0.0384   1.0000   0.0547
 -17.500  -0.2895   0.22834   0.22163  -0.0391   1.0000   0.0543
 -17.750  -0.2859   0.22838   0.22161  -0.0400   1.0000   0.0538
 -18.000  -0.2829   0.22882   0.22200  -0.0410   1.0000   0.0531
 -18.250  -0.2802   0.22946   0.22259  -0.0421   1.0000   0.0524
 -18.500  -0.2777   0.23019   0.22326  -0.0432   1.0000   0.0517
 -18.750  -0.2754   0.23098   0.22398  -0.0444   1.0000   0.0510
 -19.000  -0.2732   0.23180   0.22473  -0.0455   1.0000   0.0503
 -18.750  -0.2754   0.23098   0.22398  -0.0444   1.0000   0.0510
 -18.850  -0.2745   0.23130   0.22427  -0.0448   1.0000   0.0507
 -18.950  -0.2736   0.23163   0.22458  -0.0453   1.0000   0.0505
 -19.250  -0.2712   0.23265   0.22552  -0.0467   1.0000   0.0497
 -19.500  -0.2697   0.23357   0.22638  -0.0478   1.0000   0.0490
 -19.750  -0.2685   0.23460   0.22734  -0.0489   1.0000   0.0483
 -20.000  -0.2681   0.23583   0.22851  -0.0499   1.0000   0.0477
