  
       XFOIL         Version 6.99
  
 Calculated polar for: Coanda 3                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0885   0.02057   0.01093  -0.0177   1.0000   1.0000
   0.250   0.1080   0.02101   0.01085  -0.0164   1.0000   1.0000
   0.500   0.1257   0.02147   0.01099  -0.0151   1.0000   1.0000
   0.750   0.1427   0.02196   0.01127  -0.0139   1.0000   1.0000
   1.000   0.1594   0.02249   0.01165  -0.0128   1.0000   1.0000
   1.250   0.1758   0.02306   0.01211  -0.0118   1.0000   1.0000
   1.500   0.1919   0.02369   0.01266  -0.0110   1.0000   1.0000
   1.750   0.2077   0.02436   0.01330  -0.0102   1.0000   1.0000
   2.000   0.2230   0.02512   0.01403  -0.0095   1.0000   1.0000
   2.250   0.2839   0.02659   0.01556  -0.0178   0.9795   1.0000
   2.500   0.3538   0.02772   0.01682  -0.0272   0.9499   1.0000
   2.750   0.4286   0.02831   0.01767  -0.0364   0.9176   1.0000
   3.000   0.4990   0.02812   0.01777  -0.0436   0.8801   1.0000
   3.250   0.5771   0.02695   0.01708  -0.0505   0.8390   1.0000
   3.500   0.6658   0.02457   0.01521  -0.0576   0.7942   1.0000
   3.750   0.7344   0.02244   0.01349  -0.0605   0.7360   1.0000
   4.000   0.7834   0.02169   0.01273  -0.0610   0.6661   1.0000
   4.250   0.8134   0.02206   0.01298  -0.0596   0.6065   1.0000
   4.500   0.8404   0.02268   0.01349  -0.0583   0.5598   1.0000
   4.750   0.8550   0.02309   0.01372  -0.0546   0.5093   1.0000
   5.000   0.8652   0.02348   0.01389  -0.0503   0.4578   1.0000
   5.250   0.8845   0.02424   0.01461  -0.0482   0.4229   1.0000
   5.500   0.8978   0.02491   0.01527  -0.0451   0.3860   1.0000
   5.750   0.9085   0.02549   0.01585  -0.0416   0.3495   1.0000
   6.000   0.9081   0.02591   0.01622  -0.0364   0.3007   1.0000
   6.250   0.9054   0.02646   0.01664  -0.0309   0.2297   1.0000
   6.500   0.9085   0.02844   0.01790  -0.0269   0.1320   1.0000
   6.750   0.9216   0.03069   0.01980  -0.0243   0.0995   1.0000
   7.000   0.9379   0.03270   0.02179  -0.0221   0.0882   1.0000
   7.250   0.9584   0.03500   0.02408  -0.0205   0.0809   1.0000
   7.500   0.9826   0.03728   0.02666  -0.0193   0.0745   1.0000
   7.750   1.0076   0.04029   0.02970  -0.0187   0.0695   1.0000
   8.000   1.0313   0.04350   0.03338  -0.0175   0.0681   1.0000
   8.250   1.0486   0.04715   0.03751  -0.0158   0.0679   1.0000
   8.500   1.0594   0.05102   0.04184  -0.0134   0.0683   1.0000
   8.750   1.0648   0.05512   0.04637  -0.0108   0.0689   1.0000
   9.000   1.0673   0.05931   0.05089  -0.0083   0.0697   1.0000
   9.250   1.0691   0.06401   0.05584  -0.0061   0.0705   1.0000
   9.500   1.0529   0.06711   0.05949  -0.0020   0.0717   1.0000
   9.750   1.0217   0.07080   0.06360   0.0022   0.0730   1.0000
  10.000   0.9916   0.07481   0.06785   0.0051   0.0739   1.0000
  10.250   0.9613   0.07960   0.07282   0.0057   0.0749   1.0000
