  
       XFOIL         Version 6.99
  
 Calculated polar for: cr001sm                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1713   0.02177   0.01310  -0.0651   1.0000   1.0000
   0.250   0.1916   0.02239   0.01323  -0.0647   1.0000   1.0000
   0.500   0.2112   0.02306   0.01357  -0.0644   1.0000   1.0000
   0.750   0.2301   0.02379   0.01402  -0.0641   1.0000   1.0000
   1.000   0.2485   0.02458   0.01459  -0.0639   1.0000   1.0000
   1.250   0.2664   0.02544   0.01526  -0.0637   1.0000   1.0000
   1.500   0.2839   0.02635   0.01602  -0.0636   1.0000   1.0000
   1.750   0.3299   0.02777   0.01724  -0.0687   0.9868   1.0000
   2.000   0.3771   0.02907   0.01840  -0.0739   0.9702   1.0000
   2.250   0.4213   0.03021   0.01945  -0.0783   0.9529   1.0000
   2.500   0.4663   0.03128   0.02046  -0.0826   0.9358   1.0000
   2.750   0.5137   0.03225   0.02141  -0.0870   0.9189   1.0000
   3.000   0.5506   0.03304   0.02221  -0.0895   0.8998   1.0000
   3.250   0.5913   0.03375   0.02298  -0.0923   0.8810   1.0000
   3.500   0.6395   0.03424   0.02354  -0.0959   0.8628   1.0000
   3.750   0.6739   0.03474   0.02414  -0.0972   0.8419   1.0000
   4.000   0.7203   0.03485   0.02442  -0.0997   0.8221   1.0000
   4.250   0.7635   0.03481   0.02454  -0.1015   0.8015   1.0000
   4.500   0.8089   0.03444   0.02437  -0.1030   0.7804   1.0000
   4.750   0.8669   0.03326   0.02351  -0.1054   0.7606   1.0000
   5.000   0.9098   0.03242   0.02290  -0.1056   0.7372   1.0000
   5.250   0.9542   0.03132   0.02205  -0.1055   0.7126   1.0000
   5.500   1.0004   0.02993   0.02096  -0.1052   0.6855   1.0000
   5.750   1.0407   0.02881   0.02004  -0.1040   0.6538   1.0000
   6.000   1.0802   0.02778   0.01915  -0.1026   0.6179   1.0000
   6.250   1.1096   0.02746   0.01885  -0.1004   0.5770   1.0000
   6.500   1.1355   0.02749   0.01881  -0.0979   0.5331   1.0000
   6.750   1.1558   0.02796   0.01920  -0.0950   0.4876   1.0000
   7.000   1.1744   0.02863   0.01976  -0.0922   0.4420   1.0000
   7.250   1.1915   0.02949   0.02051  -0.0893   0.3967   1.0000
   7.500   1.2070   0.03054   0.02138  -0.0864   0.3518   1.0000
   7.750   1.2205   0.03182   0.02241  -0.0834   0.3067   1.0000
   8.000   1.2331   0.03348   0.02373  -0.0805   0.2617   1.0000
   8.250   1.2439   0.03556   0.02557  -0.0776   0.2187   1.0000
   8.500   1.2548   0.03795   0.02791  -0.0748   0.1823   1.0000
   8.750   1.2697   0.04064   0.03056  -0.0726   0.1539   1.0000
   9.000   1.2855   0.04359   0.03356  -0.0707   0.1336   1.0000
   9.250   1.3015   0.04688   0.03708  -0.0689   0.1198   1.0000
   9.500   1.3173   0.05017   0.04048  -0.0674   0.1089   1.0000
   9.750   1.3237   0.05426   0.04523  -0.0645   0.1044   1.0000
  10.000   1.3415   0.05816   0.04912  -0.0636   0.0978   1.0000
  10.250   1.3357   0.06229   0.05386  -0.0601   0.0957   1.0000
  10.500   1.3253   0.06645   0.05856  -0.0567   0.0942   1.0000
  10.750   1.3118   0.07077   0.06330  -0.0535   0.0935   1.0000
  11.000   1.2939   0.07504   0.06791  -0.0504   0.0935   1.0000
  11.250   1.2720   0.07927   0.07239  -0.0476   0.0939   1.0000
  11.500   1.2490   0.08392   0.07725  -0.0458   0.0945   1.0000
  11.750   1.2252   0.08913   0.08263  -0.0454   0.0953   1.0000
  12.000   1.2026   0.09497   0.08860  -0.0461   0.0961   1.0000
  12.250   1.1831   0.10135   0.09508  -0.0478   0.0969   1.0000
  12.250   1.1733   0.10195   0.09574  -0.0488   0.0982   1.0000
  12.350   1.1707   0.10433   0.09814  -0.0492   0.0978   1.0000
  12.450   1.1701   0.10679   0.10061  -0.0496   0.0974   1.0000
  12.500   1.1045   0.11817   0.11205  -0.0607   0.1113   1.0000
  12.600   1.1048   0.12046   0.11434  -0.0610   0.1107   1.0000
  13.250   0.9738   0.17412   0.16737  -0.1051   0.2591   1.0000
  13.500   0.9742   0.17809   0.17135  -0.1067   0.2523   1.0000
  13.750   0.9861   0.18384   0.17714  -0.1073   0.2465   1.0000
  14.000   1.0030   0.18945   0.18282  -0.1068   0.2335   1.0000
  14.250   0.9859   0.19080   0.18408  -0.1107   0.2294   1.0000
  14.500   1.0056   0.19690   0.19027  -0.1102   0.2205   1.0000
  14.750   0.9986   0.19967   0.19297  -0.1133   0.2172   1.0000
  15.000   1.0017   0.20298   0.19629  -0.1151   0.2098   1.0000
  15.250   1.0141   0.20872   0.20206  -0.1156   0.2045   1.0000
  15.500   1.0120   0.21071   0.20403  -0.1183   0.1964   1.0000
  15.750   1.0250   0.21640   0.20975  -0.1187   0.1905   1.0000
  16.000   1.0229   0.21825   0.21156  -0.1217   0.1838   1.0000
  16.250   1.0529   0.22859   0.22205  -0.1196   0.1779   1.0000
  16.500   1.0384   0.22696   0.22029  -0.1247   0.1755   1.0000
  16.750   1.0420   0.22974   0.22311  -0.1269   0.1692   1.0000
  17.000   1.0633   0.23819   0.23162  -0.1259   0.1638   1.0000
  17.250   1.0553   0.23744   0.23080  -0.1306   0.1601   1.0000
  17.500   1.0657   0.24150   0.23490  -0.1314   0.1529   1.0000
  17.750   1.0764   0.24727   0.24068  -0.1325   0.1495   1.0000
