  
       XFOIL         Version 6.99
  
 Calculated polar for: davissm                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2666   0.04122   0.03215  -0.1049   1.0000   0.1974
   0.250   0.3019   0.04037   0.03083  -0.1071   1.0000   0.1807
   0.500   0.3352   0.03998   0.02988  -0.1087   1.0000   0.1708
   0.750   0.3655   0.03979   0.02938  -0.1101   1.0000   0.1698
   1.000   0.3941   0.03989   0.02927  -0.1115   1.0000   0.1778
   1.250   0.4212   0.04022   0.02926  -0.1122   1.0000   0.1826
   1.500   0.4575   0.04052   0.02930  -0.1145   0.9973   0.1908
   1.750   0.5150   0.04069   0.02940  -0.1207   0.9881   0.2282
   2.000   0.5686   0.03911   0.02963  -0.1264   0.9788   0.9584
   2.250   0.6136   0.04017   0.02971  -0.1298   0.9662   1.0000
   2.500   0.6543   0.04123   0.03052  -0.1334   0.9528   1.0000
   2.750   0.6922   0.04226   0.03143  -0.1365   0.9389   1.0000
   3.000   0.7286   0.04327   0.03237  -0.1392   0.9246   1.0000
   3.250   0.7635   0.04426   0.03333  -0.1415   0.9102   1.0000
   3.500   0.7974   0.04523   0.03434  -0.1435   0.8956   1.0000
   3.750   0.8308   0.04615   0.03531  -0.1453   0.8810   1.0000
   4.000   0.8639   0.04704   0.03627  -0.1469   0.8662   1.0000
   4.250   0.8963   0.04790   0.03723  -0.1483   0.8514   1.0000
   4.500   0.9283   0.04872   0.03822  -0.1495   0.8367   1.0000
   4.750   0.9502   0.04982   0.03945  -0.1492   0.8205   1.0000
   5.000   0.9748   0.05085   0.04065  -0.1492   0.8050   1.0000
   5.250   0.9999   0.05188   0.04186  -0.1492   0.7897   1.0000
   5.500   1.0247   0.05293   0.04316  -0.1492   0.7747   1.0000
   5.750   1.0506   0.05374   0.04420  -0.1489   0.7584   1.0000
   6.000   1.1217   0.04934   0.04025  -0.1495   0.7294   1.0000
   6.250   1.2508   0.03610   0.02793  -0.1495   0.6897   1.0000
   6.500   1.2914   0.02948   0.02158  -0.1409   0.6143   1.0000
   6.750   1.2900   0.02833   0.01979  -0.1302   0.4643   1.0000
   7.000   1.2707   0.03122   0.02097  -0.1213   0.2600   1.0000
   7.250   1.2596   0.03459   0.02343  -0.1156   0.1897   1.0000
   7.500   1.2589   0.03723   0.02576  -0.1112   0.1643   1.0000
   7.750   1.2651   0.03972   0.02803  -0.1077   0.1454   1.0000
   8.000   1.3042   0.04213   0.03034  -0.1080   0.1268   1.0000
   8.100   1.3404   0.04369   0.03171  -0.1111   0.1175   1.0000
   8.200   1.3639   0.04502   0.03302  -0.1125   0.1111   1.0000
   8.500   1.4296   0.05023   0.03853  -0.1160   0.1045   1.0000
   8.750   1.4540   0.05359   0.04238  -0.1148   0.1000   1.0000
   9.000   1.4773   0.05753   0.04671  -0.1136   0.0977   1.0000
   9.250   1.4923   0.06167   0.05150  -0.1110   0.0990   1.0000
   9.500   1.5012   0.06611   0.05656  -0.1080   0.1013   1.0000
   9.750   1.5071   0.07089   0.06184  -0.1049   0.1037   1.0000
  10.000   1.5102   0.07588   0.06723  -0.1020   0.1054   1.0000
  10.250   1.5144   0.08143   0.07308  -0.0997   0.1066   1.0000
  10.500   1.4903   0.08427   0.07662  -0.0937   0.1098   1.0000
  10.750   1.4551   0.08828   0.08114  -0.0879   0.1133   1.0000
  11.000   1.4283   0.09263   0.08576  -0.0837   0.1160   1.0000
  11.250   1.4088   0.09767   0.09099  -0.0810   0.1182   1.0000
  11.500   1.4044   0.10363   0.09711  -0.0799   0.1217   1.0000
  11.750   1.3372   0.10884   0.10262  -0.0790   0.1239   1.0000
  12.000   1.2872   0.11721   0.11113  -0.0825   0.1255   1.0000
  12.250   1.2433   0.12802   0.12198  -0.0893   0.1275   1.0000
  12.750   0.9739   0.13447   0.12859  -0.0762   0.1360   1.0000
  12.750   0.9739   0.13447   0.12859  -0.0762   0.1360   1.0000
  12.850   0.9846   0.13461   0.12876  -0.0745   0.1348   1.0000
  13.250   1.1147   0.19105   0.18457  -0.1410   0.2921   1.0000
  13.500   1.1330   0.19741   0.19100  -0.1412   0.2880   1.0000
  13.750   1.1208   0.19969   0.19320  -0.1439   0.2813   1.0000
  13.750   1.1208   0.19970   0.19322  -0.1439   0.2813   1.0000
  13.850   1.1245   0.20135   0.19487  -0.1441   0.2775   1.0000
  13.950   1.1372   0.20440   0.19797  -0.1434   0.2742   1.0000
  14.250   1.1310   0.20768   0.20120  -0.1462   0.2650   1.0000
  14.500   1.1575   0.21563   0.20924  -0.1452   0.2589   1.0000
  14.250   1.1310   0.20769   0.20120  -0.1462   0.2650   1.0000
  14.350   1.1367   0.20966   0.20319  -0.1463   0.2621   1.0000
  14.450   1.1475   0.21280   0.20637  -0.1458   0.2599   1.0000
  14.750   1.1419   0.21567   0.20919  -0.1489   0.2506   1.0000
  15.000   1.1637   0.22305   0.21663  -0.1481   0.2440   1.0000
  15.250   1.1556   0.22359   0.21712  -0.1513   0.2346   1.0000
  15.500   1.1630   0.22801   0.22154  -0.1525   0.2276   1.0000
  15.750   1.1837   0.23491   0.22854  -0.1512   0.2160   1.0000
  16.000   1.1737   0.23447   0.22804  -0.1555   0.2077   1.0000
  16.250   1.1818   0.23868   0.23224  -0.1565   0.1993   1.0000
  16.500   1.2090   0.24795   0.24162  -0.1539   0.1886   1.0000
  16.750   1.1930   0.24541   0.23897  -0.1601   0.1832   1.0000
  17.000   1.2182   0.25467   0.24832  -0.1575   0.1747   1.0000
  17.250   1.2063   0.25261   0.24618  -0.1636   0.1695   1.0000
  17.500   1.2334   0.26318   0.25685  -0.1603   0.1612   1.0000
  17.750   1.2207   0.26014   0.25371  -0.1671   0.1575   1.0000
  18.000   1.2327   0.26472   0.25834  -0.1673   0.1493   1.0000
  18.250   1.2364   0.26796   0.26155  -0.1702   0.1455   1.0000
  18.500   1.2422   0.27049   0.26409  -0.1725   0.1377   1.0000
  18.750   1.2537   0.27651   0.27016  -0.1729   0.1332   1.0000
  19.000   1.2541   0.27711   0.27074  -0.1773   0.1275   1.0000
  19.250   1.2710   0.28461   0.27832  -0.1757   0.1215   1.0000
  19.500   1.2734   0.28687   0.28054  -0.1795   0.1197   1.0000
  19.750   1.2752   0.28766   0.28130  -0.1840   0.1152   1.0000
  20.000   1.2843   0.29156   0.28524  -0.1853   0.1105   1.0000
   0.000   0.2666   0.04122   0.03215  -0.1049   1.0000   0.1974
  -0.250   0.2260   0.04237   0.03389  -0.1015   1.0000   0.2253
  -1.250  -0.0865   0.04877   0.04293  -0.0393   1.0000   0.5558
  -1.950  -0.1020   0.05579   0.04968  -0.0520   1.0000   0.3677
  -2.250  -0.1181   0.05892   0.05274  -0.0539   1.0000   0.3201
  -2.100  -0.1115   0.05726   0.05113  -0.0525   1.0000   0.3386
  -2.200  -0.1181   0.05825   0.05210  -0.0527   1.0000   0.3229
  -2.500  -0.1322   0.06191   0.05567  -0.0549   1.0000   0.2890
  -2.750  -0.1597   0.06389   0.05773  -0.0512   1.0000   0.2481
  -2.500  -0.1322   0.06191   0.05567  -0.0549   1.0000   0.2890
  -2.600  -0.1394   0.06290   0.05667  -0.0547   1.0000   0.2748
  -2.700  -0.1593   0.06331   0.05716  -0.0501   1.0000   0.2516
  -3.000  -0.1703   0.06728   0.06104  -0.0528   1.0000   0.2304
  -2.750  -0.1597   0.06389   0.05773  -0.0512   1.0000   0.2482
  -2.850  -0.1596   0.06558   0.05935  -0.0533   1.0000   0.2449
  -2.950  -0.1702   0.06633   0.06013  -0.0519   1.0000   0.2316
  -3.250  -0.2024   0.06936   0.06326  -0.0467   1.0000   0.2040
  -3.500  -0.2227   0.07224   0.06617  -0.0444   1.0000   0.1889
  -3.750  -0.2456   0.07508   0.06905  -0.0405   1.0000   0.1751
  -3.500  -0.2227   0.07224   0.06617  -0.0444   1.0000   0.1890
