  
       XFOIL         Version 6.99
  
 Calculated polar for: DF102                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0618   0.02301   0.01354  -0.0104   1.0000   1.0000
   0.250  -0.0451   0.02356   0.01391  -0.0099   1.0000   1.0000
   0.500  -0.0284   0.02414   0.01435  -0.0094   1.0000   1.0000
   0.750  -0.0071   0.02487   0.01494  -0.0099   0.9980   1.0000
   1.000   0.0416   0.02629   0.01622  -0.0155   0.9844   1.0000
   1.250   0.0889   0.02764   0.01745  -0.0206   0.9703   1.0000
   1.500   0.1330   0.02885   0.01858  -0.0250   0.9552   1.0000
   1.750   0.1738   0.02986   0.01954  -0.0285   0.9376   1.0000
   2.000   0.2311   0.03085   0.02051  -0.0343   0.9129   1.0000
   2.250   0.2840   0.03140   0.02106  -0.0386   0.8853   1.0000
   2.500   0.3354   0.03174   0.02144  -0.0422   0.8601   1.0000
   2.750   0.3919   0.03184   0.02161  -0.0462   0.8373   1.0000
   3.000   0.4334   0.03183   0.02168  -0.0477   0.8132   1.0000
   3.250   0.5070   0.03081   0.02084  -0.0528   0.7904   1.0000
   3.500   0.5495   0.03008   0.02024  -0.0531   0.7644   1.0000
   3.750   0.5985   0.02876   0.01908  -0.0533   0.7374   1.0000
   4.000   0.6471   0.02711   0.01756  -0.0529   0.7072   1.0000
   4.250   0.6967   0.02509   0.01559  -0.0518   0.6708   1.0000
   4.500   0.7262   0.02410   0.01453  -0.0487   0.6201   1.0000
   4.750   0.7529   0.02356   0.01371  -0.0455   0.5596   1.0000
   5.000   0.7760   0.02377   0.01350  -0.0428   0.5033   1.0000
   5.250   0.7975   0.02443   0.01382  -0.0407   0.4591   1.0000
   5.500   0.8188   0.02533   0.01452  -0.0391   0.4244   1.0000
   5.750   0.8421   0.02630   0.01527  -0.0379   0.3974   1.0000
   6.000   0.8651   0.02737   0.01625  -0.0369   0.3747   1.0000
   6.250   0.8906   0.02856   0.01731  -0.0363   0.3569   1.0000
   6.250   0.8906   0.02856   0.01731  -0.0363   0.3568   1.0000
   6.350   0.8984   0.02911   0.01794  -0.0358   0.3502   1.0000
   6.450   0.9086   0.02958   0.01837  -0.0355   0.3438   1.0000
   6.750   0.9379   0.03115   0.01985  -0.0348   0.3266   1.0000
   7.000   0.9584   0.03266   0.02157  -0.0337   0.3148   1.0000
   7.250   0.9795   0.03440   0.02347  -0.0329   0.3056   1.0000
   7.500   1.0053   0.03601   0.02503  -0.0326   0.2965   1.0000
   7.750   1.0183   0.03799   0.02740  -0.0308   0.2880   1.0000
   7.750   1.0183   0.03799   0.02740  -0.0308   0.2880   1.0000
   7.850   1.0281   0.03862   0.02802  -0.0306   0.2846   1.0000
   7.950   1.0399   0.03931   0.02861  -0.0307   0.2813   1.0000
   8.250   1.0498   0.04228   0.03218  -0.0283   0.2747   1.0000
   8.500   1.0664   0.04460   0.03470  -0.0272   0.2698   1.0000
   8.750   1.0816   0.04721   0.03749  -0.0262   0.2653   1.0000
   9.000   1.0773   0.05061   0.04137  -0.0236   0.2618   1.0000
   9.250   1.0752   0.05396   0.04504  -0.0215   0.2579   1.0000
   9.500   1.1012   0.05606   0.04712  -0.0212   0.2522   1.0000
   9.750   1.0905   0.06043   0.05184  -0.0190   0.2512   1.0000
  10.000   1.0688   0.06554   0.05721  -0.0168   0.2513   1.0000
  10.000   1.0688   0.06554   0.05721  -0.0168   0.2513   1.0000
  10.100   1.0590   0.06773   0.05949  -0.0161   0.2514   1.0000
  10.200   1.0492   0.06998   0.06181  -0.0154   0.2517   1.0000
  10.500   0.7949   0.10583   0.09728  -0.0323   0.2968   1.0000
  11.250   0.7045   0.13568   0.12701  -0.0525   0.4156   1.0000
  11.500   0.6876   0.13695   0.12825  -0.0525   0.4050   1.0000
  11.750   0.7020   0.14129   0.13265  -0.0532   0.3990   1.0000
  12.000   0.7098   0.14420   0.13562  -0.0534   0.3875   1.0000
  12.250   0.7063   0.14663   0.13805  -0.0538   0.3767   1.0000
  12.500   0.7172   0.15039   0.14188  -0.0543   0.3677   1.0000
  12.750   0.7304   0.15393   0.14549  -0.0546   0.3577   1.0000
  13.000   0.7264   0.15652   0.14808  -0.0556   0.3499   1.0000
  13.250   0.7518   0.16173   0.15342  -0.0558   0.3417   1.0000
  13.500   0.7401   0.16301   0.15468  -0.0570   0.3325   1.0000
  13.750   0.7549   0.16740   0.15914  -0.0574   0.3242   1.0000
  14.000   0.7649   0.17055   0.16236  -0.0579   0.3130   1.0000
  14.250   0.7616   0.17302   0.16486  -0.0593   0.3063   1.0000
  14.500   0.7806   0.17774   0.16969  -0.0596   0.2977   1.0000
  14.750   0.7743   0.17956   0.17149  -0.0613   0.2902   1.0000
  15.000   0.7981   0.18563   0.17768  -0.0612   0.2809   1.0000
  15.250   0.7900   0.18618   0.17823  -0.0631   0.2715   1.0000
  15.500   0.8073   0.19193   0.18407  -0.0635   0.2657   1.0000
  15.750   0.8048   0.19311   0.18527  -0.0653   0.2557   1.0000
  16.000   0.8112   0.19686   0.18906  -0.0665   0.2485   1.0000
  16.250   0.8257   0.20128   0.19360  -0.0669   0.2384   1.0000
  16.500   0.8230   0.20342   0.19572  -0.0693   0.2323   1.0000
  16.750   0.8491   0.21149   0.20393  -0.0685   0.2216   1.0000
  17.000   0.8355   0.21004   0.20242  -0.0721   0.2154   1.0000
  17.250   0.8549   0.21688   0.20935  -0.0719   0.2062   1.0000
  17.500   0.8494   0.21695   0.20940  -0.0749   0.1983   1.0000
  17.750   0.8661   0.22352   0.21603  -0.0750   0.1912   1.0000
  18.000   0.8632   0.22396   0.21646  -0.0779   0.1831   1.0000
  18.250   0.8814   0.23137   0.22394  -0.0778   0.1768   1.0000
  18.500   0.8761   0.23096   0.22349  -0.0814   0.1704   1.0000
  18.750   0.9010   0.24074   0.23339  -0.0801   0.1628   1.0000
  19.000   0.8917   0.23860   0.23115  -0.0846   0.1597   1.0000
  19.250   0.8996   0.24170   0.23431  -0.0861   0.1523   1.0000
  19.500   0.9144   0.24875   0.24140  -0.0864   0.1480   1.0000
  19.750   0.9118   0.24842   0.24103  -0.0902   0.1440   1.0000
  20.000   0.9207   0.25189   0.24452  -0.0917   0.1384   1.0000
   0.000  -0.0618   0.02301   0.01354  -0.0104   1.0000   1.0000
  -0.250  -0.0785   0.02252   0.01323  -0.0110   1.0000   1.0000
  -0.500  -0.0950   0.02206   0.01299  -0.0117   1.0000   1.0000
  -0.750  -0.1114   0.02166   0.01282  -0.0123   1.0000   1.0000
  -1.000  -0.1277   0.02130   0.01277  -0.0130   1.0000   1.0000
  -1.250  -0.1437   0.02103   0.01284  -0.0135   1.0000   1.0000
  -1.500  -0.1570   0.02101   0.01337  -0.0135   1.0000   1.0000
  -1.750  -0.2485   0.02175   0.01348  -0.0030   1.0000   0.6945
  -2.000  -0.2658   0.02229   0.01372  -0.0052   1.0000   0.6298
  -2.250  -0.2848   0.02274   0.01404  -0.0068   1.0000   0.5820
  -2.500  -0.3045   0.02318   0.01442  -0.0082   1.0000   0.5428
  -2.750  -0.3234   0.02364   0.01485  -0.0097   1.0000   0.5079
  -3.000  -0.3416   0.02414   0.01537  -0.0113   1.0000   0.4731
  -3.250  -0.3594   0.02463   0.01579  -0.0132   1.0000   0.4357
  -3.500  -0.3756   0.02504   0.01611  -0.0154   1.0000   0.3914
  -3.750  -0.3902   0.02538   0.01623  -0.0179   1.0000   0.3391
  -4.000  -0.4043   0.02589   0.01654  -0.0205   1.0000   0.2707
  -4.250  -0.4203   0.02686   0.01717  -0.0228   1.0000   0.2075
  -4.500  -0.4389   0.02812   0.01821  -0.0245   1.0000   0.1744
  -4.750  -0.4585   0.02964   0.01995  -0.0261   1.0000   0.1538
  -5.000  -0.4776   0.03134   0.02182  -0.0276   1.0000   0.1417
  -5.250  -0.4962   0.03312   0.02369  -0.0292   1.0000   0.1330
  -5.500  -0.5124   0.03566   0.02677  -0.0307   1.0000   0.1266
  -5.750  -0.5274   0.03796   0.02934  -0.0324   1.0000   0.1211
  -6.000  -0.5415   0.04066   0.03223  -0.0341   1.0000   0.1189
  -6.250  -0.5518   0.04401   0.03586  -0.0357   1.0000   0.1174
  -6.500  -0.5561   0.04781   0.04017  -0.0375   1.0000   0.1168
  -6.750  -0.5573   0.05176   0.04450  -0.0392   1.0000   0.1167
  -7.000  -0.5574   0.05568   0.04866  -0.0408   1.0000   0.1171
  -7.000  -0.5574   0.05568   0.04866  -0.0408   1.0000   0.1171
  -7.100  -0.5576   0.05726   0.05029  -0.0414   1.0000   0.1174
  -7.200  -0.5584   0.05879   0.05192  -0.0420   1.0000   0.1178
  -7.500  -0.5184   0.06789   0.06149  -0.0408   1.0000   0.1298
  -7.750  -0.5266   0.07144   0.06498  -0.0425   1.0000   0.1317
  -8.000  -0.4831   0.08187   0.07548  -0.0363   1.0000   0.1598
  -8.250  -0.3841   0.09466   0.08791  -0.0175   1.0000   0.2858
  -8.500  -0.3929   0.09849   0.09170  -0.0178   1.0000   0.2818
  -8.750  -0.3970   0.10237   0.09552  -0.0177   1.0000   0.2783
  -9.000  -0.3877   0.10426   0.09731  -0.0173   1.0000   0.2689
  -9.250  -0.3998   0.10863   0.10167  -0.0177   1.0000   0.2629
  -9.500  -0.3931   0.11060   0.10354  -0.0170   1.0000   0.2535
  -9.750  -0.4051   0.11504   0.10796  -0.0173   1.0000   0.2478
 -10.000  -0.3987   0.11699   0.10984  -0.0164   1.0000   0.2388
 -10.250  -0.4255   0.12342   0.11630  -0.0175   1.0000   0.2339
 -10.500  -0.4037   0.12349   0.11624  -0.0151   1.0000   0.2285
 -10.750  -0.4157   0.12743   0.12017  -0.0153   1.0000   0.2214
 -11.000  -0.4238   0.13174   0.12444  -0.0148   1.0000   0.2179
