  
       XFOIL         Version 6.99
  
 Calculated polar for: D.G.A. 1182                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0067   0.01487   0.00605   0.0022   1.0000   1.0000
   0.250   0.0254   0.01487   0.00597   0.0034   1.0000   1.0000
   0.500   0.0446   0.01491   0.00596   0.0045   1.0000   1.0000
   0.750   0.0642   0.01499   0.00601   0.0055   1.0000   1.0000
   1.000   0.0838   0.01510   0.00611   0.0065   1.0000   1.0000
   1.250   0.1035   0.01525   0.00629   0.0074   1.0000   1.0000
   1.500   0.1231   0.01544   0.00652   0.0083   1.0000   1.0000
   1.750   0.1722   0.01566   0.00685   0.0034   0.9782   1.0000
   2.000   0.2292   0.01578   0.00713  -0.0025   0.9428   1.0000
   2.250   0.2781   0.01575   0.00730  -0.0059   0.8843   1.0000
   2.500   0.3160   0.01578   0.00740  -0.0068   0.8264   1.0000
   2.750   0.3453   0.01589   0.00749  -0.0056   0.7555   1.0000
   3.000   0.3671   0.01621   0.00744  -0.0024   0.6319   1.0000
   3.250   0.3850   0.01707   0.00764   0.0010   0.4743   1.0000
   3.500   0.4023   0.01869   0.00819   0.0031   0.3433   1.0000
   3.750   0.4259   0.01983   0.00908   0.0041   0.2654   1.0000
   4.000   0.4502   0.02066   0.00953   0.0049   0.2245   1.0000
   4.250   0.4761   0.02227   0.01079   0.0056   0.2072   1.0000
   4.500   0.5046   0.02494   0.01310   0.0061   0.1902   1.0000
   4.750   0.5337   0.02803   0.01611   0.0064   0.1809   1.0000
   5.000   0.5618   0.02978   0.01834   0.0070   0.1789   1.0000
   5.250   0.5898   0.03191   0.02089   0.0076   0.1795   1.0000
   5.500   0.6184   0.03347   0.02319   0.0084   0.1844   1.0000
   5.750   0.6455   0.03611   0.02652   0.0089   0.1901   1.0000
   6.000   0.6699   0.03949   0.03044   0.0092   0.1918   1.0000
   6.000   0.6699   0.03949   0.03044   0.0092   0.1918   1.0000
   6.100   0.6807   0.04121   0.03276   0.0089   0.2023   1.0000
   6.200   0.6904   0.04381   0.03584   0.0082   0.2144   1.0000
   6.350   0.7010   0.04937   0.04215   0.0053   0.2384   1.0000
   6.450   0.7062   0.05294   0.04604   0.0031   0.2513   1.0000
