  
       XFOIL         Version 6.99
  
 Calculated polar for: E174  (Dicke 8.92%)                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2079   0.02724   0.01771  -0.0763   0.9257   1.0000
   0.250   0.2388   0.02803   0.01822  -0.0779   0.9169   1.0000
   0.500   0.2662   0.02885   0.01880  -0.0789   0.9086   1.0000
   0.750   0.3023   0.02973   0.01946  -0.0813   0.9003   1.0000
   1.000   0.3225   0.03058   0.02015  -0.0812   0.8917   1.0000
   1.250   0.3581   0.03152   0.02093  -0.0834   0.8840   1.0000
   1.500   0.3773   0.03242   0.02172  -0.0832   0.8750   1.0000
   1.750   0.4053   0.03341   0.02262  -0.0843   0.8672   1.0000
   2.000   0.4309   0.03439   0.02352  -0.0850   0.8586   1.0000
   2.250   0.4518   0.03547   0.02454  -0.0851   0.8504   1.0000
   2.500   0.4855   0.03649   0.02552  -0.0868   0.8420   1.0000
   2.750   0.4987   0.03765   0.02665  -0.0859   0.8330   1.0000
   3.000   0.5284   0.03876   0.02778  -0.0871   0.8244   1.0000
   3.250   0.5491   0.03993   0.02895  -0.0871   0.8151   1.0000
   3.500   0.5673   0.04119   0.03023  -0.0868   0.8057   1.0000
   3.750   0.5988   0.04233   0.03141  -0.0881   0.7959   1.0000
   4.000   0.6190   0.04358   0.03271  -0.0880   0.7853   1.0000
   4.250   0.6354   0.04494   0.03415  -0.0875   0.7742   1.0000
   4.500   0.6579   0.04623   0.03552  -0.0876   0.7627   1.0000
   4.750   0.6845   0.04746   0.03684  -0.0880   0.7506   1.0000
   5.000   0.7125   0.04860   0.03810  -0.0884   0.7375   1.0000
   5.250   0.7393   0.04972   0.03940  -0.0886   0.7236   1.0000
   5.500   0.7622   0.05091   0.04072  -0.0883   0.7088   1.0000
   5.750   0.7820   0.05215   0.04211  -0.0876   0.6930   1.0000
   6.000   0.8018   0.05337   0.04348  -0.0868   0.6761   1.0000
   6.250   0.8281   0.05423   0.04454  -0.0862   0.6581   1.0000
   6.500   0.8721   0.05403   0.04468  -0.0863   0.6396   1.0000
   6.750   0.8911   0.05496   0.04581  -0.0848   0.6197   1.0000
   7.000   0.9311   0.05424   0.04543  -0.0836   0.5981   1.0000
   7.250   0.9695   0.05313   0.04470  -0.0817   0.5753   1.0000
   7.500   1.0710   0.04467   0.03700  -0.0786   0.5515   1.0000
   7.750   1.1154   0.04073   0.03347  -0.0746   0.5201   1.0000
   8.000   1.1671   0.03485   0.02793  -0.0697   0.4742   1.0000
   8.250   1.1921   0.03128   0.02433  -0.0638   0.4041   1.0000
   8.500   1.1898   0.03137   0.02369  -0.0578   0.3156   1.0000
   8.750   1.1772   0.03381   0.02528  -0.0529   0.2448   1.0000
   9.000   1.1649   0.03687   0.02773  -0.0487   0.1920   1.0000
   9.250   1.1597   0.04013   0.03048  -0.0452   0.1496   1.0000
   9.500   1.1868   0.04368   0.03368  -0.0440   0.1141   1.0000
   9.750   1.2198   0.04687   0.03681  -0.0438   0.0967   1.0000
  10.000   1.2554   0.05100   0.04123  -0.0439   0.0895   1.0000
  10.250   1.2754   0.05493   0.04563  -0.0429   0.0862   1.0000
  10.500   1.2919   0.05899   0.04999  -0.0419   0.0837   1.0000
  10.750   1.3093   0.06416   0.05524  -0.0416   0.0810   1.0000
  11.000   1.3036   0.06795   0.05953  -0.0392   0.0804   1.0000
  11.250   1.2943   0.07191   0.06391  -0.0369   0.0801   1.0000
  11.500   1.2811   0.07587   0.06821  -0.0347   0.0801   1.0000
  11.750   1.2650   0.07993   0.07253  -0.0329   0.0802   1.0000
  12.000   1.2482   0.08440   0.07723  -0.0318   0.0805   1.0000
  12.250   1.2315   0.08933   0.08235  -0.0316   0.0808   1.0000
  12.500   1.1455   0.09797   0.09157  -0.0368   0.0879   1.0000
  12.750   1.1161   0.10611   0.09979  -0.0410   0.0901   1.0000
  13.000   1.0937   0.11433   0.10807  -0.0453   0.0918   1.0000
  13.250   1.0809   0.12202   0.11578  -0.0487   0.0930   1.0000
  13.250   1.0809   0.12202   0.11578  -0.0487   0.0930   1.0000
  13.350   1.0781   0.12491   0.11869  -0.0498   0.0933   1.0000
  13.750   0.7888   0.15251   0.14653  -0.0663   0.1409   1.0000
  14.000   0.7999   0.15787   0.15197  -0.0668   0.1463   1.0000
  14.250   0.7546   0.17274   0.16677  -0.0793   0.2415   1.0000
  14.500   0.7426   0.17453   0.16856  -0.0815   0.2376   1.0000
  14.750   0.7485   0.17833   0.17241  -0.0823   0.2309   1.0000
  15.000   0.7564   0.18325   0.17735  -0.0832   0.2273   1.0000
  15.250   0.7487   0.18491   0.17901  -0.0851   0.2196   1.0000
  15.500   0.7616   0.19014   0.18428  -0.0854   0.2135   1.0000
  15.750   0.7542   0.19164   0.18579  -0.0875   0.2065   1.0000
  16.000   0.7743   0.19832   0.19252  -0.0872   0.2003   1.0000
  16.250   0.7608   0.19876   0.19296  -0.0900   0.1962   1.0000
  16.500   0.7671   0.20243   0.19666  -0.0909   0.1896   1.0000
  16.750   0.7798   0.20834   0.20261  -0.0913   0.1863   1.0000
  17.000   0.7700   0.20916   0.20343  -0.0940   0.1817   1.0000
  17.250   0.7773   0.21301   0.20735  -0.0948   0.1757   1.0000
  17.500   0.7864   0.21825   0.21261  -0.0956   0.1723   1.0000
  17.750   0.7802   0.21964   0.21401  -0.0980   0.1664   1.0000
  18.000   0.7947   0.22507   0.21950  -0.0980   0.1603   1.0000
  18.250   0.7917   0.22774   0.22216  -0.1002   0.1577   1.0000
  18.500   0.7916   0.23033   0.22478  -0.1021   0.1514   1.0000
  18.750   0.8051   0.23605   0.23055  -0.1021   0.1468   1.0000
  19.000   0.8050   0.23936   0.23386  -0.1041   0.1449   1.0000
  19.250   0.8020   0.24143   0.23595  -0.1065   0.1406   1.0000
  19.500   0.8074   0.24520   0.23975  -0.1076   0.1362   1.0000
  19.750   0.8269   0.25395   0.24856  -0.1070   0.1326   1.0000
  20.000   0.8166   0.25368   0.24828  -0.1103   0.1310   1.0000
   0.000   0.2079   0.02724   0.01771  -0.0763   0.9257   1.0000
  -0.250   0.1732   0.02641   0.01722  -0.0740   0.9340   1.0000
  -0.500   0.1461   0.02574   0.01690  -0.0730   0.9433   1.0000
  -0.750   0.1046   0.02488   0.01662  -0.0696   0.9517   1.0000
  -1.000   0.0693   0.02415   0.01660  -0.0674   0.9605   1.0000
  -1.250   0.0357   0.02757   0.01771  -0.0684   0.9669   0.2840
  -1.500  -0.0051   0.02911   0.01889  -0.0661   0.9736   0.1716
  -1.750  -0.0447   0.03038   0.02018  -0.0639   0.9809   0.1382
  -2.000  -0.0868   0.03194   0.02201  -0.0611   0.9882   0.1226
  -2.250  -0.1321   0.03390   0.02471  -0.0580   0.9953   0.1195
  -2.500  -0.1737   0.03618   0.02767  -0.0548   1.0000   0.1165
  -2.750  -0.2018   0.03872   0.03077  -0.0536   1.0000   0.1182
  -3.000  -0.2254   0.04169   0.03387  -0.0529   1.0000   0.1229
  -3.250  -0.2902   0.05072   0.04451  -0.0430   1.0000   0.2101
  -3.700  -0.4164   0.06685   0.06223   0.0065   1.0000   0.4089
  -4.000  -0.4153   0.06923   0.06454   0.0028   1.0000   0.3777
  -4.250  -0.4160   0.07159   0.06683  -0.0014   1.0000   0.3587
  -4.500  -0.4092   0.07325   0.06844  -0.0020   1.0000   0.3355
  -4.750  -0.4042   0.07507   0.07019  -0.0043   1.0000   0.3191
  -5.000  -0.3965   0.07676   0.07180  -0.0067   1.0000   0.3045
  -5.250  -0.3870   0.07841   0.07335  -0.0092   1.0000   0.2938
  -5.500  -0.3842   0.08068   0.07553  -0.0137   1.0000   0.2826
  -5.500  -0.3842   0.08068   0.07553  -0.0137   1.0000   0.2826
  -5.600  -0.3705   0.08031   0.07510  -0.0134   1.0000   0.2800
  -5.700  -0.3623   0.08043   0.07516  -0.0144   1.0000   0.2760
  -6.000  -0.3516   0.08248   0.07705  -0.0181   1.0000   0.2657
  -6.250  -0.3559   0.08547   0.07994  -0.0219   1.0000   0.2535
  -6.500  -0.3418   0.08622   0.08050  -0.0221   1.0000   0.2425
  -6.750  -0.3335   0.08812   0.08223  -0.0225   1.0000   0.2345
  -7.000  -0.3429   0.09169   0.08572  -0.0242   1.0000   0.2234
  -7.250  -0.3320   0.09274   0.08662  -0.0245   1.0000   0.2145
  -7.500  -0.3351   0.09583   0.08961  -0.0248   1.0000   0.2075
  -7.750  -0.3411   0.09862   0.09233  -0.0253   1.0000   0.1978
  -8.000  -0.3390   0.10114   0.09472  -0.0245   1.0000   0.1927
  -8.250  -0.3454   0.10407   0.09760  -0.0245   1.0000   0.1835
  -8.500  -0.3492   0.10740   0.10084  -0.0238   1.0000   0.1791
  -8.750  -0.3475   0.10920   0.10254  -0.0224   1.0000   0.1719
  -9.000  -0.3675   0.11506   0.10840  -0.0236   1.0000   0.1658
  -9.250  -0.3565   0.11532   0.10853  -0.0208   1.0000   0.1615
  -9.500  -0.3666   0.11889   0.11207  -0.0207   1.0000   0.1545
  -9.750  -0.3795   0.12391   0.11705  -0.0207   1.0000   0.1511
 -10.000  -0.3717   0.12446   0.11750  -0.0180   1.0000   0.1471
 -10.250  -0.3795   0.12775   0.12076  -0.0174   1.0000   0.1410
 -10.500  -0.4003   0.13465   0.12769  -0.0183   1.0000   0.1370
 -10.750  -0.3908   0.13451   0.12745  -0.0152   1.0000   0.1348
 -11.000  -0.3931   0.13673   0.12962  -0.0136   1.0000   0.1303
 -11.250  -0.4047   0.14084   0.13372  -0.0134   1.0000   0.1254
 -11.500  -0.4210   0.14734   0.14021  -0.0135   1.0000   0.1226
 -11.750  -0.4152   0.14743   0.14023  -0.0107   1.0000   0.1209
 -12.000  -0.4170   0.14940   0.14215  -0.0089   1.0000   0.1168
 -12.250  -0.4262   0.15302   0.14576  -0.0081   1.0000   0.1121
 -12.500  -0.4495   0.16176   0.15451  -0.0090   1.0000   0.1085
 -12.750  -0.4437   0.16135   0.15403  -0.0062   1.0000   0.1076
 -13.000  -0.4437   0.16238   0.15502  -0.0038   1.0000   0.1047
 -13.250  -0.4499   0.16520   0.15781  -0.0024   1.0000   0.1008
 -13.500  -0.4608   0.16937   0.16198  -0.0017   1.0000   0.0970
 -13.750  -0.4845   0.17934   0.17200  -0.0024   1.0000   0.0944
 -14.000  -0.4807   0.17874   0.17134   0.0003   1.0000   0.0939
 -14.250  -0.4808   0.17910   0.17165   0.0029   1.0000   0.0924
 -14.500  -0.4859   0.18126   0.17378   0.0049   1.0000   0.0899
 -14.750  -0.4934   0.18420   0.17671   0.0065   1.0000   0.0872
 -15.000  -0.5023   0.18765   0.18015   0.0078   1.0000   0.0846
 -15.250  -0.5145   0.19264   0.18516   0.0084   1.0000   0.0822
 -15.500  -0.5352   0.20314   0.19566   0.0082   1.0000   0.0805
 -15.750  -0.5342   0.20221   0.19468   0.0110   1.0000   0.0801
 -16.000  -0.5364   0.20220   0.19463   0.0137   1.0000   0.0792
 -16.250  -0.5418   0.20368   0.19609   0.0161   1.0000   0.0775
 -16.500  -0.5494   0.20629   0.19868   0.0180   1.0000   0.0753
 -16.750  -0.5577   0.20930   0.20168   0.0197   1.0000   0.0732
 -17.000  -0.5668   0.21260   0.20502   0.0213   1.0000   0.0712
 -17.250  -0.5769   0.21661   0.20902   0.0226   1.0000   0.0693
 -17.500  -0.5935   0.22558   0.21803   0.0226   1.0000   0.0675
 -17.750  -0.6050   0.23206   0.22449   0.0239   1.0000   0.0668
 -18.000  -0.6074   0.23096   0.22334   0.0268   1.0000   0.0665
 -18.250  -0.6117   0.23072   0.22307   0.0296   1.0000   0.0659
 -18.500  -0.6183   0.23184   0.22418   0.0322   1.0000   0.0647
 -18.750  -0.6263   0.23413   0.22646   0.0344   1.0000   0.0630
 -19.000  -0.6348   0.23691   0.22923   0.0364   1.0000   0.0611
 -19.250  -0.6437   0.23991   0.23223   0.0383   1.0000   0.0592
 -19.500  -0.6529   0.24318   0.23551   0.0400   1.0000   0.0575
 -19.750  -0.6629   0.24728   0.23961   0.0415   1.0000   0.0559
 -20.000  -0.6772   0.25671   0.24912   0.0417   1.0000   0.0543
