  
       XFOIL         Version 6.99
  
 Calculated polar for: E180  (8.59%)                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0600   0.02166   0.01150  -0.0316   0.9664   1.0000
   0.250   0.1006   0.02244   0.01207  -0.0352   0.9570   1.0000
   0.500   0.1322   0.02313   0.01262  -0.0371   0.9469   1.0000
   0.750   0.1654   0.02389   0.01326  -0.0393   0.9374   1.0000
   1.000   0.2041   0.02472   0.01398  -0.0424   0.9279   1.0000
   1.250   0.2323   0.02547   0.01467  -0.0436   0.9180   1.0000
   1.500   0.2601   0.02627   0.01542  -0.0448   0.9081   1.0000
   1.750   0.2932   0.02714   0.01626  -0.0467   0.8984   1.0000
   2.000   0.3262   0.02801   0.01714  -0.0486   0.8883   1.0000
   2.250   0.3486   0.02887   0.01801  -0.0488   0.8775   1.0000
   2.500   0.3750   0.02979   0.01895  -0.0495   0.8666   1.0000
   2.750   0.4050   0.03072   0.01994  -0.0507   0.8552   1.0000
   3.000   0.4378   0.03166   0.02099  -0.0523   0.8436   1.0000
   3.250   0.4721   0.03257   0.02201  -0.0540   0.8310   1.0000
   3.500   0.5026   0.03349   0.02304  -0.0550   0.8174   1.0000
   3.750   0.5320   0.03439   0.02408  -0.0556   0.8031   1.0000
   4.000   0.5545   0.03534   0.02520  -0.0552   0.7873   1.0000
   4.250   0.5775   0.03628   0.02629  -0.0547   0.7704   1.0000
   4.500   0.6073   0.03703   0.02723  -0.0547   0.7522   1.0000
   4.750   0.6499   0.03723   0.02771  -0.0552   0.7335   1.0000
   5.000   0.6680   0.03805   0.02876  -0.0534   0.7120   1.0000
   5.250   0.7133   0.03737   0.02842  -0.0523   0.6907   1.0000
   5.500   0.7365   0.03745   0.02875  -0.0498   0.6656   1.0000
   5.750   0.7671   0.03662   0.02822  -0.0466   0.6391   1.0000
   6.000   0.8005   0.03491   0.02688  -0.0424   0.6109   1.0000
   6.250   0.8360   0.03212   0.02441  -0.0370   0.5796   1.0000
   6.500   0.8655   0.02911   0.02164  -0.0310   0.5377   1.0000
   6.500   0.8655   0.02911   0.02164  -0.0310   0.5377   1.0000
   6.600   0.8744   0.02805   0.02065  -0.0287   0.5146   1.0000
   6.700   0.8840   0.02670   0.01932  -0.0259   0.4866   1.0000
   7.000   0.8946   0.02524   0.01697  -0.0180   0.3322   1.0000
   7.250   0.8907   0.02834   0.01868  -0.0142   0.2179   1.0000
   7.500   0.8991   0.03163   0.02136  -0.0115   0.1541   1.0000
   7.750   0.9206   0.03438   0.02369  -0.0099   0.1235   1.0000
   8.000   0.9519   0.03748   0.02673  -0.0090   0.1096   1.0000
   8.250   0.9768   0.04053   0.03030  -0.0078   0.1031   1.0000
   8.500   1.0002   0.04399   0.03373  -0.0072   0.0962   1.0000
   8.750   1.0137   0.04723   0.03768  -0.0057   0.0925   1.0000
   9.000   1.0259   0.05115   0.04218  -0.0044   0.0912   1.0000
   9.250   1.0331   0.05547   0.04700  -0.0031   0.0912   1.0000
   9.500   1.0351   0.06002   0.05201  -0.0019   0.0920   1.0000
   9.750   1.0321   0.06468   0.05705  -0.0009   0.0932   1.0000
  10.000   1.0261   0.06949   0.06215  -0.0001   0.0945   1.0000
  10.250   1.0224   0.07449   0.06733   0.0003   0.0958   1.0000
  10.500   1.0079   0.07903   0.07212   0.0006   0.0975   1.0000
  10.750   0.9576   0.08370   0.07700  -0.0010   0.0992   1.0000
  11.000   0.9079   0.09214   0.08546  -0.0075   0.1020   1.0000
  11.250   0.8785   0.10150   0.09479  -0.0140   0.1057   1.0000
