  
       XFOIL         Version 6.99
  
 Calculated polar for: E182 (8.47%)                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0150   0.02013   0.00985  -0.0169   0.9817   1.0000
   0.250   0.0577   0.02088   0.01044  -0.0211   0.9718   1.0000
   0.500   0.0935   0.02155   0.01100  -0.0239   0.9615   1.0000
   0.750   0.1299   0.02228   0.01163  -0.0268   0.9512   1.0000
   1.000   0.1680   0.02306   0.01235  -0.0299   0.9411   1.0000
   1.250   0.2076   0.02386   0.01312  -0.0333   0.9309   1.0000
   1.500   0.2362   0.02461   0.01385  -0.0346   0.9199   1.0000
   1.750   0.2665   0.02542   0.01467  -0.0361   0.9089   1.0000
   2.000   0.2993   0.02626   0.01554  -0.0380   0.8976   1.0000
   2.250   0.3347   0.02712   0.01646  -0.0403   0.8860   1.0000
   2.500   0.3724   0.02798   0.01745  -0.0429   0.8736   1.0000
   2.750   0.4067   0.02884   0.01841  -0.0447   0.8605   1.0000
   3.000   0.4385   0.02968   0.01939  -0.0459   0.8464   1.0000
   3.250   0.4693   0.03053   0.02037  -0.0468   0.8315   1.0000
   3.500   0.4925   0.03141   0.02143  -0.0464   0.8151   1.0000
   3.750   0.5174   0.03225   0.02242  -0.0460   0.7975   1.0000
   4.000   0.5502   0.03289   0.02327  -0.0462   0.7784   1.0000
   4.250   0.5824   0.03339   0.02400  -0.0458   0.7581   1.0000
   4.500   0.6095   0.03379   0.02468  -0.0443   0.7355   1.0000
   4.750   0.6363   0.03397   0.02511  -0.0422   0.7114   1.0000
   5.000   0.6681   0.03346   0.02489  -0.0392   0.6866   1.0000
   5.250   0.6978   0.03240   0.02410  -0.0349   0.6601   1.0000
   5.500   0.7207   0.03145   0.02346  -0.0303   0.6292   1.0000
   5.750   0.7440   0.02990   0.02219  -0.0249   0.5941   1.0000
   6.000   0.7681   0.02742   0.01993  -0.0184   0.5512   1.0000
   6.250   0.7882   0.02433   0.01692  -0.0109   0.4785   1.0000
   6.500   0.7915   0.02410   0.01537  -0.0042   0.3032   1.0000
   6.750   0.7888   0.02800   0.01782  -0.0011   0.1739   1.0000
   7.000   0.8028   0.03103   0.02021   0.0012   0.1260   1.0000
   7.250   0.8299   0.03366   0.02288   0.0030   0.1075   1.0000
   7.500   0.8558   0.03639   0.02563   0.0041   0.0972   1.0000
   7.750   0.8792   0.03899   0.02847   0.0052   0.0898   1.0000
   8.000   0.9018   0.04262   0.03227   0.0060   0.0862   1.0000
   8.250   0.9199   0.04623   0.03643   0.0071   0.0855   1.0000
   8.500   0.9344   0.05027   0.04095   0.0082   0.0855   1.0000
   8.750   0.9461   0.05465   0.04573   0.0091   0.0860   1.0000
   9.000   0.9557   0.05898   0.05048   0.0099   0.0872   1.0000
   9.250   0.9384   0.06368   0.05605   0.0108   0.0907   1.0000
   9.500   0.9230   0.06887   0.06162   0.0108   0.0933   1.0000
   9.750   0.9067   0.07388   0.06685   0.0104   0.0953   1.0000
  10.000   0.8916   0.07861   0.07167   0.0099   0.0972   1.0000
  10.250   0.8985   0.08407   0.07716   0.0098   0.1002   1.0000
  10.500   0.8412   0.09101   0.08419   0.0029   0.1019   1.0000
  10.750   0.7956   0.10351   0.09654  -0.0083   0.1079   1.0000
  11.000   0.6731   0.10339   0.09679  -0.0045   0.1107   1.0000
  11.000   0.6731   0.10339   0.09679  -0.0045   0.1107   1.0000
  11.100   0.6739   0.10547   0.09887  -0.0048   0.1117   1.0000
  11.200   0.6801   0.10696   0.10037  -0.0042   0.1126   1.0000
  11.500   0.5846   0.13142   0.12465  -0.0264   0.2550   1.0000
  11.750   0.5842   0.13534   0.12856  -0.0274   0.2543   1.0000
  12.000   0.6022   0.14121   0.13448  -0.0276   0.2511   1.0000
  12.250   0.5824   0.14230   0.13552  -0.0292   0.2475   1.0000
  12.500   0.5868   0.14550   0.13875  -0.0295   0.2394   1.0000
  12.750   0.5856   0.14851   0.14178  -0.0302   0.2347   1.0000
  13.000   0.5877   0.15101   0.14431  -0.0306   0.2252   1.0000
  13.250   0.5866   0.15383   0.14712  -0.0315   0.2206   1.0000
  13.500   0.5862   0.15592   0.14924  -0.0323   0.2124   1.0000
  13.750   0.5991   0.16111   0.15444  -0.0326   0.2082   1.0000
  14.000   0.5866   0.16117   0.15450  -0.0344   0.2020   1.0000
  14.250   0.6034   0.16647   0.15984  -0.0343   0.1959   1.0000
  14.500   0.5967   0.16792   0.16127  -0.0360   0.1929   1.0000
  14.750   0.5955   0.16974   0.16310  -0.0373   0.1863   1.0000
  15.000   0.6194   0.17747   0.17087  -0.0368   0.1810   1.0000
  15.250   0.6027   0.17591   0.16929  -0.0394   0.1778   1.0000
  15.500   0.6061   0.17854   0.17194  -0.0405   0.1715   1.0000
  15.750   0.6244   0.18538   0.17881  -0.0403   0.1671   1.0000
  16.000   0.6126   0.18454   0.17796  -0.0429   0.1637   1.0000
  16.250   0.6173   0.18734   0.18082  -0.0439   0.1573   1.0000
  16.500   0.6304   0.19309   0.18658  -0.0442   0.1530   1.0000
  16.750   0.6233   0.19317   0.18666  -0.0465   0.1494   1.0000
  17.000   0.6294   0.19629   0.18981  -0.0475   0.1432   1.0000
  17.250   0.6425   0.20241   0.19595  -0.0477   0.1395   1.0000
  17.500   0.6357   0.20236   0.19590  -0.0503   0.1366   1.0000
  17.750   0.6389   0.20500   0.19857  -0.0517   0.1320   1.0000
  18.000   0.6501   0.20978   0.20339  -0.0521   0.1278   1.0000
  18.250   0.6565   0.21441   0.20802  -0.0532   0.1259   1.0000
  18.500   0.6521   0.21476   0.20838  -0.0557   0.1233   1.0000
  18.750   0.6550   0.21744   0.21108  -0.0572   0.1191   1.0000
  19.000   0.6628   0.22139   0.21506  -0.0580   0.1152   1.0000
  19.250   0.6778   0.22919   0.22292  -0.0581   0.1128   1.0000
  19.500   0.6714   0.22855   0.22228  -0.0608   0.1116   1.0000
  19.750   0.6717   0.23039   0.22414  -0.0628   0.1086   1.0000
  20.000   0.6760   0.23352   0.22730  -0.0643   0.1050   1.0000
   0.000   0.0150   0.02013   0.00985  -0.0169   0.9817   1.0000
  -0.250  -0.0273   0.01942   0.00935  -0.0128   0.9917   1.0000
  -0.500  -0.0649   0.01880   0.00896  -0.0094   1.0000   1.0000
  -0.750  -0.0793   0.01844   0.00880  -0.0105   1.0000   1.0000
  -1.000  -0.0928   0.01811   0.00869  -0.0118   1.0000   1.0000
  -1.250  -0.1051   0.01780   0.00866  -0.0133   1.0000   1.0000
  -1.500  -0.1159   0.01752   0.00863  -0.0150   1.0000   1.0000
  -1.750  -0.1249   0.01727   0.00865  -0.0171   1.0000   1.0000
  -2.000  -0.1314   0.01704   0.00870  -0.0195   1.0000   1.0000
  -2.250  -0.1350   0.01682   0.00878  -0.0223   1.0000   1.0000
  -2.500  -0.1337   0.01663   0.00887  -0.0258   1.0000   1.0000
  -2.750  -0.1262   0.01645   0.00894  -0.0299   1.0000   1.0000
  -3.000  -0.1207   0.01644   0.00917  -0.0331   1.0000   1.0000
  -3.250  -0.3199   0.02382   0.01342  -0.0124   1.0000   0.1471
  -3.500  -0.3393   0.02529   0.01499  -0.0139   1.0000   0.1273
  -3.750  -0.3569   0.02683   0.01669  -0.0155   1.0000   0.1168
  -4.000  -0.3736   0.02852   0.01859  -0.0174   1.0000   0.1119
  -4.250  -0.3890   0.03056   0.02077  -0.0192   1.0000   0.1092
  -4.500  -0.4044   0.03297   0.02343  -0.0210   1.0000   0.1084
  -4.750  -0.4221   0.03546   0.02638  -0.0225   1.0000   0.1077
  -5.000  -0.4412   0.03838   0.02978  -0.0234   1.0000   0.1073
  -5.250  -0.4611   0.04180   0.03357  -0.0238   1.0000   0.1080
  -5.500  -0.4796   0.04644   0.03914  -0.0235   1.0000   0.1185
  -5.750  -0.4981   0.05191   0.04506  -0.0224   1.0000   0.1344
  -6.000  -0.4862   0.07232   0.06674   0.0217   1.0000   0.4181
  -6.250  -0.4962   0.07557   0.06993   0.0202   1.0000   0.3894
  -6.500  -0.5116   0.07931   0.07364   0.0185   1.0000   0.3636
  -6.750  -0.5169   0.08226   0.07652   0.0177   1.0000   0.3396
  -7.000  -0.5396   0.08710   0.08136   0.0160   1.0000   0.3222
  -7.250  -0.5318   0.08962   0.08376   0.0171   1.0000   0.3066
  -7.500  -0.5312   0.09274   0.08678   0.0177   1.0000   0.2912
  -7.750  -0.5397   0.09651   0.09053   0.0177   1.0000   0.2776
  -8.000  -0.5529   0.10084   0.09484   0.0173   1.0000   0.2643
  -8.250  -0.5553   0.10400   0.09795   0.0180   1.0000   0.2512
  -8.500  -0.5433   0.10609   0.09991   0.0207   1.0000   0.2416
  -8.750  -0.5512   0.11018   0.10395   0.0212   1.0000   0.2332
  -9.000  -0.5736   0.11591   0.10970   0.0199   1.0000   0.2214
  -9.250  -0.5556   0.11686   0.11053   0.0236   1.0000   0.2140
  -9.500  -0.5749   0.12235   0.11602   0.0230   1.0000   0.2066
  -9.750  -0.5655   0.12409   0.11767   0.0258   1.0000   0.1986
 -10.000  -0.5791   0.12916   0.12273   0.0258   1.0000   0.1917
 -10.250  -0.5759   0.13147   0.12499   0.0280   1.0000   0.1835
 -10.500  -0.5863   0.13624   0.12974   0.0285   1.0000   0.1771
 -10.750  -0.5846   0.13866   0.13211   0.0307   1.0000   0.1703
 -11.000  -0.6020   0.14450   0.13799   0.0303   1.0000   0.1638
 -11.250  -0.5944   0.14599   0.13941   0.0335   1.0000   0.1586
 -11.500  -0.6252   0.15437   0.14785   0.0313   1.0000   0.1504
 -11.750  -0.6116   0.15452   0.14790   0.0355   1.0000   0.1487
 -12.000  -0.6110   0.15687   0.15021   0.0379   1.0000   0.1432
 -12.250  -0.6280   0.16236   0.15574   0.0378   1.0000   0.1377
 -12.500  -0.6339   0.16680   0.16014   0.0394   1.0000   0.1355
 -12.750  -0.6299   0.16801   0.16129   0.0426   1.0000   0.1319
 -13.000  -0.6370   0.17148   0.16476   0.0441   1.0000   0.1269
 -13.250  -0.6654   0.18133   0.17466   0.0425   1.0000   0.1222
 -13.500  -0.6569   0.18089   0.17414   0.0464   1.0000   0.1212
 -13.750  -0.6565   0.18227   0.17548   0.0494   1.0000   0.1179
 -14.000  -0.6636   0.18557   0.17878   0.0511   1.0000   0.1137
 -14.250  -0.6800   0.19170   0.18498   0.0512   1.0000   0.1096
 -14.500  -0.6920   0.19780   0.19106   0.0523   1.0000   0.1080
 -14.750  -0.6891   0.19753   0.19073   0.0559   1.0000   0.1066
 -15.000  -0.6933   0.19962   0.19280   0.0585   1.0000   0.1033
 -15.250  -0.7016   0.20301   0.19619   0.0603   1.0000   0.0998
 -15.500  -0.7151   0.20840   0.20160   0.0609   1.0000   0.0962
 -15.750  -0.7309   0.21644   0.20964   0.0614   1.0000   0.0943
 -16.000  -0.7295   0.21545   0.20860   0.0651   1.0000   0.0933
 -16.250  -0.7339   0.21682   0.20995   0.0681   1.0000   0.0905
 -16.500  -0.7420   0.21988   0.21300   0.0702   1.0000   0.0870
 -16.750  -0.7525   0.22395   0.21708   0.0715   1.0000   0.0839
 -17.000  -0.7786   0.23848   0.23167   0.0699   1.0000   0.0810
 -17.250  -0.7776   0.23667   0.22981   0.0735   1.0000   0.0807
 -17.500  -0.7796   0.23598   0.22908   0.0771   1.0000   0.0799
 -17.750  -0.7854   0.23723   0.23031   0.0802   1.0000   0.0781
 -18.000  -0.7932   0.23989   0.23301   0.0826   1.0000   0.0758
 -18.250  -0.8021   0.24307   0.23618   0.0847   1.0000   0.0735
 -18.500  -0.8116   0.24670   0.23982   0.0865   1.0000   0.0713
 -18.750  -0.8230   0.25176   0.24490   0.0877   1.0000   0.0693
 -19.000  -0.8435   0.26622   0.25940   0.0868   1.0000   0.0677
 -19.250  -0.8454   0.26418   0.25732   0.0905   1.0000   0.0674
 -19.500  -0.8494   0.26314   0.25624   0.0940   1.0000   0.0669
 -19.750  -0.8556   0.26378   0.25687   0.0972   1.0000   0.0658
 -20.000  -0.8636   0.26595   0.25904   0.0999   1.0000   0.0641
