  
       XFOIL         Version 6.99
  
 Calculated polar for: E207  (12.04%)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1615   0.02814   0.01832  -0.0572   0.8704   1.0000
   0.250   0.1798   0.02883   0.01885  -0.0566   0.8593   1.0000
   0.500   0.2063   0.02950   0.01939  -0.0573   0.8494   1.0000
   0.750   0.2433   0.03010   0.01986  -0.0595   0.8404   1.0000
   1.000   0.2551   0.03097   0.02062  -0.0579   0.8297   1.0000
   1.250   0.2799   0.03177   0.02133  -0.0583   0.8206   1.0000
   1.500   0.3105   0.03249   0.02198  -0.0594   0.8115   1.0000
   1.750   0.3195   0.03356   0.02298  -0.0575   0.8017   1.0000
   2.000   0.3536   0.03431   0.02368  -0.0591   0.7935   1.0000
   2.250   0.3643   0.03543   0.02474  -0.0575   0.7838   1.0000
   2.500   0.3798   0.03656   0.02584  -0.0566   0.7752   1.0000
   2.750   0.4111   0.03740   0.02668  -0.0577   0.7666   1.0000
   3.000   0.4133   0.03886   0.02810  -0.0553   0.7575   1.0000
   3.250   0.4468   0.03975   0.02900  -0.0566   0.7493   1.0000
   3.500   0.4506   0.04125   0.03048  -0.0545   0.7400   1.0000
   3.750   0.4672   0.04258   0.03184  -0.0540   0.7315   1.0000
   4.000   0.4942   0.04365   0.03295  -0.0544   0.7224   1.0000
   4.250   0.4953   0.04539   0.03469  -0.0524   0.7132   1.0000
   4.500   0.5224   0.04655   0.03590  -0.0528   0.7038   1.0000
   4.750   0.5351   0.04807   0.03745  -0.0520   0.6941   1.0000
   5.000   0.5427   0.04978   0.03920  -0.0507   0.6841   1.0000
   5.250   0.5666   0.05105   0.04057  -0.0507   0.6732   1.0000
   5.500   0.5997   0.05201   0.04164  -0.0513   0.6620   1.0000
   5.750   0.5968   0.05413   0.04379  -0.0493   0.6505   1.0000
   6.000   0.6078   0.05586   0.04559  -0.0484   0.6386   1.0000
   6.250   0.6249   0.05738   0.04722  -0.0478   0.6256   1.0000
   6.500   0.6436   0.05882   0.04878  -0.0472   0.6119   1.0000
   6.750   0.6622   0.06024   0.05031  -0.0464   0.5976   1.0000
   7.000   0.6793   0.06168   0.05187  -0.0456   0.5822   1.0000
   7.250   0.6964   0.06310   0.05341  -0.0446   0.5664   1.0000
   7.500   0.7167   0.06425   0.05473  -0.0436   0.5494   1.0000
   7.750   0.7514   0.06434   0.05503  -0.0426   0.5312   1.0000
   8.000   0.7852   0.06419   0.05511  -0.0412   0.5129   1.0000
   8.250   0.7834   0.06665   0.05767  -0.0397   0.4946   1.0000
   8.500   0.8124   0.06646   0.05771  -0.0379   0.4746   1.0000
   8.750   0.8611   0.06381   0.05539  -0.0350   0.4532   1.0000
   9.000   1.0653   0.04284   0.03534  -0.0307   0.4087   1.0000
   9.250   1.1151   0.03829   0.03080  -0.0278   0.3641   1.0000
   9.500   1.1363   0.03690   0.02919  -0.0241   0.3203   1.0000
   9.750   1.1471   0.03715   0.02909  -0.0205   0.2799   1.0000
  10.000   1.1520   0.03845   0.03012  -0.0171   0.2457   1.0000
  10.250   1.1633   0.04022   0.03142  -0.0147   0.2130   1.0000
  10.500   1.1653   0.04262   0.03389  -0.0117   0.1900   1.0000
  10.750   1.1736   0.04510   0.03622  -0.0096   0.1675   1.0000
  11.000   1.1786   0.04776   0.03890  -0.0073   0.1500   1.0000
  11.250   1.1845   0.05050   0.04164  -0.0052   0.1345   1.0000
  11.500   1.1851   0.05346   0.04471  -0.0029   0.1231   1.0000
  11.750   1.1893   0.05675   0.04808  -0.0012   0.1137   1.0000
  12.000   1.2028   0.06022   0.05148  -0.0004   0.1033   1.0000
  12.250   1.1842   0.06362   0.05529   0.0025   0.1018   1.0000
  12.500   1.1653   0.06749   0.05951   0.0042   0.1005   1.0000
  12.750   1.1462   0.07183   0.06414   0.0050   0.1000   1.0000
  13.000   1.1219   0.07680   0.06938   0.0048   0.0998   1.0000
  13.250   1.0968   0.08253   0.07534   0.0036   0.1005   1.0000
  13.500   1.0696   0.08904   0.08203   0.0013   0.1014   1.0000
  13.750   1.0434   0.09621   0.08935  -0.0017   0.1025   1.0000
  14.000   1.0212   0.10373   0.09695  -0.0050   0.1035   1.0000
  14.000   1.0212   0.10373   0.09695  -0.0050   0.1035   1.0000
  14.100   1.0113   0.10702   0.10027  -0.0066   0.1038   1.0000
  15.250   0.6239   0.17190   0.16531  -0.0477   0.2692   1.0000
  15.500   0.6104   0.17195   0.16537  -0.0495   0.2625   1.0000
  15.750   0.6236   0.17685   0.17034  -0.0499   0.2544   1.0000
  16.000   0.6390   0.18202   0.17557  -0.0501   0.2413   1.0000
  16.250   0.6219   0.18123   0.17477  -0.0524   0.2370   1.0000
  16.500   0.6395   0.18704   0.18066  -0.0524   0.2268   1.0000
  16.750   0.6286   0.18714   0.18076  -0.0546   0.2194   1.0000
  17.000   0.6409   0.19215   0.18582  -0.0550   0.2121   1.0000
  17.250   0.6365   0.19345   0.18713  -0.0568   0.2045   1.0000
  17.500   0.6466   0.19809   0.19180  -0.0574   0.1979   1.0000
  17.750   0.6451   0.19981   0.19357  -0.0591   0.1895   1.0000
  18.000   0.6593   0.20569   0.19948  -0.0594   0.1847   1.0000
  18.250   0.6511   0.20618   0.19997  -0.0618   0.1793   1.0000
  18.500   0.6739   0.21393   0.20778  -0.0612   0.1713   1.0000
  18.750   0.6610   0.21311   0.20695  -0.0642   0.1685   1.0000
  19.000   0.6646   0.21589   0.20977  -0.0655   0.1616   1.0000
  19.250   0.6836   0.22347   0.21738  -0.0653   0.1574   1.0000
  19.500   0.6728   0.22296   0.21687  -0.0683   0.1548   1.0000
  19.750   0.6752   0.22573   0.21966  -0.0699   0.1492   1.0000
  20.000   0.6977   0.23439   0.22838  -0.0691   0.1439   1.0000
   0.000   0.1615   0.02814   0.01832  -0.0572   0.8704   1.0000
  -0.250   0.1280   0.02759   0.01795  -0.0553   0.8808   1.0000
  -0.500   0.0938   0.02704   0.01762  -0.0532   0.8912   1.0000
  -0.750   0.0663   0.02651   0.01731  -0.0520   0.9025   1.0000
  -1.000   0.0395   0.02604   0.01711  -0.0508   0.9147   1.0000
  -1.250   0.0112   0.02566   0.01701  -0.0491   0.9273   1.0000
  -1.500  -0.0241   0.02535   0.01705  -0.0456   0.9400   1.0000
  -1.750  -0.0493   0.02532   0.01735  -0.0429   0.9546   1.0000
  -2.000  -0.0704   0.02565   0.01795  -0.0395   0.9710   1.0000
  -2.250  -0.2719   0.02400   0.01733  -0.0097   0.9720   0.8540
  -2.500  -0.3040   0.02367   0.01676  -0.0120   0.9826   0.7282
  -2.750  -0.3285   0.02361   0.01618  -0.0150   0.9939   0.5815
  -3.000  -0.3491   0.02432   0.01580  -0.0174   1.0000   0.3867
  -3.250  -0.3632   0.02558   0.01619  -0.0193   1.0000   0.2706
  -3.500  -0.3802   0.02686   0.01711  -0.0204   1.0000   0.2041
  -3.750  -0.3973   0.02805   0.01814  -0.0217   1.0000   0.1712
  -4.000  -0.4150   0.02934   0.01938  -0.0229   1.0000   0.1541
  -4.250  -0.4322   0.03052   0.02071  -0.0242   1.0000   0.1411
  -4.500  -0.4495   0.03207   0.02255  -0.0254   1.0000   0.1334
  -4.750  -0.4654   0.03374   0.02453  -0.0269   1.0000   0.1292
  -5.000  -0.4798   0.03557   0.02652  -0.0284   1.0000   0.1261
  -5.250  -0.4919   0.03780   0.02895  -0.0300   1.0000   0.1235
  -5.500  -0.5011   0.04005   0.03174  -0.0320   1.0000   0.1215
  -5.750  -0.5080   0.04261   0.03473  -0.0340   1.0000   0.1205
  -6.000  -0.5134   0.04551   0.03799  -0.0361   1.0000   0.1213
  -6.250  -0.5190   0.04865   0.04132  -0.0380   1.0000   0.1229
  -6.500  -0.5115   0.05327   0.04663  -0.0395   1.0000   0.1300
  -6.750  -0.5096   0.05754   0.05107  -0.0408   1.0000   0.1354
  -7.000  -0.4932   0.06350   0.05732  -0.0401   1.0000   0.1479
  -7.250  -0.3583   0.08338   0.07705  -0.0127   1.0000   0.3644
  -7.450  -0.3655   0.08627   0.07990  -0.0130   1.0000   0.3607
  -7.750  -0.3642   0.08957   0.08310  -0.0139   1.0000   0.3468
  -8.000  -0.3640   0.09224   0.08568  -0.0147   1.0000   0.3333
  -8.250  -0.3652   0.09508   0.08846  -0.0152   1.0000   0.3200
  -8.500  -0.3682   0.09813   0.09145  -0.0156   1.0000   0.3084
  -8.750  -0.3980   0.10368   0.09704  -0.0167   1.0000   0.2994
  -8.750  -0.3980   0.10368   0.09704  -0.0167   1.0000   0.2994
  -8.850  -0.3738   0.10257   0.09581  -0.0158   1.0000   0.2949
  -8.950  -0.3747   0.10363   0.09684  -0.0158   1.0000   0.2902
  -9.250  -0.3789   0.10748   0.10062  -0.0157   1.0000   0.2796
  -9.500  -0.4074   0.11324   0.10643  -0.0169   1.0000   0.2698
  -9.750  -0.3873   0.11377   0.10681  -0.0155   1.0000   0.2601
 -10.000  -0.3983   0.11793   0.11095  -0.0155   1.0000   0.2534
 -10.250  -0.4104   0.12164   0.11466  -0.0159   1.0000   0.2415
 -10.500  -0.3980   0.12331   0.11621  -0.0144   1.0000   0.2332
 -10.750  -0.4174   0.12833   0.12126  -0.0150   1.0000   0.2248
 -11.000  -0.4088   0.12973   0.12258  -0.0136   1.0000   0.2161
 -11.250  -0.4213   0.13432   0.12715  -0.0136   1.0000   0.2096
 -11.500  -0.4175   0.13625   0.12902  -0.0122   1.0000   0.2016
 -11.750  -0.4393   0.14236   0.13515  -0.0129   1.0000   0.1959
 -12.000  -0.4257   0.14279   0.13549  -0.0105   1.0000   0.1903
 -12.250  -0.4448   0.14794   0.14066  -0.0110   1.0000   0.1830
 -12.500  -0.4425   0.15060   0.14325  -0.0093   1.0000   0.1799
 -12.750  -0.4413   0.15255   0.14516  -0.0078   1.0000   0.1735
 -13.000  -0.4694   0.16037   0.15301  -0.0089   1.0000   0.1670
 -13.250  -0.4549   0.15972   0.15227  -0.0060   1.0000   0.1642
 -13.500  -0.4594   0.16238   0.15491  -0.0049   1.0000   0.1575
 -13.750  -0.4795   0.16906   0.16159  -0.0053   1.0000   0.1522
 -14.000  -0.4706   0.16896   0.16142  -0.0026   1.0000   0.1485
 -14.250  -0.4783   0.17214   0.16462  -0.0016   1.0000   0.1425
 -14.500  -0.5057   0.18121   0.17372  -0.0025   1.0000   0.1383
 -14.750  -0.4946   0.17987   0.17230   0.0005   1.0000   0.1367
 -15.000  -0.4958   0.18150   0.17389   0.0026   1.0000   0.1324
 -15.250  -0.5051   0.18502   0.17741   0.0035   1.0000   0.1278
 -15.500  -0.5338   0.19555   0.18797   0.0024   1.0000   0.1241
 -15.750  -0.5244   0.19365   0.18600   0.0056   1.0000   0.1230
 -16.000  -0.5243   0.19439   0.18670   0.0081   1.0000   0.1197
 -16.250  -0.5316   0.19727   0.18957   0.0096   1.0000   0.1157
 -16.500  -0.5453   0.20214   0.19445   0.0100   1.0000   0.1117
 -16.750  -0.5597   0.20895   0.20124   0.0106   1.0000   0.1096
 -17.000  -0.5566   0.20780   0.20004   0.0137   1.0000   0.1078
 -17.250  -0.5616   0.20966   0.20190   0.0159   1.0000   0.1040
 -17.500  -0.5706   0.21293   0.20516   0.0172   1.0000   0.1001
 -17.750  -0.5859   0.21895   0.21121   0.0173   1.0000   0.0971
 -18.000  -0.5999   0.22619   0.21843   0.0181   1.0000   0.0958
 -18.250  -0.5978   0.22440   0.21658   0.0214   1.0000   0.0948
 -18.500  -0.6020   0.22538   0.21753   0.0240   1.0000   0.0928
 -18.750  -0.6092   0.22786   0.22000   0.0259   1.0000   0.0900
 -19.000  -0.6178   0.23092   0.22306   0.0275   1.0000   0.0873
 -19.250  -0.6280   0.23465   0.22679   0.0287   1.0000   0.0850
 -19.500  -0.6464   0.24413   0.23632   0.0284   1.0000   0.0828
 -19.750  -0.6546   0.24823   0.24037   0.0302   1.0000   0.0821
 -20.000  -0.6549   0.24617   0.23827   0.0335   1.0000   0.0815
