  
       XFOIL         Version 6.99
  
 Calculated polar for: E10(08%)                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0323   0.01834   0.00822   0.0042   1.0000   1.0000
   0.250  -0.0323   0.01859   0.00840   0.0073   1.0000   1.0000
   0.500  -0.0294   0.01891   0.00865   0.0099   1.0000   1.0000
   0.750  -0.0244   0.01929   0.00897   0.0122   1.0000   1.0000
   1.000  -0.0177   0.01973   0.00937   0.0140   1.0000   1.0000
   1.250  -0.0096   0.02025   0.00985   0.0155   1.0000   1.0000
   1.500   0.0646   0.02143   0.01113   0.0047   0.9763   1.0000
   1.750   0.1367   0.02241   0.01225  -0.0051   0.9514   1.0000
   2.000   0.2107   0.02314   0.01320  -0.0146   0.9255   1.0000
   2.250   0.2934   0.02352   0.01389  -0.0248   0.8986   1.0000
   2.500   0.3587   0.02357   0.01421  -0.0310   0.8697   1.0000
   2.750   0.4067   0.02357   0.01441  -0.0335   0.8398   1.0000
   3.000   0.4423   0.02355   0.01459  -0.0333   0.8097   1.0000
   3.250   0.4702   0.02354   0.01471  -0.0315   0.7795   1.0000
   3.500   0.4937   0.02351   0.01478  -0.0288   0.7492   1.0000
   3.750   0.5148   0.02346   0.01481  -0.0255   0.7186   1.0000
   4.000   0.5351   0.02335   0.01479  -0.0219   0.6872   1.0000
   4.250   0.5546   0.02325   0.01471  -0.0181   0.6547   1.0000
   4.500   0.5727   0.02330   0.01480  -0.0146   0.6180   1.0000
   4.750   0.5918   0.02330   0.01476  -0.0110   0.5802   1.0000
   5.000   0.6110   0.02336   0.01477  -0.0075   0.5397   1.0000
   5.250   0.6293   0.02363   0.01496  -0.0043   0.4944   1.0000
   5.500   0.6475   0.02403   0.01521  -0.0012   0.4459   1.0000
   5.750   0.6655   0.02464   0.01558   0.0016   0.3956   1.0000
   6.000   0.6828   0.02552   0.01624   0.0043   0.3442   1.0000
   6.250   0.7001   0.02671   0.01718   0.0066   0.2960   1.0000
   6.500   0.7174   0.02813   0.01846   0.0088   0.2527   1.0000
   6.750   0.7354   0.02974   0.01989   0.0107   0.2161   1.0000
   7.000   0.7546   0.03177   0.02184   0.0123   0.1874   1.0000
   7.250   0.7719   0.03398   0.02421   0.0141   0.1636   1.0000
   7.500   0.7915   0.03641   0.02655   0.0154   0.1451   1.0000
   7.750   0.8087   0.03924   0.02957   0.0169   0.1313   1.0000
   8.000   0.8193   0.04249   0.03345   0.0189   0.1221   1.0000
   8.250   0.8305   0.04582   0.03710   0.0204   0.1141   1.0000
   8.500   0.8343   0.05007   0.04191   0.0222   0.1113   1.0000
   8.750   0.8377   0.05397   0.04615   0.0237   0.1078   1.0000
   9.000   0.8468   0.05767   0.04987   0.0247   0.1029   1.0000
   9.250   0.8378   0.06228   0.05488   0.0259   0.1026   1.0000
   9.500   0.8267   0.06701   0.05987   0.0266   0.1028   1.0000
   9.750   0.8151   0.07189   0.06492   0.0269   0.1033   1.0000
   9.750   0.8151   0.07189   0.06492   0.0269   0.1033   1.0000
   9.850   0.8110   0.07386   0.06693   0.0269   0.1035   1.0000
   9.950   0.8064   0.07581   0.06895   0.0268   0.1042   1.0000
  10.250   0.5976   0.11585   0.10854  -0.0166   0.3047   1.0000
  10.500   0.6037   0.12016   0.11286  -0.0169   0.2957   1.0000
  10.750   0.6102   0.12427   0.11698  -0.0172   0.2867   1.0000
  11.000   0.6110   0.12880   0.12148  -0.0182   0.2827   1.0000
  11.250   0.6274   0.13391   0.12667  -0.0177   0.2701   1.0000
  11.500   0.6095   0.13569   0.12835  -0.0198   0.2631   1.0000
  11.750   0.6168   0.13991   0.13257  -0.0201   0.2531   1.0000
  12.000   0.6341   0.14510   0.13782  -0.0197   0.2430   1.0000
  12.250   0.6220   0.14750   0.14012  -0.0219   0.2380   1.0000
  12.500   0.6466   0.15392   0.14660  -0.0210   0.2278   1.0000
  12.750   0.6288   0.15477   0.14736  -0.0237   0.2219   1.0000
  13.000   0.6465   0.16034   0.15296  -0.0234   0.2131   1.0000
  13.250   0.6407   0.16224   0.15481  -0.0252   0.2042   1.0000
  13.500   0.6580   0.16833   0.16092  -0.0252   0.1993   1.0000
  13.750   0.6482   0.16943   0.16196  -0.0277   0.1931   1.0000
  14.000   0.6798   0.17809   0.17070  -0.0263   0.1860   1.0000
  14.250   0.6607   0.17718   0.16968  -0.0299   0.1825   1.0000
  14.500   0.6690   0.18072   0.17323  -0.0308   0.1752   1.0000
  14.750   0.6786   0.18554   0.17804  -0.0317   0.1708   1.0000
  15.000   0.6773   0.18729   0.17975  -0.0339   0.1643   1.0000
  15.250   0.7011   0.19513   0.18767  -0.0330   0.1580   1.0000
  15.500   0.6911   0.19467   0.18714  -0.0366   0.1547   1.0000
  15.750   0.6977   0.19784   0.19031  -0.0380   0.1490   1.0000
  16.000   0.7247   0.20748   0.20000  -0.0367   0.1445   1.0000
  16.250   0.7140   0.20596   0.19840  -0.0406   0.1426   1.0000
  16.500   0.7171   0.20809   0.20051  -0.0429   0.1378   1.0000
  16.750   0.7283   0.21224   0.20467  -0.0437   0.1334   1.0000
  17.000   0.7459   0.22007   0.21252  -0.0437   0.1306   1.0000
  17.250   0.7408   0.21908   0.21147  -0.0474   0.1283   1.0000
  17.500   0.7461   0.22155   0.21393  -0.0495   0.1234   1.0000
  17.750   0.7607   0.22694   0.21936  -0.0497   0.1187   1.0000
  18.000   0.7706   0.23221   0.22460  -0.0510   0.1167   1.0000
  18.250   0.7691   0.23177   0.22412  -0.0546   0.1135   1.0000
  18.500   0.7766   0.23468   0.22703  -0.0564   0.1092   1.0000
  18.750   0.7891   0.23950   0.23191  -0.0570   0.1056   1.0000
  19.000   0.8044   0.24762   0.24005  -0.0573   0.1037   1.0000
  19.250   0.8030   0.24624   0.23861  -0.0611   0.1025   1.0000
  19.500   0.8074   0.24775   0.24010  -0.0639   0.0995   1.0000
  19.750   0.8153   0.25073   0.24309  -0.0658   0.0963   1.0000
  20.000   0.8252   0.25463   0.24700  -0.0670   0.0933   1.0000
   0.000  -0.0323   0.01834   0.00822   0.0042   1.0000   1.0000
  -0.250  -0.0283   0.01816   0.00810   0.0004   1.0000   1.0000
  -0.500  -0.0205   0.01804   0.00803  -0.0040   1.0000   1.0000
  -0.750  -0.0111   0.01799   0.00802  -0.0087   1.0000   1.0000
  -1.000  -0.0045   0.01804   0.00806  -0.0128   1.0000   1.0000
