  
       XFOIL         Version 6.99
  
 Calculated polar for: E591                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.3572   0.05517   0.04765  -0.1332   0.7509   0.5707
   0.250   0.3882   0.05535   0.04774  -0.1333   0.7417   0.5994
   0.500   0.4027   0.05642   0.04875  -0.1326   0.7316   0.6195
   0.750   0.4377   0.05667   0.04887  -0.1339   0.7224   0.6466
   1.000   0.4521   0.05786   0.05000  -0.1334   0.7124   0.6662
   1.250   0.4777   0.05836   0.05043  -0.1332   0.7035   0.6893
   1.500   0.4944   0.05947   0.05150  -0.1326   0.6944   0.7111
   1.750   0.5128   0.06043   0.05242  -0.1322   0.6850   0.7349
   2.000   0.5389   0.06105   0.05298  -0.1322   0.6770   0.7649
   2.250   0.5395   0.06292   0.05490  -0.1306   0.6673   0.7868
   2.500   0.5807   0.06196   0.05390  -0.1302   0.6609   0.8367
   2.750   0.5558   0.06531   0.05739  -0.1272   0.6512   0.8576
   3.000   0.5777   0.06512   0.05729  -0.1265   0.6436   1.0000
   3.250   0.6030   0.06852   0.06051  -0.1321   0.6333   1.0000
   3.500   0.6691   0.06954   0.06114  -0.1393   0.6235   1.0000
   3.750   0.6667   0.07346   0.06498  -0.1401   0.6151   1.0000
   4.000   0.6925   0.07554   0.06688  -0.1419   0.6066   1.0000
   4.250   0.7151   0.07780   0.06898  -0.1431   0.5988   1.0000
   4.500   0.7064   0.08194   0.07311  -0.1430   0.5926   1.0000
   4.750   0.7630   0.08179   0.07271  -0.1447   0.5835   1.0000
   5.000   0.7408   0.08702   0.07798  -0.1442   0.5785   1.0000
   5.250   0.7339   0.09131   0.08229  -0.1444   0.5753   1.0000
   5.500   0.7363   0.09502   0.08598  -0.1449   0.5720   1.0000
   5.750   0.7500   0.09810   0.08901  -0.1456   0.5681   1.0000
   6.000   0.7655   0.10139   0.09226  -0.1465   0.5658   1.0000
   6.250   0.7783   0.10507   0.09591  -0.1475   0.5645   1.0000
   6.250   0.7790   0.10484   0.09566  -0.1472   0.5621   1.0000
   6.350   0.7835   0.10648   0.09730  -0.1477   0.5626   1.0000
   6.450   0.7910   0.10806   0.09887  -0.1483   0.5632   1.0000
   7.250   0.7532   0.12801   0.11905  -0.1545   0.6215   1.0000
   7.500   0.7292   0.12861   0.11972  -0.1526   0.6102   1.0000
   7.750   0.7684   0.13294   0.12397  -0.1545   0.6029   1.0000
   8.000   0.7542   0.13435   0.12541  -0.1535   0.5920   1.0000
   8.250   0.7871   0.13824   0.12924  -0.1550   0.5843   1.0000
   8.500   0.7792   0.14037   0.13139  -0.1547   0.5760   1.0000
   8.750   0.8031   0.14352   0.13453  -0.1556   0.5664   1.0000
   9.000   0.8084   0.14660   0.13760  -0.1560   0.5597   1.0000
   9.250   0.8208   0.14901   0.14001  -0.1564   0.5488   1.0000
   9.500   0.8631   0.15504   0.14600  -0.1583   0.5442   1.0000
   9.750   0.8388   0.15464   0.14566  -0.1575   0.5323   1.0000
  10.000   0.8752   0.15957   0.15057  -0.1588   0.5259   1.0000
  10.250   0.8599   0.16056   0.15158  -0.1589   0.5171   1.0000
  10.500   0.8821   0.16396   0.15500  -0.1597   0.5090   1.0000
  10.750   0.8945   0.16781   0.15886  -0.1606   0.5040   1.0000
  11.000   0.8967   0.16919   0.16027  -0.1611   0.4926   1.0000
  11.250   0.9312   0.17481   0.16589  -0.1621   0.4876   1.0000
  11.500   0.9142   0.17502   0.16612  -0.1628   0.4792   1.0000
  11.750   0.9356   0.17848   0.16961  -0.1635   0.4712   1.0000
  12.000   0.9512   0.18288   0.17404  -0.1645   0.4668   1.0000
  12.250   0.9471   0.18351   0.17470  -0.1654   0.4566   1.0000
  12.500   0.9745   0.18830   0.17952  -0.1661   0.4509   1.0000
  12.750   0.9690   0.18983   0.18107  -0.1675   0.4448   1.0000
  13.000   0.9812   0.19229   0.18356  -0.1683   0.4357   1.0000
  13.250   1.0134   0.19873   0.19006  -0.1688   0.4313   1.0000
  13.500   0.9969   0.19800   0.18935  -0.1707   0.4242   1.0000
  13.750   1.0131   0.20108   0.19247  -0.1714   0.4163   1.0000
  13.750   1.0131   0.20108   0.19247  -0.1714   0.4163   1.0000
  13.850   1.0252   0.20341   0.19482  -0.1715   0.4143   1.0000
  13.950   1.0410   0.20703   0.19846  -0.1717   0.4129   1.0000
  14.250   1.0259   0.20633   0.19778  -0.1741   0.4044   1.0000
  14.500   1.0431   0.20975   0.20126  -0.1748   0.3976   1.0000
  14.750   1.0748   0.21776   0.20932  -0.1752   0.3940   1.0000
  15.000   1.0548   0.21471   0.20629  -0.1778   0.3856   1.0000
  15.250   1.0718   0.21828   0.20992  -0.1785   0.3794   1.0000
  15.500   1.1045   0.22709   0.21880  -0.1787   0.3760   1.0000
  15.750   1.0829   0.22317   0.21488  -0.1818   0.3682   1.0000
  16.000   1.0992   0.22665   0.21843  -0.1825   0.3616   1.0000
  16.000   1.0992   0.22665   0.21843  -0.1825   0.3616   1.0000
  16.100   1.1094   0.22911   0.22093  -0.1826   0.3600   1.0000
  16.200   1.1226   0.23290   0.22475  -0.1826   0.3588   1.0000
  16.500   1.1106   0.23169   0.22355  -0.1860   0.3517   1.0000
  16.750   1.1243   0.23473   0.22666  -0.1869   0.3448   1.0000
  17.000   1.1529   0.24284   0.23488  -0.1869   0.3410   1.0000
  17.250   1.1385   0.24036   0.23239  -0.1904   0.3359   1.0000
  17.500   1.1484   0.24276   0.23485  -0.1917   0.3286   1.0000
  17.750   1.1728   0.24939   0.24157  -0.1917   0.3242   1.0000
  18.000   1.1679   0.24957   0.24176  -0.1947   0.3206   1.0000
  18.250   1.1724   0.25086   0.24311  -0.1966   0.3132   1.0000
  18.500   1.1912   0.25572   0.24806  -0.1970   0.3082   1.0000
  18.750   1.2017   0.26040   0.25279  -0.1986   0.3054   1.0000
  19.000   1.1967   0.25910   0.25152  -0.2017   0.2985   1.0000
  19.250   1.2107   0.26266   0.25516  -0.2026   0.2928   1.0000
  19.500   1.2400   0.27366   0.26627  -0.2020   0.2895   1.0000
