  
       XFOIL         Version 6.99
  
 Calculated polar for: E61  (5.64%)                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.3117   0.04213   0.03359  -0.1305   1.0000   0.1482
   0.250   0.3635   0.04063   0.03137  -0.1356   1.0000   0.1355
   0.500   0.4051   0.03979   0.03001  -0.1387   1.0000   0.1328
   0.750   0.4410   0.03942   0.02919  -0.1407   1.0000   0.1357
   1.000   0.4706   0.03928   0.02868  -0.1413   1.0000   0.1440
   1.250   0.4991   0.03937   0.02863  -0.1419   1.0000   0.1699
   1.500   0.5441   0.03706   0.02809  -0.1444   1.0000   1.0000
   1.750   0.5642   0.03820   0.02872  -0.1441   1.0000   1.0000
   2.000   0.5832   0.03942   0.02964  -0.1440   1.0000   1.0000
   2.250   0.6016   0.04069   0.03070  -0.1439   1.0000   1.0000
   2.500   0.6194   0.04204   0.03187  -0.1438   1.0000   1.0000
   2.750   0.6366   0.04346   0.03317  -0.1438   1.0000   1.0000
   3.000   0.6583   0.04509   0.03470  -0.1448   0.9966   1.0000
   3.250   0.7081   0.04706   0.03656  -0.1507   0.9752   1.0000
   3.500   0.7508   0.04860   0.03806  -0.1549   0.9567   1.0000
   3.750   0.7887   0.04986   0.03931  -0.1581   0.9387   1.0000
   4.000   0.8334   0.05104   0.04048  -0.1620   0.9222   1.0000
   4.250   0.8622   0.05207   0.04159  -0.1634   0.9028   1.0000
   4.500   0.9026   0.05295   0.04262  -0.1663   0.8852   1.0000
   4.750   0.9412   0.05373   0.04350  -0.1686   0.8670   1.0000
   5.000   0.9749   0.05445   0.04437  -0.1701   0.8472   1.0000
   5.250   1.0225   0.05459   0.04471  -0.1729   0.8294   1.0000
   5.500   1.0516   0.05514   0.04555  -0.1732   0.8074   1.0000
   5.750   1.1029   0.05450   0.04520  -0.1757   0.7886   1.0000
   6.000   1.1351   0.05448   0.04545  -0.1755   0.7653   1.0000
   6.250   1.1932   0.05247   0.04386  -0.1773   0.7452   1.0000
   6.500   1.2436   0.05022   0.04217  -0.1775   0.7212   1.0000
   6.750   1.3051   0.04609   0.03861  -0.1772   0.6962   1.0000
   7.000   1.4081   0.03742   0.03093  -0.1789   0.6595   1.0000
   7.250   1.4686   0.03255   0.02651  -0.1767   0.5905   1.0000
   7.500   1.4875   0.03162   0.02530  -0.1709   0.4979   1.0000
   7.750   1.4837   0.03310   0.02614  -0.1637   0.4053   1.0000
   8.000   1.4721   0.03566   0.02797  -0.1566   0.3220   1.0000
   8.250   1.4585   0.03905   0.03057  -0.1500   0.2432   1.0000
   8.500   1.4421   0.04266   0.03346  -0.1441   0.1784   1.0000
   8.750   1.4344   0.04668   0.03694  -0.1395   0.1211   1.0000
   9.000   1.4854   0.05172   0.04155  -0.1407   0.0791   1.0000
   9.250   1.5375   0.05664   0.04671  -0.1436   0.0648   1.0000
   9.500   1.5814   0.06332   0.05386  -0.1453   0.0613   1.0000
   9.750   1.5947   0.06836   0.05952  -0.1428   0.0609   1.0000
  10.000   1.5994   0.07345   0.06517  -0.1397   0.0610   1.0000
