  
       XFOIL         Version 6.99
  
 Calculated polar for: EH 0.0/9.0                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.01636   0.00604  -0.0000   1.0000   1.0000
   0.250   0.0025   0.01640   0.00607   0.0034   1.0000   1.0000
   0.500   0.0063   0.01651   0.00616   0.0065   1.0000   1.0000
   0.750   0.0117   0.01669   0.00633   0.0093   1.0000   1.0000
   1.000   0.0192   0.01695   0.00658   0.0116   1.0000   1.0000
   1.250   0.0285   0.01727   0.00689   0.0134   1.0000   1.0000
   1.500   0.0390   0.01767   0.00730   0.0149   1.0000   1.0000
   1.750   0.0502   0.01816   0.00780   0.0160   1.0000   1.0000
   2.000   0.0617   0.01873   0.00840   0.0168   1.0000   1.0000
   2.250   0.0871   0.01956   0.00931   0.0148   0.9945   1.0000
   2.500   0.1750   0.02083   0.01095   0.0016   0.9598   1.0000
   2.750   0.2642   0.02154   0.01212  -0.0104   0.9216   1.0000
   3.000   0.3616   0.02145   0.01260  -0.0221   0.8787   1.0000
   3.250   0.4286   0.02094   0.01258  -0.0264   0.8328   1.0000
   3.500   0.4669   0.02053   0.01239  -0.0250   0.7870   1.0000
   3.750   0.4888   0.02042   0.01238  -0.0211   0.7383   1.0000
   4.000   0.5087   0.02029   0.01226  -0.0167   0.6881   1.0000
   4.250   0.5262   0.02033   0.01224  -0.0122   0.6322   1.0000
   4.500   0.5427   0.02055   0.01238  -0.0080   0.5684   1.0000
   4.750   0.5587   0.02097   0.01252  -0.0039   0.4964   1.0000
   5.000   0.5735   0.02173   0.01287  -0.0001   0.4133   1.0000
   5.250   0.5872   0.02298   0.01358   0.0033   0.3224   1.0000
   5.500   0.6017   0.02469   0.01473   0.0060   0.2400   1.0000
   5.750   0.6207   0.02686   0.01656   0.0079   0.1841   1.0000
   6.000   0.6432   0.02922   0.01885   0.0094   0.1524   1.0000
   6.250   0.6655   0.03168   0.02136   0.0106   0.1320   1.0000
   6.500   0.6879   0.03447   0.02433   0.0118   0.1194   1.0000
   6.750   0.7078   0.03768   0.02818   0.0134   0.1130   1.0000
   7.000   0.7258   0.04080   0.03150   0.0145   0.1052   1.0000
   7.250   0.7388   0.04458   0.03593   0.0160   0.1019   1.0000
   7.500   0.7488   0.04900   0.04090   0.0172   0.1022   1.0000
   7.750   0.7549   0.05379   0.04615   0.0181   0.1037   1.0000
   8.000   0.7600   0.05875   0.05141   0.0187   0.1055   1.0000
   8.250   0.7630   0.06378   0.05672   0.0190   0.1081   1.0000
   8.500   0.6642   0.06168   0.05553   0.0191   0.1158   1.0000
   8.750   0.6540   0.06723   0.06110   0.0187   0.1189   1.0000
   9.000   0.6902   0.08432   0.07786   0.0097   0.1307   1.0000
   9.250   0.5739   0.08607   0.07979   0.0050   0.1437   1.0000
   9.500   0.6033   0.11094   0.10405  -0.0218   0.2937   1.0000
   9.750   0.6177   0.11580   0.10894  -0.0214   0.2840   1.0000
  10.000   0.6305   0.12035   0.11349  -0.0209   0.2710   1.0000
  10.250   0.6168   0.12248   0.11553  -0.0227   0.2608   1.0000
  10.500   0.6192   0.12666   0.11968  -0.0236   0.2545   1.0000
  10.750   0.6283   0.13085   0.12387  -0.0238   0.2454   1.0000
  11.000   0.6230   0.13420   0.12716  -0.0255   0.2392   1.0000
  11.250   0.6414   0.13948   0.13253  -0.0250   0.2307   1.0000
  11.500   0.6300   0.14183   0.13479  -0.0274   0.2251   1.0000
  11.750   0.6528   0.14809   0.14109  -0.0264   0.2157   1.0000
  12.000   0.6375   0.14931   0.14221  -0.0293   0.2093   1.0000
  12.250   0.6527   0.15461   0.14753  -0.0292   0.2011   1.0000
  12.500   0.6488   0.15675   0.14963  -0.0310   0.1930   1.0000
  12.750   0.6579   0.16144   0.15430  -0.0317   0.1866   1.0000
  13.000   0.6593   0.16425   0.15709  -0.0332   0.1787   1.0000
  13.250   0.6763   0.17051   0.16336  -0.0332   0.1742   1.0000
  13.500   0.6675   0.17144   0.16423  -0.0361   0.1692   1.0000
  13.750   0.6857   0.17726   0.17009  -0.0358   0.1622   1.0000
  14.000   0.6854   0.18020   0.17297  -0.0380   0.1597   1.0000
  14.250   0.6849   0.18223   0.17497  -0.0403   0.1540   1.0000
  14.500   0.7129   0.19117   0.18399  -0.0389   0.1478   1.0000
  14.750   0.7039   0.19117   0.18390  -0.0423   0.1462   1.0000
  15.000   0.7039   0.19290   0.18559  -0.0448   0.1410   1.0000
  15.250   0.7200   0.19849   0.19122  -0.0448   0.1353   1.0000
  15.500   0.7253   0.20230   0.19499  -0.0467   0.1330   1.0000
  15.750   0.7247   0.20339   0.19610  -0.0496   0.1284   1.0000
  16.000   0.7374   0.20800   0.20072  -0.0501   0.1225   1.0000
  16.250   0.7488   0.21367   0.20638  -0.0511   0.1199   1.0000
  16.500   0.7472   0.21387   0.20654  -0.0546   0.1167   1.0000
  16.750   0.7546   0.21697   0.20963  -0.0563   0.1121   1.0000
  17.000   0.7732   0.22457   0.21728  -0.0557   0.1078   1.0000
  17.250   0.7790   0.22805   0.22072  -0.0579   0.1067   1.0000
  17.500   0.7785   0.22786   0.22048  -0.0615   0.1046   1.0000
  17.750   0.7846   0.23037   0.22297  -0.0638   0.1011   1.0000
  18.000   0.7936   0.23387   0.22649  -0.0653   0.0978   1.0000
  18.250   0.8122   0.24265   0.23532  -0.0646   0.0944   1.0000
  18.500   0.8181   0.24580   0.23842  -0.0670   0.0935   1.0000
  18.750   0.8188   0.24510   0.23768  -0.0706   0.0923   1.0000
  19.000   0.8245   0.24696   0.23953  -0.0733   0.0894   1.0000
  19.250   0.8326   0.25003   0.24260  -0.0753   0.0864   1.0000
  19.500   0.8422   0.25373   0.24631  -0.0768   0.0838   1.0000
  19.750   0.8598   0.26350   0.25620  -0.0762   0.0812   1.0000
  20.000   0.8666   0.26692   0.25958  -0.0785   0.0806   1.0000
   0.000   0.0000   0.01636   0.00604  -0.0000   1.0000   1.0000
  -0.250  -0.0025   0.01640   0.00607  -0.0034   1.0000   1.0000
  -0.500  -0.0063   0.01651   0.00617  -0.0065   1.0000   1.0000
  -0.750  -0.0117   0.01669   0.00633  -0.0093   1.0000   1.0000
  -1.000  -0.0193   0.01695   0.00658  -0.0116   1.0000   1.0000
  -1.250  -0.0285   0.01728   0.00690  -0.0134   1.0000   1.0000
  -1.500  -0.0390   0.01768   0.00730  -0.0149   1.0000   1.0000
  -1.750  -0.0501   0.01816   0.00780  -0.0160   1.0000   1.0000
  -2.000  -0.0617   0.01873   0.00840  -0.0168   1.0000   1.0000
  -2.250  -0.0874   0.01957   0.00933  -0.0147   1.0000   0.9944
  -2.500  -0.1749   0.02084   0.01095  -0.0017   1.0000   0.9598
  -2.750  -0.2643   0.02154   0.01212   0.0104   1.0000   0.9215
  -3.000  -0.3616   0.02145   0.01260   0.0221   1.0000   0.8788
  -3.250  -0.4287   0.02094   0.01257   0.0264   1.0000   0.8328
  -3.500  -0.4668   0.02053   0.01239   0.0250   1.0000   0.7868
  -3.750  -0.4887   0.02042   0.01238   0.0211   1.0000   0.7382
  -4.000  -0.5087   0.02029   0.01226   0.0167   1.0000   0.6881
  -4.250  -0.5261   0.02033   0.01224   0.0122   1.0000   0.6322
  -4.500  -0.5427   0.02055   0.01238   0.0079   1.0000   0.5684
  -4.750  -0.5587   0.02097   0.01252   0.0039   1.0000   0.4963
  -5.000  -0.5735   0.02173   0.01288   0.0001   1.0000   0.4134
  -5.250  -0.5872   0.02297   0.01358  -0.0033   1.0000   0.3226
  -5.500  -0.6017   0.02470   0.01474  -0.0060   1.0000   0.2398
  -5.750  -0.6206   0.02685   0.01655  -0.0079   1.0000   0.1839
  -6.000  -0.6432   0.02922   0.01885  -0.0094   1.0000   0.1525
  -6.250  -0.6655   0.03167   0.02135  -0.0106   1.0000   0.1320
  -6.500  -0.6880   0.03447   0.02432  -0.0118   1.0000   0.1195
  -6.750  -0.7079   0.03768   0.02818  -0.0134   1.0000   0.1130
  -7.000  -0.7258   0.04080   0.03150  -0.0145   1.0000   0.1052
  -7.250  -0.7388   0.04458   0.03594  -0.0160   1.0000   0.1019
  -7.500  -0.7488   0.04903   0.04093  -0.0172   1.0000   0.1022
  -7.750  -0.7549   0.05377   0.04612  -0.0181   1.0000   0.1036
  -8.000  -0.7602   0.05872   0.05137  -0.0187   1.0000   0.1056
  -8.250  -0.7606   0.06385   0.05684  -0.0189   1.0000   0.1084
  -8.500  -0.6643   0.06183   0.05568  -0.0190   1.0000   0.1158
  -8.750  -0.6545   0.06731   0.06118  -0.0187   1.0000   0.1189
  -9.000  -0.6091   0.10286   0.09609   0.0191   1.0000   0.3016
  -9.100  -0.6075   0.10458   0.09779   0.0198   1.0000   0.3018
  -9.200  -0.6086   0.10638   0.09958   0.0203   1.0000   0.3014
  -9.500  -0.6045   0.11115   0.10428   0.0217   1.0000   0.2954
  -9.750  -0.6186   0.11591   0.10905   0.0213   1.0000   0.2842
 -10.000  -0.6274   0.12014   0.11327   0.0210   1.0000   0.2709
 -10.250  -0.6131   0.12233   0.11536   0.0230   1.0000   0.2622
 -10.500  -0.6177   0.12660   0.11961   0.0236   1.0000   0.2542
 -10.750  -0.6271   0.13075   0.12377   0.0238   1.0000   0.2455
 -11.000  -0.6227   0.13419   0.12715   0.0254   1.0000   0.2396
 -11.250  -0.6411   0.13955   0.13260   0.0248   1.0000   0.2306
 -11.500  -0.6292   0.14181   0.13476   0.0273   1.0000   0.2251
 -11.750  -0.6543   0.14829   0.14130   0.0261   1.0000   0.2158
 -12.000  -0.6368   0.14926   0.14217   0.0292   1.0000   0.2097
 -12.250  -0.6522   0.15455   0.14747   0.0290   1.0000   0.2011
 -12.500  -0.6485   0.15675   0.14963   0.0308   1.0000   0.1926
 -12.750  -0.6571   0.16138   0.15424   0.0316   1.0000   0.1866
 -13.000  -0.6583   0.16413   0.15697   0.0331   1.0000   0.1789
 -13.250  -0.6764   0.17053   0.16339   0.0329   1.0000   0.1743
 -13.500  -0.6665   0.17135   0.16414   0.0360   1.0000   0.1690
 -13.750  -0.6826   0.17661   0.16943   0.0359   1.0000   0.1626
 -14.000  -0.6854   0.18024   0.17302   0.0377   1.0000   0.1598
 -14.250  -0.6841   0.18207   0.17481   0.0402   1.0000   0.1543
 -14.500  -0.7049   0.18886   0.18166   0.0395   1.0000   0.1483
 -14.750  -0.7031   0.19103   0.18375   0.0422   1.0000   0.1462
 -15.000  -0.7032   0.19273   0.18543   0.0447   1.0000   0.1412
 -15.250  -0.7204   0.19867   0.19140   0.0445   1.0000   0.1351
 -15.500  -0.7249   0.20220   0.19489   0.0465   1.0000   0.1330
 -15.750  -0.7239   0.20315   0.19586   0.0495   1.0000   0.1286
 -16.000  -0.7360   0.20756   0.20028   0.0501   1.0000   0.1227
 -16.250  -0.7476   0.21325   0.20596   0.0510   1.0000   0.1198
 -16.500  -0.7465   0.21361   0.20627   0.0544   1.0000   0.1168
 -16.750  -0.7540   0.21669   0.20934   0.0561   1.0000   0.1119
 -17.000  -0.7710   0.22349   0.21620   0.0559   1.0000   0.1080
 -17.250  -0.7787   0.22786   0.22053   0.0577   1.0000   0.1067
 -17.500  -0.7778   0.22748   0.22010   0.0613   1.0000   0.1047
 -17.750  -0.7839   0.22993   0.22254   0.0636   1.0000   0.1012
 -18.000  -0.7930   0.23346   0.22608   0.0651   1.0000   0.0977
 -18.250  -0.8101   0.24123   0.23390   0.0648   1.0000   0.0945
 -18.500  -0.8177   0.24545   0.23808   0.0668   1.0000   0.0936
 -18.750  -0.8183   0.24456   0.23715   0.0705   1.0000   0.0923
 -19.000  -0.8238   0.24636   0.23892   0.0732   1.0000   0.0895
 -19.250  -0.8319   0.24936   0.24193   0.0752   1.0000   0.0864
 -19.500  -0.8416   0.25314   0.24572   0.0766   1.0000   0.0837
 -19.750  -0.8566   0.26086   0.25354   0.0766   1.0000   0.0814
 -20.000  -0.8662   0.26631   0.25897   0.0783   1.0000   0.0806
