  
       XFOIL         Version 6.99
  
 Calculated polar for: Eh 1.0/7.0                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0421   0.01474   0.00418  -0.0030   1.0000   1.0000
   0.250   0.0538   0.01491   0.00433  -0.0009   1.0000   1.0000
   0.500   0.0639   0.01517   0.00457   0.0012   1.0000   1.0000
   0.750   0.0733   0.01553   0.00489   0.0032   1.0000   1.0000
   1.000   0.0826   0.01598   0.00532   0.0048   1.0000   1.0000
   1.250   0.0924   0.01652   0.00585   0.0060   1.0000   1.0000
   1.500   0.1028   0.01715   0.00648   0.0068   1.0000   1.0000
   1.750   0.1590   0.01812   0.00754  -0.0011   0.9801   1.0000
   2.000   0.2391   0.01891   0.00856  -0.0125   0.9469   1.0000
   2.250   0.3271   0.01928   0.00934  -0.0243   0.9149   1.0000
   2.500   0.3873   0.01949   0.00984  -0.0299   0.8803   1.0000
   2.750   0.4343   0.01965   0.01024  -0.0323   0.8473   1.0000
   3.000   0.4631   0.02001   0.01084  -0.0313   0.8137   1.0000
   3.250   0.4885   0.02037   0.01134  -0.0294   0.7820   1.0000
   3.500   0.5111   0.02073   0.01183  -0.0268   0.7517   1.0000
   3.750   0.5312   0.02124   0.01249  -0.0243   0.7198   1.0000
   4.000   0.5515   0.02172   0.01312  -0.0215   0.6887   1.0000
   4.250   0.5720   0.02214   0.01367  -0.0186   0.6575   1.0000
   4.500   0.5918   0.02263   0.01443  -0.0157   0.6228   1.0000
   4.750   0.6118   0.02291   0.01485  -0.0123   0.5864   1.0000
   5.000   0.6289   0.02263   0.01463  -0.0077   0.5357   1.0000
   5.250   0.6365   0.02108   0.01273  -0.0005   0.4370   1.0000
   5.500   0.6357   0.02330   0.01309   0.0051   0.1760   1.0000
   5.750   0.6541   0.02622   0.01550   0.0071   0.1231   1.0000
   6.000   0.6758   0.02857   0.01770   0.0086   0.1008   1.0000
   6.250   0.7015   0.03126   0.02039   0.0099   0.0917   1.0000
   6.500   0.7278   0.03436   0.02399   0.0112   0.0882   1.0000
   6.750   0.7510   0.03761   0.02780   0.0124   0.0857   1.0000
