  
       XFOIL         Version 6.99
  
 Calculated polar for: EH 3.0/12                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.3973   0.02860   0.01881  -0.0632   0.7001   1.0000
   0.250   0.4152   0.02916   0.01923  -0.0616   0.6911   1.0000
   0.500   0.4307   0.03006   0.02007  -0.0605   0.6804   1.0000
   0.750   0.4452   0.03106   0.02100  -0.0594   0.6705   1.0000
   1.000   0.4631   0.03165   0.02148  -0.0577   0.6623   1.0000
   1.250   0.4733   0.03306   0.02288  -0.0566   0.6521   1.0000
   1.500   0.4915   0.03365   0.02336  -0.0548   0.6445   1.0000
   1.750   0.4986   0.03525   0.02497  -0.0535   0.6345   1.0000
   2.000   0.5114   0.03636   0.02602  -0.0518   0.6267   1.0000
   2.250   0.5188   0.03785   0.02749  -0.0501   0.6180   1.0000
   2.500   0.5261   0.03938   0.02899  -0.0482   0.6103   1.0000
   2.750   0.5307   0.04107   0.03066  -0.0463   0.6024   1.0000
   3.000   0.5366   0.04272   0.03227  -0.0444   0.5953   1.0000
   3.250   0.5295   0.04515   0.03468  -0.0421   0.5878   1.0000
   3.500   0.5510   0.04601   0.03549  -0.0407   0.5817   1.0000
   3.750   0.5164   0.04998   0.03943  -0.0375   0.5754   1.0000
   4.000   0.5397   0.05090   0.04032  -0.0365   0.5687   1.0000
   4.250   0.5205   0.05412   0.04348  -0.0340   0.5644   1.0000
   4.500   0.4920   0.05732   0.04660  -0.0305   0.5618   1.0000
   4.750   0.4818   0.05999   0.04923  -0.0286   0.5594   1.0000
   5.000   0.4744   0.06285   0.05206  -0.0276   0.5599   1.0000
   5.250   0.4712   0.06576   0.05495  -0.0270   0.5624   1.0000
   5.500   0.4766   0.06858   0.05777  -0.0271   0.5651   1.0000
   5.500   0.4738   0.06883   0.05801  -0.0273   0.5688   1.0000
   5.600   0.4810   0.06982   0.05902  -0.0274   0.5679   1.0000
   6.000   0.3960   0.07866   0.06789  -0.0299   0.6779   1.0000
   6.100   0.3913   0.07899   0.06821  -0.0288   0.6739   1.0000
   6.200   0.3939   0.07942   0.06864  -0.0282   0.6668   1.0000
   6.500   0.4083   0.08192   0.07112  -0.0278   0.6532   1.0000
   6.250   0.4002   0.08003   0.06925  -0.0285   0.6648   1.0000
   6.450   0.4071   0.08168   0.07090  -0.0280   0.6564   1.0000
