  
       XFOIL         Version 6.99
  
 Calculated polar for: Eiffel 10 (Wright) - 1903 Wright Flyer airfoil  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.3669   0.02769   0.01955  -0.0769   0.1401   0.6268
   0.250   0.4762   0.03134   0.02168  -0.0959   0.1215   0.3358
   0.500   0.5240   0.03132   0.02109  -0.0983   0.1159   0.2321
   0.750   0.5610   0.03127   0.02062  -0.0987   0.1116   0.1869
   1.000   0.5933   0.03108   0.02022  -0.0986   0.1089   0.1674
   1.250   0.6244   0.03102   0.01995  -0.0980   0.1075   0.1544
   1.500   0.6550   0.03112   0.01978  -0.0971   0.1072   0.1442
   1.750   0.6837   0.03130   0.01971  -0.0958   0.1074   0.1385
   2.000   0.7127   0.03156   0.01972  -0.0943   0.1081   0.1337
   2.250   0.7425   0.03204   0.01990  -0.0927   0.1090   0.1310
   2.500   0.7729   0.03285   0.02045  -0.0913   0.1102   0.1314
   2.750   0.8034   0.03297   0.02064  -0.0899   0.1127   0.1359
   3.000   0.8348   0.03362   0.02146  -0.0888   0.1165   0.1476
   3.250   0.8665   0.03481   0.02279  -0.0879   0.1207   0.1723
   3.500   0.8946   0.03522   0.02444  -0.0868   0.1241   1.0000
   3.750   0.9256   0.03635   0.02548  -0.0852   0.1299   1.0000
   4.000   0.9560   0.03857   0.02774  -0.0841   0.1380   1.0000
   4.250   0.9867   0.04036   0.02988  -0.0829   0.1485   1.0000
   4.500   1.0154   0.04420   0.03357  -0.0824   0.1574   1.0000
   4.750   1.0449   0.04656   0.03651  -0.0813   0.1728   1.0000
   5.000   1.0749   0.04884   0.03992  -0.0806   0.1987   1.0000
   5.000   1.0749   0.04884   0.03992  -0.0806   0.1987   1.0000
