  
       XFOIL         Version 6.99
  
 Calculated polar for: ESA40                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1340   0.02305   0.01409   0.0098   0.7353   1.0000
   0.250   0.1483   0.02300   0.01387   0.0136   0.7033   1.0000
   0.500   0.1632   0.02288   0.01355   0.0173   0.6716   1.0000
   0.750   0.1793   0.02276   0.01322   0.0209   0.6401   1.0000
   1.000   0.1968   0.02272   0.01294   0.0240   0.6086   1.0000
   1.250   0.2160   0.02280   0.01277   0.0266   0.5776   1.0000
   1.500   0.2367   0.02301   0.01273   0.0287   0.5487   1.0000
   1.750   0.2576   0.02325   0.01271   0.0308   0.5233   1.0000
   2.000   0.2817   0.02375   0.01306   0.0316   0.4974   1.0000
   2.250   0.3050   0.02423   0.01334   0.0328   0.4770   1.0000
   2.500   0.3284   0.02476   0.01367   0.0339   0.4588   1.0000
   2.750   0.3525   0.02539   0.01415   0.0347   0.4420   1.0000
   3.000   0.3779   0.02621   0.01491   0.0349   0.4267   1.0000
   3.250   0.4038   0.02715   0.01585   0.0348   0.4124   1.0000
   3.500   0.4295   0.02818   0.01689   0.0347   0.3990   1.0000
   3.750   0.4549   0.02930   0.01804   0.0345   0.3874   1.0000
   4.000   0.4787   0.03025   0.01889   0.0352   0.3788   1.0000
   4.250   0.5057   0.03202   0.02089   0.0337   0.3684   1.0000
   4.500   0.5288   0.03302   0.02179   0.0345   0.3604   1.0000
   4.750   0.5546   0.03504   0.02408   0.0329   0.3507   1.0000
   5.000   0.5774   0.03627   0.02523   0.0336   0.3451   1.0000
   5.250   0.6020   0.03993   0.02936   0.0297   0.3379   1.0000
   5.500   0.6238   0.04138   0.03080   0.0302   0.3317   1.0000
   5.750   0.6423   0.04548   0.03523   0.0267   0.3254   1.0000
   6.000   0.6532   0.05138   0.04151   0.0214   0.3222   1.0000
   6.250   0.6481   0.06009   0.05051   0.0135   0.3240   1.0000
   6.500   0.6413   0.06763   0.05814   0.0075   0.3271   1.0000
   6.750   0.6400   0.07365   0.06420   0.0035   0.3307   1.0000
   6.750   0.6400   0.07365   0.06420   0.0035   0.3307   1.0000
   6.850   0.6457   0.07488   0.06544   0.0036   0.3300   1.0000
   7.500   0.5119   0.10048   0.09093  -0.0204   0.4713   1.0000
   7.600   0.5089   0.10099   0.09143  -0.0201   0.4652   1.0000
   7.700   0.5182   0.10236   0.09282  -0.0202   0.4614   1.0000
   8.000   0.5227   0.10545   0.09588  -0.0200   0.4484   1.0000
   7.750   0.5258   0.10333   0.09380  -0.0203   0.4599   1.0000
   7.850   0.5407   0.10568   0.09616  -0.0207   0.4576   1.0000
   7.950   0.5203   0.10495   0.09538  -0.0200   0.4512   1.0000
   8.250   0.5351   0.10869   0.09913  -0.0200   0.4385   1.0000
   8.000   0.5227   0.10545   0.09589  -0.0200   0.4484   1.0000
   8.100   0.5367   0.10714   0.09760  -0.0201   0.4442   1.0000
   8.200   0.5506   0.10943   0.09990  -0.0203   0.4414   1.0000
   8.500   0.5591   0.11242   0.10291  -0.0200   0.4268   1.0000
   8.750   0.5474   0.11393   0.10438  -0.0198   0.4161   1.0000
   9.000   0.5820   0.11942   0.10996  -0.0203   0.4097   1.0000
   9.250   0.5654   0.12001   0.11052  -0.0201   0.3979   1.0000
   9.500   0.5704   0.12310   0.11361  -0.0203   0.3893   1.0000
   9.750   0.6009   0.12786   0.11845  -0.0203   0.3782   1.0000
  10.000   0.5837   0.12872   0.11926  -0.0206   0.3679   1.0000
  10.250   0.6196   0.13499   0.12561  -0.0209   0.3616   1.0000
  10.500   0.5975   0.13493   0.12551  -0.0213   0.3513   1.0000
  10.750   0.6148   0.13946   0.13011  -0.0216   0.3443   1.0000
  11.000   0.6182   0.14163   0.13231  -0.0219   0.3325   1.0000
  11.250   0.6175   0.14449   0.13516  -0.0226   0.3254   1.0000
  11.500   0.6311   0.14804   0.13877  -0.0229   0.3165   1.0000
  11.750   0.6314   0.15109   0.14182  -0.0239   0.3104   1.0000
  12.000   0.6462   0.15471   0.14550  -0.0240   0.3002   1.0000
  12.250   0.6421   0.15708   0.14786  -0.0252   0.2931   1.0000
  12.500   0.6579   0.16101   0.15188  -0.0254   0.2846   1.0000
  12.750   0.6606   0.16448   0.15535  -0.0266   0.2802   1.0000
  13.000   0.6629   0.16667   0.15756  -0.0277   0.2713   1.0000
  13.250   0.6829   0.17250   0.16346  -0.0279   0.2658   1.0000
  13.500   0.6744   0.17291   0.16385  -0.0298   0.2572   1.0000
  13.750   0.7025   0.17980   0.17087  -0.0294   0.2515   1.0000
  14.000   0.6897   0.18005   0.17107  -0.0320   0.2474   1.0000
  14.250   0.6958   0.18275   0.17381  -0.0332   0.2404   1.0000
  14.500   0.7315   0.19243   0.18360  -0.0324   0.2353   1.0000
  14.750   0.7093   0.18943   0.18054  -0.0359   0.2307   1.0000
  15.000   0.7188   0.19253   0.18368  -0.0369   0.2237   1.0000
  15.250   0.7468   0.20103   0.19231  -0.0364   0.2199   1.0000
  15.500   0.7347   0.19996   0.19119  -0.0398   0.2173   1.0000
  15.750   0.7378   0.20191   0.19316  -0.0419   0.2118   1.0000
  16.000   0.7501   0.20577   0.19708  -0.0427   0.2073   1.0000
  16.250   0.7785   0.21591   0.20732  -0.0421   0.2041   1.0000
  16.500   0.7633   0.21228   0.20364  -0.0463   0.2011   1.0000
  16.750   0.7693   0.21457   0.20597  -0.0483   0.1954   1.0000
  17.000   0.7822   0.21872   0.21019  -0.0491   0.1915   1.0000
  17.250   0.8059   0.22806   0.21966  -0.0488   0.1891   1.0000
  17.500   0.7997   0.22670   0.21825  -0.0525   0.1876   1.0000
  17.750   0.8012   0.22744   0.21900  -0.0555   0.1837   1.0000
  18.000   0.8096   0.23037   0.22199  -0.0573   0.1798   1.0000
  18.250   0.8219   0.23453   0.22623  -0.0583   0.1764   1.0000
  18.500   0.8472   0.24605   0.23789  -0.0576   0.1740   1.0000
  18.750   0.8386   0.24198   0.23375  -0.0621   0.1724   1.0000
  19.000   0.8422   0.24298   0.23478  -0.0651   0.1687   1.0000
  19.250   0.8507   0.24592   0.23778  -0.0671   0.1652   1.0000
  19.500   0.8614   0.24967   0.24160  -0.0685   0.1624   1.0000
  19.750   0.8760   0.25587   0.24790  -0.0691   0.1602   1.0000
  20.000   0.8888   0.26295   0.25505  -0.0704   0.1590   1.0000
   0.000   0.1340   0.02305   0.01409   0.0098   0.7354   1.0000
  -0.250   0.1203   0.02298   0.01419   0.0060   0.7679   1.0000
  -0.500   0.1071   0.02272   0.01408   0.0024   0.8018   1.0000
  -0.750   0.0925   0.02221   0.01370  -0.0005   0.8395   1.0000
  -1.000   0.0807   0.02131   0.01296  -0.0040   0.8773   1.0000
  -1.250   0.0672   0.02036   0.01222  -0.0072   0.9180   1.0000
  -1.500   0.0254   0.01993   0.01211  -0.0044   0.9690   1.0000
  -1.750  -0.0049   0.01979   0.01220  -0.0014   1.0000   1.0000
  -2.000  -0.0296   0.01992   0.01248   0.0009   1.0000   1.0000
  -2.250  -0.0588   0.02023   0.01302   0.0036   1.0000   1.0000
  -2.500  -0.0889   0.02066   0.01377   0.0061   1.0000   1.0000
  -2.750  -0.2710   0.02465   0.01446   0.0195   1.0000   0.1240
  -3.000  -0.3037   0.02594   0.01572   0.0201   1.0000   0.1174
  -3.250  -0.3384   0.02777   0.01745   0.0211   1.0000   0.1122
  -3.500  -0.3724   0.02939   0.01929   0.0218   1.0000   0.1084
  -3.750  -0.4064   0.03145   0.02157   0.0224   1.0000   0.1080
  -4.000  -0.4398   0.03389   0.02425   0.0230   1.0000   0.1101
  -4.250  -0.4718   0.03693   0.02742   0.0236   1.0000   0.1129
  -4.500  -0.5049   0.03928   0.03061   0.0233   1.0000   0.1228
  -4.750  -0.5359   0.04238   0.03413   0.0235   1.0000   0.1324
  -5.000  -0.5656   0.04636   0.03846   0.0238   1.0000   0.1458
  -5.250  -0.6052   0.05155   0.04519   0.0259   1.0000   0.2211
  -5.500  -0.4991   0.05599   0.05183   0.0439   1.0000   0.4230
  -6.500  -0.5566   0.09073   0.08587   0.0816   1.0000   0.5432
  -6.750  -0.5693   0.09297   0.08805   0.0776   1.0000   0.4906
  -7.250  -0.6118   0.09883   0.09380   0.0703   1.0000   0.3965
  -7.500  -0.6219   0.10181   0.09671   0.0679   1.0000   0.3618
  -7.750  -0.6395   0.10555   0.10040   0.0656   1.0000   0.3347
  -8.250  -0.6739   0.11349   0.10825   0.0613   1.0000   0.2887
  -8.500  -0.6732   0.11709   0.11178   0.0615   1.0000   0.2724
  -8.250  -0.6739   0.11349   0.10825   0.0613   1.0000   0.2887
  -8.350  -0.6473   0.11388   0.10855   0.0643   1.0000   0.2841
  -8.450  -0.6575   0.11535   0.11003   0.0632   1.0000   0.2757
  -8.750  -0.6805   0.12108   0.11570   0.0610   1.0000   0.2567
  -8.500  -0.6732   0.11709   0.11178   0.0615   1.0000   0.2724
  -8.600  -0.6510   0.11756   0.11217   0.0642   1.0000   0.2676
  -8.700  -0.6596   0.11905   0.11365   0.0634   1.0000   0.2602
  -9.000  -0.6674   0.12375   0.11829   0.0633   1.0000   0.2435
  -8.750  -0.6805   0.12108   0.11570   0.0610   1.0000   0.2567
  -8.850  -0.6579   0.12151   0.11606   0.0641   1.0000   0.2534
  -8.950  -0.6565   0.12269   0.11722   0.0645   1.0000   0.2469
  -9.250  -0.6593   0.12731   0.12175   0.0653   1.0000   0.2327
