  
       XFOIL         Version 6.99
  
 Calculated polar for: Fage & Collins 3                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0873   0.03417   0.02299  -0.0317   0.9093   0.1517
   0.250   0.1567   0.03327   0.02198  -0.0388   0.8851   0.1622
   0.500   0.2281   0.03227   0.02092  -0.0457   0.8642   0.1749
   0.750   0.3858   0.02851   0.01924  -0.0693   0.8451   1.0000
   1.000   0.4510   0.02765   0.01787  -0.0743   0.8210   1.0000
   1.250   0.5068   0.02681   0.01673  -0.0778   0.7938   1.0000
   1.500   0.5584   0.02589   0.01558  -0.0806   0.7672   1.0000
   1.750   0.6098   0.02494   0.01442  -0.0832   0.7417   1.0000
   2.000   0.6614   0.02410   0.01336  -0.0860   0.7173   1.0000
   2.250   0.6944   0.02403   0.01311  -0.0861   0.6912   1.0000
   2.500   0.7283   0.02408   0.01297  -0.0865   0.6680   1.0000
   2.750   0.7590   0.02435   0.01307  -0.0866   0.6472   1.0000
   3.000   0.7912   0.02465   0.01321  -0.0870   0.6290   1.0000
   3.250   0.8182   0.02519   0.01363  -0.0867   0.6125   1.0000
   3.500   0.8440   0.02583   0.01419  -0.0863   0.5978   1.0000
   3.750   0.8679   0.02658   0.01493  -0.0856   0.5844   1.0000
   4.000   0.8877   0.02750   0.01585  -0.0844   0.5720   1.0000
   4.250   0.9076   0.02847   0.01684  -0.0833   0.5606   1.0000
   4.500   0.9318   0.02936   0.01773  -0.0828   0.5510   1.0000
   4.750   0.9510   0.03047   0.01893  -0.0816   0.5420   1.0000
   5.000   0.9667   0.03176   0.02032  -0.0801   0.5336   1.0000
   5.250   0.9901   0.03277   0.02136  -0.0795   0.5255   1.0000
   5.500   0.9982   0.03444   0.02320  -0.0770   0.5180   1.0000
   5.750   1.0181   0.03572   0.02457  -0.0760   0.5114   1.0000
   6.000   1.0269   0.03759   0.02664  -0.0739   0.5057   1.0000
   6.250   1.0285   0.03981   0.02905  -0.0709   0.4997   1.0000
   6.500   1.0607   0.04070   0.02997  -0.0715   0.4938   1.0000
   6.750   1.0330   0.04457   0.03410  -0.0655   0.4886   1.0000
   7.000   1.0195   0.04806   0.03773  -0.0617   0.4842   1.0000
   7.250   1.0474   0.04929   0.03909  -0.0619   0.4795   1.0000
   7.500   0.9756   0.05691   0.04672  -0.0541   0.4768   1.0000
   7.750   0.8682   0.06956   0.05914  -0.0497   0.4778   1.0000
   8.000   0.8359   0.07677   0.06633  -0.0500   0.4794   1.0000
   8.000   0.8359   0.07677   0.06633  -0.0500   0.4793   1.0000
   8.250   0.7549   0.08886   0.07830  -0.0524   0.5064   1.0000
   8.350   0.7604   0.09030   0.07978  -0.0528   0.5078   1.0000
   9.100   0.6570   0.10889   0.09837  -0.0577   0.6174   1.0000
   9.200   0.6726   0.11065   0.10022  -0.0587   0.6143   1.0000
   9.250   0.6823   0.11189   0.10148  -0.0594   0.6132   1.0000
   9.350   0.6647   0.11136   0.10093  -0.0573   0.6057   1.0000
   9.450   0.6754   0.11267   0.10228  -0.0577   0.6013   1.0000
   9.750   0.6833   0.11561   0.10530  -0.0572   0.5882   1.0000
  10.000   0.6908   0.11826   0.10801  -0.0569   0.5774   1.0000
  10.250   0.7136   0.12189   0.11175  -0.0578   0.5676   1.0000
  10.500   0.7220   0.12426   0.11422  -0.0574   0.5554   1.0000
  10.750   0.7196   0.12636   0.11639  -0.0566   0.5444   1.0000
  11.000   0.7327   0.12971   0.11984  -0.0569   0.5364   1.0000
  11.250   0.7506   0.13290   0.12317  -0.0573   0.5250   1.0000
  11.500   0.7466   0.13476   0.12508  -0.0565   0.5134   1.0000
  11.750   0.7562   0.13804   0.12847  -0.0567   0.5061   1.0000
  12.000   0.7672   0.14085   0.13140  -0.0568   0.4963   1.0000
  12.250   0.7665   0.14340   0.13405  -0.0567   0.4885   1.0000
  12.500   0.7859   0.14709   0.13792  -0.0573   0.4804   1.0000
  12.750   0.7809   0.14902   0.13991  -0.0570   0.4707   1.0000
  12.750   0.7809   0.14902   0.13991  -0.0570   0.4707   1.0000
  12.850   0.7891   0.15046   0.14143  -0.0572   0.4671   1.0000
  12.950   0.8036   0.15284   0.14393  -0.0576   0.4647   1.0000
  13.250   0.7969   0.15492   0.14609  -0.0575   0.4538   1.0000
  13.500   0.8198   0.16003   0.15144  -0.0583   0.4483   1.0000
  13.750   0.8148   0.16122   0.15272  -0.0581   0.4367   1.0000
  14.000   0.8449   0.16475   0.15663  -0.0567   0.4033   1.0000
  14.250   1.1169   0.09136   0.08268  -0.0059   0.0828   1.0000
  14.500   1.1249   0.09389   0.08545  -0.0048   0.0810   1.0000
  14.750   1.1266   0.09752   0.08929  -0.0046   0.0787   1.0000
  15.000   1.1275   0.10123   0.09315  -0.0047   0.0763   1.0000
  15.250   1.1296   0.10489   0.09700  -0.0047   0.0749   1.0000
  15.500   1.1159   0.11135   0.10370  -0.0072   0.0752   1.0000
  15.750   1.0709   0.12457   0.11734  -0.0148   0.0796   1.0000
  16.000   1.0381   0.13629   0.12921  -0.0211   0.0819   1.0000
  16.250   1.0178   0.14597   0.13894  -0.0257   0.0836   1.0000
  16.250   0.9993   0.15106   0.14403  -0.0291   0.0855   1.0000
  16.350   1.0049   0.15138   0.14437  -0.0286   0.0846   1.0000
  16.750   0.9438   0.17962   0.17226  -0.0437   0.0946   1.0000
  17.000   0.9460   0.18524   0.17787  -0.0455   0.0956   1.0000
  17.250   0.9242   0.19780   0.19028  -0.0531   0.1040   1.0000
  17.500   0.9316   0.20285   0.19534  -0.0543   0.1073   1.0000
  17.750   0.6561   0.19041   0.18349  -0.0426   0.1930   1.0000
  18.000   0.6574   0.19354   0.18665  -0.0438   0.1919   1.0000
  18.250   0.6610   0.19675   0.18989  -0.0446   0.1893   1.0000
  18.500   0.6778   0.20295   0.19614  -0.0445   0.1856   1.0000
  18.750   0.6708   0.20423   0.19742  -0.0462   0.1847   1.0000
  19.000   0.6662   0.20584   0.19904  -0.0479   0.1816   1.0000
  19.250   0.6685   0.20861   0.20184  -0.0490   0.1774   1.0000
  19.500   0.6747   0.21217   0.20544  -0.0496   0.1745   1.0000
  19.750   0.6896   0.21887   0.21221  -0.0497   0.1723   1.0000
  20.000   0.6815   0.21925   0.21259  -0.0517   0.1713   1.0000
