  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 66-H-80                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2385   0.02057   0.01038  -0.0338   0.7490   1.0000
   0.250   0.2624   0.02115   0.01082  -0.0336   0.7372   1.0000
   0.500   0.2866   0.02178   0.01133  -0.0335   0.7263   1.0000
   0.750   0.3098   0.02243   0.01186  -0.0331   0.7164   1.0000
   1.000   0.3320   0.02306   0.01236  -0.0321   0.7074   1.0000
   1.250   0.3566   0.02385   0.01311  -0.0326   0.6973   1.0000
   1.500   0.3799   0.02465   0.01386  -0.0324   0.6883   1.0000
   1.750   0.4022   0.02538   0.01455  -0.0316   0.6801   1.0000
   2.000   0.4262   0.02638   0.01558  -0.0323   0.6710   1.0000
   2.250   0.4485   0.02726   0.01644  -0.0318   0.6634   1.0000
   2.500   0.4713   0.02833   0.01755  -0.0322   0.6550   1.0000
   2.750   0.4935   0.02948   0.01873  -0.0323   0.6474   1.0000
   3.000   0.5152   0.03056   0.01991  -0.0321   0.6399   1.0000
   3.250   0.5360   0.03202   0.02145  -0.0328   0.6325   1.0000
   3.500   0.5570   0.03320   0.02269  -0.0325   0.6257   1.0000
   3.750   0.5755   0.03495   0.02455  -0.0333   0.6184   1.0000
   4.000   0.5953   0.03633   0.02602  -0.0331   0.6120   1.0000
   4.250   0.6110   0.03835   0.02816  -0.0339   0.6053   1.0000
   4.500   0.6280   0.04009   0.03008  -0.0340   0.5990   1.0000
   4.750   0.6423   0.04218   0.03229  -0.0344   0.5933   1.0000
   5.000   0.6519   0.04465   0.03487  -0.0351   0.5874   1.0000
   5.250   0.6722   0.04619   0.03655  -0.0344   0.5817   1.0000
   5.500   0.6696   0.04957   0.04001  -0.0358   0.5773   1.0000
   5.750   0.6768   0.05209   0.04263  -0.0359   0.5723   1.0000
   6.000   0.6887   0.05437   0.04504  -0.0356   0.5664   1.0000
   6.250   0.6825   0.05766   0.04837  -0.0360   0.5647   1.0000
   6.500   0.6762   0.06068   0.05141  -0.0356   0.5638   1.0000
   6.750   0.6728   0.06373   0.05451  -0.0353   0.5649   1.0000
   7.000   0.6744   0.06686   0.05780  -0.0356   0.5665   1.0000
   7.000   0.6731   0.06703   0.05796  -0.0359   0.5697   1.0000
   7.100   0.6762   0.06823   0.05922  -0.0360   0.5692   1.0000
   7.200   0.6821   0.06952   0.06059  -0.0362   0.5684   1.0000
   7.500   0.7057   0.07146   0.06280  -0.0344   0.5404   1.0000
   7.500   0.7057   0.07146   0.06280  -0.0344   0.5404   1.0000
   8.000   0.7611   0.07193   0.06399  -0.0282   0.4721   1.0000
   8.250   0.9030   0.03614   0.02615   0.0142   0.1078   1.0000
   8.500   0.9175   0.03825   0.02828   0.0164   0.0967   1.0000
   8.750   0.9446   0.04049   0.03070   0.0190   0.0901   1.0000
   9.000   0.9726   0.04351   0.03363   0.0207   0.0832   1.0000
   9.250   0.9897   0.04666   0.03720   0.0218   0.0796   1.0000
   9.500   1.0040   0.05017   0.04116   0.0229   0.0779   1.0000
   9.750   1.0138   0.05424   0.04569   0.0237   0.0779   1.0000
  10.000   1.0176   0.05851   0.05037   0.0244   0.0786   1.0000
  10.250   1.0162   0.06298   0.05519   0.0247   0.0795   1.0000
  10.500   1.0116   0.06753   0.06002   0.0247   0.0805   1.0000
  10.750   1.0052   0.07235   0.06503   0.0244   0.0815   1.0000
  11.000   1.0011   0.07730   0.07014   0.0242   0.0826   1.0000
  11.250   0.9668   0.08110   0.07413   0.0213   0.0833   1.0000
  11.500   0.9218   0.08817   0.08134   0.0140   0.0843   1.0000
  11.750   0.8666   0.10046   0.09365   0.0026   0.0877   1.0000
  12.000   0.8426   0.11064   0.10377  -0.0037   0.0922   1.0000
  12.250   0.8390   0.11705   0.11016  -0.0059   0.0941   1.0000
  12.250   0.8323   0.11896   0.11207  -0.0078   0.0965   1.0000
  12.350   0.8318   0.12116   0.11426  -0.0084   0.0960   1.0000
  12.450   0.8381   0.12201   0.11513  -0.0074   0.0953   1.0000
  12.750   0.8167   0.13583   0.12873  -0.0153   0.1076   1.0000
  13.000   0.6440   0.13823   0.13146  -0.0150   0.1293   1.0000
  13.250   0.7636   0.16538   0.15803  -0.0375   0.2267   1.0000
  13.500   0.7663   0.16985   0.16249  -0.0391   0.2267   1.0000
  13.750   0.7761   0.17552   0.16816  -0.0401   0.2257   1.0000
  14.000   0.7637   0.17670   0.16927  -0.0430   0.2223   1.0000
  14.250   0.7698   0.18043   0.17300  -0.0441   0.2161   1.0000
  14.500   0.7821   0.18581   0.17840  -0.0446   0.2116   1.0000
  14.750   0.7798   0.18774   0.18029  -0.0467   0.2041   1.0000
  15.000   0.8019   0.19527   0.18789  -0.0462   0.1991   1.0000
  15.250   0.7913   0.19533   0.18787  -0.0495   0.1946   1.0000
  15.500   0.8013   0.19945   0.19201  -0.0504   0.1886   1.0000
  15.750   0.8145   0.20542   0.19800  -0.0509   0.1855   1.0000
  16.000   0.8103   0.20625   0.19878  -0.0539   0.1797   1.0000
  16.250   0.8253   0.21160   0.20424  -0.0540   0.1741   1.0000
  16.500   0.8275   0.21462   0.20721  -0.0563   0.1710   1.0000
  16.750   0.8314   0.21703   0.20961  -0.0584   0.1647   1.0000
  17.000   0.8495   0.22436   0.21698  -0.0580   0.1594   1.0000
  17.250   0.8451   0.22417   0.21674  -0.0616   0.1551   1.0000
