  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 68-H-120                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0359   0.02547   0.01605  -0.0091   0.9897   1.0000
   0.250   0.0411   0.02711   0.01749  -0.0198   0.9623   1.0000
   0.500   0.1123   0.02838   0.01861  -0.0287   0.9338   1.0000
   0.750   0.1813   0.02926   0.01942  -0.0365   0.9045   1.0000
   1.000   0.2497   0.02972   0.01983  -0.0434   0.8752   1.0000
   1.250   0.3217   0.02966   0.01978  -0.0502   0.8460   1.0000
   1.500   0.3855   0.02906   0.01920  -0.0547   0.8169   1.0000
   1.750   0.4344   0.02817   0.01833  -0.0560   0.7880   1.0000
   2.000   0.4693   0.02731   0.01748  -0.0548   0.7572   1.0000
   2.250   0.5021   0.02629   0.01644  -0.0531   0.7268   1.0000
   2.500   0.5330   0.02521   0.01532  -0.0509   0.6960   1.0000
   2.750   0.5628   0.02418   0.01421  -0.0485   0.6645   1.0000
   3.000   0.5916   0.02331   0.01317  -0.0461   0.6324   1.0000
   3.250   0.6165   0.02301   0.01264  -0.0437   0.5979   1.0000
   3.500   0.6405   0.02310   0.01248  -0.0416   0.5647   1.0000
   3.750   0.6640   0.02355   0.01267  -0.0399   0.5345   1.0000
   4.000   0.6866   0.02426   0.01317  -0.0384   0.5071   1.0000
   4.250   0.7098   0.02507   0.01378  -0.0371   0.4839   1.0000
   4.500   0.7314   0.02604   0.01472  -0.0359   0.4632   1.0000
   4.750   0.7541   0.02700   0.01559  -0.0349   0.4455   1.0000
   5.000   0.7765   0.02801   0.01653  -0.0339   0.4297   1.0000
   5.250   0.7977   0.02911   0.01764  -0.0328   0.4156   1.0000
   5.500   0.8178   0.03039   0.01905  -0.0318   0.4039   1.0000
   5.750   0.8383   0.03172   0.02046  -0.0309   0.3939   1.0000
   6.000   0.8614   0.03289   0.02160  -0.0301   0.3846   1.0000
   6.250   0.8759   0.03453   0.02351  -0.0287   0.3755   1.0000
   6.500   0.8972   0.03587   0.02487  -0.0278   0.3679   1.0000
   6.750   0.9090   0.03783   0.02715  -0.0263   0.3609   1.0000
   7.000   0.9313   0.03931   0.02868  -0.0256   0.3558   1.0000
   7.250   0.9368   0.04192   0.03164  -0.0239   0.3514   1.0000
   7.500   0.9405   0.04465   0.03466  -0.0221   0.3472   1.0000
   7.750   0.9541   0.04673   0.03688  -0.0209   0.3428   1.0000
   8.000   0.9623   0.04931   0.03963  -0.0195   0.3390   1.0000
   8.250   0.9379   0.05409   0.04471  -0.0168   0.3367   1.0000
   8.500   0.8955   0.06049   0.05128  -0.0142   0.3362   1.0000
   8.750   0.8299   0.06934   0.06008  -0.0128   0.3387   1.0000
   8.750   0.8299   0.06934   0.06008  -0.0128   0.3387   1.0000
   8.850   0.8163   0.07242   0.06315  -0.0132   0.3396   1.0000
   9.000   0.6874   0.09177   0.08214  -0.0234   0.3682   1.0000
  10.000   0.5889   0.11937   0.10969  -0.0382   0.4849   1.0000
   9.750   0.5713   0.11573   0.10596  -0.0377   0.4910   1.0000
   9.850   0.5825   0.11726   0.10754  -0.0380   0.4883   1.0000
   9.950   0.5991   0.11951   0.10986  -0.0387   0.4865   1.0000
  10.000   0.5889   0.11937   0.10969  -0.0382   0.4849   1.0000
  10.100   0.5810   0.11953   0.10984  -0.0376   0.4787   1.0000
  10.200   0.5905   0.12086   0.11121  -0.0378   0.4748   1.0000
  10.500   0.5957   0.12390   0.11429  -0.0376   0.4629   1.0000
  10.350   0.6141   0.12411   0.11453  -0.0386   0.4715   1.0000
  10.450   0.5932   0.12342   0.11379  -0.0376   0.4655   1.0000
  10.750   0.6250   0.12837   0.11887  -0.0385   0.4574   1.0000
  11.000   0.6125   0.12959   0.12008  -0.0379   0.4473   1.0000
  11.250   0.6413   0.13434   0.12496  -0.0388   0.4427   1.0000
  11.000   0.6125   0.12960   0.12008  -0.0379   0.4473   1.0000
  11.100   0.6216   0.13111   0.12163  -0.0381   0.4450   1.0000
  11.200   0.6340   0.13311   0.12369  -0.0385   0.4433   1.0000
  11.500   0.6272   0.13531   0.12590  -0.0384   0.4330   1.0000
  11.750   0.6540   0.13996   0.13071  -0.0391   0.4283   1.0000
  12.000   0.6415   0.14099   0.13174  -0.0390   0.4191   1.0000
  11.750   0.6540   0.13995   0.13070  -0.0391   0.4283   1.0000
  11.850   0.6424   0.14000   0.13072  -0.0390   0.4255   1.0000
  11.950   0.6391   0.14043   0.13115  -0.0389   0.4208   1.0000
  12.250   0.6722   0.14613   0.13703  -0.0396   0.4135   1.0000
  12.500   0.6582   0.14671   0.13759  -0.0396   0.4036   1.0000
  12.750   0.6863   0.15185   0.14290  -0.0402   0.3990   1.0000
  13.000   0.6716   0.15241   0.14343  -0.0405   0.3909   1.0000
  13.250   0.6904   0.15636   0.14752  -0.0410   0.3856   1.0000
  13.500   0.6887   0.15865   0.14985  -0.0417   0.3805   1.0000
  13.750   0.6968   0.16131   0.15261  -0.0423   0.3735   1.0000
  14.000   0.7231   0.16688   0.15842  -0.0428   0.3698   1.0000
  14.250   0.7090   0.16687   0.15839  -0.0437   0.3619   1.0000
  14.500   0.7294   0.17118   0.16290  -0.0440   0.3562   1.0000
