  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 73-K-170/22                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.2112   0.04933   0.04134  -0.0160   1.0000   1.0000
   0.250  -0.2118   0.04852   0.04042  -0.0138   1.0000   1.0000
   0.500  -0.2114   0.04778   0.03956  -0.0118   1.0000   1.0000
   0.750  -0.2085   0.04718   0.03883  -0.0102   1.0000   1.0000
   1.000  -0.2019   0.04687   0.03837  -0.0092   1.0000   1.0000
   1.250  -0.1785   0.04783   0.03911  -0.0115   0.9963   1.0000
   1.500  -0.1462   0.04948   0.04052  -0.0153   0.9886   1.0000
   1.750  -0.1154   0.05095   0.04176  -0.0188   0.9796   1.0000
   1.750  -0.1154   0.05095   0.04176  -0.0188   0.9796   1.0000
   1.850  -0.0998   0.05209   0.04281  -0.0208   0.9774   1.0000
   1.950  -0.0928   0.05204   0.04271  -0.0211   0.9725   1.0000
   2.250  -0.0531   0.05444   0.04486  -0.0256   0.9632   1.0000
   2.500  -0.0213   0.05610   0.04636  -0.0290   0.9526   1.0000
   2.750   0.0031   0.05723   0.04734  -0.0309   0.9423   1.0000
   3.000   0.0430   0.06031   0.05025  -0.0358   0.9358   1.0000
   3.250   0.0626   0.06082   0.05066  -0.0368   0.9241   1.0000
   3.500   0.0869   0.06235   0.05209  -0.0387   0.9149   1.0000
   3.750   0.1224   0.06492   0.05453  -0.0426   0.9065   1.0000
   4.000   0.1397   0.06574   0.05528  -0.0432   0.8959   1.0000
   4.250   0.1794   0.06926   0.05867  -0.0478   0.8900   1.0000
   4.500   0.1924   0.06952   0.05891  -0.0477   0.8784   1.0000
   4.750   0.2130   0.07120   0.06053  -0.0490   0.8706   1.0000
   5.000   0.2444   0.07367   0.06293  -0.0519   0.8615   1.0000
   5.250   0.2573   0.07466   0.06390  -0.0520   0.8523   1.0000
   5.500   0.2941   0.07803   0.06722  -0.0558   0.8452   1.0000
   5.750   0.3020   0.07850   0.06768  -0.0551   0.8347   1.0000
   6.000   0.3338   0.08178   0.07092  -0.0581   0.8288   1.0000
