  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 74-080                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0352   0.03193   0.02041  -0.0569   1.0000   0.1343
   0.250   0.0636   0.03128   0.01964  -0.0567   1.0000   0.1602
   0.500   0.0939   0.02788   0.01863  -0.0561   1.0000   1.0000
   0.750   0.1156   0.02850   0.01843  -0.0553   1.0000   1.0000
   1.000   0.1361   0.02916   0.01865  -0.0550   1.0000   1.0000
   1.250   0.1562   0.02984   0.01900  -0.0547   1.0000   1.0000
   1.500   0.1761   0.03055   0.01946  -0.0544   1.0000   1.0000
   1.750   0.1957   0.03129   0.01997  -0.0542   1.0000   1.0000
   2.000   0.2151   0.03206   0.02057  -0.0540   1.0000   1.0000
   2.250   0.2342   0.03287   0.02118  -0.0538   1.0000   1.0000
   2.500   0.2532   0.03371   0.02189  -0.0536   1.0000   1.0000
   2.750   0.2720   0.03458   0.02267  -0.0534   1.0000   1.0000
   3.000   0.2905   0.03548   0.02350  -0.0532   1.0000   1.0000
   3.250   0.3087   0.03643   0.02439  -0.0531   1.0000   1.0000
   3.500   0.3268   0.03741   0.02535  -0.0530   1.0000   1.0000
   3.750   0.3445   0.03844   0.02637  -0.0529   1.0000   1.0000
   4.000   0.3620   0.03950   0.02748  -0.0528   1.0000   1.0000
   4.250   0.3793   0.04062   0.02861  -0.0527   1.0000   1.0000
   4.500   0.3962   0.04178   0.02981  -0.0527   1.0000   1.0000
   4.750   0.4128   0.04300   0.03111  -0.0527   1.0000   1.0000
   5.000   0.4292   0.04428   0.03245  -0.0527   1.0000   1.0000
   5.250   0.4451   0.04562   0.03391  -0.0528   1.0000   1.0000
   5.500   0.4607   0.04702   0.03543  -0.0529   1.0000   1.0000
   5.750   0.4758   0.04851   0.03705  -0.0530   1.0000   1.0000
   6.000   0.4906   0.05007   0.03886  -0.0532   1.0000   1.0000
   6.250   0.5048   0.05172   0.04068  -0.0534   1.0000   1.0000
   6.500   0.5187   0.05346   0.04260  -0.0537   1.0000   1.0000
   6.750   0.5403   0.05579   0.04519  -0.0558   0.9964   1.0000
   7.000   0.5909   0.05966   0.04952  -0.0637   0.9665   1.0000
   7.250   1.0858   0.04393   0.03212  -0.0744   0.0743   1.0000
   7.500   1.1173   0.04646   0.03547  -0.0728   0.0785   1.0000
   7.750   1.1526   0.05122   0.04072  -0.0725   0.0844   1.0000
   8.000   1.1724   0.05469   0.04499  -0.0697   0.0924   1.0000
   8.250   1.1926   0.05911   0.04997  -0.0675   0.1021   1.0000
   8.500   1.2071   0.06380   0.05525  -0.0650   0.1141   1.0000
   8.750   1.2065   0.06766   0.05990  -0.0608   0.1289   1.0000
   9.000   1.2171   0.07377   0.06655  -0.0589   0.1524   1.0000
   9.250   1.1937   0.07733   0.07075  -0.0546   0.1677   1.0000
   9.500   1.1708   0.08170   0.07550  -0.0517   0.1813   1.0000
   9.750   1.1387   0.08537   0.07934  -0.0484   0.1841   1.0000
  10.000   1.1140   0.09034   0.08446  -0.0472   0.1937   1.0000
  10.250   1.0805   0.09533   0.08950  -0.0468   0.1939   1.0000
  10.500   1.0514   0.10097   0.09517  -0.0481   0.1938   1.0000
  10.750   1.0198   0.10781   0.10199  -0.0512   0.1940   1.0000
  11.000   0.9862   0.11643   0.11053  -0.0570   0.1955   1.0000
  11.250   0.9555   0.12812   0.12210  -0.0667   0.2273   1.0000
  11.500   0.8198   0.11634   0.11089  -0.0462   0.1436   1.0000
  11.750   0.7935   0.12401   0.11853  -0.0516   0.1572   1.0000
  11.750   0.7989   0.12442   0.11895  -0.0513   0.1619   1.0000
  11.850   0.7832   0.12750   0.12202  -0.0543   0.1696   1.0000
  11.950   0.7687   0.13267   0.12704  -0.0588   0.2007   1.0000
  12.250   0.9045   0.15725   0.15088  -0.0872   0.3138   1.0000
  12.500   0.9035   0.16140   0.15511  -0.0882   0.3045   1.0000
  12.500   0.9034   0.16141   0.15512  -0.0882   0.3045   1.0000
  12.600   0.9075   0.16324   0.15696  -0.0884   0.3010   1.0000
  12.700   0.9174   0.16569   0.15944  -0.0883   0.2986   1.0000
  13.000   0.9218   0.17068   0.16441  -0.0890   0.2853   1.0000
  13.000   0.9218   0.17068   0.16441  -0.0890   0.2853   1.0000
  13.100   0.9223   0.17252   0.16623  -0.0895   0.2825   1.0000
  13.200   0.9151   0.17285   0.16653  -0.0903   0.2760   1.0000
  13.500   0.9204   0.17765   0.17131  -0.0912   0.2631   1.0000
  13.750   0.9266   0.18192   0.17556  -0.0920   0.2533   1.0000
  14.000   0.9422   0.18745   0.18112  -0.0920   0.2429   1.0000
  14.250   0.9592   0.19307   0.18677  -0.0915   0.2305   1.0000
  14.500   0.9421   0.19326   0.18687  -0.0949   0.2217   1.0000
  14.750   0.9469   0.19721   0.19080  -0.0962   0.2131   1.0000
  15.000   0.9598   0.20230   0.19591  -0.0963   0.2027   1.0000
  15.250   0.9746   0.20777   0.20140  -0.0962   0.1904   1.0000
  15.500   0.9628   0.20799   0.20154  -0.0999   0.1838   1.0000
  15.750   0.9728   0.21267   0.20622  -0.1006   0.1755   1.0000
  16.000   0.9893   0.21873   0.21231  -0.1002   0.1640   1.0000
  16.250   0.9801   0.21884   0.21235  -0.1043   0.1586   1.0000
