  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 78-K-161                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1450   0.04716   0.03698  -0.0085   1.0000   1.0000
   0.250  -0.1367   0.04750   0.03720  -0.0067   1.0000   1.0000
   0.500  -0.1283   0.04787   0.03742  -0.0049   1.0000   1.0000
   0.750  -0.1201   0.04826   0.03770  -0.0031   1.0000   1.0000
   1.000  -0.1117   0.04866   0.03799  -0.0014   1.0000   1.0000
   1.250  -0.1034   0.04909   0.03834   0.0003   1.0000   1.0000
   1.500  -0.0951   0.04953   0.03867   0.0021   1.0000   1.0000
   1.750  -0.0869   0.04999   0.03905   0.0038   1.0000   1.0000
   2.000  -0.0786   0.05046   0.03945   0.0055   1.0000   1.0000
   2.250  -0.0705   0.05095   0.03986   0.0072   1.0000   1.0000
   2.500  -0.0625   0.05145   0.04031   0.0088   1.0000   1.0000
   2.750  -0.0545   0.05197   0.04077   0.0105   1.0000   1.0000
   2.750  -0.0545   0.05197   0.04077   0.0105   1.0000   1.0000
   2.850  -0.0513   0.05219   0.04095   0.0111   1.0000   1.0000
   2.950  -0.0314   0.05326   0.04200   0.0082   0.9944   1.0000
   3.250   0.0246   0.05609   0.04478   0.0006   0.9683   1.0000
   3.250   0.0246   0.05609   0.04478   0.0006   0.9683   1.0000
   3.350   0.0414   0.05736   0.04601  -0.0014   0.9624   1.0000
   3.750   0.0917   0.05979   0.04842  -0.0058   0.9256   1.0000
   4.000   0.1176   0.06136   0.04997  -0.0073   0.9073   1.0000
   4.250   0.1397   0.06284   0.05143  -0.0080   0.8908   1.0000
   4.500   0.1579   0.06415   0.05273  -0.0079   0.8757   1.0000
   4.750   0.1733   0.06542   0.05401  -0.0074   0.8620   1.0000
   5.000   0.1892   0.06689   0.05548  -0.0069   0.8502   1.0000
   5.250   0.2147   0.06925   0.05786  -0.0081   0.8399   1.0000
   5.500   0.2204   0.06977   0.05839  -0.0060   0.8277   1.0000
   5.500   0.2204   0.06977   0.05839  -0.0060   0.8277   1.0000
   5.600   0.2284   0.07078   0.05940  -0.0061   0.8250   1.0000
   5.700   0.2237   0.07036   0.05898  -0.0042   0.8188   1.0000
   6.000   0.2368   0.07191   0.06056  -0.0029   0.8077   1.0000
   6.250   0.2577   0.07418   0.06286  -0.0034   0.8004   1.0000
   6.500   0.2628   0.07491   0.06363  -0.0016   0.7906   1.0000
   6.750   0.2668   0.07585   0.06460   0.0002   0.7832   1.0000
   7.000   0.2910   0.07852   0.06732  -0.0008   0.7756   1.0000
   7.250   0.2879   0.07872   0.06755   0.0018   0.7670   1.0000
   7.250   0.2879   0.07872   0.06755   0.0018   0.7670   1.0000
   7.350   0.2966   0.07964   0.06851   0.0016   0.7639   1.0000
   7.450   0.3094   0.08114   0.07004   0.0006   0.7615   1.0000
   7.750   0.3116   0.08195   0.07090   0.0028   0.7508   1.0000
   8.000   0.3342   0.08496   0.07399   0.0017   0.7450   1.0000
   8.250   0.3371   0.08550   0.07459   0.0032   0.7345   1.0000
   8.500   0.3479   0.08750   0.07666   0.0035   0.7279   1.0000
   8.750   0.3664   0.08967   0.07895   0.0029   0.7178   1.0000
