  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 79-L-120                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0000   0.02602   0.01669  -0.0000   1.0000   1.0000
   0.250  -0.0138   0.02596   0.01663   0.0034   1.0000   1.0000
   0.500   0.0329   0.02609   0.01676  -0.0033   0.9863   1.0000
   0.750   0.0730   0.02621   0.01690  -0.0086   0.9719   1.0000
   1.000   0.1095   0.02639   0.01711  -0.0130   0.9578   1.0000
   1.250   0.1419   0.02661   0.01737  -0.0166   0.9440   1.0000
   1.500   0.1726   0.02688   0.01768  -0.0195   0.9299   1.0000
   1.750   0.2021   0.02719   0.01804  -0.0220   0.9157   1.0000
   2.000   0.2324   0.02756   0.01847  -0.0244   0.9015   1.0000
   2.250   0.2654   0.02796   0.01895  -0.0268   0.8866   1.0000
   2.500   0.3000   0.02840   0.01947  -0.0291   0.8707   1.0000
   2.750   0.3324   0.02884   0.02002  -0.0307   0.8534   1.0000
   3.000   0.3619   0.02929   0.02055  -0.0315   0.8342   1.0000
   3.250   0.4037   0.02949   0.02091  -0.0333   0.8126   1.0000
   3.500   0.4531   0.02928   0.02091  -0.0350   0.7878   1.0000
   3.750   0.4973   0.02867   0.02048  -0.0347   0.7594   1.0000
   4.000   0.5175   0.02851   0.02042  -0.0314   0.7310   1.0000
   4.250   0.5428   0.02792   0.01992  -0.0279   0.7010   1.0000
   4.500   0.5668   0.02711   0.01919  -0.0238   0.6690   1.0000
   4.750   0.5892   0.02609   0.01824  -0.0192   0.6334   1.0000
   5.000   0.6107   0.02484   0.01699  -0.0143   0.5917   1.0000
   5.250   0.6276   0.02352   0.01559  -0.0088   0.5331   1.0000
   5.500   0.6377   0.02263   0.01421  -0.0025   0.4362   1.0000
   5.750   0.6446   0.02363   0.01424   0.0023   0.3360   1.0000
   6.000   0.6587   0.02533   0.01530   0.0050   0.2807   1.0000
   6.250   0.6785   0.02707   0.01672   0.0066   0.2460   1.0000
   6.500   0.7002   0.02877   0.01829   0.0079   0.2211   1.0000
   6.750   0.7246   0.03066   0.02003   0.0088   0.2031   1.0000
   7.000   0.7470   0.03255   0.02198   0.0098   0.1884   1.0000
   7.250   0.7678   0.03472   0.02440   0.0110   0.1779   1.0000
   7.500   0.7884   0.03701   0.02675   0.0120   0.1683   1.0000
   7.750   0.8054   0.03948   0.02958   0.0135   0.1616   1.0000
   8.000   0.8250   0.04224   0.03237   0.0143   0.1549   1.0000
   8.250   0.8327   0.04519   0.03591   0.0164   0.1510   1.0000
   8.500   0.8396   0.04863   0.03978   0.0181   0.1488   1.0000
   8.750   0.8438   0.05220   0.04371   0.0197   0.1469   1.0000
   9.000   0.8463   0.05584   0.04763   0.0212   0.1448   1.0000
   9.250   0.8651   0.05952   0.05118   0.0216   0.1407   1.0000
   9.500   0.8196   0.06499   0.05743   0.0237   0.1457   1.0000
   9.750   0.7807   0.07108   0.06373   0.0240   0.1503   1.0000
  10.000   0.7593   0.07651   0.06919   0.0235   0.1534   1.0000
  10.250   0.7441   0.08244   0.07512   0.0218   0.1550   1.0000
  10.250   0.5428   0.11696   0.10920  -0.0183   0.3514   1.0000
