  
       XFOIL         Version 6.99
  
 Calculated polar for: FX 83-W-227                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.3877   0.06909   0.06085   0.0208   0.9118   0.9004
   0.250  -0.2825   0.07519   0.06673   0.0050   0.9049   0.9206
   0.500  -0.2300   0.07688   0.06832  -0.0022   0.8943   0.9380
   0.750  -0.1415   0.08164   0.07289  -0.0162   0.8876   0.9574
   1.000  -0.1052   0.08218   0.07337  -0.0214   0.8768   0.9718
   1.000  -0.1052   0.08218   0.07337  -0.0214   0.8768   0.9718
   1.200  -0.0387   0.08538   0.07645  -0.0324   0.8704   0.9856
   1.500   0.0050   0.08670   0.07769  -0.0394   0.8603   1.0000
   1.750   0.0211   0.08762   0.07850  -0.0404   0.8526   1.0000
   2.000   0.0110   0.08710   0.07792  -0.0371   0.8453   1.0000
   2.250   0.0198   0.08738   0.07811  -0.0366   0.8356   1.0000
   2.500   0.0256   0.08834   0.07898  -0.0358   0.8307   1.0000
   2.750   0.0157   0.08729   0.07787  -0.0322   0.8198   1.0000
   3.000   0.0332   0.08885   0.07933  -0.0328   0.8136   1.0000
   3.250   0.0131   0.08747   0.07790  -0.0277   0.8054   1.0000
   3.500   0.0209   0.08792   0.07825  -0.0265   0.7966   1.0000
   3.750   0.0234   0.08887   0.07911  -0.0247   0.7923   1.0000
   4.000   0.0058   0.08724   0.07741  -0.0195   0.7816   1.0000
   4.250   0.0187   0.08854   0.07859  -0.0188   0.7755   1.0000
   4.500   0.0049   0.08783   0.07779  -0.0143   0.7684   1.0000
   4.750   0.0140   0.08848   0.07832  -0.0130   0.7591   1.0000
   5.000   0.0423   0.09178   0.08148  -0.0145   0.7546   1.0000
   5.250   0.0236   0.09010   0.07974  -0.0097   0.7456   1.0000
   5.500   0.0437   0.09192   0.08146  -0.0100   0.7382   1.0000
   5.750   0.0595   0.09425   0.08370  -0.0100   0.7338   1.0000
   6.000   0.0567   0.09383   0.08322  -0.0073   0.7230   1.0000
   6.250   0.0828   0.09655   0.08585  -0.0085   0.7174   1.0000
   6.500   0.0823   0.09729   0.08654  -0.0065   0.7119   1.0000
   6.750   0.0928   0.09825   0.08744  -0.0057   0.7021   1.0000
   7.000   0.1245   0.10190   0.09102  -0.0076   0.6971   1.0000
   7.250   0.1129   0.10132   0.09042  -0.0044   0.6896   1.0000
   7.500   0.1298   0.10307   0.09213  -0.0045   0.6819   1.0000
   7.750   0.1635   0.10731   0.09632  -0.0067   0.6775   1.0000
   8.000   0.1475   0.10606   0.09505  -0.0032   0.6687   1.0000
   8.250   0.1686   0.10834   0.09729  -0.0038   0.6615   1.0000
   8.500   0.2021   0.11304   0.10195  -0.0060   0.6580   1.0000
   8.750   0.1826   0.11118   0.10009  -0.0024   0.6483   1.0000
   9.000   0.2067   0.11389   0.10279  -0.0034   0.6417   1.0000
   9.250   0.2221   0.11676   0.10564  -0.0037   0.6378   1.0000
   9.500   0.2180   0.11658   0.10546  -0.0019   0.6281   1.0000
   9.750   0.2429   0.11963   0.10850  -0.0031   0.6223   1.0000
  10.000   0.2496   0.12160   0.11047  -0.0027   0.6178   1.0000
  10.250   0.2537   0.12226   0.11113  -0.0018   0.6078   1.0000
  10.500   0.2805   0.12579   0.11467  -0.0032   0.6028   1.0000
  10.750   0.2775   0.12668   0.11557  -0.0021   0.5971   1.0000
  11.000   0.2885   0.12815   0.11705  -0.0020   0.5881   1.0000
  11.250   0.3189   0.13247   0.12139  -0.0037   0.5833   1.0000
  11.500   0.3080   0.13225   0.12117  -0.0021   0.5765   1.0000
  11.750   0.3236   0.13434   0.12329  -0.0025   0.5682   1.0000
  12.000   0.3584   0.13980   0.12878  -0.0046   0.5639   1.0000
  12.250   0.3393   0.13814   0.12713  -0.0025   0.5556   1.0000
  12.500   0.3586   0.14081   0.12983  -0.0033   0.5485   1.0000
  12.750   0.3848   0.14568   0.13473  -0.0048   0.5447   1.0000
  13.000   0.3715   0.14432   0.13340  -0.0033   0.5347   1.0000
  13.250   0.3955   0.14784   0.13696  -0.0044   0.5286   1.0000
  13.500   0.3981   0.14967   0.13882  -0.0044   0.5238   1.0000
  13.750   0.4047   0.15084   0.14002  -0.0045   0.5140   1.0000
  14.000   0.4352   0.15589   0.14514  -0.0061   0.5089   1.0000
  14.250   0.4223   0.15525   0.14451  -0.0053   0.5017   1.0000
  14.500   0.4399   0.15790   0.14721  -0.0060   0.4934   1.0000
  14.750   0.4603   0.16242   0.15178  -0.0072   0.4892   1.0000
  15.000   0.4523   0.16168   0.15107  -0.0068   0.4794   1.0000
  15.250   0.4798   0.16625   0.15571  -0.0080   0.4729   1.0000
  15.500   0.4723   0.16656   0.15604  -0.0080   0.4666   1.0000
  15.750   0.4865   0.16891   0.15845  -0.0087   0.4576   1.0000
  16.000   0.5080   0.17382   0.16342  -0.0099   0.4529   1.0000
  16.250   0.5000   0.17303   0.16267  -0.0099   0.4430   1.0000
  16.500   0.5287   0.17822   0.16794  -0.0111   0.4364   1.0000
  16.750   0.5179   0.17785   0.16758  -0.0114   0.4291   1.0000
  17.000   0.5365   0.18102   0.17083  -0.0122   0.4203   1.0000
  17.250   0.5421   0.18368   0.17352  -0.0131   0.4152   1.0000
  17.500   0.5481   0.18499   0.17489  -0.0137   0.4048   1.0000
  17.750   0.5735   0.19086   0.18083  -0.0149   0.3994   1.0000
  18.000   0.5623   0.18958   0.17958  -0.0155   0.3899   1.0000
  18.000   0.5623   0.18958   0.17957  -0.0155   0.3899   1.0000
  18.100   0.5702   0.19090   0.18092  -0.0158   0.3864   1.0000
  18.200   0.5834   0.19343   0.18350  -0.0162   0.3837   1.0000
  18.500   0.5790   0.19459   0.18468  -0.0174   0.3754   1.0000
  18.750   0.5996   0.19840   0.18858  -0.0182   0.3665   1.0000
  19.000   0.5997   0.20032   0.19053  -0.0194   0.3616   1.0000
  19.250   0.6079   0.20215   0.19241  -0.0203   0.3517   1.0000
  19.500   0.6281   0.20758   0.19791  -0.0213   0.3467   1.0000
  19.750   0.6200   0.20686   0.19721  -0.0226   0.3379   1.0000
  20.000   0.6480   0.21287   0.20332  -0.0232   0.3308   1.0000
   0.000  -0.3877   0.06909   0.06085   0.0208   0.9118   0.9004
  -0.250  -0.4638   0.06550   0.05742   0.0309   0.9215   0.8819
  -0.500  -0.5430   0.06034   0.05244   0.0407   0.9274   0.8567
  -0.750  -0.5889   0.05803   0.05022   0.0441   0.9370   0.8289
  -1.000  -0.6325   0.05501   0.04725   0.0465   0.9418   0.7978
  -1.250  -0.6582   0.05343   0.04572   0.0457   0.9507   0.7622
  -1.500  -0.6767   0.05203   0.04432   0.0435   0.9561   0.7257
  -1.750  -0.6991   0.05031   0.04256   0.0417   0.9645   0.6845
  -2.000  -0.7143   0.04908   0.04124   0.0388   0.9695   0.6424
  -2.250  -0.7365   0.04718   0.03910   0.0369   0.9768   0.5927
  -2.500  -0.7512   0.04626   0.03796   0.0344   0.9822   0.5409
  -2.750  -0.7746   0.04482   0.03611   0.0335   0.9890   0.4882
  -3.000  -0.7927   0.04438   0.03535   0.0323   0.9934   0.4459
  -3.250  -0.8175   0.04349   0.03415   0.0324   0.9985   0.4088
  -3.500  -0.8343   0.04354   0.03406   0.0313   1.0000   0.3818
  -3.750  -0.8477   0.04388   0.03427   0.0298   1.0000   0.3607
  -4.000  -0.8613   0.04432   0.03465   0.0283   1.0000   0.3432
  -4.250  -0.8751   0.04482   0.03506   0.0269   1.0000   0.3278
  -4.500  -0.8907   0.04530   0.03532   0.0257   1.0000   0.3147
  -4.750  -0.9018   0.04602   0.03627   0.0239   1.0000   0.3020
  -5.000  -0.9157   0.04676   0.03698   0.0226   1.0000   0.2920
  -5.250  -0.9276   0.04756   0.03791   0.0209   1.0000   0.2818
  -5.500  -0.9406   0.04851   0.03885   0.0195   1.0000   0.2737
  -5.750  -0.9501   0.04959   0.04017   0.0176   1.0000   0.2652
  -6.000  -0.9651   0.05047   0.04090   0.0164   1.0000   0.2586
  -6.250  -0.9697   0.05213   0.04296   0.0139   1.0000   0.2523
  -6.500  -0.9773   0.05350   0.04454   0.0118   1.0000   0.2462
  -6.750  -0.9905   0.05456   0.04552   0.0104   1.0000   0.2409
  -7.000  -0.9924   0.05671   0.04798   0.0077   1.0000   0.2368
  -7.250  -0.9881   0.05913   0.05082   0.0045   1.0000   0.2329
  -7.500  -0.9854   0.06147   0.05344   0.0015   1.0000   0.2294
  -7.750  -0.9877   0.06335   0.05544  -0.0010   1.0000   0.2258
  -8.000  -1.0027   0.06464   0.05660  -0.0021   1.0000   0.2219
  -8.250  -0.9873   0.06801   0.06032  -0.0061   1.0000   0.2202
  -8.500  -0.9616   0.07194   0.06462  -0.0108   1.0000   0.2193
  -8.750  -0.9288   0.07621   0.06919  -0.0157   1.0000   0.2191
  -9.000  -0.8892   0.08071   0.07392  -0.0208   1.0000   0.2195
  -9.250  -0.8463   0.08527   0.07861  -0.0257   1.0000   0.2203
  -9.500  -0.8063   0.08934   0.08274  -0.0305   1.0000   0.2212
