  
       XFOIL         Version 6.99
  
 Calculated polar for: GM15 (smoothed)                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2392   0.02434   0.01458  -0.0851   1.0000   0.5573
   0.250   0.2626   0.02422   0.01452  -0.0852   1.0000   0.6060
   0.500   0.2869   0.02399   0.01455  -0.0855   1.0000   0.6751
   0.750   0.2978   0.02348   0.01460  -0.0840   1.0000   1.0000
   1.000   0.3241   0.02443   0.01506  -0.0860   1.0000   1.0000
   1.250   0.3443   0.02542   0.01573  -0.0866   1.0000   1.0000
   1.500   0.3884   0.02671   0.01673  -0.0915   0.9881   1.0000
   1.750   0.4393   0.02789   0.01768  -0.0973   0.9706   1.0000
   2.000   0.4892   0.02897   0.01861  -0.1026   0.9529   1.0000
   2.250   0.5409   0.02996   0.01953  -0.1079   0.9359   1.0000
   2.500   0.5804   0.03078   0.02031  -0.1109   0.9161   1.0000
   2.750   0.6242   0.03149   0.02103  -0.1143   0.8976   1.0000
   3.000   0.6728   0.03201   0.02161  -0.1181   0.8801   1.0000
   3.250   0.7063   0.03258   0.02229  -0.1194   0.8599   1.0000
   3.500   0.7501   0.03286   0.02268  -0.1219   0.8412   1.0000
   3.750   0.8008   0.03278   0.02277  -0.1250   0.8242   1.0000
   4.000   0.8320   0.03314   0.02333  -0.1253   0.8030   1.0000
   4.250   0.8814   0.03273   0.02316  -0.1275   0.7850   1.0000
   4.500   0.9342   0.03188   0.02257  -0.1295   0.7679   1.0000
   4.750   0.9627   0.03208   0.02305  -0.1286   0.7454   1.0000
   5.000   1.0114   0.03113   0.02239  -0.1294   0.7266   1.0000
   5.250   1.0418   0.03117   0.02268  -0.1284   0.7033   1.0000
   5.500   1.0826   0.03058   0.02236  -0.1280   0.6812   1.0000
   5.750   1.1157   0.03045   0.02256  -0.1267   0.6564   1.0000
   6.000   1.1443   0.03059   0.02296  -0.1250   0.6296   1.0000
   6.250   1.1774   0.02859   0.02099  -0.1206   0.5827   1.0000
   6.500   1.1903   0.02691   0.01915  -0.1139   0.5180   1.0000
   6.750   1.1996   0.02653   0.01882  -0.1085   0.4594   1.0000
   7.000   1.1930   0.02691   0.01880  -0.1009   0.3531   1.0000
   7.250   1.1760   0.03048   0.02071  -0.0939   0.1924   1.0000
   7.500   1.1828   0.03385   0.02343  -0.0905   0.1417   1.0000
   7.750   1.1996   0.03655   0.02589  -0.0885   0.1175   1.0000
   8.000   1.2323   0.03961   0.02890  -0.0879   0.1036   1.0000
   8.250   1.2677   0.04317   0.03242  -0.0881   0.0940   1.0000
   8.500   1.2928   0.04629   0.03588  -0.0871   0.0870   1.0000
   8.750   1.3205   0.05052   0.04041  -0.0865   0.0843   1.0000
   9.000   1.3413   0.05522   0.04551  -0.0852   0.0835   1.0000
   9.250   1.3545   0.05988   0.05067  -0.0833   0.0833   1.0000
   9.500   1.3618   0.06478   0.05599  -0.0811   0.0829   1.0000
   9.750   1.3619   0.06913   0.06086  -0.0783   0.0827   1.0000
  10.000   1.3593   0.07378   0.06595  -0.0758   0.0827   1.0000
  10.250   1.3556   0.07854   0.07112  -0.0735   0.0832   1.0000
  10.500   1.3026   0.08157   0.07499  -0.0679   0.0875   1.0000
  10.750   1.2730   0.08622   0.07990  -0.0655   0.0895   1.0000
  11.000   1.2460   0.09146   0.08534  -0.0649   0.0914   1.0000
  11.250   1.2227   0.09734   0.09135  -0.0658   0.0930   1.0000
  11.500   1.2049   0.10372   0.09782  -0.0675   0.0943   1.0000
  11.750   1.1971   0.11024   0.10438  -0.0690   0.0954   1.0000
  12.000   1.1078   0.12967   0.12380  -0.0881   0.1044   1.0000
  12.250   1.1110   0.13585   0.12998  -0.0891   0.1079   1.0000
  12.500   0.8961   0.14850   0.14302  -0.0922   0.1325   1.0000
  12.750   0.9085   0.15330   0.14791  -0.0918   0.1351   1.0000
  13.000   1.0272   0.18005   0.17382  -0.1258   0.2391   1.0000
  13.250   1.0408   0.18520   0.17901  -0.1259   0.2322   1.0000
  13.500   1.0523   0.19144   0.18526  -0.1268   0.2301   1.0000
  13.750   1.0377   0.19297   0.18671  -0.1305   0.2240   1.0000
  14.000   1.0476   0.19776   0.19152  -0.1314   0.2194   1.0000
  14.250   1.0663   0.20512   0.19892  -0.1314   0.2164   1.0000
  14.500   1.0521   0.20552   0.19924  -0.1355   0.2104   1.0000
  14.750   1.0659   0.21074   0.20450  -0.1357   0.2047   1.0000
  15.000   1.0696   0.21497   0.20870  -0.1377   0.2012   1.0000
  15.250   1.0710   0.21748   0.21120  -0.1400   0.1934   1.0000
  15.500   1.0848   0.22347   0.21721  -0.1403   0.1881   1.0000
  15.750   1.0825   0.22491   0.21861  -0.1434   0.1809   1.0000
  16.000   1.1016   0.23228   0.22602  -0.1426   0.1749   1.0000
  16.250   1.0950   0.23238   0.22606  -0.1469   0.1695   1.0000
  16.500   1.1092   0.23771   0.23144  -0.1469   0.1635   1.0000
  16.750   1.1152   0.24206   0.23581  -0.1489   0.1607   1.0000
  17.000   1.1151   0.24341   0.23713  -0.1523   0.1550   1.0000
  17.250   1.1313   0.24969   0.24347  -0.1519   0.1495   1.0000
  17.500   1.1347   0.25292   0.24666  -0.1546   0.1471   1.0000
  17.750   1.1358   0.25422   0.24793  -0.1580   0.1418   1.0000
  18.000   1.1497   0.25978   0.25353  -0.1580   0.1365   1.0000
  18.250   1.1567   0.26426   0.25800  -0.1599   0.1341   1.0000
  18.500   1.1570   0.26474   0.25844  -0.1638   0.1294   1.0000
  18.750   1.1698   0.26993   0.26368  -0.1639   0.1234   1.0000
  19.000   1.1776   0.27467   0.26840  -0.1657   0.1209   1.0000
  19.250   1.1785   0.27495   0.26865  -0.1697   0.1166   1.0000
  19.500   1.1879   0.27882   0.27254  -0.1709   0.1116   1.0000
  19.750   1.2063   0.28954   0.28331  -0.1696   0.1085   1.0000
  20.000   1.2032   0.28689   0.28060  -0.1747   0.1072   1.0000
   0.000   0.2392   0.02434   0.01458  -0.0851   1.0000   0.5573
  -0.250   0.2157   0.02445   0.01476  -0.0851   1.0000   0.5136
  -0.500   0.1925   0.02463   0.01505  -0.0853   1.0000   0.4702
  -0.750   0.1700   0.02487   0.01541  -0.0858   1.0000   0.4216
  -1.000   0.1498   0.02508   0.01564  -0.0869   1.0000   0.3636
  -1.250   0.1305   0.02524   0.01565  -0.0884   1.0000   0.2911
  -1.500   0.1081   0.02565   0.01595  -0.0895   1.0000   0.2216
  -1.750   0.0832   0.02638   0.01672  -0.0899   1.0000   0.1792
  -2.000   0.0544   0.02786   0.01847  -0.0895   1.0000   0.1570
  -2.250   0.0220   0.02989   0.02098  -0.0882   1.0000   0.1421
  -2.500  -0.0197   0.03350   0.02532  -0.0844   1.0000   0.1377
  -2.750  -0.0542   0.03660   0.02877  -0.0814   1.0000   0.1314
  -2.750  -0.0542   0.03660   0.02877  -0.0814   1.0000   0.1314
  -2.850  -0.0712   0.03848   0.03086  -0.0793   1.0000   0.1318
  -2.950  -0.0825   0.03987   0.03230  -0.0787   1.0000   0.1330
  -3.250  -0.2656   0.06238   0.05675  -0.0230   1.0000   0.3193
  -3.500  -0.2797   0.06538   0.05974  -0.0224   1.0000   0.3046
  -3.750  -0.2911   0.06836   0.06269  -0.0226   1.0000   0.2898
  -4.000  -0.3075   0.07083   0.06516  -0.0178   1.0000   0.2698
  -4.250  -0.3113   0.07430   0.06860  -0.0229   1.0000   0.2608
  -4.500  -0.3231   0.07669   0.07097  -0.0201   1.0000   0.2474
  -4.750  -0.3315   0.07888   0.07313  -0.0165   1.0000   0.2364
  -5.000  -0.3370   0.08252   0.07670  -0.0191   1.0000   0.2311
  -5.500  -0.3433   0.08693   0.08097  -0.0167   1.0000   0.2150
  -5.350  -0.3446   0.08610   0.08022  -0.0193   1.0000   0.2186
  -5.450  -0.3458   0.08747   0.08154  -0.0192   1.0000   0.2170
  -5.750  -0.3453   0.08900   0.08298  -0.0169   1.0000   0.2068
  -6.000  -0.3503   0.09266   0.08657  -0.0188   1.0000   0.2024
  -6.250  -0.3429   0.09323   0.08703  -0.0175   1.0000   0.1955
  -6.500  -0.3610   0.09949   0.09330  -0.0222   1.0000   0.1892
  -6.750  -0.3435   0.09823   0.09184  -0.0195   1.0000   0.1863
  -7.000  -0.3370   0.09949   0.09298  -0.0210   1.0000   0.1805
  -7.250  -0.3561   0.10535   0.09885  -0.0224   1.0000   0.1746
  -7.500  -0.3382   0.10453   0.09785  -0.0231   1.0000   0.1726
  -7.750  -0.3352   0.10600   0.09921  -0.0237   1.0000   0.1660
  -8.000  -0.3527   0.11184   0.10509  -0.0250   1.0000   0.1605
  -8.250  -0.3389   0.11111   0.10415  -0.0244   1.0000   0.1572
  -8.500  -0.3427   0.11353   0.10655  -0.0247   1.0000   0.1508
  -8.750  -0.3552   0.11870   0.11169  -0.0256   1.0000   0.1462
  -9.000  -0.3474   0.11867   0.11155  -0.0244   1.0000   0.1427
  -9.250  -0.3521   0.12127   0.11409  -0.0243   1.0000   0.1371
  -9.500  -0.3728   0.12877   0.12161  -0.0259   1.0000   0.1328
  -9.750  -0.3638   0.12810   0.12082  -0.0241   1.0000   0.1314
 -10.000  -0.3628   0.12938   0.12203  -0.0230   1.0000   0.1275
 -10.250  -0.3691   0.13236   0.12498  -0.0228   1.0000   0.1230
 -10.500  -0.3916   0.14102   0.13367  -0.0245   1.0000   0.1189
 -10.750  -0.3840   0.14024   0.13278  -0.0225   1.0000   0.1180
 -11.000  -0.3825   0.14107   0.13355  -0.0209   1.0000   0.1151
 -11.250  -0.3872   0.14364   0.13609  -0.0201   1.0000   0.1113
 -11.500  -0.3967   0.14766   0.14009  -0.0202   1.0000   0.1074
 -11.750  -0.4139   0.15545   0.14788  -0.0209   1.0000   0.1050
 -12.000  -0.4091   0.15486   0.14721  -0.0188   1.0000   0.1041
 -12.250  -0.4097   0.15592   0.14827  -0.0171   1.0000   0.1017
 -12.500  -0.4148   0.15843   0.15075  -0.0161   1.0000   0.0986
 -12.750  -0.4220   0.16168   0.15398  -0.0154   1.0000   0.0955
 -13.000  -0.4481   0.17350   0.16584  -0.0173   1.0000   0.0915
 -13.250  -0.4439   0.17250   0.16477  -0.0151   1.0000   0.0911
 -13.500  -0.4422   0.17208   0.16429  -0.0129   1.0000   0.0899
 -13.750  -0.4462   0.17375   0.16593  -0.0112   1.0000   0.0875
 -14.000  -0.4525   0.17650   0.16866  -0.0101   1.0000   0.0839
 -14.250  -0.4607   0.17996   0.17211  -0.0094   1.0000   0.0810
 -14.500  -0.4848   0.19260   0.18479  -0.0109   1.0000   0.0778
 -14.750  -0.4836   0.19185   0.18399  -0.0087   1.0000   0.0776
 -15.000  -0.4842   0.19150   0.18359  -0.0065   1.0000   0.0769
 -15.250  -0.4882   0.19253   0.18459  -0.0044   1.0000   0.0755
 -15.500  -0.4945   0.19484   0.18688  -0.0028   1.0000   0.0735
 -15.750  -0.5017   0.19768   0.18970  -0.0014   1.0000   0.0712
 -16.000  -0.5096   0.20077   0.19284  -0.0001   1.0000   0.0692
 -16.250  -0.5182   0.20434   0.19640   0.0009   1.0000   0.0673
 -16.500  -0.5303   0.21070   0.20277   0.0011   1.0000   0.0653
