  
       XFOIL         Version 6.99
  
 Calculated polar for: Gottingen 765 airfoil (recovered). Thick: .144 L
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.4254   0.03208   0.02227  -0.0705   0.7912   1.0000
   0.250   0.4410   0.03266   0.02281  -0.0687   0.7761   1.0000
   0.500   0.4586   0.03313   0.02324  -0.0670   0.7621   1.0000
   0.750   0.4799   0.03335   0.02342  -0.0654   0.7495   1.0000
   1.000   0.4909   0.03421   0.02427  -0.0633   0.7342   1.0000
   1.250   0.5031   0.03505   0.02511  -0.0612   0.7198   1.0000
   1.500   0.5190   0.03568   0.02571  -0.0593   0.7071   1.0000
   1.750   0.5392   0.03594   0.02595  -0.0575   0.6954   1.0000
   2.000   0.5475   0.03714   0.02717  -0.0554   0.6811   1.0000
   2.250   0.5590   0.03813   0.02817  -0.0533   0.6685   1.0000
   2.500   0.5836   0.03808   0.02810  -0.0515   0.6585   1.0000
   2.750   0.5868   0.03975   0.02980  -0.0493   0.6445   1.0000
   3.000   0.5954   0.04098   0.03105  -0.0470   0.6323   1.0000
   3.250   0.6215   0.04086   0.03093  -0.0453   0.6228   1.0000
   3.500   0.6171   0.04314   0.03324  -0.0427   0.6094   1.0000
   3.750   0.6272   0.04429   0.03441  -0.0405   0.5985   1.0000
   4.000   0.6473   0.04466   0.03480  -0.0386   0.5882   1.0000
   4.250   0.6321   0.04771   0.03787  -0.0353   0.5759   1.0000
   4.500   0.6806   0.04599   0.03618  -0.0345   0.5681   1.0000
   4.750   0.6466   0.05042   0.04063  -0.0305   0.5548   1.0000
   5.000   0.6360   0.05307   0.04328  -0.0273   0.5447   1.0000
   5.250   0.6645   0.05298   0.04324  -0.0258   0.5349   1.0000
   5.500   0.6055   0.05843   0.04860  -0.0201   0.5254   1.0000
   5.750   0.6863   0.05536   0.04570  -0.0213   0.5156   1.0000
