  
       XFOIL         Version 6.99
  
 Calculated polar for: HQ 2.5/9.0 smoothed by Eppler                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0412   0.02004   0.01026  -0.0312   1.0000   1.0000
   0.250   0.0648   0.02042   0.01045  -0.0315   1.0000   1.0000
   0.500   0.0880   0.02084   0.01071  -0.0318   1.0000   1.0000
   0.750   0.1106   0.02130   0.01102  -0.0320   1.0000   1.0000
   1.000   0.1328   0.02180   0.01141  -0.0322   1.0000   1.0000
   1.250   0.1545   0.02235   0.01187  -0.0323   1.0000   1.0000
   1.500   0.1757   0.02295   0.01240  -0.0325   1.0000   1.0000
   1.750   0.1962   0.02361   0.01302  -0.0327   1.0000   1.0000
   2.000   0.2160   0.02435   0.01373  -0.0328   1.0000   1.0000
   2.250   0.2348   0.02518   0.01456  -0.0331   1.0000   1.0000
   2.500   0.2943   0.02684   0.01627  -0.0409   0.9779   1.0000
   2.750   0.3553   0.02830   0.01781  -0.0484   0.9529   1.0000
   3.000   0.4169   0.02947   0.01911  -0.0554   0.9269   1.0000
   3.250   0.4705   0.03025   0.02006  -0.0605   0.8988   1.0000
   3.500   0.5242   0.03077   0.02077  -0.0650   0.8699   1.0000
   3.750   0.5776   0.03097   0.02122  -0.0688   0.8407   1.0000
   4.000   0.6312   0.03083   0.02133  -0.0720   0.8117   1.0000
   4.250   0.6849   0.03030   0.02112  -0.0744   0.7831   1.0000
   4.500   0.7333   0.02949   0.02057  -0.0753   0.7545   1.0000
   4.750   0.7791   0.02839   0.01972  -0.0752   0.7251   1.0000
   5.000   0.8242   0.02684   0.01842  -0.0742   0.6933   1.0000
   5.250   0.8563   0.02575   0.01747  -0.0717   0.6546   1.0000
   5.500   0.8879   0.02461   0.01638  -0.0690   0.6119   1.0000
   5.750   0.9167   0.02390   0.01559  -0.0662   0.5639   1.0000
   6.000   0.9403   0.02409   0.01556  -0.0635   0.5093   1.0000
   6.250   0.9610   0.02499   0.01611  -0.0608   0.4475   1.0000
   6.500   0.9765   0.02647   0.01720  -0.0578   0.3764   1.0000
   6.750   0.9905   0.02827   0.01859  -0.0549   0.3068   1.0000
   7.000   1.0060   0.02993   0.01982  -0.0525   0.2537   1.0000
   7.250   1.0226   0.03159   0.02126  -0.0506   0.2132   1.0000
   7.500   1.0431   0.03366   0.02316  -0.0492   0.1820   1.0000
   7.750   1.0657   0.03607   0.02559  -0.0482   0.1592   1.0000
   8.000   1.0902   0.03885   0.02833  -0.0475   0.1432   1.0000
   8.250   1.1107   0.04210   0.03211  -0.0462   0.1341   1.0000
   8.500   1.1295   0.04535   0.03558  -0.0451   0.1257   1.0000
   8.750   1.1428   0.04878   0.03952  -0.0434   0.1202   1.0000
   9.000   1.1589   0.05266   0.04366  -0.0422   0.1169   1.0000
   9.250   1.1704   0.05730   0.04857  -0.0409   0.1145   1.0000
   9.500   1.1671   0.06161   0.05350  -0.0384   0.1135   1.0000
   9.750   1.1596   0.06619   0.05857  -0.0361   0.1129   1.0000
  10.000   1.1476   0.07096   0.06373  -0.0340   0.1129   1.0000
  10.250   1.1331   0.07585   0.06892  -0.0323   0.1133   1.0000
  10.500   1.1172   0.08079   0.07405  -0.0310   0.1139   1.0000
  10.750   1.1046   0.08593   0.07931  -0.0301   0.1146   1.0000
  11.000   1.0156   0.09620   0.08985  -0.0347   0.1268   1.0000
  11.250   1.0060   0.10301   0.09667  -0.0370   0.1281   1.0000
  11.250   1.0060   0.10301   0.09667  -0.0370   0.1281   1.0000
  11.350   1.0047   0.10566   0.09933  -0.0377   0.1285   1.0000
