  
       XFOIL         Version 6.99
  
 Calculated polar for: HT12                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0000   0.01341   0.00279   0.0000   0.9967   1.0033
   0.250   0.0264   0.01341   0.00281   0.0003   0.9967   1.0033
   0.500   0.0528   0.01343   0.00287   0.0006   0.9967   1.0033
   0.750   0.0792   0.01346   0.00299   0.0009   0.9967   1.0033
   1.000   0.1055   0.01350   0.00315   0.0012   0.9967   1.0033
   1.250   0.1319   0.01355   0.00335   0.0015   0.9967   1.0033
   1.500   0.1582   0.01362   0.00361   0.0017   0.9967   1.0033
   1.750   0.1845   0.01370   0.00393   0.0019   0.9967   1.0033
   2.000   0.2108   0.01380   0.00435   0.0021   0.9967   1.0033
   2.250   0.2371   0.01394   0.00485   0.0021   0.9967   1.0033
   2.500   0.2636   0.01413   0.00556   0.0016   0.9967   1.0033
   2.750   0.3295   0.01554   0.00675  -0.0025   0.6706   1.0033
   3.000   0.3444   0.01726   0.00744   0.0021   0.5112   1.0033
   3.250   0.3659   0.01907   0.00852   0.0043   0.3736   1.0033
   3.500   0.3906   0.02080   0.00978   0.0056   0.2758   1.0033
   3.750   0.4172   0.02255   0.01132   0.0065   0.2195   1.0033
   4.000   0.4440   0.02431   0.01304   0.0071   0.1834   1.0033
   4.250   0.4724   0.02656   0.01554   0.0077   0.1643   1.0033
   4.500   0.4991   0.02865   0.01769   0.0081   0.1464   1.0033
   4.750   0.5283   0.03190   0.02161   0.0082   0.1402   1.0033
   5.000   0.5551   0.03491   0.02497   0.0082   0.1331   1.0033
   5.250   0.5815   0.03885   0.02953   0.0076   0.1283   1.0033
   5.500   0.6068   0.04355   0.03476   0.0068   0.1302   1.0033
   5.750   0.6328   0.05071   0.04283   0.0033   0.1428   1.0033
   5.750   0.6328   0.05071   0.04283   0.0033   0.1428   1.0033
   5.850   0.6417   0.05257   0.04468   0.0035   0.1454   1.0033
   6.250   0.6817   0.08056   0.07419  -0.0482   0.3609   1.0033
   6.500   0.6925   0.08464   0.07826  -0.0478   0.3442   1.0033
   6.500   0.6925   0.08465   0.07826  -0.0478   0.3442   1.0033
   6.600   0.6925   0.08622   0.07981  -0.0487   0.3376   1.0033
   7.000   0.7040   0.09252   0.08605  -0.0489   0.3102   1.0033
   7.250   0.7046   0.09586   0.08934  -0.0496   0.2932   1.0033
   7.500   0.7086   0.09948   0.09295  -0.0498   0.2773   1.0033
   7.750   0.7121   0.10324   0.09667  -0.0502   0.2644   1.0033
