  
       XFOIL         Version 6.99
  
 Calculated polar for: I.S.A. 571                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2249   0.01990   0.01030  -0.0444   1.0000   1.0000
   0.250   0.2438   0.02067   0.01088  -0.0444   1.0000   1.0000
   0.500   0.2609   0.02163   0.01173  -0.0446   1.0000   1.0000
   0.750   0.3197   0.02271   0.01265  -0.0525   0.9796   1.0000
   1.000   0.3940   0.02328   0.01311  -0.0623   0.9465   1.0000
   1.250   0.4606   0.02332   0.01312  -0.0697   0.9110   1.0000
   1.500   0.5255   0.02291   0.01275  -0.0758   0.8766   1.0000
   1.750   0.5848   0.02220   0.01206  -0.0800   0.8450   1.0000
   2.000   0.6296   0.02176   0.01164  -0.0815   0.8100   1.0000
   2.250   0.6715   0.02144   0.01127  -0.0824   0.7777   1.0000
   2.500   0.7078   0.02135   0.01108  -0.0823   0.7462   1.0000
   2.750   0.7386   0.02152   0.01112  -0.0814   0.7145   1.0000
   3.000   0.7659   0.02192   0.01145  -0.0803   0.6841   1.0000
   3.250   0.7934   0.02242   0.01184  -0.0793   0.6574   1.0000
   3.500   0.8182   0.02314   0.01256  -0.0784   0.6328   1.0000
   3.750   0.8439   0.02388   0.01328  -0.0776   0.6110   1.0000
   4.000   0.8686   0.02469   0.01417  -0.0768   0.5896   1.0000
   4.250   0.8942   0.02546   0.01492  -0.0760   0.5697   1.0000
   4.500   0.9170   0.02639   0.01596  -0.0749   0.5481   1.0000
   4.750   0.9421   0.02724   0.01683  -0.0740   0.5285   1.0000
   5.000   0.9646   0.02830   0.01806  -0.0730   0.5079   1.0000
   5.250   0.9882   0.02921   0.01900  -0.0718   0.4865   1.0000
   5.500   1.0102   0.03025   0.02013  -0.0705   0.4648   1.0000
   5.750   1.0331   0.03117   0.02109  -0.0692   0.4431   1.0000
   6.000   1.0542   0.03226   0.02233  -0.0678   0.4217   1.0000
   6.250   1.0754   0.03355   0.02377  -0.0666   0.4028   1.0000
   6.500   1.0976   0.03484   0.02519  -0.0655   0.3854   1.0000
   6.750   1.1199   0.03619   0.02667  -0.0643   0.3689   1.0000
   7.000   1.1407   0.03782   0.02852  -0.0632   0.3538   1.0000
   7.250   1.1599   0.03969   0.03072  -0.0620   0.3394   1.0000
   7.500   1.1748   0.04136   0.03273  -0.0601   0.3216   1.0000
   7.750   1.1950   0.04005   0.03138  -0.0577   0.2904   1.0000
   8.000   1.2131   0.03807   0.02930  -0.0550   0.2569   1.0000
   8.250   1.2232   0.03685   0.02807  -0.0516   0.2206   1.0000
   8.500   1.2237   0.03725   0.02794  -0.0471   0.1704   1.0000
   8.750   1.2231   0.03999   0.03051  -0.0432   0.1310   1.0000
   9.000   1.2315   0.04272   0.03335  -0.0405   0.1119   1.0000
   9.250   1.2452   0.04561   0.03626  -0.0386   0.1012   1.0000
   9.500   1.2586   0.04844   0.03918  -0.0368   0.0930   1.0000
   9.750   1.2659   0.05205   0.04317  -0.0347   0.0878   1.0000
  10.000   1.2707   0.05543   0.04687  -0.0326   0.0833   1.0000
  10.250   1.2793   0.05911   0.05069  -0.0311   0.0801   1.0000
  10.500   1.2823   0.06391   0.05570  -0.0295   0.0787   1.0000
  10.750   1.2705   0.06820   0.06041  -0.0269   0.0785   1.0000
  11.000   1.2539   0.07236   0.06489  -0.0243   0.0785   1.0000
  11.250   1.2348   0.07683   0.06963  -0.0225   0.0786   1.0000
  11.500   1.2138   0.08174   0.07481  -0.0219   0.0789   1.0000
  11.750   1.1179   0.09536   0.08901  -0.0319   0.0867   1.0000
  12.000   1.0889   0.10541   0.09912  -0.0378   0.0896   1.0000
  12.250   1.0692   0.11453   0.10824  -0.0426   0.0910   1.0000
  12.250   1.0692   0.11453   0.10824  -0.0426   0.0910   1.0000
  12.350   1.0632   0.11793   0.11163  -0.0441   0.0914   1.0000
  12.750   0.9749   0.15236   0.14566  -0.0676   0.1131   1.0000
  13.000   0.9740   0.15877   0.15205  -0.0699   0.1147   1.0000
  13.250   0.9808   0.16422   0.15753  -0.0706   0.1161   1.0000
  13.250   0.9808   0.16422   0.15752  -0.0706   0.1161   1.0000
  13.750   0.7012   0.16615   0.15964  -0.0614   0.2314   1.0000
  14.000   0.7108   0.17093   0.16445  -0.0615   0.2242   1.0000
  14.250   0.7011   0.17213   0.16565  -0.0627   0.2184   1.0000
  14.500   0.7155   0.17759   0.17115  -0.0625   0.2111   1.0000
  14.750   0.7030   0.17811   0.17166  -0.0641   0.2064   1.0000
  15.000   0.7183   0.18350   0.17709  -0.0637   0.1975   1.0000
  15.250   0.7065   0.18400   0.17758  -0.0655   0.1938   1.0000
  15.500   0.7102   0.18703   0.18064  -0.0661   0.1878   1.0000
  15.750   0.7263   0.19359   0.18724  -0.0659   0.1842   1.0000
  16.000   0.7140   0.19357   0.18721  -0.0679   0.1821   1.0000
  16.250   0.7124   0.19569   0.18934  -0.0691   0.1770   1.0000
  16.500   0.7350   0.20360   0.19734  -0.0683   0.1705   1.0000
  16.750   0.7219   0.20293   0.19665  -0.0704   0.1690   1.0000
  17.000   0.7189   0.20453   0.19826  -0.0718   0.1635   1.0000
  17.250   0.7321   0.20972   0.20350  -0.0716   0.1576   1.0000
  17.500   0.7342   0.21340   0.20718  -0.0726   0.1560   1.0000
  17.750   0.7270   0.21390   0.20768  -0.0746   0.1530   1.0000
  18.000   0.7289   0.21657   0.21037  -0.0757   0.1483   1.0000
  18.250   0.7375   0.22087   0.21471  -0.0759   0.1444   1.0000
  18.500   0.7461   0.22655   0.22040  -0.0764   0.1423   1.0000
  18.750   0.7382   0.22643   0.22028  -0.0785   0.1402   1.0000
  19.000   0.7389   0.22878   0.22265  -0.0798   0.1355   1.0000
  19.250   0.7477   0.23315   0.22707  -0.0800   0.1306   1.0000
  19.500   0.7536   0.23802   0.23197  -0.0807   0.1287   1.0000
  19.750   0.7481   0.23852   0.23247  -0.0828   0.1264   1.0000
  20.000   0.7495   0.24114   0.23511  -0.0841   0.1225   1.0000
   0.000   0.2249   0.01990   0.01030  -0.0444   1.0000   1.0000
