  
       XFOIL         Version 6.99
  
 Calculated polar for: J5012   12%                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0000   0.02351   0.01327  -0.0000   1.0000   1.0000
   0.250  -0.0064   0.02354   0.01329   0.0040   1.0000   1.0000
   0.500  -0.0122   0.02361   0.01336   0.0079   1.0000   1.0000
   0.750  -0.0168   0.02375   0.01348   0.0117   1.0000   1.0000
   1.000  -0.0197   0.02395   0.01366   0.0151   1.0000   1.0000
   1.250  -0.0205   0.02422   0.01392   0.0182   1.0000   1.0000
   1.500  -0.0194   0.02458   0.01425   0.0209   1.0000   1.0000
   1.750  -0.0164   0.02502   0.01467   0.0232   1.0000   1.0000
   2.000   0.0201   0.02595   0.01567   0.0191   0.9898   1.0000
   2.250   0.0926   0.02721   0.01709   0.0088   0.9653   1.0000
   2.500   0.1677   0.02820   0.01828  -0.0013   0.9400   1.0000
   2.750   0.2322   0.02872   0.01901  -0.0088   0.9121   1.0000
   3.000   0.3004   0.02892   0.01947  -0.0162   0.8828   1.0000
   3.250   0.3852   0.02849   0.01939  -0.0252   0.8514   1.0000
   3.500   0.4895   0.02680   0.01818  -0.0354   0.8163   1.0000
   3.750   0.5452   0.02547   0.01713  -0.0371   0.7769   1.0000
   4.000   0.5914   0.02408   0.01588  -0.0364   0.7339   1.0000
   4.250   0.6189   0.02332   0.01513  -0.0332   0.6862   1.0000
   4.500   0.6386   0.02295   0.01470  -0.0292   0.6331   1.0000
   4.750   0.6561   0.02283   0.01436  -0.0251   0.5743   1.0000
   5.000   0.6694   0.02311   0.01433  -0.0207   0.5099   1.0000
   5.250   0.6806   0.02376   0.01457  -0.0165   0.4436   1.0000
   5.500   0.6916   0.02473   0.01514  -0.0127   0.3812   1.0000
   5.750   0.7046   0.02593   0.01590  -0.0095   0.3283   1.0000
   6.000   0.7182   0.02727   0.01699  -0.0067   0.2849   1.0000
   6.250   0.7353   0.02875   0.01822  -0.0045   0.2518   1.0000
   6.500   0.7519   0.03033   0.01977  -0.0023   0.2256   1.0000
   6.750   0.7715   0.03201   0.02126  -0.0007   0.2047   1.0000
   7.000   0.7894   0.03387   0.02316   0.0011   0.1886   1.0000
   7.250   0.8057   0.03572   0.02512   0.0032   0.1751   1.0000
   7.500   0.8174   0.03789   0.02768   0.0059   0.1653   1.0000
   7.750   0.8319   0.04018   0.03009   0.0080   0.1568   1.0000
   8.000   0.8397   0.04276   0.03309   0.0110   0.1511   1.0000
   8.250   0.8574   0.04536   0.03557   0.0123   0.1444   1.0000
   8.500   0.8541   0.04824   0.03903   0.0163   0.1416   1.0000
   8.750   0.8505   0.05145   0.04267   0.0200   0.1394   1.0000
   9.000   0.8443   0.05503   0.04661   0.0234   0.1389   1.0000
   9.250   0.8324   0.05884   0.05074   0.0269   0.1388   1.0000
   9.500   0.8155   0.06285   0.05500   0.0301   0.1396   1.0000
   9.750   0.7949   0.06705   0.05938   0.0329   0.1408   1.0000
  10.000   0.7733   0.07132   0.06374   0.0353   0.1422   1.0000
