  
       XFOIL         Version 6.99
  
 Calculated polar for: K3311  (original)                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0921   0.02830   0.01883  -0.0514   0.9340   1.0000
   0.250   0.1287   0.02917   0.01944  -0.0542   0.9228   1.0000
   0.500   0.1700   0.03008   0.02010  -0.0576   0.9117   1.0000
   0.750   0.1991   0.03083   0.02067  -0.0589   0.8996   1.0000
   1.000   0.2278   0.03162   0.02131  -0.0601   0.8874   1.0000
   1.250   0.2584   0.03245   0.02199  -0.0615   0.8756   1.0000
   1.500   0.2928   0.03327   0.02269  -0.0635   0.8640   1.0000
   1.750   0.3305   0.03407   0.02339  -0.0658   0.8528   1.0000
   2.000   0.3525   0.03491   0.02416  -0.0658   0.8403   1.0000
   2.250   0.3766   0.03579   0.02498  -0.0661   0.8283   1.0000
   2.500   0.4043   0.03668   0.02583  -0.0668   0.8167   1.0000
   2.750   0.4381   0.03749   0.02662  -0.0683   0.8055   1.0000
   3.000   0.4699   0.03828   0.02740  -0.0695   0.7938   1.0000
   3.250   0.4889   0.03932   0.02843  -0.0690   0.7811   1.0000
   3.500   0.5099   0.04036   0.02948  -0.0687   0.7685   1.0000
   3.750   0.5338   0.04136   0.03052  -0.0688   0.7559   1.0000
   4.000   0.5610   0.04229   0.03149  -0.0691   0.7434   1.0000
   4.250   0.5929   0.04305   0.03230  -0.0698   0.7309   1.0000
   4.500   0.6309   0.04353   0.03290  -0.0710   0.7184   1.0000
   4.750   0.6511   0.04457   0.03400  -0.0704   0.7045   1.0000
   5.000   0.6713   0.04565   0.03515  -0.0697   0.6905   1.0000
   5.250   0.6908   0.04679   0.03638  -0.0690   0.6766   1.0000
   5.500   0.7089   0.04806   0.03775  -0.0681   0.6626   1.0000
   5.750   0.7269   0.04935   0.03914  -0.0673   0.6486   1.0000
   6.000   0.7436   0.05074   0.04063  -0.0664   0.6347   1.0000
   6.250   0.7606   0.05213   0.04213  -0.0655   0.6206   1.0000
   6.500   0.7773   0.05355   0.04367  -0.0646   0.6068   1.0000
   6.750   0.7949   0.05492   0.04519  -0.0637   0.5927   1.0000
   7.000   0.8131   0.05623   0.04664  -0.0627   0.5782   1.0000
   7.250   0.8325   0.05739   0.04795  -0.0617   0.5633   1.0000
   7.500   0.8549   0.05819   0.04894  -0.0606   0.5476   1.0000
   7.750   0.8988   0.05678   0.04784  -0.0592   0.5305   1.0000
   8.000   1.0340   0.04673   0.03849  -0.0598   0.5110   1.0000
   8.250   1.0313   0.04889   0.04079  -0.0568   0.4922   1.0000
   8.500   1.1291   0.04230   0.03463  -0.0574   0.4667   1.0000
   8.500   1.1291   0.04230   0.03463  -0.0574   0.4666   1.0000
   8.600   1.1061   0.04491   0.03729  -0.0550   0.4603   1.0000
   8.700   1.1367   0.04288   0.03542  -0.0549   0.4478   1.0000
   9.000   1.1950   0.03499   0.02731  -0.0498   0.3812   1.0000
   9.250   1.1973   0.03448   0.02672  -0.0447   0.3405   1.0000
   9.500   1.1908   0.03496   0.02695  -0.0392   0.2950   1.0000
   9.750   1.1742   0.03645   0.02805  -0.0331   0.2497   1.0000
  10.000   1.1544   0.03889   0.02995  -0.0277   0.2066   1.0000
  10.250   1.1409   0.04198   0.03268  -0.0238   0.1688   1.0000
  10.500   1.1398   0.04487   0.03526  -0.0211   0.1419   1.0000
  10.750   1.1623   0.04759   0.03771  -0.0198   0.1207   1.0000
  11.000   1.1935   0.05059   0.04074  -0.0194   0.1063   1.0000
  11.250   1.2294   0.05415   0.04429  -0.0201   0.0962   1.0000
  11.500   1.2375   0.05762   0.04825  -0.0184   0.0935   1.0000
  11.750   1.2403   0.06126   0.05228  -0.0165   0.0915   1.0000
  12.000   1.2379   0.06490   0.05628  -0.0146   0.0900   1.0000
  12.250   1.2315   0.06864   0.06030  -0.0130   0.0888   1.0000
  12.500   1.2232   0.07255   0.06444  -0.0116   0.0877   1.0000
  12.750   1.2379   0.07741   0.06926  -0.0116   0.0844   1.0000
  12.750   1.2379   0.07741   0.06926  -0.0116   0.0844   1.0000
  12.850   1.2320   0.07914   0.07109  -0.0112   0.0845   1.0000
  13.250   1.1325   0.08939   0.08219  -0.0129   0.0914   1.0000
  13.500   1.0998   0.09695   0.08994  -0.0160   0.0933   1.0000
  13.750   1.0697   0.10521   0.09832  -0.0200   0.0949   1.0000
  14.000   1.0449   0.11375   0.10694  -0.0243   0.0962   1.0000
  14.250   1.0270   0.12212   0.11534  -0.0283   0.0972   1.0000
  14.500   0.9173   0.15614   0.14906  -0.0531   0.1205   1.0000
  14.750   0.9158   0.16275   0.15564  -0.0558   0.1218   1.0000
  15.000   0.9202   0.16847   0.16136  -0.0575   0.1230   1.0000
  15.000   0.8983   0.17453   0.16733  -0.0633   0.1400   1.0000
  15.100   0.9057   0.17583   0.16867  -0.0628   0.1384   1.0000
  15.200   0.9139   0.17736   0.17024  -0.0622   0.1374   1.0000
  15.500   0.8795   0.19597   0.18871  -0.0770   0.2215   1.0000
  15.750   0.8844   0.20055   0.19328  -0.0787   0.2191   1.0000
  16.000   0.8790   0.20252   0.19521  -0.0816   0.2131   1.0000
  16.250   0.8930   0.20729   0.20003  -0.0820   0.2078   1.0000
  16.500   0.9078   0.21367   0.20642  -0.0828   0.2056   1.0000
  16.750   0.8976   0.21400   0.20669  -0.0865   0.2012   1.0000
  17.000   0.9066   0.21777   0.21048  -0.0876   0.1952   1.0000
  17.250   0.9238   0.22436   0.21711  -0.0878   0.1912   1.0000
  17.500   0.9167   0.22460   0.21729  -0.0914   0.1859   1.0000
  17.750   0.9355   0.23038   0.22314  -0.0910   0.1788   1.0000
  18.000   0.9362   0.23304   0.22575  -0.0938   0.1762   1.0000
  18.250   0.9376   0.23490   0.22762  -0.0965   0.1704   1.0000
  18.500   0.9521   0.23993   0.23271  -0.0968   0.1656   1.0000
  18.750   0.9620   0.24522   0.23800  -0.0981   0.1633   1.0000
  19.000   0.9588   0.24532   0.23805  -0.1018   0.1590   1.0000
  19.250   0.9681   0.24886   0.24161  -0.1031   0.1538   1.0000
  19.500   0.9881   0.25745   0.25026  -0.1026   0.1502   1.0000
  19.750   0.9810   0.25554   0.24828  -0.1071   0.1468   1.0000
  20.000   0.9884   0.25844   0.25119  -0.1089   0.1413   1.0000
   0.000   0.0921   0.02830   0.01883  -0.0514   0.9340   1.0000
  -0.250   0.0566   0.02746   0.01831  -0.0488   0.9458   1.0000
  -0.500   0.0213   0.02666   0.01788  -0.0462   0.9576   1.0000
  -0.750  -0.0190   0.02579   0.01746  -0.0426   0.9695   1.0000
  -1.000  -0.0641   0.02477   0.01720  -0.0384   0.9807   1.0000
  -1.250  -0.1133   0.02821   0.01735  -0.0368   0.9878   0.1908
  -1.500  -0.1587   0.02851   0.01755  -0.0330   0.9976   0.1600
  -1.750  -0.1855   0.02890   0.01798  -0.0326   1.0000   0.1505
  -2.000  -0.2048   0.02936   0.01856  -0.0336   1.0000   0.1455
  -2.250  -0.2256   0.03008   0.01932  -0.0343   1.0000   0.1419
  -2.500  -0.2458   0.03113   0.02042  -0.0351   1.0000   0.1397
  -2.750  -0.2666   0.03204   0.02165  -0.0359   1.0000   0.1385
  -3.000  -0.2875   0.03310   0.02310  -0.0366   1.0000   0.1362
  -3.250  -0.3084   0.03444   0.02482  -0.0372   1.0000   0.1352
  -3.500  -0.3296   0.03623   0.02697  -0.0378   1.0000   0.1365
  -3.750  -0.3500   0.03836   0.02935  -0.0382   1.0000   0.1391
  -4.000  -0.3744   0.04112   0.03306  -0.0379   1.0000   0.1487
  -4.250  -0.3926   0.04409   0.03613  -0.0383   1.0000   0.1545
  -4.500  -0.4132   0.04807   0.04071  -0.0375   1.0000   0.1695
  -4.500  -0.4401   0.05700   0.05122  -0.0222   1.0000   0.2638
  -4.600  -0.4422   0.05742   0.05145  -0.0257   1.0000   0.2588
  -5.500  -0.3645   0.07674   0.07111   0.0067   1.0000   0.4841
  -5.750  -0.3387   0.07689   0.07107   0.0005   1.0000   0.4651
  -6.000  -0.3317   0.07844   0.07252  -0.0034   1.0000   0.4467
  -6.250  -0.3605   0.08283   0.07693  -0.0045   1.0000   0.4244
  -6.500  -0.3400   0.08339   0.07731  -0.0091   1.0000   0.4079
  -6.750  -0.3288   0.08460   0.07837  -0.0125   1.0000   0.3894
