  
       XFOIL         Version 6.99
  
 Calculated polar for: K3311 (smoothed)                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0935   0.02850   0.01896  -0.0523   0.9334   1.0000
   0.250   0.1291   0.02934   0.01955  -0.0549   0.9217   1.0000
   0.500   0.1672   0.03022   0.02020  -0.0578   0.9107   1.0000
   0.750   0.2029   0.03104   0.02082  -0.0602   0.8991   1.0000
   1.000   0.2301   0.03182   0.02145  -0.0611   0.8869   1.0000
   1.250   0.2589   0.03265   0.02213  -0.0623   0.8751   1.0000
   1.500   0.2908   0.03350   0.02286  -0.0639   0.8636   1.0000
   1.750   0.3301   0.03432   0.02358  -0.0665   0.8528   1.0000
   2.000   0.3540   0.03517   0.02436  -0.0668   0.8405   1.0000
   2.250   0.3766   0.03608   0.02521  -0.0669   0.8284   1.0000
   2.500   0.4027   0.03700   0.02608  -0.0675   0.8166   1.0000
   2.750   0.4339   0.03786   0.02691  -0.0686   0.8051   1.0000
   3.000   0.4707   0.03862   0.02766  -0.0704   0.7941   1.0000
   3.250   0.4887   0.03966   0.02869  -0.0698   0.7812   1.0000
   3.500   0.5083   0.04073   0.02977  -0.0694   0.7687   1.0000
   3.750   0.5313   0.04177   0.03082  -0.0694   0.7563   1.0000
   4.000   0.5578   0.04273   0.03183  -0.0697   0.7441   1.0000
   4.250   0.5920   0.04346   0.03261  -0.0707   0.7324   1.0000
   4.500   0.6202   0.04430   0.03352  -0.0710   0.7199   1.0000
   4.750   0.6361   0.04557   0.03486  -0.0701   0.7065   1.0000
   5.000   0.6538   0.04681   0.03615  -0.0693   0.6929   1.0000
   5.250   0.6730   0.04800   0.03742  -0.0687   0.6793   1.0000
   5.500   0.6926   0.04921   0.03871  -0.0680   0.6656   1.0000
   5.750   0.7136   0.05035   0.03998  -0.0675   0.6517   1.0000
   6.000   0.7347   0.05149   0.04122  -0.0668   0.6379   1.0000
   6.250   0.7565   0.05257   0.04242  -0.0662   0.6237   1.0000
   6.500   0.7781   0.05363   0.04360  -0.0654   0.6093   1.0000
   6.750   0.7994   0.05466   0.04480  -0.0646   0.5946   1.0000
   7.000   0.8195   0.05576   0.04603  -0.0636   0.5797   1.0000
   7.250   0.8388   0.05686   0.04728  -0.0625   0.5645   1.0000
   7.500   0.8576   0.05796   0.04853  -0.0612   0.5489   1.0000
   7.750   0.8774   0.05892   0.04968  -0.0600   0.5332   1.0000
   8.000   0.9024   0.05930   0.05026  -0.0585   0.5170   1.0000
   8.250   0.9420   0.05802   0.04926  -0.0568   0.5007   1.0000
   8.500   1.0789   0.04749   0.03946  -0.0573   0.4793   1.0000
   8.750   1.1496   0.04255   0.03482  -0.0564   0.4501   1.0000
   9.000   1.1872   0.03977   0.03215  -0.0538   0.4152   1.0000
   9.250   1.2177   0.03706   0.02933  -0.0505   0.3731   1.0000
   9.500   1.2283   0.03626   0.02839  -0.0462   0.3311   1.0000
   9.750   1.2266   0.03672   0.02857  -0.0412   0.2880   1.0000
  10.000   1.2183   0.03813   0.02960  -0.0360   0.2456   1.0000
  10.250   1.2078   0.04015   0.03128  -0.0310   0.2102   1.0000
  10.500   1.2061   0.04256   0.03321  -0.0275   0.1778   1.0000
  10.750   1.2054   0.04517   0.03579  -0.0245   0.1552   1.0000
  11.000   1.2240   0.04808   0.03851  -0.0233   0.1346   1.0000
  11.250   1.2392   0.05102   0.04148  -0.0221   0.1210   1.0000
  11.500   1.2678   0.05470   0.04523  -0.0223   0.1098   1.0000
  11.750   1.2626   0.05783   0.04882  -0.0194   0.1062   1.0000
  12.000   1.2907   0.06184   0.05273  -0.0200   0.0978   1.0000
  12.250   1.2782   0.06522   0.05654  -0.0169   0.0969   1.0000
  12.500   1.2634   0.06904   0.06073  -0.0144   0.0963   1.0000
  12.750   1.2465   0.07314   0.06516  -0.0127   0.0961   1.0000
  13.000   1.2256   0.07771   0.07002  -0.0116   0.0960   1.0000
  13.250   1.2033   0.08274   0.07530  -0.0115   0.0963   1.0000
  13.500   1.1793   0.08834   0.08112  -0.0122   0.0967   1.0000
  13.750   1.1560   0.09450   0.08746  -0.0138   0.0972   1.0000
  14.000   1.1320   0.10135   0.09444  -0.0162   0.0978   1.0000
  14.250   0.9384   0.14563   0.13862  -0.0490   0.1343   1.0000
  14.500   0.9306   0.15339   0.14633  -0.0525   0.1353   1.0000
  14.750   0.9263   0.16045   0.15336  -0.0556   0.1359   1.0000
  15.000   0.9296   0.16670   0.15964  -0.0576   0.1375   1.0000
  15.000   0.9305   0.16648   0.15940  -0.0573   0.1370   1.0000
  15.250   0.8683   0.19001   0.18267  -0.0774   0.2460   1.0000
  15.350   0.8663   0.19098   0.18363  -0.0783   0.2426   1.0000
  15.450   0.8697   0.19250   0.18516  -0.0787   0.2393   1.0000
  15.750   0.8810   0.19814   0.19083  -0.0799   0.2324   1.0000
