  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA LRN 1015 (NASA TM 102840)                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1538   0.04378   0.03264  -0.0247   1.0000   0.1589
   0.250  -0.1309   0.04382   0.03282  -0.0247   1.0000   0.1840
   0.500  -0.1168   0.04070   0.03334  -0.0201   1.0000   1.0000
   0.750  -0.0959   0.04157   0.03331  -0.0191   1.0000   1.0000
   1.000  -0.0768   0.04247   0.03380  -0.0190   1.0000   1.0000
   1.250  -0.0582   0.04343   0.03444  -0.0190   1.0000   1.0000
   1.500  -0.0398   0.04443   0.03518  -0.0191   1.0000   1.0000
   1.750  -0.0216   0.04549   0.03601  -0.0192   1.0000   1.0000
   2.000  -0.0038   0.04660   0.03691  -0.0193   1.0000   1.0000
   2.250   0.0139   0.04775   0.03788  -0.0195   1.0000   1.0000
   2.500   0.0486   0.05021   0.04012  -0.0230   0.9918   1.0000
   2.750   0.0847   0.05272   0.04244  -0.0268   0.9788   1.0000
   2.750   0.0847   0.05272   0.04244  -0.0268   0.9788   1.0000
   2.850   0.1014   0.05404   0.04367  -0.0286   0.9743   1.0000
   3.250   0.1539   0.05763   0.04705  -0.0335   0.9492   1.0000
   3.250   0.1539   0.05763   0.04705  -0.0335   0.9492   1.0000
   3.350   0.1626   0.05819   0.04757  -0.0340   0.9424   1.0000
   3.450   0.1777   0.05925   0.04858  -0.0355   0.9356   1.0000
   3.750   0.2181   0.06255   0.05174  -0.0391   0.9178   1.0000
   4.000   0.2472   0.06487   0.05398  -0.0412   0.9020   1.0000
   4.250   0.2675   0.06637   0.05544  -0.0419   0.8852   1.0000
   4.500   0.2892   0.06815   0.05719  -0.0429   0.8690   1.0000
   4.750   0.3104   0.06997   0.05898  -0.0437   0.8523   1.0000
   5.000   0.3331   0.07206   0.06104  -0.0448   0.8369   1.0000
   5.250   0.3544   0.07407   0.06304  -0.0457   0.8209   1.0000
   5.500   0.3750   0.07613   0.06510  -0.0465   0.8052   1.0000
   5.750   0.3945   0.07813   0.06711  -0.0472   0.7889   1.0000
   6.000   0.4136   0.08018   0.06916  -0.0478   0.7728   1.0000
   6.250   0.4325   0.08214   0.07115  -0.0483   0.7554   1.0000
   6.500   0.4536   0.08413   0.07316  -0.0490   0.7365   1.0000
   6.750   0.4907   0.08649   0.07553  -0.0508   0.7128   1.0000
   7.000   0.5733   0.08287   0.07187  -0.0512   0.6389   1.0000
   7.250   0.5890   0.08377   0.07281  -0.0505   0.6188   1.0000
   7.500   0.6098   0.08478   0.07387  -0.0503   0.6008   1.0000
   7.750   0.6365   0.08553   0.07468  -0.0504   0.5830   1.0000
   8.000   0.6625   0.08638   0.07560  -0.0504   0.5667   1.0000
   8.250   0.6911   0.08694   0.07623  -0.0504   0.5504   1.0000
   8.500   0.7172   0.08758   0.07695  -0.0503   0.5347   1.0000
   8.750   0.7428   0.08805   0.07752  -0.0499   0.5190   1.0000
   9.000   0.7657   0.08861   0.07817  -0.0494   0.5035   1.0000
   9.250   0.7850   0.08948   0.07912  -0.0488   0.4883   1.0000
   9.500   0.8055   0.09012   0.07986  -0.0481   0.4730   1.0000
   9.750   0.8228   0.09113   0.08098  -0.0475   0.4578   1.0000
  10.000   0.8367   0.09252   0.08246  -0.0468   0.4429   1.0000
  10.250   0.8479   0.09432   0.08435  -0.0462   0.4283   1.0000
  10.500   0.8590   0.09615   0.08627  -0.0457   0.4138   1.0000
  10.750   0.8692   0.09819   0.08842  -0.0452   0.3999   1.0000
  10.750   0.8692   0.09820   0.08842  -0.0452   0.3999   1.0000
  10.850   0.8944   0.09617   0.08647  -0.0443   0.3953   1.0000
  10.950   0.9506   0.08947   0.07991  -0.0424   0.3926   1.0000
  11.250   0.9594   0.09205   0.08260  -0.0415   0.3760   1.0000
  11.500   1.1899   0.06259   0.05352  -0.0363   0.3629   1.0000
  11.750   1.1811   0.06633   0.05733  -0.0349   0.3487   1.0000
  12.000   1.2788   0.05972   0.05068  -0.0353   0.3251   1.0000
  12.100   1.3363   0.05686   0.04765  -0.0371   0.3124   1.0000
  12.200   1.3147   0.05933   0.05025  -0.0354   0.3107   1.0000
  12.500   1.2251   0.07067   0.06189  -0.0318   0.3077   1.0000
  12.750   0.9050   0.12458   0.11544  -0.0463   0.3106   1.0000
  13.000   0.8764   0.13376   0.12462  -0.0496   0.3063   1.0000
  13.250   0.9113   0.13311   0.12411  -0.0480   0.2969   1.0000
  13.500   0.8832   0.14254   0.13353  -0.0519   0.2955   1.0000
  13.750   0.8685   0.14966   0.14068  -0.0548   0.2945   1.0000
  14.000   0.8650   0.15565   0.14672  -0.0572   0.2954   1.0000
  14.000   0.8650   0.15564   0.14671  -0.0572   0.2954   1.0000
  14.100   0.8691   0.15774   0.14884  -0.0578   0.2965   1.0000
  14.200   0.8764   0.15966   0.15080  -0.0583   0.2975   1.0000
  15.350   0.8406   0.19094   0.18228  -0.0746   0.3611   1.0000
  15.450   0.8343   0.19135   0.18266  -0.0754   0.3600   1.0000
  15.750   0.8309   0.19317   0.18452  -0.0773   0.3505   1.0000
  16.000   0.8624   0.20013   0.19161  -0.0778   0.3450   1.0000
  16.250   0.8452   0.19928   0.19072  -0.0799   0.3370   1.0000
  16.500   0.8730   0.20512   0.19671  -0.0802   0.3298   1.0000
  16.750   0.8621   0.20565   0.19722  -0.0825   0.3243   1.0000
  17.000   0.8736   0.20885   0.20049  -0.0837   0.3171   1.0000
  17.250   0.8946   0.21503   0.20677  -0.0845   0.3130   1.0000
  17.500   0.8851   0.21453   0.20626  -0.0868   0.3046   1.0000
  17.750   0.9148   0.22180   0.21370  -0.0868   0.2981   1.0000
  18.000   0.9010   0.22077   0.21262  -0.0897   0.2924   1.0000
  18.250   0.9133   0.22417   0.21611  -0.0908   0.2853   1.0000
  18.500   0.9274   0.22935   0.22137  -0.0919   0.2811   1.0000
  18.750   0.9247   0.22959   0.22163  -0.0942   0.2724   1.0000
  19.000   0.9515   0.23725   0.22946  -0.0942   0.2669   1.0000
  19.250   0.9396   0.23591   0.22806  -0.0975   0.2615   1.0000
  19.500   0.9526   0.23946   0.23171  -0.0985   0.2537   1.0000
  19.750   0.9621   0.24383   0.23614  -0.1000   0.2495   1.0000
  20.000   0.9621   0.24458   0.23691  -0.1024   0.2418   1.0000
   0.000  -0.1538   0.04378   0.03264  -0.0247   1.0000   0.1589
  -0.250  -0.1757   0.04378   0.03261  -0.0252   1.0000   0.1443
  -0.500  -0.1973   0.04366   0.03266  -0.0261   1.0000   0.1375
  -0.750  -0.2176   0.04378   0.03279  -0.0272   1.0000   0.1308
  -1.000  -0.2390   0.04416   0.03324  -0.0281   1.0000   0.1255
  -1.250  -0.2610   0.04458   0.03387  -0.0289   1.0000   0.1237
  -1.500  -0.2834   0.04525   0.03477  -0.0296   1.0000   0.1236
  -1.750  -0.3061   0.04616   0.03595  -0.0303   1.0000   0.1242
  -2.000  -0.3289   0.04726   0.03735  -0.0308   1.0000   0.1245
  -2.250  -0.3517   0.04857   0.03901  -0.0312   1.0000   0.1249
  -2.500  -0.3739   0.05026   0.04096  -0.0315   1.0000   0.1265
  -2.750  -0.4014   0.05203   0.04355  -0.0316   1.0000   0.1363
  -3.000  -0.4253   0.05450   0.04639  -0.0316   1.0000   0.1466
  -3.250  -0.4590   0.05851   0.05135  -0.0299   1.0000   0.1799
  -3.250  -0.4990   0.06402   0.05826  -0.0192   1.0000   0.2822
