  
       XFOIL         Version 6.99
  
 Calculated polar for: LWK 80-080                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0000   0.01776   0.00681   0.0000   1.0000   1.0000
   0.250   0.0007   0.01776   0.00680   0.0039   1.0000   1.0000
   0.500   0.0028   0.01777   0.00681   0.0075   1.0000   1.0000
   0.750   0.0073   0.01780   0.00682   0.0108   1.0000   1.0000
   1.000   0.0146   0.01788   0.00689   0.0135   1.0000   1.0000
   1.250   0.0243   0.01800   0.00701   0.0159   1.0000   1.0000
   1.500   0.0358   0.01816   0.00718   0.0179   1.0000   1.0000
   1.750   0.0490   0.01837   0.00742   0.0197   1.0000   1.0000
   2.000   0.0632   0.01861   0.00770   0.0212   1.0000   1.0000
   2.250   0.0785   0.01890   0.00805   0.0225   1.0000   1.0000
   2.500   0.0942   0.01923   0.00851   0.0237   1.0000   1.0000
   2.750   0.1103   0.01960   0.00897   0.0247   1.0000   1.0000
   3.000   0.1267   0.02002   0.00952   0.0256   1.0000   1.0000
   3.250   0.1431   0.02050   0.01013   0.0264   1.0000   1.0000
   3.500   0.1594   0.02103   0.01084   0.0271   1.0000   1.0000
   3.750   0.1755   0.02164   0.01164   0.0276   1.0000   1.0000
   4.000   0.1911   0.02233   0.01254   0.0280   1.0000   1.0000
   4.250   0.4787   0.02318   0.01216   0.0018   0.2029   1.0000
   4.500   0.5065   0.02524   0.01403   0.0026   0.1633   1.0000
   4.750   0.5362   0.02761   0.01635   0.0033   0.1414   1.0000
   5.000   0.5611   0.02987   0.01879   0.0044   0.1274   1.0000
   5.250   0.5854   0.03246   0.02181   0.0060   0.1217   1.0000
   5.500   0.6060   0.03530   0.02492   0.0075   0.1146   1.0000
   5.750   0.6240   0.03792   0.02811   0.0095   0.1107   1.0000
