  
       XFOIL         Version 6.99
  
 Calculated polar for: M6 (85%)                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0412   0.02508   0.01499  -0.0174   0.9727   1.0000
   0.250   0.0916   0.02572   0.01549  -0.0231   0.9580   1.0000
   0.500   0.1388   0.02629   0.01595  -0.0280   0.9432   1.0000
   0.750   0.1829   0.02683   0.01641  -0.0321   0.9284   1.0000
   1.000   0.2253   0.02735   0.01688  -0.0358   0.9136   1.0000
   1.250   0.2650   0.02787   0.01737  -0.0389   0.8989   1.0000
   1.500   0.3037   0.02839   0.01789  -0.0416   0.8843   1.0000
   1.750   0.3419   0.02891   0.01842  -0.0441   0.8698   1.0000
   2.000   0.3812   0.02940   0.01894  -0.0467   0.8554   1.0000
   2.250   0.4202   0.02987   0.01947  -0.0491   0.8410   1.0000
   2.500   0.4554   0.03034   0.02000  -0.0507   0.8266   1.0000
   2.750   0.4891   0.03080   0.02052  -0.0518   0.8120   1.0000
   3.000   0.5206   0.03125   0.02107  -0.0523   0.7970   1.0000
   3.250   0.5499   0.03170   0.02160  -0.0523   0.7818   1.0000
   3.500   0.5760   0.03219   0.02218  -0.0517   0.7661   1.0000
   3.750   0.5993   0.03273   0.02283  -0.0506   0.7498   1.0000
   4.000   0.6210   0.03330   0.02349  -0.0491   0.7332   1.0000
   4.250   0.6417   0.03389   0.02418  -0.0475   0.7165   1.0000
   4.500   0.6620   0.03448   0.02487  -0.0457   0.6998   1.0000
   4.750   0.6821   0.03504   0.02557  -0.0438   0.6827   1.0000
   5.000   0.7026   0.03558   0.02623  -0.0418   0.6656   1.0000
   5.250   0.7247   0.03597   0.02676  -0.0399   0.6481   1.0000
   5.500   0.7487   0.03620   0.02714  -0.0379   0.6304   1.0000
   5.750   0.7771   0.03602   0.02715  -0.0360   0.6123   1.0000
   6.000   0.7977   0.03602   0.02730  -0.0331   0.5906   1.0000
   6.250   0.8384   0.03359   0.02499  -0.0300   0.5627   1.0000
   6.500   0.8676   0.03184   0.02329  -0.0264   0.5319   1.0000
   6.750   0.8895   0.03069   0.02222  -0.0226   0.4987   1.0000
   7.000   0.9126   0.02894   0.02041  -0.0185   0.4572   1.0000
   7.250   0.9242   0.02801   0.01939  -0.0135   0.4044   1.0000
   7.500   0.9258   0.02797   0.01888  -0.0075   0.3295   1.0000
   7.750   0.9208   0.02956   0.01970  -0.0016   0.2535   1.0000
   8.000   0.9240   0.03165   0.02125   0.0024   0.2060   1.0000
   8.250   0.9366   0.03378   0.02308   0.0049   0.1759   1.0000
   8.500   0.9562   0.03595   0.02503   0.0064   0.1558   1.0000
   8.750   0.9767   0.03817   0.02725   0.0078   0.1416   1.0000
   9.000   0.9966   0.04038   0.02956   0.0091   0.1318   1.0000
   9.250   1.0144   0.04318   0.03264   0.0106   0.1263   1.0000
   9.500   1.0278   0.04577   0.03552   0.0125   0.1212   1.0000
   9.750   1.0476   0.04881   0.03851   0.0133   0.1161   1.0000
  10.000   1.0480   0.05180   0.04203   0.0164   0.1144   1.0000
  10.250   1.0478   0.05516   0.04579   0.0192   0.1139   1.0000
  10.500   1.0424   0.05870   0.04970   0.0221   0.1137   1.0000
  10.750   1.0335   0.06237   0.05368   0.0250   0.1139   1.0000
  11.000   1.0198   0.06617   0.05773   0.0278   0.1143   1.0000
  11.250   1.0044   0.07000   0.06175   0.0304   0.1149   1.0000
  11.500   0.9866   0.07383   0.06571   0.0328   0.1156   1.0000
  11.750   0.9686   0.07823   0.07021   0.0342   0.1161   1.0000
  12.000   0.8282   0.09325   0.08546   0.0244   0.1254   1.0000
  12.250   0.8037   0.10233   0.09451   0.0200   0.1282   1.0000
  12.500   0.7972   0.10886   0.10102   0.0180   0.1296   1.0000
  12.500   0.7971   0.10887   0.10102   0.0180   0.1296   1.0000
  12.750   0.7559   0.12452   0.11655   0.0086   0.1439   1.0000
  13.250   0.5308   0.14640   0.13876  -0.0031   0.2742   1.0000
  13.500   0.5079   0.14585   0.13820  -0.0039   0.2705   1.0000
  13.750   0.5119   0.14840   0.14078  -0.0040   0.2628   1.0000
  14.000   0.5282   0.15393   0.14634  -0.0043   0.2594   1.0000
  14.250   0.5078   0.15277   0.14517  -0.0053   0.2542   1.0000
  14.500   0.5186   0.15627   0.14870  -0.0054   0.2470   1.0000
  14.750   0.5180   0.15878   0.15121  -0.0061   0.2431   1.0000
  15.000   0.5153   0.15997   0.15242  -0.0068   0.2351   1.0000
  15.250   0.5349   0.16598   0.15848  -0.0068   0.2300   1.0000
  15.500   0.5188   0.16480   0.15729  -0.0083   0.2249   1.0000
  15.750   0.5254   0.16765   0.16017  -0.0087   0.2189   1.0000
  16.000   0.5429   0.17377   0.16632  -0.0088   0.2154   1.0000
  16.250   0.5275   0.17229   0.16484  -0.0106   0.2109   1.0000
  16.500   0.5330   0.17490   0.16747  -0.0112   0.2048   1.0000
  16.750   0.5492   0.18082   0.17342  -0.0113   0.2006   1.0000
  17.000   0.5369   0.17965   0.17225  -0.0132   0.1959   1.0000
  17.250   0.5450   0.18272   0.17536  -0.0136   0.1891   1.0000
  17.500   0.5557   0.18761   0.18028  -0.0140   0.1858   1.0000
  17.750   0.5472   0.18716   0.17983  -0.0159   0.1812   1.0000
  18.000   0.5528   0.18988   0.18259  -0.0167   0.1758   1.0000
  18.250   0.5754   0.19822   0.19098  -0.0163   0.1720   1.0000
  18.500   0.5610   0.19579   0.18853  -0.0187   0.1698   1.0000
  18.750   0.5612   0.19736   0.19013  -0.0200   0.1646   1.0000
  19.000   0.5705   0.20108   0.19389  -0.0205   0.1598   1.0000
  19.250   0.5791   0.20587   0.19870  -0.0212   0.1571   1.0000
  19.500   0.5726   0.20550   0.19834  -0.0233   0.1533   1.0000
  19.750   0.5776   0.20815   0.20104  -0.0242   0.1476   1.0000
  20.000   0.5996   0.21726   0.21020  -0.0237   0.1437   1.0000
   0.000   0.0412   0.02508   0.01499  -0.0174   0.9727   1.0000
  -0.250  -0.0124   0.02437   0.01447  -0.0109   0.9873   1.0000
  -0.500  -0.0612   0.02367   0.01398  -0.0051   1.0000   1.0000
  -0.750  -0.0673   0.02319   0.01365  -0.0074   1.0000   1.0000
  -1.000  -0.0720   0.02272   0.01335  -0.0099   1.0000   1.0000
  -1.250  -0.0752   0.02228   0.01306  -0.0127   1.0000   1.0000
  -1.500  -0.0766   0.02185   0.01282  -0.0158   1.0000   1.0000
  -1.750  -0.0760   0.02143   0.01256  -0.0192   1.0000   1.0000
  -2.000  -0.0732   0.02101   0.01230  -0.0231   1.0000   1.0000
  -2.250  -0.0691   0.02061   0.01206  -0.0273   1.0000   1.0000
  -2.500  -0.0662   0.02028   0.01191  -0.0314   1.0000   1.0000
  -2.750  -0.0686   0.02010   0.01197  -0.0350   1.0000   1.0000
  -2.750  -0.0686   0.02010   0.01197  -0.0350   1.0000   1.0000
  -2.850  -0.0714   0.02006   0.01208  -0.0361   1.0000   1.0000
  -3.250  -0.4472   0.03153   0.02111   0.0139   1.0000   0.1556
  -3.500  -0.4630   0.03299   0.02260   0.0123   1.0000   0.1503
  -3.750  -0.4775   0.03483   0.02467   0.0103   1.0000   0.1485
  -4.000  -0.4907   0.03680   0.02694   0.0080   1.0000   0.1488
  -4.250  -0.5017   0.03875   0.02925   0.0053   1.0000   0.1494
  -4.500  -0.5095   0.04056   0.03162   0.0018   1.0000   0.1513
  -4.750  -0.5143   0.04309   0.03470  -0.0017   1.0000   0.1563
  -5.000  -0.5206   0.04588   0.03775  -0.0047   1.0000   0.1611
  -5.250  -0.5250   0.04940   0.04173  -0.0077   1.0000   0.1768
  -5.250  -0.4990   0.03758   0.03092  -0.0086   1.0000   0.1928
  -5.350  -0.5257   0.05128   0.04390  -0.0086   1.0000   0.1915
  -6.250  -0.3476   0.07134   0.06463   0.0130   1.0000   0.5833
  -6.500  -0.3792   0.07453   0.06784   0.0102   1.0000   0.5245
  -6.750  -0.4073   0.07749   0.07083   0.0067   1.0000   0.4696
  -7.000  -0.4333   0.08121   0.07458   0.0042   1.0000   0.4335
  -7.250  -0.4498   0.08450   0.07785   0.0015   1.0000   0.4022
  -7.250  -0.4498   0.08450   0.07785   0.0015   1.0000   0.4022
  -7.350  -0.4285   0.08419   0.07744   0.0005   1.0000   0.3920
  -7.450  -0.4340   0.08567   0.07890  -0.0002   1.0000   0.3830
  -7.750  -0.4533   0.08999   0.08319  -0.0026   1.0000   0.3536
  -8.000  -0.4418   0.09206   0.08514  -0.0036   1.0000   0.3338
  -8.250  -0.4471   0.09500   0.08804  -0.0050   1.0000   0.3120
  -8.500  -0.4516   0.09811   0.09112  -0.0058   1.0000   0.2956
  -8.750  -0.4508   0.10117   0.09410  -0.0060   1.0000   0.2818
  -9.000  -0.4555   0.10468   0.09756  -0.0062   1.0000   0.2709
  -9.250  -0.4769   0.10957   0.10247  -0.0075   1.0000   0.2585
  -9.500  -0.4616   0.11101   0.10379  -0.0063   1.0000   0.2479
  -9.750  -0.4640   0.11458   0.10731  -0.0059   1.0000   0.2395
 -10.000  -0.4871   0.11994   0.11269  -0.0074   1.0000   0.2270
 -10.250  -0.4669   0.12073   0.11335  -0.0050   1.0000   0.2203
 -10.500  -0.4838   0.12568   0.11830  -0.0059   1.0000   0.2105
 -10.750  -0.4747   0.12736   0.11990  -0.0042   1.0000   0.2019
 -11.000  -0.4959   0.13321   0.12579  -0.0052   1.0000   0.1953
