  
       XFOIL         Version 6.99
  
 Calculated polar for: MA409 (original)                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2813   0.02040   0.00956  -0.0648   1.0000   1.0000
   0.250   0.3046   0.02086   0.00997  -0.0647   1.0000   1.0000
   0.500   0.3275   0.02136   0.01044  -0.0647   1.0000   1.0000
   0.750   0.3500   0.02192   0.01101  -0.0646   1.0000   1.0000
   1.000   0.3718   0.02256   0.01167  -0.0647   1.0000   1.0000
   1.250   0.3928   0.02329   0.01245  -0.0648   1.0000   1.0000
   1.500   0.4124   0.02419   0.01342  -0.0650   1.0000   1.0000
   1.750   0.4301   0.02530   0.01463  -0.0654   1.0000   1.0000
   2.000   0.4806   0.02677   0.01631  -0.0720   0.9839   1.0000
   2.250   0.5427   0.02801   0.01778  -0.0802   0.9577   1.0000
   2.500   0.5990   0.02890   0.01895  -0.0866   0.9308   1.0000
   2.750   0.6589   0.02924   0.01968  -0.0925   0.9015   1.0000
   3.000   0.7097   0.02895   0.01975  -0.0955   0.8663   1.0000
   3.250   0.7708   0.02780   0.01905  -0.0987   0.8344   1.0000
   3.500   0.8228   0.02660   0.01838  -0.1000   0.8050   1.0000
   3.750   0.8682   0.02543   0.01766  -0.0996   0.7716   1.0000
   4.000   0.9113   0.02292   0.01539  -0.0950   0.7114   1.0000
   4.250   0.9159   0.02235   0.01496  -0.0883   0.6319   1.0000
   4.500   0.9408   0.02190   0.01373  -0.0826   0.5279   1.0000
   4.750   0.9409   0.02290   0.01432  -0.0765   0.3848   1.0000
   5.000   0.9341   0.02733   0.01645  -0.0710   0.1513   1.0000
   5.250   0.9526   0.02998   0.01872  -0.0690   0.1127   1.0000
   5.500   0.9787   0.03241   0.02103  -0.0678   0.0985   1.0000
   5.750   1.0111   0.03495   0.02376  -0.0671   0.0904   1.0000
   6.000   1.0408   0.03798   0.02688  -0.0667   0.0836   1.0000
   6.250   1.0668   0.04086   0.03016  -0.0656   0.0787   1.0000
   6.500   1.0912   0.04443   0.03428  -0.0644   0.0776   1.0000
   6.750   1.1104   0.04847   0.03890  -0.0626   0.0782   1.0000
   7.000   1.1239   0.05289   0.04394  -0.0605   0.0798   1.0000
   7.250   1.1334   0.05758   0.04916  -0.0583   0.0818   1.0000
   7.500   1.1405   0.06247   0.05445  -0.0564   0.0839   1.0000
   7.750   1.1549   0.06830   0.06037  -0.0556   0.0862   1.0000
   8.000   1.1259   0.07281   0.06596  -0.0516   0.0910   1.0000
   8.250   1.1112   0.07835   0.07184  -0.0500   0.0943   1.0000
   8.500   1.1254   0.08449   0.07799  -0.0496   0.0995   1.0000
   8.750   1.0829   0.08883   0.08271  -0.0481   0.1011   1.0000
   9.000   1.0457   0.09466   0.08869  -0.0493   0.1024   1.0000
   9.250   1.0107   0.10283   0.09691  -0.0548   0.1045   1.0000
   9.500   0.9949   0.11138   0.10543  -0.0598   0.1095   1.0000
   9.500   0.9208   0.09624   0.09048  -0.0355   0.0992   1.0000
   9.600   0.9022   0.09907   0.09335  -0.0372   0.0994   1.0000
   9.700   0.8794   0.10276   0.09698  -0.0401   0.0998   1.0000
  10.000   0.8135   0.11836   0.11248  -0.0523   0.1070   1.0000
  10.250   0.9234   0.15055   0.14431  -0.0936   0.2382   1.0000
  10.500   0.9341   0.15585   0.14962  -0.0938   0.2356   1.0000
  10.750   0.9231   0.15972   0.15341  -0.0964   0.2302   1.0000
  11.000   0.9266   0.16401   0.15770  -0.0974   0.2248   1.0000
  11.250   0.9463   0.17023   0.16396  -0.0965   0.2213   1.0000
  11.500   0.9287   0.17249   0.16611  -0.1002   0.2148   1.0000
  11.750   0.9407   0.17735   0.17100  -0.1003   0.2092   1.0000
  12.000   0.9422   0.18174   0.17535  -0.1019   0.2053   1.0000
  12.250   0.9413   0.18480   0.17838  -0.1038   0.1979   1.0000
  12.500   0.9655   0.19236   0.18598  -0.1023   0.1932   1.0000
  12.750   0.9484   0.19264   0.18617  -0.1068   0.1877   1.0000
  13.000   0.9616   0.19760   0.19122  -0.1068   0.1814   1.0000
  13.250   0.9671   0.20223   0.19582  -0.1083   0.1782   1.0000
  13.500   0.9642   0.20410   0.19765  -0.1112   0.1717   1.0000
  13.750   0.9895   0.21273   0.20633  -0.1094   0.1655   1.0000
  14.000   0.9770   0.21207   0.20559  -0.1141   0.1621   1.0000
  14.250   0.9852   0.21576   0.20929  -0.1152   0.1551   1.0000
  14.500   0.9971   0.22162   0.21514  -0.1156   0.1511   1.0000
  14.750   0.9945   0.22258   0.21606  -0.1193   0.1461   1.0000
  15.000   1.0096   0.22825   0.22178  -0.1189   0.1398   1.0000
  15.250   1.0166   0.23290   0.22639  -0.1207   0.1377   1.0000
  15.500   1.0150   0.23357   0.22702  -0.1247   0.1337   1.0000
  15.750   1.0234   0.23727   0.23073  -0.1262   0.1289   1.0000
  16.000   1.0468   0.24812   0.24163  -0.1241   0.1251   1.0000
  16.250   1.0402   0.24600   0.23944  -0.1293   0.1237   1.0000
  16.500   1.0435   0.24774   0.24116  -0.1326   0.1196   1.0000
  16.750   1.0525   0.25154   0.24497  -0.1340   0.1155   1.0000
  17.000   1.0753   0.26353   0.25701  -0.1316   0.1120   1.0000
  17.250   1.0709   0.26095   0.25437  -0.1368   0.1110   1.0000
  17.500   1.0738   0.26184   0.25523  -0.1407   0.1078   1.0000
  17.750   1.0816   0.26505   0.25852  -0.1427   0.1040   1.0000
  18.000   1.0933   0.27036   0.26386  -0.1431   0.1006   1.0000
  18.250   1.1070   0.27897   0.27248  -0.1431   0.0988   1.0000
  18.500   1.1069   0.27707   0.27053  -0.1481   0.0976   1.0000
  18.750   1.1122   0.27867   0.27212  -0.1515   0.0947   1.0000
  19.000   1.1201   0.28180   0.27526  -0.1536   0.0914   1.0000
  19.250   1.1300   0.28613   0.27961  -0.1547   0.0883   1.0000
  19.500   1.1464   0.29803   0.29154  -0.1533   0.0860   1.0000
  19.750   1.1469   0.29507   0.28855  -0.1583   0.0852   1.0000
  20.000   1.1515   0.29532   0.28878  -0.1624   0.0829   1.0000
   0.000   0.2813   0.02040   0.00956  -0.0648   1.0000   1.0000
  -0.250   0.2577   0.01998   0.00923  -0.0649   1.0000   1.0000
  -0.500   0.2339   0.01959   0.00895  -0.0649   1.0000   1.0000
  -0.750   0.2097   0.01922   0.00875  -0.0650   1.0000   1.0000
  -1.000   0.1853   0.01888   0.00860  -0.0651   1.0000   1.0000
  -1.250   0.1606   0.01857   0.00852  -0.0652   1.0000   1.0000
  -1.500   0.1354   0.01827   0.00854  -0.0652   1.0000   1.0000
  -1.750   0.1091   0.01800   0.00874  -0.0650   1.0000   1.0000
  -2.000   0.0960   0.01850   0.00936  -0.0679   1.0000   0.6892
  -2.250   0.0691   0.02108   0.01027  -0.0694   1.0000   0.4044
  -2.500   0.0388   0.02205   0.01101  -0.0691   1.0000   0.3342
  -2.750   0.0094   0.02281   0.01184  -0.0689   1.0000   0.3005
  -3.000  -0.0180   0.02350   0.01265  -0.0689   1.0000   0.2755
  -3.250  -0.0466   0.02440   0.01375  -0.0687   1.0000   0.2608
  -3.500  -0.0755   0.02552   0.01511  -0.0683   1.0000   0.2512
  -3.750  -0.1048   0.02682   0.01676  -0.0678   1.0000   0.2428
  -4.000  -0.1330   0.02810   0.01834  -0.0673   1.0000   0.2292
  -4.250  -0.1646   0.03022   0.02102  -0.0660   1.0000   0.2228
  -4.500  -0.1945   0.03258   0.02380  -0.0650   1.0000   0.2133
  -4.750  -0.2253   0.03534   0.02711  -0.0631   1.0000   0.1894
  -5.000  -0.2533   0.03858   0.03072  -0.0615   1.0000   0.1642
  -5.250  -0.2824   0.04302   0.03555  -0.0589   1.0000   0.1536
  -5.250  -0.3322   0.05349   0.04714  -0.0385   1.0000   0.2462
  -5.350  -0.3282   0.05274   0.04626  -0.0435   1.0000   0.2159
  -5.450  -0.3253   0.05251   0.04584  -0.0479   1.0000   0.1973
  -6.000  -0.4062   0.07029   0.06445  -0.0122   1.0000   0.3270
  -6.250  -0.4091   0.07303   0.06714  -0.0129   1.0000   0.3030
  -6.500  -0.4168   0.07656   0.07062  -0.0180   1.0000   0.2826
  -6.500  -0.4168   0.07656   0.07062  -0.0180   1.0000   0.2826
  -6.600  -0.4140   0.07700   0.07102  -0.0146   1.0000   0.2750
  -6.700  -0.4194   0.07862   0.07265  -0.0172   1.0000   0.2694
  -7.000  -0.4260   0.08271   0.07667  -0.0189   1.0000   0.2545
  -7.000  -0.4260   0.08271   0.07667  -0.0189   1.0000   0.2545
  -7.100  -0.4204   0.08303   0.07693  -0.0157   1.0000   0.2502
  -7.200  -0.4212   0.08399   0.07787  -0.0157   1.0000   0.2446
  -7.500  -0.4218   0.08736   0.08113  -0.0156   1.0000   0.2328
  -7.750  -0.4286   0.09108   0.08481  -0.0172   1.0000   0.2244
  -8.000  -0.4318   0.09387   0.08759  -0.0178   1.0000   0.2137
  -8.250  -0.4234   0.09584   0.08941  -0.0168   1.0000   0.2081
  -8.500  -0.4411   0.10112   0.09471  -0.0194   1.0000   0.1979
  -8.750  -0.4207   0.10101   0.09440  -0.0182   1.0000   0.1943
  -9.000  -0.4384   0.10633   0.09974  -0.0199   1.0000   0.1838
  -9.250  -0.4222   0.10654   0.09978  -0.0184   1.0000   0.1801
  -9.500  -0.4393   0.11194   0.10520  -0.0201   1.0000   0.1698
  -9.750  -0.4267   0.11237   0.10548  -0.0180   1.0000   0.1660
 -10.000  -0.4506   0.11927   0.11244  -0.0205   1.0000   0.1561
 -10.250  -0.4369   0.11924   0.11226  -0.0177   1.0000   0.1542
 -10.500  -0.4356   0.12129   0.11425  -0.0164   1.0000   0.1486
 -10.750  -0.4635   0.12972   0.12275  -0.0191   1.0000   0.1422
 -11.000  -0.4514   0.12957   0.12247  -0.0161   1.0000   0.1410
 -11.250  -0.4473   0.13090   0.12373  -0.0141   1.0000   0.1370
 -11.500  -0.4537   0.13425   0.12706  -0.0136   1.0000   0.1320
 -11.750  -0.4755   0.14221   0.13506  -0.0153   1.0000   0.1281
 -12.000  -0.4667   0.14219   0.13494  -0.0125   1.0000   0.1269
 -12.250  -0.4652   0.14379   0.13649  -0.0106   1.0000   0.1234
 -12.500  -0.4708   0.14696   0.13964  -0.0098   1.0000   0.1193
 -12.750  -0.5001   0.15749   0.15029  -0.0122   1.0000   0.1145
 -13.000  -0.4921   0.15716   0.14988  -0.0095   1.0000   0.1140
 -13.250  -0.4879   0.15757   0.15022  -0.0070   1.0000   0.1123
 -13.500  -0.4907   0.15986   0.15249  -0.0054   1.0000   0.1087
 -13.750  -0.4978   0.16329   0.15591  -0.0047   1.0000   0.1048
 -14.000  -0.5208   0.17302   0.16567  -0.0062   1.0000   0.1008
 -14.250  -0.5158   0.17259   0.16518  -0.0035   1.0000   0.1002
 -14.500  -0.5153   0.17335   0.16589  -0.0012   1.0000   0.0981
 -14.750  -0.5202   0.17590   0.16842   0.0004   1.0000   0.0947
 -15.000  -0.5276   0.17929   0.17181   0.0014   1.0000   0.0914
 -15.250  -0.5396   0.18462   0.17715   0.0015   1.0000   0.0886
 -15.500  -0.5563   0.19338   0.18591   0.0013   1.0000   0.0871
 -15.750  -0.5545   0.19293   0.18541   0.0039   1.0000   0.0867
 -16.000  -0.5562   0.19345   0.18589   0.0064   1.0000   0.0855
 -16.250  -0.5612   0.19548   0.18791   0.0084   1.0000   0.0835
 -16.500  -0.5681   0.19835   0.19076   0.0100   1.0000   0.0812
 -16.750  -0.5758   0.20154   0.19395   0.0114   1.0000   0.0790
 -17.000  -0.5843   0.20513   0.19754   0.0126   1.0000   0.0769
 -17.250  -0.5952   0.21030   0.20273   0.0131   1.0000   0.0749
 -17.500  -0.6157   0.22302   0.21553   0.0124   1.0000   0.0734
 -17.750  -0.6158   0.22173   0.21419   0.0151   1.0000   0.0731
 -18.000  -0.6182   0.22116   0.21358   0.0179   1.0000   0.0726
 -18.250  -0.6233   0.22190   0.21430   0.0205   1.0000   0.0715
 -18.500  -0.6304   0.22404   0.21643   0.0227   1.0000   0.0698
 -18.750  -0.6382   0.22682   0.21921   0.0246   1.0000   0.0680
 -19.000  -0.6465   0.22986   0.22224   0.0263   1.0000   0.0662
 -19.250  -0.6550   0.23308   0.22547   0.0279   1.0000   0.0645
 -19.500  -0.6640   0.23674   0.22913   0.0293   1.0000   0.0628
 -19.750  -0.6750   0.24265   0.23506   0.0299   1.0000   0.0611
 -20.000  -0.6916   0.25565   0.24807   0.0297   1.0000   0.0599
