  
       XFOIL         Version 6.99
  
 Calculated polar for: MA409 (smoothed)                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2029   0.01849   0.00810  -0.0675   1.0000   1.0000
   0.250   0.2268   0.01887   0.00831  -0.0674   1.0000   1.0000
   0.500   0.2501   0.01929   0.00860  -0.0673   1.0000   1.0000
   0.750   0.2731   0.01976   0.00896  -0.0672   1.0000   1.0000
   1.000   0.2955   0.02027   0.00940  -0.0672   1.0000   1.0000
   1.250   0.3175   0.02085   0.00992  -0.0671   1.0000   1.0000
   1.500   0.3389   0.02148   0.01053  -0.0671   1.0000   1.0000
   1.750   0.3598   0.02219   0.01123  -0.0672   1.0000   1.0000
   2.000   0.3800   0.02298   0.01203  -0.0673   1.0000   1.0000
   2.250   0.3995   0.02387   0.01297  -0.0674   1.0000   1.0000
   2.500   0.4181   0.02486   0.01401  -0.0676   1.0000   1.0000
   2.750   0.4359   0.02597   0.01519  -0.0679   1.0000   1.0000
   3.000   0.4771   0.02734   0.01669  -0.0728   0.9876   1.0000
   3.250   0.5384   0.02858   0.01817  -0.0806   0.9625   1.0000
   3.500   0.5956   0.02947   0.01930  -0.0871   0.9363   1.0000
   3.750   0.6498   0.03002   0.02014  -0.0923   0.9090   1.0000
   4.000   0.7019   0.03022   0.02072  -0.0964   0.8807   1.0000
   4.250   0.7538   0.03002   0.02089  -0.0995   0.8519   1.0000
   4.500   0.8081   0.02925   0.02062  -0.1019   0.8228   1.0000
   4.750   0.8603   0.02796   0.01981  -0.1028   0.7929   1.0000
   5.000   0.9021   0.02672   0.01900  -0.1014   0.7572   1.0000
   5.250   0.9433   0.02353   0.01606  -0.0957   0.6953   1.0000
   5.500   0.9612   0.02211   0.01453  -0.0884   0.6076   1.0000
   5.750   0.9687   0.02227   0.01426  -0.0815   0.4856   1.0000
   6.000   0.9556   0.02577   0.01556  -0.0734   0.2304   1.0000
   6.250   0.9704   0.02917   0.01807  -0.0709   0.1515   1.0000
   6.500   0.9980   0.03182   0.02054  -0.0698   0.1258   1.0000
   6.750   1.0278   0.03450   0.02310  -0.0693   0.1096   1.0000
   7.000   1.0588   0.03749   0.02641  -0.0687   0.1010   1.0000
   7.250   1.0882   0.04088   0.03003  -0.0680   0.0969   1.0000
   7.500   1.1127   0.04495   0.03437  -0.0671   0.0941   1.0000
   7.750   1.1287   0.04830   0.03845  -0.0648   0.0917   1.0000
   8.000   1.1422   0.05222   0.04297  -0.0626   0.0905   1.0000
   8.250   1.1535   0.05678   0.04803  -0.0605   0.0918   1.0000
   8.500   1.1638   0.06178   0.05339  -0.0588   0.0936   1.0000
   8.750   1.1591   0.06642   0.05884  -0.0557   0.0975   1.0000
   9.000   1.1454   0.07216   0.06518  -0.0533   0.1021   1.0000
   9.250   1.1437   0.07780   0.07102  -0.0520   0.1059   1.0000
   9.500   1.1211   0.08315   0.07679  -0.0505   0.1106   1.0000
   9.750   1.0859   0.08866   0.08253  -0.0499   0.1133   1.0000
  10.000   1.0578   0.09482   0.08877  -0.0512   0.1161   1.0000
  10.250   1.0456   0.10174   0.09577  -0.0535   0.1228   1.0000
  10.500   0.9971   0.11427   0.10823  -0.0657   0.1283   1.0000
  10.750   0.8381   0.11314   0.10723  -0.0515   0.1317   1.0000
  10.750   0.8381   0.11314   0.10723  -0.0515   0.1317   1.0000
  10.850   0.8425   0.11494   0.10904  -0.0510   0.1333   1.0000
  10.950   0.8504   0.11643   0.11060  -0.0499   0.1342   1.0000
  11.000   0.9256   0.14665   0.14032  -0.0974   0.2765   1.0000
  11.100   0.9276   0.14863   0.14231  -0.0977   0.2754   1.0000
  11.200   0.9319   0.15074   0.14443  -0.0978   0.2740   1.0000
  11.500   0.9259   0.15580   0.14943  -0.0996   0.2667   1.0000
  11.750   0.9502   0.16199   0.15568  -0.0980   0.2576   1.0000
  12.000   0.9305   0.16410   0.15770  -0.1011   0.2497   1.0000
  12.250   0.9404   0.16907   0.16267  -0.1011   0.2420   1.0000
  12.500   0.9444   0.17285   0.16646  -0.1017   0.2322   1.0000
  12.750   0.9433   0.17693   0.17049  -0.1035   0.2271   1.0000
  13.000   0.9493   0.18089   0.17450  -0.1042   0.2189   1.0000
  13.250   0.9541   0.18556   0.17915  -0.1054   0.2144   1.0000
  13.500   0.9546   0.18852   0.18210  -0.1070   0.2062   1.0000
  13.750   0.9678   0.19443   0.18801  -0.1072   0.2015   1.0000
  14.000   0.9617   0.19606   0.18960  -0.1099   0.1941   1.0000
