  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 200  12.97%                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1326   0.02856   0.01868  -0.0007   1.0000   1.0000
   0.250  -0.1297   0.02836   0.01840   0.0018   1.0000   1.0000
   0.500  -0.1234   0.02829   0.01822   0.0036   1.0000   1.0000
   0.750  -0.1127   0.02839   0.01822   0.0046   1.0000   1.0000
   1.000  -0.0985   0.02865   0.01838   0.0051   1.0000   1.0000
   1.250  -0.0822   0.02904   0.01866   0.0051   1.0000   1.0000
   1.500  -0.0644   0.02954   0.01906   0.0048   1.0000   1.0000
   1.750  -0.0460   0.03013   0.01958   0.0044   1.0000   1.0000
   2.000  -0.0272   0.03081   0.02018   0.0039   1.0000   1.0000
   2.250  -0.0083   0.03156   0.02086   0.0033   1.0000   1.0000
   2.500   0.0283   0.03315   0.02239  -0.0006   0.9916   1.0000
   2.750   0.0894   0.03557   0.02477  -0.0089   0.9662   1.0000
   3.000   0.1348   0.03721   0.02639  -0.0139   0.9462   1.0000
   3.250   0.1799   0.03879   0.02798  -0.0186   0.9256   1.0000
   3.500   0.2156   0.03998   0.02920  -0.0216   0.9060   1.0000
   3.750   0.2612   0.04142   0.03068  -0.0258   0.8860   1.0000
   4.000   0.2931   0.04245   0.03176  -0.0278   0.8655   1.0000
   4.250   0.3312   0.04354   0.03294  -0.0304   0.8450   1.0000
   4.500   0.3713   0.04457   0.03406  -0.0331   0.8244   1.0000
   4.750   0.4034   0.04538   0.03497  -0.0345   0.8027   1.0000
   5.000   0.4493   0.04611   0.03586  -0.0373   0.7823   1.0000
   5.250   0.4757   0.04675   0.03662  -0.0376   0.7598   1.0000
   5.250   0.4757   0.04675   0.03662  -0.0376   0.7598   1.0000
   5.350   0.4956   0.04689   0.03683  -0.0387   0.7519   1.0000
   5.450   0.5089   0.04705   0.03705  -0.0390   0.7428   1.0000
   5.750   0.5493   0.04744   0.03766  -0.0397   0.7161   1.0000
   6.000   0.6003   0.04696   0.03740  -0.0415   0.6960   1.0000
   6.250   0.6284   0.04696   0.03759  -0.0409   0.6718   1.0000
   6.500   0.6675   0.04628   0.03716  -0.0409   0.6491   1.0000
   6.750   0.7217   0.04422   0.03542  -0.0412   0.6277   1.0000
   7.000   0.7637   0.04236   0.03384  -0.0401   0.6034   1.0000
   7.250   0.8518   0.03657   0.02856  -0.0408   0.5799   1.0000
   7.500   0.9407   0.03124   0.02355  -0.0425   0.5385   1.0000
   7.750   0.9821   0.02991   0.02215  -0.0413   0.4875   1.0000
   8.000   1.0130   0.02997   0.02192  -0.0399   0.4356   1.0000
   8.250   1.0327   0.03093   0.02264  -0.0378   0.3892   1.0000
   8.500   1.0502   0.03219   0.02365  -0.0358   0.3464   1.0000
   8.750   1.0677   0.03367   0.02490  -0.0340   0.3066   1.0000
   9.000   1.0809   0.03539   0.02651  -0.0318   0.2718   1.0000
   9.250   1.0996   0.03731   0.02821  -0.0304   0.2389   1.0000
   9.500   1.1135   0.03934   0.03018  -0.0286   0.2114   1.0000
   9.750   1.1291   0.04182   0.03272  -0.0270   0.1892   1.0000
  10.000   1.1449   0.04408   0.03497  -0.0256   0.1696   1.0000
  10.250   1.1631   0.04699   0.03800  -0.0246   0.1549   1.0000
  10.500   1.1699   0.04982   0.04119  -0.0223   0.1438   1.0000
  10.750   1.1770   0.05293   0.04454  -0.0203   0.1349   1.0000
  11.000   1.1995   0.05668   0.04824  -0.0202   0.1255   1.0000
  11.250   1.1835   0.05994   0.05209  -0.0159   0.1232   1.0000
  11.500   1.1661   0.06327   0.05583  -0.0120   0.1211   1.0000
  11.750   1.1478   0.06669   0.05955  -0.0086   0.1191   1.0000
  12.000   1.1291   0.07041   0.06353  -0.0060   0.1175   1.0000
  12.250   1.1001   0.07508   0.06848  -0.0041   0.1184   1.0000
  12.500   1.0676   0.08066   0.07429  -0.0036   0.1204   1.0000
  12.750   1.0368   0.08694   0.08074  -0.0044   0.1223   1.0000
  13.000   1.0084   0.09393   0.08784  -0.0063   0.1239   1.0000
  13.250   0.9841   0.10142   0.09539  -0.0090   0.1251   1.0000
  13.250   0.9797   0.10193   0.09593  -0.0095   0.1261   1.0000
  13.350   0.9740   0.10473   0.09874  -0.0104   0.1257   1.0000
