  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 30  7.84%                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0285   0.01697   0.00646  -0.0172   1.0000   1.0000
   0.250   0.0480   0.01726   0.00659  -0.0165   1.0000   1.0000
   0.500   0.0673   0.01759   0.00682  -0.0158   1.0000   1.0000
   0.750   0.0863   0.01796   0.00711  -0.0153   1.0000   1.0000
   1.000   0.1050   0.01839   0.00748  -0.0147   1.0000   1.0000
   1.250   0.1233   0.01887   0.00791  -0.0143   1.0000   1.0000
   1.500   0.1411   0.01941   0.00843  -0.0139   1.0000   1.0000
   1.750   0.1584   0.02001   0.00902  -0.0135   1.0000   1.0000
   2.000   0.1752   0.02069   0.00970  -0.0133   1.0000   1.0000
   2.250   0.1914   0.02146   0.01049  -0.0132   1.0000   1.0000
   2.500   0.2458   0.02290   0.01202  -0.0203   0.9825   1.0000
   2.750   0.3143   0.02425   0.01357  -0.0294   0.9554   1.0000
   3.000   0.3755   0.02515   0.01468  -0.0365   0.9260   1.0000
   3.250   0.4344   0.02571   0.01550  -0.0423   0.8951   1.0000
   3.500   0.4984   0.02581   0.01600  -0.0481   0.8635   1.0000
   3.750   0.5640   0.02533   0.01591  -0.0528   0.8310   1.0000
   4.000   0.6130   0.02462   0.01560  -0.0538   0.7956   1.0000
   4.250   0.6552   0.02371   0.01499  -0.0529   0.7578   1.0000
   4.500   0.6908   0.02279   0.01427  -0.0506   0.7160   1.0000
   4.750   0.7219   0.02201   0.01357  -0.0473   0.6693   1.0000
   5.000   0.7463   0.02182   0.01341  -0.0438   0.6146   1.0000
   5.250   0.7672   0.02214   0.01361  -0.0404   0.5536   1.0000
   5.500   0.7877   0.02274   0.01393  -0.0372   0.4913   1.0000
   5.750   0.8059   0.02367   0.01464  -0.0344   0.4270   1.0000
   6.000   0.8239   0.02488   0.01555  -0.0318   0.3644   1.0000
   6.250   0.8413   0.02633   0.01672  -0.0294   0.3045   1.0000
   6.500   0.8585   0.02805   0.01813  -0.0272   0.2486   1.0000
   6.750   0.8768   0.03020   0.02010  -0.0252   0.2011   1.0000
   7.000   0.8973   0.03265   0.02237  -0.0237   0.1647   1.0000
   7.250   0.9169   0.03518   0.02492  -0.0222   0.1380   1.0000
   7.500   0.9369   0.03840   0.02857  -0.0206   0.1224   1.0000
   7.750   0.9574   0.04207   0.03239  -0.0194   0.1115   1.0000
   8.000   0.9714   0.04500   0.03579  -0.0176   0.1005   1.0000
   8.250   0.9819   0.04954   0.04087  -0.0158   0.0971   1.0000
   8.500   0.9864   0.05443   0.04640  -0.0138   0.0960   1.0000
   8.750   0.9866   0.05948   0.05196  -0.0121   0.0961   1.0000
   9.000   0.9826   0.06454   0.05743  -0.0108   0.0965   1.0000
   9.250   0.9749   0.06963   0.06283  -0.0097   0.0970   1.0000
   9.500   0.9653   0.07472   0.06813  -0.0091   0.0976   1.0000
   9.750   0.9540   0.07985   0.07340  -0.0088   0.0982   1.0000
  10.000   0.9428   0.08493   0.07857  -0.0086   0.0986   1.0000
  10.250   0.8861   0.09297   0.08675  -0.0143   0.1106   1.0000
  10.250   0.8861   0.09296   0.08674  -0.0143   0.1106   1.0000
  10.350   0.8907   0.09530   0.08908  -0.0141   0.1115   1.0000
  10.750   0.8130   0.11937   0.11287  -0.0379   0.1617   1.0000
  11.000   0.7894   0.13615   0.12947  -0.0533   0.2735   1.0000
  11.250   0.7706   0.13896   0.13217  -0.0560   0.2676   1.0000
  11.500   0.7872   0.14481   0.13806  -0.0557   0.2588   1.0000
  11.750   0.7944   0.14925   0.14251  -0.0558   0.2455   1.0000
  12.000   0.7829   0.15165   0.14485  -0.0580   0.2360   1.0000
  12.250   0.7845   0.15594   0.14912  -0.0592   0.2283   1.0000
  12.500   0.8045   0.16200   0.15532  -0.0585   0.2194   1.0000
  12.750   0.7919   0.16438   0.15760  -0.0616   0.2150   1.0000
  13.000   0.8120   0.17068   0.16397  -0.0609   0.2059   1.0000
  13.250   0.8016   0.17283   0.16604  -0.0640   0.2024   1.0000
  13.500   0.8221   0.17952   0.17277  -0.0632   0.1915   1.0000
  13.750   0.8086   0.18030   0.17347  -0.0668   0.1870   1.0000
  14.000   0.8247   0.18621   0.17941  -0.0666   0.1774   1.0000
  14.250   0.8193   0.18779   0.18094  -0.0695   0.1709   1.0000
  14.500   0.8428   0.19580   0.18899  -0.0685   0.1646   1.0000
  14.750   0.8318   0.19584   0.18895  -0.0725   0.1612   1.0000
  15.000   0.8403   0.19976   0.19288  -0.0736   0.1545   1.0000
  15.250   0.8550   0.20641   0.19954  -0.0739   0.1509   1.0000
  15.500   0.8498   0.20700   0.20007  -0.0776   0.1467   1.0000
  15.750   0.8601   0.21122   0.20431  -0.0785   0.1408   1.0000
  16.000   0.8708   0.21676   0.20983  -0.0795   0.1373   1.0000
  16.250   0.8698   0.21785   0.21088  -0.0828   0.1324   1.0000
  16.500   0.8948   0.22779   0.22088  -0.0811   0.1249   1.0000
  16.750   0.8886   0.22669   0.21971  -0.0854   0.1235   1.0000
  17.000   0.8913   0.22850   0.22149  -0.0882   0.1183   1.0000
  17.250   0.9046   0.23371   0.22674  -0.0886   0.1134   1.0000
  17.500   0.9166   0.24022   0.23324  -0.0895   0.1114   1.0000
  17.750   0.9149   0.23985   0.23281  -0.0936   0.1091   1.0000
  18.000   0.9211   0.24256   0.23551  -0.0960   0.1054   1.0000
  18.250   0.9311   0.24665   0.23970  -0.0972   0.1015   1.0000
  18.500   0.9514   0.25751   0.25060  -0.0962   0.0987   1.0000
  18.750   0.9492   0.25577   0.24879  -0.1004   0.0978   1.0000
  19.000   0.9524   0.25668   0.24968  -0.1039   0.0952   1.0000
  19.250   0.9598   0.25967   0.25267  -0.1061   0.0918   1.0000
  19.500   0.9694   0.26357   0.25658  -0.1075   0.0888   1.0000
  19.750   0.9917   0.27739   0.27047  -0.1057   0.0859   1.0000
  20.000   0.9911   0.27515   0.26817  -0.1098   0.0854   1.0000
   0.000   0.0285   0.01697   0.00646  -0.0172   1.0000   1.0000
  -0.250   0.0088   0.01672   0.00635  -0.0179   1.0000   1.0000
  -0.500  -0.0109   0.01651   0.00630  -0.0187   1.0000   1.0000
  -0.750  -0.0306   0.01633   0.00631  -0.0195   1.0000   1.0000
  -1.000  -0.0503   0.01618   0.00637  -0.0204   1.0000   1.0000
  -1.250  -0.0696   0.01606   0.00655  -0.0214   1.0000   1.0000
  -1.500  -0.0885   0.01598   0.00675  -0.0224   1.0000   1.0000
  -1.750  -0.1067   0.01593   0.00701  -0.0236   1.0000   1.0000
  -2.000  -0.1235   0.01593   0.00736  -0.0249   1.0000   1.0000
  -2.250  -0.1378   0.01599   0.00781  -0.0265   1.0000   1.0000
  -2.500  -0.1459   0.01617   0.00838  -0.0288   1.0000   1.0000
  -2.500  -0.1459   0.01617   0.00838  -0.0288   1.0000   1.0000
  -2.600  -0.1455   0.01631   0.00872  -0.0301   1.0000   1.0000
  -2.700  -0.1415   0.01652   0.00903  -0.0317   1.0000   1.0000
  -3.000  -0.2481   0.01900   0.00984  -0.0270   1.0000   0.3776
  -3.250  -0.2680   0.02173   0.01140  -0.0290   1.0000   0.2013
  -3.500  -0.2930   0.02390   0.01339  -0.0304   1.0000   0.1541
  -3.750  -0.3162   0.02583   0.01536  -0.0318   1.0000   0.1266
  -4.000  -0.3401   0.02822   0.01792  -0.0332   1.0000   0.1150
  -4.250  -0.3615   0.03049   0.02038  -0.0343   1.0000   0.1029
  -4.500  -0.3844   0.03323   0.02382  -0.0357   1.0000   0.1007
  -4.750  -0.4053   0.03654   0.02760  -0.0369   1.0000   0.1013
  -5.000  -0.4241   0.04015   0.03149  -0.0379   1.0000   0.1027
  -5.250  -0.4415   0.04470   0.03711  -0.0380   1.0000   0.1114
  -5.500  -0.4561   0.04878   0.04141  -0.0386   1.0000   0.1147
  -5.750  -0.4689   0.05543   0.04874  -0.0361   1.0000   0.1406
  -5.750  -0.4690   0.05543   0.04874  -0.0361   1.0000   0.1406
  -5.850  -0.4750   0.05721   0.05045  -0.0369   1.0000   0.1427
  -6.000  -0.4526   0.07291   0.06694   0.0014   1.0000   0.3808
  -6.200  -0.4541   0.07533   0.06930   0.0005   1.0000   0.3672
  -6.500  -0.4714   0.08026   0.07425  -0.0018   1.0000   0.3492
  -6.750  -0.4576   0.08211   0.07593  -0.0023   1.0000   0.3313
  -7.000  -0.4564   0.08486   0.07858  -0.0034   1.0000   0.3139
  -7.250  -0.4598   0.08788   0.08154  -0.0043   1.0000   0.2988
  -7.500  -0.4823   0.09278   0.08644  -0.0064   1.0000   0.2797
  -7.750  -0.4745   0.09502   0.08855  -0.0064   1.0000   0.2649
  -8.000  -0.4820   0.09862   0.09211  -0.0070   1.0000   0.2519
  -8.250  -0.4935   0.10270   0.09616  -0.0079   1.0000   0.2388
  -8.500  -0.4777   0.10385   0.09716  -0.0059   1.0000   0.2286
  -8.750  -0.4781   0.10708   0.10031  -0.0051   1.0000   0.2208
  -9.000  -0.4989   0.11254   0.10579  -0.0065   1.0000   0.2112
  -9.250  -0.4843   0.11353   0.10666  -0.0039   1.0000   0.2040
  -9.500  -0.4976   0.11836   0.11147  -0.0043   1.0000   0.1967
  -9.750  -0.4938   0.12052   0.11355  -0.0027   1.0000   0.1882
 -10.000  -0.5044   0.12513   0.11814  -0.0027   1.0000   0.1829
 -10.250  -0.5006   0.12716   0.12011  -0.0009   1.0000   0.1755
 -10.500  -0.5162   0.13269   0.12562  -0.0013   1.0000   0.1698
 -10.750  -0.5079   0.13405   0.12689   0.0012   1.0000   0.1638
 -11.000  -0.5341   0.14144   0.13433  -0.0006   1.0000   0.1568
 -11.250  -0.5201   0.14155   0.13433   0.0029   1.0000   0.1542
 -11.500  -0.5230   0.14437   0.13712   0.0043   1.0000   0.1483
 -11.750  -0.5448   0.15146   0.14430   0.0032   1.0000   0.1430
 -12.000  -0.5345   0.15175   0.14450   0.0064   1.0000   0.1404
 -12.250  -0.5382   0.15462   0.14735   0.0078   1.0000   0.1350
 -12.500  -0.5642   0.16311   0.15587   0.0063   1.0000   0.1297
 -12.750  -0.5545   0.16296   0.15564   0.0096   1.0000   0.1283
 -13.000  -0.5546   0.16482   0.15746   0.0118   1.0000   0.1242
 -13.250  -0.5656   0.16910   0.16175   0.0122   1.0000   0.1186
 -13.500  -0.5787   0.17504   0.16768   0.0127   1.0000   0.1157
 -13.750  -0.5753   0.17561   0.16819   0.0155   1.0000   0.1137
 -14.000  -0.5799   0.17818   0.17074   0.0173   1.0000   0.1084
 -14.250  -0.6081   0.18877   0.18137   0.0155   1.0000   0.1028
 -14.500  -0.6033   0.18837   0.18091   0.0186   1.0000   0.1022
 -14.750  -0.6023   0.18886   0.18135   0.0214   1.0000   0.1004
 -15.000  -0.6075   0.19129   0.18376   0.0234   1.0000   0.0966
 -15.250  -0.6169   0.19498   0.18746   0.0245   1.0000   0.0928
 -15.500  -0.6415   0.20618   0.19869   0.0233   1.0000   0.0895
 -15.750  -0.6391   0.20540   0.19785   0.0264   1.0000   0.0890
 -16.000  -0.6400   0.20564   0.19805   0.0293   1.0000   0.0877
 -16.250  -0.6455   0.20773   0.20012   0.0317   1.0000   0.0850
 -16.500  -0.6533   0.21075   0.20313   0.0334   1.0000   0.0823
 -16.750  -0.6627   0.21437   0.20682   0.0348   1.0000   0.0796
 -17.000  -0.6782   0.22169   0.21419   0.0347   1.0000   0.0770
 -17.250  -0.6901   0.22814   0.22061   0.0359   1.0000   0.0761
 -17.500  -0.6912   0.22734   0.21977   0.0390   1.0000   0.0756
 -17.750  -0.6953   0.22789   0.22028   0.0419   1.0000   0.0744
 -18.000  -0.7021   0.23002   0.22240   0.0443   1.0000   0.0723
 -18.250  -0.7101   0.23286   0.22523   0.0462   1.0000   0.0702
 -18.500  -0.7189   0.23602   0.22840   0.0480   1.0000   0.0681
 -18.750  -0.7283   0.23968   0.23206   0.0495   1.0000   0.0661
 -19.000  -0.7401   0.24535   0.23776   0.0503   1.0000   0.0643
 -19.250  -0.7569   0.25660   0.24901   0.0504   1.0000   0.0631
 -19.500  -0.7596   0.25538   0.24776   0.0535   1.0000   0.0629
 -19.750  -0.7639   0.25495   0.24730   0.0565   1.0000   0.0624
 -20.000  -0.7701   0.25570   0.24803   0.0594   1.0000   0.0614
