  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 70  11.08%                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1463   0.02795   0.01863  -0.0528   0.9112   1.0000
   0.250   0.1851   0.02873   0.01921  -0.0555   0.8966   1.0000
   0.500   0.2206   0.02949   0.01980  -0.0575   0.8818   1.0000
   0.750   0.2556   0.03024   0.02040  -0.0593   0.8668   1.0000
   1.000   0.2905   0.03097   0.02100  -0.0610   0.8515   1.0000
   1.250   0.3244   0.03168   0.02161  -0.0624   0.8363   1.0000
   1.500   0.3588   0.03235   0.02221  -0.0637   0.8208   1.0000
   1.750   0.3932   0.03299   0.02278  -0.0649   0.8052   1.0000
   2.000   0.4273   0.03359   0.02333  -0.0659   0.7895   1.0000
   2.250   0.4608   0.03414   0.02384  -0.0666   0.7738   1.0000
   2.500   0.4922   0.03465   0.02433  -0.0669   0.7581   1.0000
   2.750   0.5232   0.03509   0.02476  -0.0668   0.7423   1.0000
   3.000   0.5539   0.03546   0.02514  -0.0666   0.7265   1.0000
   3.250   0.5838   0.03578   0.02546  -0.0661   0.7108   1.0000
   3.500   0.6135   0.03602   0.02571  -0.0654   0.6951   1.0000
   3.750   0.6429   0.03619   0.02590  -0.0646   0.6794   1.0000
   4.000   0.6721   0.03626   0.02602  -0.0635   0.6638   1.0000
   4.250   0.7012   0.03627   0.02606  -0.0624   0.6481   1.0000
   4.500   0.7173   0.03713   0.02696  -0.0607   0.6295   1.0000
   4.750   0.7422   0.03738   0.02728  -0.0593   0.6128   1.0000
   5.000   0.7687   0.03747   0.02741  -0.0579   0.5964   1.0000
   5.250   0.7959   0.03746   0.02745  -0.0564   0.5800   1.0000
   5.500   0.8237   0.03738   0.02742  -0.0550   0.5636   1.0000
   5.750   0.8526   0.03717   0.02729  -0.0535   0.5472   1.0000
   6.000   0.8819   0.03695   0.02712  -0.0521   0.5309   1.0000
   6.250   0.9123   0.03661   0.02684  -0.0506   0.5144   1.0000
   6.500   0.9419   0.03643   0.02668  -0.0493   0.4979   1.0000
   6.750   0.9726   0.03616   0.02641  -0.0480   0.4811   1.0000
   7.000   0.9962   0.03667   0.02698  -0.0467   0.4640   1.0000
   7.250   1.0141   0.03770   0.02811  -0.0452   0.4464   1.0000
   7.500   1.0344   0.03859   0.02908  -0.0438   0.4296   1.0000
   7.750   1.0554   0.03946   0.03002  -0.0425   0.4132   1.0000
   8.000   1.0759   0.04044   0.03110  -0.0412   0.3975   1.0000
   8.250   1.0953   0.04158   0.03233  -0.0399   0.3823   1.0000
   8.500   1.1139   0.04280   0.03363  -0.0386   0.3676   1.0000
   8.750   1.1316   0.04421   0.03516  -0.0373   0.3536   1.0000
   9.000   1.1502   0.04554   0.03657  -0.0360   0.3400   1.0000
   9.250   1.1711   0.04675   0.03784  -0.0349   0.3267   1.0000
   9.500   1.1949   0.04781   0.03893  -0.0339   0.3133   1.0000
   9.750   1.1722   0.05248   0.04400  -0.0313   0.3051   1.0000
  10.000   1.1805   0.05480   0.04647  -0.0299   0.2947   1.0000
  10.250   1.2065   0.05574   0.04744  -0.0289   0.2824   1.0000
  10.500   1.1518   0.06317   0.05514  -0.0264   0.2811   1.0000
  10.750   1.0696   0.07482   0.06675  -0.0273   0.2836   1.0000
  11.000   1.1214   0.07205   0.06416  -0.0243   0.2689   1.0000
   0.000   0.1463   0.02795   0.01863  -0.0528   0.9112   1.0000
  -0.250   0.1041   0.02710   0.01803  -0.0494   0.9252   1.0000
  -0.150   0.1145   0.02736   0.01821  -0.0497   0.9189   1.0000
  -0.050   0.1353   0.02774   0.01848  -0.0517   0.9135   1.0000
   0.250   0.1851   0.02873   0.01921  -0.0555   0.8966   1.0000
   0.000   0.1463   0.02795   0.01863  -0.0528   0.9112   1.0000
   0.100   0.1526   0.02818   0.01881  -0.0524   0.9046   1.0000
   0.200   0.1719   0.02852   0.01906  -0.0541   0.8989   1.0000
   0.500   0.2206   0.02949   0.01980  -0.0575   0.8818   1.0000
   0.250   0.1851   0.02873   0.01921  -0.0555   0.8966   1.0000
   0.350   0.1897   0.02899   0.01941  -0.0548   0.8900   1.0000
   0.450   0.2075   0.02930   0.01965  -0.0562   0.8842   1.0000
   0.750   0.2556   0.03024   0.02040  -0.0593   0.8668   1.0000
   0.500   0.2206   0.02949   0.01980  -0.0575   0.8818   1.0000
   0.600   0.2261   0.02978   0.02004  -0.0569   0.8750   1.0000
   0.700   0.2427   0.03008   0.02027  -0.0581   0.8692   1.0000
   1.000   0.2905   0.03097   0.02100  -0.0610   0.8515   1.0000
   0.750   0.2556   0.03024   0.02040  -0.0593   0.8668   1.0000
   0.850   0.2614   0.03055   0.02067  -0.0588   0.8602   1.0000
   0.000   0.1463   0.02795   0.01863  -0.0528   0.9112   1.0000
  -0.250   0.1041   0.02710   0.01803  -0.0494   0.9252   1.0000
  -0.150   0.1145   0.02736   0.01821  -0.0497   0.9189   1.0000
  -0.050   0.1353   0.02774   0.01848  -0.0517   0.9135   1.0000
   0.250   0.1851   0.02873   0.01921  -0.0555   0.8966   1.0000
   0.000   0.1463   0.02795   0.01863  -0.0528   0.9112   1.0000
   0.100   0.1526   0.02818   0.01881  -0.0524   0.9046   1.0000
   0.200   0.1719   0.02852   0.01906  -0.0541   0.8989   1.0000
   0.500   0.2206   0.02949   0.01980  -0.0575   0.8818   1.0000
   0.250   0.1851   0.02873   0.01921  -0.0555   0.8966   1.0000
   0.350   0.1897   0.02899   0.01941  -0.0548   0.8900   1.0000
   0.450   0.2075   0.02930   0.01965  -0.0562   0.8842   1.0000
   0.750   0.2556   0.03024   0.02040  -0.0593   0.8668   1.0000
   0.500   0.2206   0.02949   0.01980  -0.0575   0.8818   1.0000
   0.600   0.2261   0.02978   0.02004  -0.0569   0.8750   1.0000
   0.700   0.2427   0.03008   0.02027  -0.0581   0.8692   1.0000
   1.000   0.2905   0.03097   0.02100  -0.0610   0.8515   1.0000
   0.750   0.2556   0.03024   0.02040  -0.0593   0.8668   1.0000
   0.850   0.2614   0.03055   0.02067  -0.0588   0.8602   1.0000
   1.250   0.3244   0.03168   0.02161  -0.0624   0.8363   1.0000
   1.000   0.2905   0.03097   0.02100  -0.0610   0.8515   1.0000
   1.100   0.2963   0.03130   0.02129  -0.0604   0.8448   1.0000
   1.200   0.3114   0.03157   0.02153  -0.0612   0.8387   1.0000
   1.500   0.3588   0.03235   0.02221  -0.0637   0.8208   1.0000
   1.250   0.3244   0.03168   0.02161  -0.0624   0.8363   1.0000
   1.350   0.3304   0.03202   0.02192  -0.0618   0.8295   1.0000
   1.450   0.3453   0.03228   0.02215  -0.0625   0.8232   1.0000
   1.750   0.3932   0.03299   0.02278  -0.0649   0.8052   1.0000
   1.500   0.3588   0.03235   0.02221  -0.0637   0.8208   1.0000
   1.600   0.3641   0.03271   0.02253  -0.0630   0.8138   1.0000
   1.700   0.3790   0.03295   0.02275  -0.0637   0.8076   1.0000
   2.000   0.4273   0.03359   0.02333  -0.0659   0.7895   1.0000
