  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 81  13%                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.3247   0.02983   0.02069  -0.0399   0.5869   1.0000
   0.250   0.3442   0.03128   0.02210  -0.0407   0.5757   1.0000
   0.500   0.3637   0.03169   0.02226  -0.0385   0.5691   1.0000
   0.750   0.3809   0.03353   0.02409  -0.0396   0.5583   1.0000
   1.000   0.4011   0.03393   0.02428  -0.0374   0.5519   1.0000
   1.250   0.4143   0.03634   0.02672  -0.0388   0.5424   1.0000
   1.500   0.4339   0.03714   0.02736  -0.0373   0.5362   1.0000
   1.750   0.4443   0.03952   0.02974  -0.0378   0.5284   1.0000
   2.000   0.4573   0.04129   0.03145  -0.0374   0.5213   1.0000
   2.250   0.4822   0.04153   0.03149  -0.0351   0.5166   1.0000
   2.500   0.4702   0.04651   0.03659  -0.0376   0.5104   1.0000
   2.750   0.4729   0.04935   0.03939  -0.0378   0.5054   1.0000
   3.000   0.5049   0.04930   0.03920  -0.0356   0.4998   1.0000
   3.250   0.4929   0.05385   0.04376  -0.0371   0.4974   1.0000
   3.500   0.4838   0.05786   0.04775  -0.0381   0.4973   1.0000
   3.750   0.4786   0.06131   0.05116  -0.0384   0.4977   1.0000
   4.000   0.4765   0.06450   0.05430  -0.0384   0.4999   1.0000
   4.000   0.4765   0.06450   0.05430  -0.0384   0.4999   1.0000
   4.100   0.4843   0.06547   0.05525  -0.0384   0.4992   1.0000
   0.000   0.3247   0.02983   0.02069  -0.0399   0.5869   1.0000
  -0.250   0.3058   0.02944   0.02057  -0.0422   0.5943   1.0000
  -0.150   0.3134   0.02965   0.02069  -0.0415   0.5908   1.0000
  -0.050   0.3209   0.02977   0.02069  -0.0405   0.5880   1.0000
   0.250   0.3442   0.03128   0.02210  -0.0407   0.5757   1.0000
   0.000   0.3247   0.02983   0.02069  -0.0399   0.5869   1.0000
   0.100   0.3327   0.03062   0.02151  -0.0409   0.5815   1.0000
   0.200   0.3404   0.03111   0.02196  -0.0409   0.5773   1.0000
