  
       XFOIL         Version 6.99
  
 Calculated polar for: MILEY M06-13-128                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1694   0.04997   0.04086  -0.0303   1.0000   0.1172
   0.250  -0.1470   0.04908   0.03968  -0.0298   1.0000   0.1130
   0.500  -0.1231   0.04858   0.03881  -0.0295   1.0000   0.1102
   0.750  -0.1007   0.04841   0.03837  -0.0293   1.0000   0.1116
   1.000  -0.0793   0.04846   0.03816  -0.0288   1.0000   0.1163
   1.250  -0.0495   0.04881   0.03824  -0.0297   0.9992   0.1216
   1.500  -0.0007   0.05056   0.03970  -0.0341   0.9888   0.1340
   1.750   0.0477   0.05183   0.04114  -0.0386   0.9776   0.1844
   2.000   0.1122   0.05202   0.04305  -0.0462   0.9633   1.0000
   2.250   0.1580   0.05525   0.04570  -0.0512   0.9421   1.0000
   2.500   0.1916   0.05732   0.04740  -0.0538   0.9158   1.0000
   2.750   0.2207   0.05938   0.04919  -0.0555   0.8924   1.0000
   3.000   0.2527   0.06175   0.05130  -0.0576   0.8726   1.0000
   3.250   0.2869   0.06467   0.05397  -0.0600   0.8557   1.0000
   3.500   0.3007   0.06558   0.05475  -0.0590   0.8328   1.0000
   3.500   0.3007   0.06558   0.05475  -0.0590   0.8328   1.0000
   3.600   0.3182   0.06711   0.05619  -0.0605   0.8282   1.0000
   3.700   0.3192   0.06717   0.05622  -0.0594   0.8187   1.0000
   4.000   0.3540   0.07024   0.05909  -0.0612   0.7999   1.0000
   4.250   0.3793   0.07271   0.06144  -0.0621   0.7848   1.0000
   4.500   0.3892   0.07389   0.06255  -0.0608   0.7675   1.0000
   4.750   0.4051   0.07560   0.06419  -0.0604   0.7510   1.0000
   5.000   0.4229   0.07757   0.06608  -0.0603   0.7361   1.0000
   5.250   0.4402   0.07959   0.06805  -0.0603   0.7219   1.0000
   5.500   0.4571   0.08169   0.07010  -0.0602   0.7082   1.0000
   5.750   0.4744   0.08390   0.07228  -0.0602   0.6955   1.0000
   6.000   0.4950   0.08645   0.07480  -0.0607   0.6835   1.0000
   6.250   0.5212   0.08941   0.07775  -0.0616   0.6715   1.0000
   6.250   0.5212   0.08942   0.07775  -0.0616   0.6715   1.0000
   6.350   0.5088   0.08882   0.07716  -0.0597   0.6641   1.0000
   6.450   0.5208   0.09003   0.07837  -0.0602   0.6599   1.0000
   6.750   0.5376   0.09269   0.08102  -0.0600   0.6458   1.0000
   7.000   0.5447   0.09458   0.08292  -0.0594   0.6346   1.0000
   7.250   0.5580   0.09703   0.08538  -0.0594   0.6252   1.0000
   7.500   0.5858   0.10038   0.08878  -0.0605   0.6158   1.0000
   7.750   0.5836   0.10160   0.09002  -0.0593   0.6050   1.0000
   8.000   0.5925   0.10405   0.09249  -0.0592   0.5971   1.0000
   8.250   0.6164   0.10718   0.09566  -0.0600   0.5883   1.0000
