  
       XFOIL         Version 6.99
  
 Calculated polar for: MRC-20                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1651   0.03496   0.02683  -0.0008   1.0000   1.0000
   0.000  -0.1651   0.03496   0.02683  -0.0008   1.0000   1.0000
   0.100  -0.1599   0.03512   0.02682  -0.0006   1.0000   1.0000
   0.200  -0.1543   0.03531   0.02686  -0.0005   1.0000   1.0000
   0.500  -0.0585   0.03850   0.02927  -0.0145   0.9637   1.0000
   0.750  -0.0115   0.04002   0.03042  -0.0198   0.9467   1.0000
   1.000   0.0288   0.04127   0.03138  -0.0237   0.9311   1.0000
   1.250   0.0613   0.04223   0.03212  -0.0262   0.9165   1.0000
   1.500   0.0920   0.04316   0.03285  -0.0282   0.9020   1.0000
   1.750   0.1201   0.04407   0.03360  -0.0297   0.8881   1.0000
   2.000   0.1487   0.04499   0.03438  -0.0313   0.8742   1.0000
   2.250   0.1762   0.04595   0.03520  -0.0326   0.8608   1.0000
   2.500   0.2049   0.04691   0.03605  -0.0340   0.8473   1.0000
   2.750   0.2346   0.04791   0.03695  -0.0355   0.8343   1.0000
   3.000   0.2679   0.04890   0.03785  -0.0375   0.8215   1.0000
   3.250   0.3013   0.04986   0.03873  -0.0393   0.8090   1.0000
   3.500   0.3203   0.05080   0.03962  -0.0392   0.7954   1.0000
   3.750   0.3409   0.05181   0.04059  -0.0393   0.7822   1.0000
   4.000   0.3644   0.05284   0.04159  -0.0397   0.7694   1.0000
   4.250   0.3923   0.05382   0.04255  -0.0407   0.7569   1.0000
   4.500   0.4342   0.05455   0.04326  -0.0431   0.7455   1.0000
   4.750   0.4469   0.05572   0.04444  -0.0422   0.7319   1.0000
   5.000   0.4613   0.05700   0.04573  -0.0416   0.7188   1.0000
   5.250   0.4810   0.05817   0.04692  -0.0414   0.7059   1.0000
   5.500   0.5077   0.05918   0.04795  -0.0420   0.6940   1.0000
   5.750   0.5457   0.05970   0.04852  -0.0434   0.6825   1.0000
   6.000   0.5522   0.06139   0.05024  -0.0421   0.6690   1.0000
   6.250   0.5645   0.06293   0.05182  -0.0413   0.6558   1.0000
   6.500   0.5829   0.06429   0.05322  -0.0411   0.6435   1.0000
   6.750   0.6163   0.06487   0.05387  -0.0418   0.6319   1.0000
   7.000   0.6365   0.06605   0.05514  -0.0415   0.6193   1.0000
   7.250   0.6404   0.06821   0.05735  -0.0403   0.6059   1.0000
   7.500   0.6513   0.07004   0.05924  -0.0395   0.5930   1.0000
   7.750   0.6723   0.07130   0.06058  -0.0392   0.5809   1.0000
   8.000   0.7170   0.07082   0.06026  -0.0399   0.5696   1.0000
   8.250   0.7099   0.07399   0.06347  -0.0384   0.5559   1.0000
   8.500   0.7118   0.07659   0.06614  -0.0374   0.5426   1.0000
   8.750   0.7218   0.07871   0.06834  -0.0367   0.5303   1.0000
   9.000   0.7475   0.07951   0.06927  -0.0363   0.5179   1.0000
   9.250   0.7794   0.07965   0.06956  -0.0359   0.5056   1.0000
   9.500   0.7651   0.08392   0.07387  -0.0349   0.4923   1.0000
   9.750   0.7633   0.08719   0.07721  -0.0341   0.4798   1.0000
  10.000   0.7760   0.08920   0.07932  -0.0335   0.4675   1.0000
  10.250   0.8042   0.08954   0.07982  -0.0327   0.4545   1.0000
  10.500   0.8200   0.09108   0.08149  -0.0320   0.4418   1.0000
  10.750   0.7945   0.09711   0.08753  -0.0319   0.4301   1.0000
  11.000   0.7976   0.10023   0.09073  -0.0315   0.4184   1.0000
  11.250   0.8167   0.10150   0.09213  -0.0307   0.4054   1.0000
  11.450   0.8276   0.10291   0.09367  -0.0301   0.3950   1.0000
  11.750   0.8065   0.10975   0.10054  -0.0307   0.3832   1.0000
  12.000   0.8122   0.11266   0.10354  -0.0304   0.3712   1.0000
  12.250   0.8305   0.11405   0.10507  -0.0295   0.3583   1.0000
  12.500   0.8529   0.11456   0.10573  -0.0282   0.3441   1.0000
  12.750   0.8131   0.12382   0.11494  -0.0309   0.3393   1.0000
  13.000   0.8272   0.12573   0.11697  -0.0302   0.3263   1.0000
  13.250   0.8462   0.12683   0.11823  -0.0291   0.3125   1.0000
  13.500   0.8164   0.13519   0.12655  -0.0321   0.3092   1.0000
  13.750   0.8302   0.13712   0.12861  -0.0314   0.2957   1.0000
  14.000   0.8120   0.14411   0.13560  -0.0341   0.2932   1.0000
  14.000   1.2702   0.06760   0.05956  -0.0021   0.1964   1.0000
  14.100   1.2751   0.06836   0.06028  -0.0016   0.1907   1.0000
  14.200   1.2605   0.07057   0.06261  -0.0007   0.1899   1.0000
  14.500   1.2114   0.07852   0.07090   0.0009   0.1891   1.0000
  14.750   1.1599   0.08761   0.08019   0.0002   0.1909   1.0000
  15.000   1.1044   0.09913   0.09181  -0.0027   0.1931   1.0000
  15.000   0.8389   0.15753   0.14935  -0.0356   0.2533   1.0000
  15.100   0.8348   0.16024   0.15208  -0.0367   0.2534   1.0000
  15.200   0.8321   0.16279   0.15463  -0.0378   0.2534   1.0000
  15.500   0.8333   0.16961   0.16151  -0.0401   0.2520   1.0000
  15.500   0.8339   0.16970   0.16161  -0.0402   0.2527   1.0000
  15.600   0.8368   0.17200   0.16395  -0.0408   0.2524   1.0000
  16.000   0.5454   0.16272   0.15510  -0.0234   0.3287   1.0000
  16.250   0.5373   0.16279   0.15522  -0.0239   0.3178   1.0000
  16.500   0.5417   0.16585   0.15834  -0.0246   0.3113   1.0000
  16.750   0.5523   0.16894   0.16151  -0.0249   0.2996   1.0000
  17.000   0.5436   0.16989   0.16248  -0.0258   0.2931   1.0000
  17.250   0.5701   0.17659   0.16930  -0.0261   0.2828   1.0000
  17.500   0.5492   0.17468   0.16737  -0.0273   0.2767   1.0000
  17.750   0.5744   0.18141   0.17421  -0.0274   0.2675   1.0000
  18.000   0.5553   0.17971   0.17251  -0.0288   0.2618   1.0000
  18.250   0.5808   0.18664   0.17953  -0.0288   0.2523   1.0000
  18.500   0.5619   0.18488   0.17777  -0.0304   0.2477   1.0000
  18.750   0.5723   0.18830   0.18126  -0.0308   0.2392   1.0000
  19.000   0.5708   0.19057   0.18355  -0.0319   0.2348   1.0000
  19.250   0.5723   0.19246   0.18548  -0.0328   0.2267   1.0000
  19.500   0.5872   0.19804   0.19113  -0.0332   0.2219   1.0000
  19.750   0.5761   0.19753   0.19063  -0.0348   0.2160   1.0000
  20.000   0.5895   0.20183   0.19501  -0.0351   0.2088   1.0000
   0.000  -0.1651   0.03496   0.02683  -0.0008   1.0000   1.0000
  -0.250  -0.1900   0.03453   0.02604  -0.0046   1.0000   0.7226
  -0.500  -0.2133   0.03670   0.02521  -0.0068   1.0000   0.1763
  -0.750  -0.2369   0.03710   0.02555  -0.0063   1.0000   0.1533
  -1.000  -0.2581   0.03725   0.02581  -0.0067   1.0000   0.1423
  -1.250  -0.2793   0.03760   0.02617  -0.0073   1.0000   0.1347
  -1.500  -0.3004   0.03783   0.02646  -0.0081   1.0000   0.1280
  -1.750  -0.3220   0.03830   0.02690  -0.0091   1.0000   0.1246
  -2.000  -0.3441   0.03899   0.02759  -0.0100   1.0000   0.1234
  -2.250  -0.3663   0.03995   0.02859  -0.0107   1.0000   0.1222
  -2.500  -0.3883   0.04124   0.02995  -0.0114   1.0000   0.1210
  -2.750  -0.4100   0.04230   0.03123  -0.0121   1.0000   0.1208
  -3.000  -0.4321   0.04285   0.03221  -0.0133   1.0000   0.1235
  -3.250  -0.4559   0.04401   0.03389  -0.0143   1.0000   0.1304
  -3.500  -0.4776   0.04620   0.03624  -0.0150   1.0000   0.1361
  -3.750  -0.5022   0.04735   0.03809  -0.0161   1.0000   0.1496
  -4.000  -0.5267   0.04927   0.04058  -0.0169   1.0000   0.1670
  -4.250  -0.5524   0.05140   0.04324  -0.0175   1.0000   0.1907
  -4.500  -0.5838   0.05442   0.04729  -0.0163   1.0000   0.2405
  -4.500  -0.5853   0.05477   0.04794  -0.0153   1.0000   0.2493
  -4.600  -0.6010   0.05875   0.05271  -0.0101   1.0000   0.2985
  -5.000  -0.4875   0.08424   0.07910   0.0228   1.0000   0.4992
  -5.000  -0.4824   0.08493   0.07978   0.0238   1.0000   0.5138
  -5.100  -0.4586   0.08535   0.08011   0.0210   1.0000   0.5154
